"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2LkzP4UHofktw5lHLbiFdT","Memories","spotify:artist:6596yDTd94cIC3dlBptxDH","Waldeck","spotify:album:41woRHcIR9zZFXnh4JPpFJ","Ballroom Stories","spotify:artist:6596yDTd94cIC3dlBptxDH","Waldeck","2007-09-10","https://i.scdn.co/image/ab67616d0000b2738670daf4fe1c8c518675a8ec","1","3","230326","","false","36","ATW630702303","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:04Z","downtempo,electro swing,electronica,nu jazz,trip hop","0.876","0.574","0","-5.442","0","0.0694","0.413","0.000184","0.19","0.647","96.002","4","","Dope Noir Records","P 2007 Dope Noir Records"
"spotify:track:5dyf6lq66dzO9zLRkkWu9F","Addicted","spotify:artist:6596yDTd94cIC3dlBptxDH","Waldeck","spotify:album:41woRHcIR9zZFXnh4JPpFJ","Ballroom Stories","spotify:artist:6596yDTd94cIC3dlBptxDH","Waldeck","2007-09-10","https://i.scdn.co/image/ab67616d0000b2738670daf4fe1c8c518675a8ec","1","4","230901","","false","29","ATW630702304","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:07Z","downtempo,electro swing,electronica,nu jazz,trip hop","0.849","0.652","9","-5.466","0","0.0678","0.453","0.00868","0.0795","0.736","137.954","4","","Dope Noir Records","P 2007 Dope Noir Records"
"spotify:track:5QmHSW3ERBIW0TdDCQKyzF","Gravy Train - Nicolas Jaar Remix","spotify:artist:3TXQ1ddouwQAI78hV4hXDj","Maceo Plex","spotify:album:5KqxZji4lOSNZ4c1DGLxVE","Hôtel Costes 15","spotify:artist:0sKvyHIsuZMjaLWyHFX4RV","Hôtel Costes","2011-09-26","https://i.scdn.co/image/ab67616d0000b27386ca556fc4d1366a7a4e4f7f","1","13","333240","https://p.scdn.co/mp3-preview/9441ff69c42c2a69ca16dea49713f6e4a415d90f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","DEU671001111","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:09Z","deep disco house,electronica,house,latin tech house,melodic techno,microhouse,minimal tech house,minimal techno,tech house","0.854","0.347","9","-7.178","0","0.0514","0.036","0.888","0.106","0.528","119.989","4","","Pschent Music","C 2011 Pschent, P 2011 Pschent"
"spotify:track:7oW8oof2NM4GaIWWaTy7VW","Rayuela","spotify:artist:44ejFPE33H5aOInxNV2BFP","Gotan Project","spotify:album:4gKTETIzCeB3HY6xPmPvrn","Best Of","spotify:artist:44ejFPE33H5aOInxNV2BFP","Gotan Project","2011-01-01","https://i.scdn.co/image/ab67616d0000b273003b53939ce79bc2c008550c","1","5","265840","","false","0","FR99S1000002","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:11Z","electronica,jazztronica,neotango,nu jazz,world","0.715","0.626","2","-7.527","0","0.0409","0.237","0.000172","0.346","0.546","100.996","4","","Universal Music S.A.","C © 2011 Ya Basta Records, P ℗ 2011 Ya Basta Records"
"spotify:track:6TcpM1p0xHy1smBjxEF73s","Conjure Dreams","spotify:artist:3TXQ1ddouwQAI78hV4hXDj","Maceo Plex","spotify:album:6DSutTphiozvGUw3hvifo8","Conjure Infinity","spotify:artist:3TXQ1ddouwQAI78hV4hXDj","Maceo Plex","2014-12-29","https://i.scdn.co/image/ab67616d0000b2738101058db1e613be75bd4efd","1","1","441090","https://p.scdn.co/mp3-preview/85eb6f97e2d4f2e56474eb241dbbd917d0a01fae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBUR61400001","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:14Z","deep disco house,electronica,house,latin tech house,melodic techno,microhouse,minimal tech house,minimal techno,tech house","0.687","0.744","2","-8.085","1","0.0545","0.000189","0.875","0.0924","0.526","124.012","4","","Drumcode","C Drumcode, P Drumcode"
"spotify:track:6kK2YbF8boQl32Lqkai3Ca","All Night","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:4TEZiXCLTfPn5KJFrQgl7k","The Art Of Sampling (Deluxe Version)","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2013-01-01","https://i.scdn.co/image/ab67616d0000b273dfedb034fe901bda069a0ffa","1","5","166400","https://p.scdn.co/mp3-preview/05c2d2ebdcf7d150a8e672f82e41e1b6fa3c681e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ATE612000002","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:16Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.797","0.618","7","-7.672","0","0.0429","0.107","0.845","0.243","0.826","125.02","4","","Island Records","C © 2013 Etage Noir Recordings, under exclusive license to Polydor/Island, a division of Universal Music GmbH, P ℗ 2013 Etage Noir Recordings, under exclusive license to Polydor/Island, a division of Universal Music GmbH"
"spotify:track:5k1X6TM6DgINyXVaYjyujI","Frisky - Original Mix","spotify:artist:3TXQ1ddouwQAI78hV4hXDj","Maceo Plex","spotify:album:5wJaWIABYC7H7SI03PsRvE","Frisky","spotify:artist:3TXQ1ddouwQAI78hV4hXDj","Maceo Plex","2012-04-23","https://i.scdn.co/image/ab67616d0000b27386a4c38e935e852b9724d65c","1","1","452778","https://p.scdn.co/mp3-preview/a9dd0f680b56f34781c5351e3d16568825a38a3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GB7NR1293001","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:19Z","deep disco house,electronica,house,latin tech house,melodic techno,microhouse,minimal tech house,minimal techno,tech house","0.8","0.587","1","-10.481","1","0.0579","0.00151","0.737","0.0936","0.264","122.007","4","","Crosstown Rebels","C 2012 Crosstown Rebels, P 2012 Crosstown Rebels"
"spotify:track:6moMzduIjCcDfZhrdKC6rm","Straight to Number One","spotify:artist:3HLcrmrgatd6hecqYGdkmM","Touch And Go","spotify:album:3PVZeppBKJ34k2KonaZ1hb","Lounge Stompin 01","spotify:artist:1PCs7jQrFVBYBoNkzcecLR","Vykvet","2017-09-26","https://i.scdn.co/image/ab67616d0000b273d4e956b8645fac319f85abe6","1","8","250752","https://p.scdn.co/mp3-preview/9fd3466091b6248be182ef8a5b556bdb37cdb00f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DEAR41737543","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:21Z","","0.799","0.473","1","-9.034","1","0.0412","0.07","0.589","0.0947","0.718","120","4","","STOMP HOUSE RECORDS","C 2017 STOMP HOUSE RECORDS, P 2017 STOMP HOUSE RECORDS"
"spotify:track:5WHVJ7MILL1r5xs8hDfJ4i","Get It Together","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:6wMr4zKPrrR0UVz08WtUWc, spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Drake, Black Coffee, Jorja Smith","spotify:album:7Ix0FS4f1lK42C3rix5rHg","More Life","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2017-03-18","https://i.scdn.co/image/ab67616d0000b2735ea859dc94365abd9fd84fd6","1","5","250337","","true","0","USCM51700045","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:23Z","canadian hip hop,canadian pop,hip hop,rap,toronto rap,afro house,deep house,south african house,south african pop dance,pop,r&b,uk contemporary r&b","0.781","0.721","5","-9.133","0","0.0514","0.0945","0.391","0.104","0.849","123.011","4","","Universal Music Group","C © 2017 Young Money Entertainment/Cash Money Records, P ℗ 2017 Young Money Entertainment/Cash Money Records"
"spotify:track:3V6bt8GdmgPj15aLxFSoIw","Cocaine Model","spotify:artist:28j8lBWDdDSHSSt5oPlsX2","ZHU","spotify:album:0Ba8OxlttJHWP91ztHZA4L","THE NIGHTDAY EP","spotify:artist:28j8lBWDdDSHSSt5oPlsX2","ZHU","2014-12-19","https://i.scdn.co/image/ab67616d0000b2735f2459736a8305781b428d3d","1","6","255094","","false","0","QMALR1400006","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T14:29:25Z","edm,electro house","0.786","0.706","9","-6.212","0","0.0537","0.251","0.213","0.142","0.313","120.011","4","","bitclap/WM Germany","C 2014 Mind Of a Genius/TH3RD BRAIN under exclusive license to bitclap!/Warner Music Group Germany Holding GmbH, P 2014 Mind Of a Genius/TH3RD BRAIN under exclusive license to bitclap!/Warner Music Group Germany Holding GmbH"
