"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:20ztml2STRF7Sq1UaBB6ox","Future Club","spotify:artist:244uLu9lkdw39BJwlul3k8","Perturbator","spotify:album:0GzBfwarPFhAdfLNHfgaRT","Dangerous Days","spotify:artist:244uLu9lkdw39BJwlul3k8","Perturbator","2014-06-17","https://i.scdn.co/image/ab67616d0000b2737be0bdb1f8731f9af3e95812","1","4","289186","https://p.scdn.co/mp3-preview/7e22b52696ace9dfaedf91217cad4fd2c064dc57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","TCABW1462862","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-02T06:19:40Z","cyberpunk,darksynth,synthwave","0.448","0.955","5","-2.945","0","0.0441","0.00108","0.837","0.371","0.39","99.994","4","","Blood Music","C 2014 Blood Music, P 2014 Blood Music"
"spotify:track:5PlZbtB1Ok46sKyjKEfppR","Hang'em All","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","spotify:album:0io5pe55YRCTVqEjwlOBdN","TRILOGY","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","2015","https://i.scdn.co/image/ab67616d0000b2731b1d6c550aaaae5acf220e84","1","12","337435","https://p.scdn.co/mp3-preview/cba2b03dc45b63c52dc67f35b6e32c5842669978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FR9W11319894","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-09T17:12:53Z","cyberpunk,darksynth,synthwave","0.315","0.884","4","-1.475","0","0.0659","0.000113","0.923","0.229","0.0776","116.101","4","","Universal Music Division Virgin Records Distribution Deal","C © 2017 No Quarter, exclusively distributed by Virgin Records France, P ℗ 2017 No Quarter, exclusively distributed by Virgin Records France"
"spotify:track:03X1SHRxnIb2jtjcQx54Et","Cursed","spotify:artist:46HcJG62ky3Tj7yJpB2Qqg","Gost","spotify:album:3CRvJuhkYY3nmCiDpKmr3Y","Skull","spotify:artist:46HcJG62ky3Tj7yJpB2Qqg","Gost","2013","https://i.scdn.co/image/ab67616d0000b273209d6ca67901b88d8b216ebe","1","2","213159","https://p.scdn.co/mp3-preview/7453fa6e08c3520fbc552db1c6df4a096348f807?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GB-SMU-14-06200","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T09:25:40Z","dark clubbing,synthwave","0.583","0.929","1","-5.106","1","0.198","0.00115","0.873","0.164","0.285","118","4","","N/A","C 2013 Gost, P 2013 Gost"
"spotify:track:5Wrd7eU7jcJPoZEU1Z26ow","Genesee Avenue","spotify:artist:46HcJG62ky3Tj7yJpB2Qqg","Gost","spotify:album:4hKGxesRxEIlQJqvvmKqId","Behemoth","spotify:artist:46HcJG62ky3Tj7yJpB2Qqg","Gost","2015-04-07","https://i.scdn.co/image/ab67616d0000b27369c387e3481ab154cdf91835","1","2","232820","https://p.scdn.co/mp3-preview/818b2aad094fffc75004e080e75a0d050d9ca23e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","TCACD1572521","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T09:29:57Z","dark clubbing,synthwave","0.619","0.945","10","-1.417","0","0.0639","0.000118","0.896","0.161","0.34","133.015","4","","Blood Music","C 2015 Blood Music, P 2015 Blood Music"
"spotify:track:02gySWUFk5JT4gMguGAhdO","Ocean Drive","spotify:artist:18iQQOuyGlHunPVzmoLY20","Miami Nights 1984","spotify:album:1sjg3emGXcOFStmqIUvFeU","Turbulence","spotify:artist:18iQQOuyGlHunPVzmoLY20","Miami Nights 1984","2012-03-08","https://i.scdn.co/image/ab67616d0000b273674dce9398ee42d991cdf0cd","1","3","258461","https://p.scdn.co/mp3-preview/0f787e92a593de1f949df1ba646e5b17a39316c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USQY51258362","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T09:41:07Z","filter house,synthwave","0.59","0.645","1","-8.101","0","0.0335","0.0000228","0.924","0.0483","0.966","130.027","4","","Rosso Corsa Records","C 2012 Rosso Corsa Records, P 2012 Rosso Corsa Records"
"spotify:track:10qbHF920zH5K8C8IcE5AL","Turbo Killer","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","spotify:album:0io5pe55YRCTVqEjwlOBdN","TRILOGY","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","2015","https://i.scdn.co/image/ab67616d0000b2731b1d6c550aaaae5acf220e84","1","16","208972","https://p.scdn.co/mp3-preview/c595f129f8a4c5bfdd1dce749c8806d77d3cea4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","FR9W11418529","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T12:27:31Z","cyberpunk,darksynth,synthwave","0.312","0.755","5","-1.673","0","0.067","0.0000672","0.076","0.272","0.288","147.162","4","","Universal Music Division Virgin Records Distribution Deal","C © 2017 No Quarter, exclusively distributed by Virgin Records France, P ℗ 2017 No Quarter, exclusively distributed by Virgin Records France"
"spotify:track:7oxnK2wg8qFv8EXyyxKDJ4","Roller Mobster","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","spotify:album:0io5pe55YRCTVqEjwlOBdN","TRILOGY","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","2015","https://i.scdn.co/image/ab67616d0000b2731b1d6c550aaaae5acf220e84","1","7","214351","https://p.scdn.co/mp3-preview/84c8eff1ac4090f867c180d3f89897897f09a505?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","FR9W11319889","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T12:29:51Z","cyberpunk,darksynth,synthwave","0.423","0.921","7","-1.67","1","0.0734","0.00000537","0.903","0.179","0.187","131.011","4","","Universal Music Division Virgin Records Distribution Deal","C © 2017 No Quarter, exclusively distributed by Virgin Records France, P ℗ 2017 No Quarter, exclusively distributed by Virgin Records France"
"spotify:track:5fp6m6Zo4LetiWaMMrPjy5","Dreamscape","spotify:artist:0BjppA384A5QT9kRKCJOyb","009 Sound System","spotify:album:5W3etTwlyw2ykgwk5sW8K3","009 Sound System","spotify:artist:0BjppA384A5QT9kRKCJOyb","009 Sound System","2010","https://i.scdn.co/image/ab67616d0000b2736298dc3c772f72e70e73d4e8","1","1","277489","https://p.scdn.co/mp3-preview/0aa53b7c51a75f0444a551973593dbdf9945ca6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USTCC0917255","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-16T10:26:09Z","dream trance","0.549","0.719","3","-7.266","0","0.0561","0.00481","0.000382","0.195","0.586","123.028","4","","track one recordings","C 2010 track one recordings, P 2010 track one recordings"
"spotify:track:1SETgPENHVzsWoD9g79LYI","Alive (feat. The Moth & The Flame)","spotify:artist:2avRYQUWQpIkzJOEkf0MdY, spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:6TQj5BFPooTa08A7pk8AQ1, spotify:artist:6Fk18HpdnXUsKWpN9mPb9R","Kx5, deadmau5, Kaskade, The Moth & The Flame","spotify:album:5nTSB1dEcWtAtkWnHgOcMR","Alive (feat. The Moth & The Flame)","spotify:artist:2avRYQUWQpIkzJOEkf0MdY, spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kx5, deadmau5, Kaskade","2022-10-11","https://i.scdn.co/image/ab67616d0000b2733257a0ad4aa2ccad6a24908b","1","1","308709","https://p.scdn.co/mp3-preview/3cb22178dbea5cccf38c9b8b266ae73c517cb3ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBTDG1302561","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-17T14:32:28Z","edm,canadian electronic,edm,electro house,pop dance,progressive house,edm,electro house,house,pop,pop dance,progressive house,tropical house,vocal house,utah indie","0.653","0.886","9","-8.237","0","0.0685","0.0778","0.236","0.126","0.0638","124.004","4","","mau5trap Recordings Limited","C (C) 2022 mau5trap Recordings Limited / Arkade under exclusive license to AWAL Recordings America, Inc., P (P) 2022 mau5trap Recordings Limited / Arkade under exclusive license to AWAL Recordings America, Inc."
"spotify:track:4fo7zZTzAJd66iUxDQ5xUD","Overdrive","spotify:artist:3Fobin2AT6OcrkLNsACzt4","Lazerhawk","spotify:album:0A9H0uAwdTCWNofsksO2fX","Redline","spotify:artist:3Fobin2AT6OcrkLNsACzt4","Lazerhawk","2010-01-15","https://i.scdn.co/image/ab67616d0000b273f281db12465fa5d6f14f5e47","1","2","271415","https://p.scdn.co/mp3-preview/2bb7e21e754128541fe148c27b422fe3dd334a0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USQY51005035","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-29T21:57:36Z","synthwave","0.42","0.952","10","-6.839","0","0.0577","0.000134","0.0109","0.12","0.626","132.987","4","","Rosso Corsa Records","C 2009 Rosso Corsa Records, P 2009 Rosso Corsa Records"
