"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5ReLOUboXvaOVariwEJnl3","Like It Is - Mixed","spotify:artist:3OoNpyvA82LedOZWG3WE8Z","Coeo","spotify:album:21vNE48kEQUwOIDNfG8Ihm","Defected In The House Radio Show Episode 041 (hosted by Sam Divine)","spotify:artist:25XngRrWAsddVHfhxUXIE5","Defected Radio","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f6963c80613d0c95808c9543","1","6","262923","https://p.scdn.co/mp3-preview/9fc5171ae2cec1b11febfb1c2c1585e8cd39e5ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBCPZ1710834","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:39:13Z","deep house,disco house,float house,munich electronic","0.881","0.797","6","-6.732","0","0.0622","0.0332","0.167","0.206","0.711","123.003","4","","Defected Records","C © 2017 Defected Records Limited, P ℗ 2017 Defected Records Limited"
"spotify:track:2cGxRwrMyEAp8dEbuZaVv6","Instant Crush (feat. Julian Casablancas)","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:1rAv1GhTQ2rmG94p9lU3rB","Daft Punk, Julian Casablancas","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-17","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","5","337560","https://p.scdn.co/mp3-preview/dff4261ee7fffc03993467ece3f29c9f4d553e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USQX91300105","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:39:31Z","electro,filter house,indie rock","0.775","0.585","10","-9.516","0","0.0271","0.0422","0.619","0.077","0.518","109.942","4","","Columbia","P (P) 2013 Daft Life Limited under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:7HXBG0W8gFJwHUh5mVF9tf","Rise","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","spotify:album:48rrtJw6xklCA9GIV3Eb2L","Rise","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","2021-03-19","https://i.scdn.co/image/ab67616d0000b27397af9e1f4cee5d4e16925042","1","1","193018","https://p.scdn.co/mp3-preview/1f7184c389f836c9ae072d2d48de7cacbba56f7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","BEHP42100024","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:40:20Z","belgian edm,edm,pop,pop dance,tropical house","0.689","0.612","6","-6.014","1","0.0387","0.228","0.00000777","0.368","0.461","122.076","4","","Epic Amsterdam","P (P) 2021 Lost & Cie Music SPRL exclusively licensed to Epic Amsterdam, with courtesy of Sony Music Entertainment Belgium NV/SA"
"spotify:track:6OufwUcCqo81guU2jAlDVP","Love Tonight - Edit","spotify:artist:2TcGJdSOiOvITBzhvfX8XB","Shouse","spotify:album:5KXv2MHeoLSqZ96jRuFF9H","Love Tonight","spotify:artist:2TcGJdSOiOvITBzhvfX8XB","Shouse","2017-12-14","https://i.scdn.co/image/ab67616d0000b27381376e47003d45f6513b5657","1","2","241970","https://p.scdn.co/mp3-preview/c55031c1eecbfa40204e10f160c646236c87808a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USQY51798087","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:46:37Z","aussietronica,edm,pop dance,tropical house","0.727","0.681","5","-7.114","0","0.0265","0.00214","0.000307","0.0861","0.448","123.028","4","","Hell Beach","C © 2017 Hell Beach, P ℗ 2017 Hell Beach"
"spotify:track:0ybwuh7d9YF7dVWBqDgpzd","Too Soon","spotify:artist:5MDZ4Vx0HejqeFJXMDBYIG","Benwah","spotify:album:72lIoWchPeGzLPUZXhgZHs","Too Soon","spotify:artist:5MDZ4Vx0HejqeFJXMDBYIG","Benwah","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a504254b5527a4c8baed0661","1","1","249919","https://p.scdn.co/mp3-preview/ee50bdaf32a658fc7237c1fcbcf5bed364597388?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBKQU2134681","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:50:32Z","","0.714","0.6","8","-10.429","1","0.0484","0.322","0.744","0.122","0.598","123.973","4","","Brooklyn Fire","C 2021 Brooklyn Fire, P 2021 Brooklyn Fire"
"spotify:track:2rNy5Ils7RO6m2E2W83CR5","Nightjar (feat. SHELLS)","spotify:artist:28uJnu5EsrGml2tBd7y8ts, spotify:artist:39B7ChWwrWDs7zXlsu3MoP, spotify:artist:1ZwuShKjJItDJez0aDCsxN","Vintage Culture, Sonny Fodera, SHELLS","spotify:album:217RKKVaQMcI0f8iOgnjFC","Nightjar (feat. SHELLS)","spotify:artist:28uJnu5EsrGml2tBd7y8ts, spotify:artist:39B7ChWwrWDs7zXlsu3MoP, spotify:artist:1ZwuShKjJItDJez0aDCsxN","Vintage Culture, Sonny Fodera, SHELLS","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d1cb54081e958a172f3d87bb","1","1","149455","https://p.scdn.co/mp3-preview/472cbcd4887620eacc9b8fddc99bf8e2d8d59eea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCPZ2120440","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:53:05Z","brazilian edm,deep groove house,edm,house,pop dance,tropical house,uk dance,uk pop","0.78","0.863","9","-5.425","0","0.0384","0.0686","0.284","0.316","0.735","124.004","4","","Defected Records","C © 2022 Defected Records Limited, P ℗ 2022 Defected Records Limited"
"spotify:track:7FuOr01j61l7nBgENXfOIX","The Chant","spotify:artist:6MFopqejpmTUUZlcRmGzgg","Todd Edwards","spotify:album:1GpeWllT96Qv0UHDSz8tRb","The Chant","spotify:artist:6MFopqejpmTUUZlcRmGzgg","Todd Edwards","2021-03-19","https://i.scdn.co/image/ab67616d0000b273998b20916fdf50480d1480d5","1","1","186774","https://p.scdn.co/mp3-preview/f0d16c4ef4fa48a10a71c72fbbc7cdb63aba1ea9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ZZOPM2104887","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-03T14:27:12Z","garage house,uk garage","0.808","0.695","5","-9.711","0","0.0391","0.00881","0.0664","0.0396","0.895","125.008","4","","Undisputed Music","C © 2021 Undisputed Music, P ℗ 2021 Undisputed Music"
"spotify:track:2FEUloDXMvRnyfLcsrCfkw","La Danza","spotify:artist:7kNqXtgeIwFtelmRjWv205","John Summit","spotify:album:6veWaUKjv5fGyTMQoYKkgR","La Danza","spotify:artist:7kNqXtgeIwFtelmRjWv205","John Summit","2022-03-11","https://i.scdn.co/image/ab67616d0000b273ad133bc180b82ef68aeaed2b","1","1","157619","https://p.scdn.co/mp3-preview/bb786457b56066d68e7f85687023126bd2debf79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBCPZ2220636","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-04T06:29:02Z","edm,electro house,house,pop dance","0.797","0.88","6","-5.722","0","0.0442","0.00298","0.574","0.183","0.357","125.996","4","","Defected Records","C © 2022 Defected Records Limited, P ℗ 2022 Defected Records Limited"
"spotify:track:4Hp78I5rUnRkEvhp9ZXk5Z","Night Goggles - Rome in Silver Remix","spotify:artist:1He0ZKninbT4FMEV9hUZKn, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Mindchatter, Rome in Silver","spotify:album:7js3eob7PU1CkZhcB5Ueve","Night Goggles (Rome in Silver Remix)","spotify:artist:1He0ZKninbT4FMEV9hUZKn, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Mindchatter, Rome in Silver","2021-03-10","https://i.scdn.co/image/ab67616d0000b2738e90d78532505bb9a363093f","1","1","201680","https://p.scdn.co/mp3-preview/3741bb23af514c6613de85155c654fc0caeed9fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZFZ62158999","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-04T07:16:57Z","indie soul,proto-hyperpop,vapor soul,vapor twitch,future bass,vapor twitch","0.814","0.606","10","-5.497","1","0.13","0.257","0.0000685","0.0499","0.475","119.004","4","","Mind of a Genius","C 2021 Mind of a Genius, P 2021 Mind of a Genius"
"spotify:track:3bc6MVpDA0hm4DbuqD2r9C","Promised Land","spotify:artist:4BIamAD25vwYldaOWTEsXd","Joe Smooth","spotify:album:5s0R9Z5puLbKlzZp2kJAI9","House Top 1000 - The Anthems","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-02-21","https://i.scdn.co/image/ab67616d0000b27371167dd1af3ef0c61b93a9e2","1","4","201734","https://p.scdn.co/mp3-preview/787900e2adb46505ebaf886b2ab44e41441fbb11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","NLF711903489","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-04T19:58:56Z","chicago house,classic house,hip house,vocal house","0.72","0.923","11","-4.494","0","0.0369","0.00297","0.0307","0.0997","0.592","128.744","4","","Armada Music Albums","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
