"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6QgjcU0zLnzq5OrUoSZ3OK","Feel It Still","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","spotify:album:4VzzEviJGYUtAeSsJlI9QB","Woodstock","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","2017-06-16","https://i.scdn.co/image/ab67616d0000b273af52c228c9619ff6298b08cd","1","4","163253","https://p.scdn.co/mp3-preview/e040b2a3da19f132a1a1bd2b7e5d71786fda2be0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21700437","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:03:11Z","modern rock,rock","0.801","0.795","1","-5.115","0","0.0504","0.0417","0.000113","0.0717","0.754","79.028","4","","Atlantic Records","C © 2017 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2017 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company"
"spotify:track:6kK2YbF8boQl32Lqkai3Ca","All Night","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:4TEZiXCLTfPn5KJFrQgl7k","The Art Of Sampling (Deluxe Version)","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2013-01-01","https://i.scdn.co/image/ab67616d0000b273dfedb034fe901bda069a0ffa","1","5","166400","https://p.scdn.co/mp3-preview/05c2d2ebdcf7d150a8e672f82e41e1b6fa3c681e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ATE612000002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:03:31Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.797","0.618","7","-7.672","0","0.0429","0.107","0.845","0.243","0.826","125.02","4","","Island Records","C © 2013 Etage Noir Recordings, under exclusive license to Polydor/Island, a division of Universal Music GmbH, P ℗ 2013 Etage Noir Recordings, under exclusive license to Polydor/Island, a division of Universal Music GmbH"
"spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","ZEZE (feat. Travis Scott & Offset)","spotify:artist:46SHBwWsqBkxI7EeeBEQG7, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Kodak Black, Offset, Travis Scott","spotify:album:5n1GSzC1Reao29ScnpLYqp","Dying to Live","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2018-12-14","https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b","1","5","228759","https://p.scdn.co/mp3-preview/453b83cc7be76ec2ee4b59cb801aef95960cd8ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT21811523","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:03:57Z","florida rap,hip hop,melodic rap,miami hip hop,rap,trap,trap latino,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,viral rap,rap,slap house","0.861","0.603","8","-5.788","0","0.176","0.0521","0","0.0924","0.504","98.043","4","","Atlantic Records","C © 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside the United States., P ℗ 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside the United States."
"spotify:track:5PtEpuVX03k9bOUwilL5EO","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","2","238133","https://p.scdn.co/mp3-preview/b16c1dd9a64c253f66a7e09ead081bed0673a3fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","NZNK11000002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:05Z","alternative dance,auckland indie,electropop,indietronica,kiwi rock,metropopolis,modern rock","0.473","0.883","6","-3.65","1","0.047","0.00201","0.000967","0.142","0.164","115.048","4","","Polydor Records","C © 2011 Somewhat Damaged, Under Exclusive License To Polydor UK Ltd., P ℗ 2011 Somewhat Damaged, Under Exclusive License To Polydor UK Ltd."
"spotify:track:76hfruVvmfQbw0eYn1nmeC","Cake By The Ocean","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","spotify:album:3Wv4X8OA65pGpFzBkuUgAh","DNCE","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","2016-11-18","https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9","1","3","219146","https://p.scdn.co/mp3-preview/f67040fecb7f04f7e339058a503e60ca37a740c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71514637","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:14Z","dance pop,edm,pop,post-teen pop","0.774","0.753","4","-5.446","0","0.0517","0.152","0","0.0371","0.896","119.002","4","","Joseph Jonas/Republic Records","C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:519uJbE3zyKLlToVA65PrP","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:24REY1t8dFi2VXi6oUVO8j","Native (Deluxe)","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2013-01-01","https://i.scdn.co/image/ab67616d0000b273f5eaf1b4d675b763303a127b","1","1","257266","","false","0","USUM71301306","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:26Z","piano rock,pop","0.665","0.7","1","-4.946","0","0.042","0.066","0","0.119","0.473","121.961","4","","Interscope","C (C) 2013 Mosley Music/Interscope Records, P (P) 2013 Mosley Music/Interscope Records"
"spotify:track:5r43qanLhUCdBj8HN3fa6B","Sunshine","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2YSlIS6gM38w7ZJNj8F3s6","Sunshine","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2021-11-10","https://i.scdn.co/image/ab67616d0000b2733b248f42fb53c64faf1d748e","1","1","163854","https://p.scdn.co/mp3-preview/518cd91a39bf1c7b547bd9bcca004455ec2d936e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM72100506","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:34Z","piano rock,pop","0.697","0.875","5","-4.621","1","0.034","0.137","0","0.28","0.774","140.069","4","","Mosley Music/Interscope Records","C © 2021 Mosley Music/Interscope Records, P ℗ 2021 Mosley Music/Interscope Records"
"spotify:track:0sBJA2OCEECMs0HsdIQhvR","West Coast","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:1EM2RddQo9GGjrCsE1bk7a","West Coast","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-02-25","https://i.scdn.co/image/ab67616d0000b273929014e8baba6299a54c5b7c","1","1","192947","https://p.scdn.co/mp3-preview/b12fa487d303f944c13c4d7ddc3f7f7b9845a0ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM72202540","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:37Z","piano rock,pop","0.685","0.699","6","-7.803","0","0.0349","0.317","0","0.0895","0.884","134.057","4","","Mosley Music/Interscope Records","C © 2022 Mosley Music/Interscope Records, P ℗ 2022 Mosley Music/Interscope Records"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/657ab16e3f9b2d47ffbb2bc969db17ffcfc9198c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USUM72206227","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:40Z","piano rock,pop","0.704","0.797","0","-5.927","1","0.0475","0.0826","0.000745","0.0546","0.825","139.994","4","","Interscope Records","C © 2022 Paramount Pictures, P ℗ 2022 Mosley Music/Interscope Records"
"spotify:track:63CSozvYUEudPp12679UVF","Don't Worry (with Ray Dalton) - Radio Edit","spotify:artist:6c4sUNBgdonFJz8Kx2VsGz, spotify:artist:4e0nWw2r4BoQSKPQ2zpU13","Madcon, Ray Dalton","spotify:album:7rtYhYGbnV4OPbqIhendi8","Don't Worry (feat. Ray Dalton)","spotify:artist:6c4sUNBgdonFJz8Kx2VsGz","Madcon","2015-04-10","https://i.scdn.co/image/ab67616d0000b273ff1831eb17c7a83741be4d1b","1","1","214789","https://p.scdn.co/mp3-preview/7cc3ddeb14e9ac26af26a751350bb2f58d6487b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","NO5281501010","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T17:04:57Z","dance pop,norwegian hip hop,pop rap","0.811","0.699","7","-5.211","1","0.114","0.0726","0.00000138","0.148","0.733","122.987","4","","WM Germany","C © 2015 Warner Music Group Germany Holding GmbH / A Warner Music Group Company, P ℗ 2015 Warner Music Group Germany Holding GmbH / A Warner Music Group Company"
