"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0s1PsjRpN9v3gveUOM6Iux","Neon Roses","spotify:artist:6hQS54VPpxunuwR0W7usuo","The Technicolors","spotify:album:0oWKnbYnV4rzCcZoo6DWP2","Metaphysical","spotify:artist:6hQS54VPpxunuwR0W7usuo","The Technicolors","2017-07-27","https://i.scdn.co/image/ab67616d0000b273384ba1e1ee57378cf6272ae4","1","1","236586","https://p.scdn.co/mp3-preview/312d479187732ccf80656dd6fe9b2c13843c6247?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TCADB1731048","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:11:27Z","modern alternative rock,modern rock,phoenix indie","0.192","0.879","7","-3.19","1","0.0631","0.0000497","0.000161","0.451","0.387","185.821","4","","The Technicolors","C 2017 The Technicolors, P 2017 The Technicolors"
"spotify:track:2AT8iROs4FQueDv2c8q2KE","R U Mine?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","2","201726","https://p.scdn.co/mp3-preview/c17fdaa857fb355d58e5da0f5c4c191cb4cdd33f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBCEL1300363","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:12:46Z","garage rock,modern rock,permanent wave,rock,sheffield indie","0.288","0.758","6","-5.692","0","0.0371","0.00616","0","0.303","0.619","97.094","4","","Domino Recording Co","C 2013 Domino Recording Co Ltd, P 2013 Domino Recording Co Ltd"
"spotify:track:4bK2vKMdkS0rNhbzRqAZe0","Even Better Than The Real Thing","spotify:artist:51Blml2LZPmy7TTiAg47vQ","U2","spotify:album:0ta5VdkJcpdVnNrn7g4cZe","Achtung Baby (Deluxe Edition)","spotify:artist:51Blml2LZPmy7TTiAg47vQ","U2","1991-11-18","https://i.scdn.co/image/ab67616d0000b27337cd18af5725b9cad0a5ab53","1","2","221373","https://p.scdn.co/mp3-preview/fb5ef4635bdbe401e5dea193b536a27ccdbb3c8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBUM71106454","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:13:03Z","irish rock,permanent wave,rock","0.505","0.759","7","-6.871","1","0.0303","0.00112","0.000365","0.168","0.65","128.63","4","","Universal-Island Records Ltd.","C © 2011 Universal-Island Records Limited under exclusive licence to Mercury Records Limited in the UK, Interscope Records in the US and Universal Music Group for the rest of the world, P ℗ 2011 Universal-Island Records Limited under exclusive licence to Mercury Records Limited in the UK, Interscope Records in the US and Universal Music Group for the rest of the world"
"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4xkM0BwLM9H2IUcbYzpcBI","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921","1","4","240400","https://p.scdn.co/mp3-preview/387541e6cab7e39e27acdb2c80ae6274b1182836?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","USSM11300080","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:13:19Z","modern alternative rock,modern rock,pop,shimmer pop","0.612","0.807","10","-2.81","1","0.0336","0.0495","0.0177","0.101","0.398","124.053","4","","Columbia","P (P) 2013 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3EaJDYHA0KnX88JvDhL9oa","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:7vrsFZNVhrriKh0SZKJW41","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2017-02-20","https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979","1","1","173104","https://p.scdn.co/mp3-preview/f1cb993064ab6a0419a24dfa19e564d79359f216?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBKPL1778015","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:13:24Z","afrofuturism","0.603","0.784","6","-4.023","1","0.062","0.446","0.00000832","0.119","0.769","172.041","4","","Three Quarter","C (C) 2017 3qtr, P (P) 2017 3qtr"
"spotify:track:3dYD57lRAUcMHufyqn9GcI","Take Me To Church","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:0Uv83rRhY5QvHKkQoULRKk","Hozier","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-07-20","https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b","1","1","241688","https://p.scdn.co/mp3-preview/88f4fc892ac1521eff9fc297a4d3e47c02b1d28e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","IEACJ1300031","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:13:39Z","irish singer-songwriter,pop","0.566","0.664","4","-5.303","0","0.0464","0.634","0","0.116","0.437","128.945","4","","Universal-Island Records Ltd.","C © 2014 Rubyworks Limited, under assignment to Island Records, a division of Universal Music Operations Limited, P ℗ 2014 Rubyworks Limited, under assignment to Island Records, a division of Universal Music Operations Limited"
"spotify:track:6EtKlIQmGPB9SX8UjDJG5s","Formula","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","spotify:album:788r22Bhr3IHLTNPy8pZea","Euphoria (Original Score from the HBO Series)","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","2019-10-04","https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867","1","2","91869","https://p.scdn.co/mp3-preview/72fb2540a28470ba0153ef1df86988200ec90190?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USQX91902497","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:15:01Z","indie poptimism,pop","0.574","0.664","11","-6.068","1","0.0409","0.0448","0.0553","0.146","0.226","144.654","4","","Masterworks","P (P) 2019 HBO under exclusive license to Sony Music Entertainment"
"spotify:track:37y7iDayfwm3WXn5BiAoRk","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:5fvUFzgVEni3L7769OabqQ","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2017-02-20","https://i.scdn.co/image/ab67616d0000b273263886a4992c39704c601409","1","1","173104","","false","68","GBKPL1778015","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:18:29Z","afrofuturism","0.603","0.783","6","-4.023","1","0.062","0.449","0.00000796","0.119","0.775","172.041","4","","Three Quarter","C 2017 3qtr, P 2017 3qtr"
"spotify:track:3JvKfv6T31zO0ini8iNItO","Another Love","spotify:artist:2txHhyCwHjUEpJjWrEyqyX","Tom Odell","spotify:album:0Gf1yE895FKK4YWVRuAeg8","Long Way Down (Deluxe)","spotify:artist:2txHhyCwHjUEpJjWrEyqyX","Tom Odell","2013-06-24","https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f","1","3","244360","https://p.scdn.co/mp3-preview/3d0645699f24cf41b4d517478df5a04bcb04b25b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","93","GBARL1300107","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:18:54Z","chill pop,pop","0.445","0.537","4","-8.532","0","0.04","0.695","0.0000165","0.0944","0.131","122.769","4","","ITNO/Columbia","P (P) 2013 Sony Music Entertainment UK Limited"
"spotify:track:2aI21FnmY7TJVKeMaoQZ0t","Say It Right","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","spotify:album:2yboV2QBcVGEhcRlYuPpDT","Loose","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","2006-01-01","https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2","1","10","223080","https://p.scdn.co/mp3-preview/d053b392d53d21c98d81b8d40f0a3664f82be362?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM70603368","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-24T22:19:03Z","canadian latin,canadian pop,dance pop,pop,pop rap","0.872","0.872","1","-6.328","1","0.139","0.0476","0.00112","0.0543","0.809","116.948","4","","Mosley / Geffen","C © 2006 Geffen Records, P ℗ 2006 Geffen Records"
