"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7a7W0Ki2ulwA0CNbTxJWZG","Out of Space - Edit","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:628a6PVJ0nJzyz11wUMlT5","Out of Space","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1992-11-09","https://i.scdn.co/image/ab67616d0000b273becc8d0fbde5f3db058f7864","1","1","224133","https://p.scdn.co/mp3-preview/c51cecf7462964f6b7c91fa080c702f6e3ea7671?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBBKS9200042","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-09T09:28:02Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.661","0.762","9","-13.484","1","0.0508","0.012","0.128","0.129","0.443","147.068","4","","XL Recordings","C 1992 XL Recordings Ltd, P 1992 XL Recordings Ltd"
"spotify:track:1vNNfTgHsrpOXeiaXQBlH7","Safe From Harm - 2012 Mix/Master","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:5mAPk4qeNqVLtNydaWbWlf","Blue Lines (2012 Mix/Master)","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1991-06-10","https://i.scdn.co/image/ab67616d0000b273af5beb00d940f5ede452d6b5","1","1","319000","https://p.scdn.co/mp3-preview/b874cc2902bb1ab6c72deba6e8ec86e19fcaeb7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAAA1200644","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-09T09:28:32Z","big beat,downtempo,electronica,trip hop","0.677","0.83","6","-6.604","0","0.0469","0.0438","0.312","0.0766","0.842","82.274","4","","Virgin Catalogue","C © 2012 Virgin Records Ltd, P ℗ 2012 Virgin Records Ltd"
"spotify:track:7H0MOWplwc6gf2AD1vTSYi","Voodoo People","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:4qhJwKBr2ksxAUFjfJd3rb","Music for the Jilted Generation","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1994-04-04","https://i.scdn.co/image/ab67616d0000b273c0f16d3c653999907e74e5ba","1","5","387066","https://p.scdn.co/mp3-preview/7b1d51294eb668fea116bac7ede4713e26afd209?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBBKS9400113","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-09T09:28:36Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.664","0.998","6","-5.86","0","0.0642","0.00128","0.466","0.287","0.37","149.002","4","","XL Recordings","C 1994 XL Recordings Ltd, P 1994 XL Recordings Ltd"
"spotify:track:7yQGrQD24cq4KL7t1LXujx","Music Reach (1,2,3,4)","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:7uSC6NXKlE3zGo0mu8Ik5r","Experience","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1992-09-21","https://i.scdn.co/image/ab67616d0000b273a205dcce0738cb0b21df9c1d","1","2","252093","https://p.scdn.co/mp3-preview/a7ab971610386c9e2ca10d20e0156c9f000b28a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBBKS9200023","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-09T09:28:41Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.553","0.856","6","-10.379","0","0.0533","0.00705","0.692","0.099","0.733","144.025","4","","XL Recordings","C 1992 XL Recordings Ltd, P 1992 XL Recordings Ltd"
"spotify:track:79CUrU5o2KAVDTNm4x3eGU","Firestarter","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:4fdgcEVMdJe0KVgupMNJAP","The Fat of the Land","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1997-06-30","https://i.scdn.co/image/ab67616d0000b273fa0b74121608a007af87a3fe","1","8","279800","https://p.scdn.co/mp3-preview/2e7578592f5a308c2f226d52f22a752433af1221?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBBKS9700080","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-09T09:29:20Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.545","0.948","11","-5.098","1","0.0779","0.00335","0.364","0.226","0.355","141.507","4","","XL Recordings","C 1997 XL Recordings Ltd, P 1997 XL Recordings Ltd"
"spotify:track:48vDCZIRmrFO33fH4QU4ij","Smack My Bitch Up","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:4fdgcEVMdJe0KVgupMNJAP","The Fat of the Land","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1997-06-30","https://i.scdn.co/image/ab67616d0000b273fa0b74121608a007af87a3fe","1","1","343386","https://p.scdn.co/mp3-preview/701f18c379819e42a7c34b339e791f5d7f2e6d4d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","GBBKS9700073","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-09T09:29:24Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.604","0.995","10","-3.641","0","0.164","0.00306","0.626","0.109","0.262","136.216","4","","XL Recordings","C 1997 XL Recordings Ltd, P 1997 XL Recordings Ltd"
"spotify:track:2SgWbfclzWv42aJDXnVGAX","Ain't Talkin' 'Bout Dub","spotify:artist:37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","spotify:album:2OKL7pmGRsJlt096S01Fnj","Electro Glide In Blue","spotify:artist:37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","1997","https://i.scdn.co/image/ab67616d0000b273bd66eadee4add4d80704c206","1","2","271106","https://p.scdn.co/mp3-preview/b9dc4e0d71ebd35ba0ea67c03cfec8ccce2ff220?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBBBM9601068","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-11T13:51:44Z","big beat,breakbeat,electronica,rave","0.537","0.941","7","-5.814","1","0.0666","0.00533","0.0245","0.0928","0.736","164.033","4","","Epic","P 1996 Sony Music Entertainment (UK) Ltd."
"spotify:track:6QNVYknUkjgXMHN44LllzC","No Good (Start The Dance) - Edit","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:3SLSkHLC2fLZznR5dqmiPs","No Good (Start the Dance)","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1994-05-16","https://i.scdn.co/image/ab67616d0000b27336faf16131f79e0e6f5288c6","1","1","241293","https://p.scdn.co/mp3-preview/ebbfec7de266e5caab8c4c7077cbf2b50d0ed355?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBBKS9400129","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-12T12:59:59Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.633","0.942","5","-12.969","0","0.0454","0.00441","0.778","0.124","0.207","144.996","4","","XL Recordings","C 1994 XL Recordings Ltd, P 1994 XL Recordings Ltd"
"spotify:track:0qnqsfFYgBo0sPHM2JmfTq","Right Here, Right Now","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:7Avi8h7vv4Ustd6DsN2jYx","You've Come a Long Way Baby (10th Anniversary Edition)","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1998-10-19","https://i.scdn.co/image/ab67616d0000b273b7d8ddd7450a7db80d201d6e","1","1","387706","https://p.scdn.co/mp3-preview/3d175d6cddaa4a2e9152a7e441b422900f150421?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBBMQ9800077","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-12T18:43:55Z","big beat","0.56","0.859","4","-8.037","0","0.141","0.0136","0.521","0.672","0.114","124.663","4","","Skint Records","C © 2008 Skint Records Limited, a BMG Company, P ℗ 2008 Skint Records Limited, a BMG Company"
"spotify:track:5OUxpgFmz54y95OZVeyP8z","The Rockafeller Skank - Short Edit","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:7vVjgY4U7n4ZwGEKUBOIU7","Rockafeller Skank","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1998-06-01","https://i.scdn.co/image/ab67616d0000b2736a3121449cddac7b484f51ef","1","4","241466","https://p.scdn.co/mp3-preview/a1fd39ccbb8d190e5025d029d2c5b88fa3a5b7d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBBMQ9800051","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-12T18:49:50Z","big beat","0.586","0.983","7","-6.264","1","0.255","0.00503","0.00643","0.293","0.145","152.573","4","","Skint Records","C © 1998 Skint Records Limited, a BMG Company, P ℗ 1998 Skint Records Limited, a BMG Company"
"spotify:track:15mSSDkDMCsZTnBlqm0S41","Stand Up","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:03dxI2SHrYyEvxKITMXLDu","Invaders Must Die (Special Version)","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-01-01","https://i.scdn.co/image/ab67616d0000b2732b0f658f555c515c599c42f6","1","11","330106","https://p.scdn.co/mp3-preview/5f52965ab818d8d09eaef7e99be03f773c7abf1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBCEJ0800396","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-12T18:57:59Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.427","0.961","3","-7.199","0","0.061","0.00359","0.859","0.146","0.319","199.955","4","","Vertigo Berlin","C © 2009 Cooking Vinyl Ventures Prodigy Limited, under exclusive license from Take Me To The Hospital, P ℗ 2009 Cooking Vinyl Ventures Prodigy Limited, under exclusive license to Universal Music Domestic Rock/Urban, a division of Universal Music GmbH"
