"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","2","257800","https://p.scdn.co/mp3-preview/ba7d85c9c34599231d528a761b56e522383afa78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USWB11301111","spotify:user:","2022-12-05T02:03:06Z","album rock,classic rock,rock,soft rock,yacht rock","0.828","0.492","0","-9.744","1","0.0276","0.0644","0.00428","0.128","0.789","120.151","4","","Rhino/Warner Records","C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:2oQrbdXoqN1nXxWNpMkLA9","I'm Gonna Take Care of Everything","spotify:artist:4k3iS4bsVsTi9dIq2ybtWK","Rubicon","spotify:album:2Be7RJy9EY4tQhkpfwanLF","Rubicon","spotify:artist:4k3iS4bsVsTi9dIq2ybtWK","Rubicon","1978","https://i.scdn.co/image/ab67616d0000b273dfe04da54a5aef2de98090b3","1","5","209784","https://p.scdn.co/mp3-preview/1148b39adda0a1f353e2ab43c571f08a9af17b17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","FR6V81108949","spotify:user:","2022-12-05T02:03:06Z","corrosion","0.601","0.716","8","-7.93","1","0.0232","0.362","0.000245","0.422","0.885","94.1","4","","Rdeg","C 2009, P 1978"
"spotify:track:3c4OULLWwgRqBfA2dJtRuY","Love Is In The Air","spotify:artist:2wMcQIxzH2LYHJZNxo9FcN","John Paul Young","spotify:album:28L7sCuuF8Zt6dW1FuZqRh","I Hate the Music","spotify:artist:2wMcQIxzH2LYHJZNxo9FcN","John Paul Young","2009-09-18","https://i.scdn.co/image/ab67616d0000b273c6cd995a8ad657da9a0c10f4","1","12","210293","https://p.scdn.co/mp3-preview/0bc9d74e68780eedf8b7bdf9a8f5c35ecbf28dfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","AUAP07800004","spotify:user:","2022-12-05T02:03:06Z","australian dance,australian rock,classic uk pop,disco","0.557","0.791","0","-7.201","1","0.0389","0.0254","0.000269","0.0603","0.89","122.337","4","","Albert Productions","C © 2009 BMG AM Pty Ltd., P ℗ 2009 BMG AM Pty Ltd."
"spotify:track:064SVQsmWl5EF0zahmzkQk","Let Your Love Flow","spotify:artist:5iB5AWIa7qreioi0AF3Bxa","The Bellamy Brothers","spotify:album:77EM0wkGevYQcBo1AJt7B0","Bellamy Brothers","spotify:artist:5iB5AWIa7qreioi0AF3Bxa","The Bellamy Brothers","1976-07-01","https://i.scdn.co/image/ab67616d0000b2734a1088e7cfa7600b59363a5e","1","6","198760","https://p.scdn.co/mp3-preview/31de7f617f922d662400c326273ac3272e685792?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USCRB0101211","spotify:user:","2022-12-05T02:03:06Z","country,country rock","0.679","0.553","3","-14.687","1","0.0316","0.0611","0.00000716","0.139","0.946","109.071","4","","Curb Records","C 1976 Curb Records, Inc., P 1976 Curb Records, Inc."
"spotify:track:4rhL7FHD96bQ0N5DR0Dv8u","Love and Other Bruises","spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW","Air Supply","spotify:album:534ioF4snbcekTCRc1AhAB","Love And Other Bruises","spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW","Air Supply","1977-07-01","https://i.scdn.co/image/ab67616d0000b273aa712ee40771b6b4e420b6d9","1","1","222813","https://p.scdn.co/mp3-preview/519d2bbadbdacda4ccdb36d190ec5d15f9455821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","AUSM00000414","spotify:user:","2022-12-05T02:03:06Z","mellow gold,soft rock","0.517","0.326","9","-14.331","1","0.0287","0.057","0","0.114","0.323","117.935","4","","Columbia","P (P) 1977 Sony Music Entertainment Inc."
"spotify:track:2DnJjbjNTV9Nd5NOa1KGba","You're so Vain","spotify:artist:4FtSnMlCVxCswABUmdhwpm","Carly Simon","spotify:album:79x0PRGIZv33znrCkPkCZ5","No Secrets","spotify:artist:4FtSnMlCVxCswABUmdhwpm","Carly Simon","1972","https://i.scdn.co/image/ab67616d0000b273143aaf19ecc28c7b41d42d9d","1","3","258411","https://p.scdn.co/mp3-preview/4a8338d474d6896a1322753f37f7c676236381c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USEE19900883","spotify:user:","2022-12-05T02:03:06Z","adult standards,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,singer-songwriter,soft rock","0.659","0.678","0","-8.18","1","0.0313","0.157","0.00000669","0.0784","0.647","106.186","4","","Rhino/Elektra","C © 1972 Elektra Entertainment, P ℗ 1972 Elektra Entertainment, manufactured and marketed by Rhino Entertainment Company"
"spotify:track:6KEWtSOGKpIXGw6l1uJgsR","The Things We Do For Love","spotify:artist:6i6WlGzQtXtz7GcC5H5st5","10cc","spotify:album:6D3RQD5AQZ4P2aDzsZmBI4","Deceptive Bends","spotify:artist:6i6WlGzQtXtz7GcC5H5st5","10cc","1977","https://i.scdn.co/image/ab67616d0000b273f93159d78849714fcf118bb3","1","2","207573","https://p.scdn.co/mp3-preview/8417358636a36683c8c4f1528d126db3df65507a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBF087600005","spotify:user:","2022-12-05T02:03:06Z","album rock,art rock,blues rock,classic rock,classic uk pop,folk rock,glam rock,mellow gold,rock,singer-songwriter,soft rock,symphonic rock,yacht rock","0.637","0.528","1","-9.837","1","0.0394","0.163","0","0.122","0.781","106.949","4","","EMI","C © 1997 Mercury Records Limited, P ℗ 1997 Mercury Records Limited"
"spotify:track:6Dk5fHTvH897XrVzCO64Mx","What You Won't Do for Love","spotify:artist:4V4Z3qMCwYofWHtip6ePF6","Bobby Caldwell","spotify:album:4pBJRxtR5TQe8hfsUgZ1r2","What You Won't Do for Love","spotify:artist:4V4Z3qMCwYofWHtip6ePF6","Bobby Caldwell","1978","https://i.scdn.co/image/ab67616d0000b2730f98789111606f77a27d6f67","1","6","286493","https://p.scdn.co/mp3-preview/36544b7977d65c452342c628464232b6176205c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USA370532331","spotify:user:","2022-12-05T02:03:06Z","yacht rock","0.642","0.396","6","-16.843","1","0.0642","0.462","0.000823","0.106","0.797","84.082","4","","Big Deal Records","C (C) 1991 Big Deal Records, P (P) 1991 Big Deal Records"
"spotify:track:3mWpUEBYnv9SIFWfixSJFx","Can't Get Enough Of Your Love, Babe","spotify:artist:3rfgbfpPSfXY40lzRK7Syt","Barry White","spotify:album:42Si9RbdXYGWQsfNTzjlnG","Can't Get Enough","spotify:artist:3rfgbfpPSfXY40lzRK7Syt","Barry White","1974-02-15","https://i.scdn.co/image/ab67616d0000b273aa3252b7843a8a3426cc34bf","1","4","274000","https://p.scdn.co/mp3-preview/3d33192806eb58e3ae2959c29819c64f44775080?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USPR37407059","spotify:user:","2022-12-05T02:03:06Z","disco,quiet storm,soul","0.729","0.78","5","-7.604","1","0.0631","0.114","0.106","0.0759","0.795","111.833","4","","Mercury Records","C © 1974 UMG Recordings Inc., P A Mercury Records release; ℗ 1974 UMG Recordings Inc."
"spotify:track:3YJNhMgb2ynNKDjpy92QHt","I Need You","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","spotify:album:7mAXA0M3gXHa6BNZfSvOiU","I Need You","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","2012-01-10","https://i.scdn.co/image/ab67616d0000b27363fbc7f624402d35d26ed949","1","1","135506","https://p.scdn.co/mp3-preview/6842d0e7f11629238eaa2c900e81a041294d1783?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USYRC1100041","spotify:user:","2022-12-05T02:03:06Z","album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock","0.519","0.362","9","-7.739","0","0.0274","0.712","0","0.166","0.354","75.689","3","","Saguaro Road Records","C © 2011 Direct Holdings Americas, Inc., P ℗ 2011 Direct Holdings Americas, Inc."
"spotify:track:0YpFaw7HzhvtZLEeco2NFO","Looking For The Right One","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:1XrVWVKKfRlD0waskKj5uy","Breakaway","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","1975-10","https://i.scdn.co/image/ab67616d0000b273bbab42c0306b29ba9a1336f2","1","8","202346","https://p.scdn.co/mp3-preview/dbcd82bdc673fa41fe0fb58f77f0e7d11ecc37dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USSM19802021","spotify:user:","2022-12-05T02:03:06Z","adult standards,country rock,folk,folk rock,mellow gold,soft rock","0.358","0.22","0","-16.385","1","0.0334","0.582","0.00000407","0.177","0.241","132.561","4","","Columbia","P (P) 1975 Sony Music Entertainment Inc."
"spotify:track:6H7nDglS6xWpRidbhMwI2L","Here You Come Again","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","spotify:album:64yIGFoYJVg66fRXIxIYJr","Here You Come Again","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","1977-10-03","https://i.scdn.co/image/ab67616d0000b273c12470f3f9af38f20ba4f2f1","1","1","179491","https://p.scdn.co/mp3-preview/145c32603979b20891288d32359e0cc7c37af605?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRN19600172","spotify:user:","2022-12-05T02:03:06Z","classic country pop,country,country dawn","0.585","0.511","1","-9.37","1","0.0391","0.647","0.007","0.0392","0.552","105.898","4","","RCA/Legacy","P (P) 1977 Sony Music Entertainment"
"spotify:track:4gEPgpyjzXjr0jEbaBNTgZ","City Of Angels","spotify:artist:6TqQLejnHXMGr7KcegxUND","The Miracles","spotify:album:101T3Y64HDKs7vh8FdGOoO","City Of Angels (Expanded Edition)","spotify:artist:6TqQLejnHXMGr7KcegxUND","The Miracles","1975","https://i.scdn.co/image/ab67616d0000b27314292e49302a2f50b886d440","1","2","291480","https://p.scdn.co/mp3-preview/b9b396c959ae1af39d18b8df420fe9da30f726ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USMO10200096","spotify:user:","2022-12-05T02:03:06Z","classic soul,motown,quiet storm,rhythm and blues,soul,southern soul","0.376","0.528","8","-6.944","1","0.0277","0.778","0.0003","0.156","0.335","148.751","4","","Hip-O Select","C © 2010 UMG Recordings, Inc., P A Motown Records Release; ℗ 2010 UMG Recordings, Inc."
"spotify:track:12FZTFRyd4RBzvKf8RB0zO","I Write the Songs","spotify:artist:3alW3LYQS8K29z8C8NSLIX","Barry Manilow","spotify:album:4vjtUQKNvFUftabjdTONcJ","Tryin' To Get The Feeling","spotify:artist:3alW3LYQS8K29z8C8NSLIX","Barry Manilow","1975","https://i.scdn.co/image/ab67616d0000b2730ff44a187d8d229cb5f20057","1","7","235800","https://p.scdn.co/mp3-preview/b12088bd814d4c7da5707a57cbcb69e4e4608328?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USAR17500139","spotify:user:","2022-12-05T02:03:06Z","adult standards,bubblegum pop,disco,mellow gold,quiet storm,soft rock,yacht rock","0.267","0.417","5","-8.79","1","0.0283","0.824","0.000961","0.087","0.331","142.595","4","","Arista/Legacy","P (P) 1975, 1998, 2006 Arista Records LLC"
"spotify:track:4BM8yJ0PzBi2ZewpMTOxtx","Fernando","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1V6a99EbTTIegOhWoPxYI9","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0","1","11","252960","https://p.scdn.co/mp3-preview/00b6460ef99fa1b641e54d1b687f94d73bfb62e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","SEAYD7602070","spotify:user:","2022-12-05T02:03:06Z","europop,swedish pop","0.354","0.535","9","-8.876","1","0.0303","0.627","0.0000029","0.0808","0.434","110.821","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:7L4G39PVgMfaeHRyi1ML7y","Day Dreaming","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","spotify:album:0k5C3Z7w7uQpyGFQEzl7yB","Young, Gifted and Black","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","1972-01-24","https://i.scdn.co/image/ab67616d0000b273ee5fcff519d1098aa5de990d","1","2","239960","https://p.scdn.co/mp3-preview/1599bdde01d89f9258646cd0f8595df94bc83cc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USAT20801194","spotify:user:","2022-12-05T02:03:06Z","classic soul,jazz blues,memphis soul,soul,southern soul","0.463","0.273","0","-15.364","0","0.074","0.907","0.000367","0.101","0.293","146.426","4","","Rhino Atlantic","C © 1972 Atlantic Recording Corp., manufactured and marketed by Rhino Entertainment Company, a Warner Music Group Company, P ℗ 1972 Atlantic Recording Corp., manufactured and marketed by Rhino Entertainment Company, a Warner Music Group Company"
