"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0MHXrqn909p0LRTPsNsGEi","Move on Up - Single Edit","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:2EwoYRFQRJqw7BTVG6GlTw","Move on Up","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","1970","https://i.scdn.co/image/ab67616d0000b273b97b45e7885537d42ed46cdf","1","1","165789","https://p.scdn.co/mp3-preview/31452628b9bbdf0dfaa6e743d563bcba6b512b34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRH11509321","spotify:user:","2021-02-10T18:00:33Z","chicago soul,classic soul,funk,soul","0.538","0.969","11","-5.626","0","0.0906","0.417","0.00154","0.119","0.928","138.652","4","","Rhino","C © 1970 Curtom Records, P ℗ 1970 Curtom Records. Marketed by Rhino Entertainment, A Warner Music Group Company."
"spotify:track:1LOZMYF5s8qhW7Rv4w2gun","Dreadlock Holiday","spotify:artist:6i6WlGzQtXtz7GcC5H5st5","10cc","spotify:album:3MecVG0PeBObAhjwEAczFG","Bloody Tourists","spotify:artist:6i6WlGzQtXtz7GcC5H5st5","10cc","1978","https://i.scdn.co/image/ab67616d0000b27364c6ef51927c575ed9f464cf","1","1","267946","https://p.scdn.co/mp3-preview/b9fa994a0c21c7709cbb7bd19291baffb3e0279b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBF087800002","spotify:user:","2021-02-10T18:00:33Z","album rock,art rock,blues rock,classic rock,classic uk pop,folk rock,glam rock,mellow gold,rock,singer-songwriter,soft rock,symphonic rock,yacht rock","0.837","0.38","7","-13.341","0","0.064","0.541","0.00789","0.198","0.892","104.995","4","","EMI","C © 1997 Mercury Records Limited, P ℗ 1997 Mercury Records Limited"
"spotify:track:15BQ7vEDv2LJuh8TxWIhtd","The Passenger","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","spotify:album:2jnV6ytZOmt71iEC5xHEYz","Lust For Life","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","1977-08-29","https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225","1","4","283360","https://p.scdn.co/mp3-preview/127bd775b733d6d3cc341ea55c38a2a7913a8c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USVI20700278","spotify:user:","2021-02-10T18:00:33Z","classic rock,glam rock,new wave,permanent wave,protopunk,punk,rock","0.498","0.889","0","-5.413","1","0.0546","0.0947","0.00000162","0.733","0.696","134.88","4","","Virgin Catalog (V81)","C © 2017 Thousand Mile, Inc., under exclusive license to Virgin Records, P ℗ 2017 Thousand Mile, Inc., under exclusive license to Virgin Records"
"spotify:track:7mimnm2QlSzW3J38FRMETP","Thinking of You - 1995 Remaster","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","spotify:album:4GSidaoqyGNwaG5mNKmuLT","We Are Family (1995 Remaster)","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","1979-02-15","https://i.scdn.co/image/ab67616d0000b2739c6d5c505e6197defb750428","1","4","266826","https://p.scdn.co/mp3-preview/2cb86ee5df223b49ad4b26c95b9d83c6c1d0b38e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT20102165","spotify:user:","2021-02-10T18:00:33Z","dance pop,disco,philly soul,post-disco,quiet storm,soul","0.661","0.846","5","-8.869","1","0.0467","0.129","0.00000517","0.0355","0.911","101.068","4","","Rhino Atlantic","C © 1995 Rhino Records Inc., P ℗ 1995 Atlantic Recording Corporation and Brookhill Records Corporation for the United States and WEA Int. for the world outside of the United States."
"spotify:track:1h2xVEoJORqrg71HocgqXd","Superstition - Single Version","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:4E1itnJOhTMRSATNaxh0Sq","The Definitive Collection","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","2002-10-29","https://i.scdn.co/image/ab67616d0000b2739e447b59bd3e2cbefaa31d91","1","9","245493","https://p.scdn.co/mp3-preview/8588d7ab90f3b6d4bca96c1042aed8ee1f0328ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USMO10000310","spotify:user:","2021-02-10T18:00:33Z","adult standards,motown,quiet storm,soul","0.633","0.634","8","-12.115","1","0.0725","0.038","0.0064","0.0385","0.872","100.499","4","","UNI/MOTOWN","C © 2002 UMG Recordings, Inc., P A Motown Records Release; This Compilation ℗ 2002 UMG Recordings, Inc."
"spotify:track:6kooDsorCpWVMGc994XjWN","Black Betty","spotify:artist:6FITmSxIMsk6TfulFiCIIz","Ram Jam","spotify:album:4z2REZpvRsVMpHFrsIz7PD","Ram Jam","spotify:artist:6FITmSxIMsk6TfulFiCIIz","Ram Jam","1977-06-20","https://i.scdn.co/image/ab67616d0000b273fa5dcfc4b1b99a0598224758","1","1","238973","https://p.scdn.co/mp3-preview/9e0c0e5aa75b3feb8531f566d52d1d274bba3e58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM10211288","spotify:user:","2021-02-10T18:00:33Z","album rock,classic rock,hard rock,southern rock","0.465","0.907","11","-6.404","0","0.113","0.0241","0.00118","0.13","0.681","117.293","4","","Epic","P (P) 1977 Epic Records, a division of Sony Music Entertainment"
"spotify:track:5e9TFTbltYBg2xThimr0rU","The Chain - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","7","270213","https://p.scdn.co/mp3-preview/db49dd83e8b87009c08dc21b2be327ebdbb76640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB11301116","spotify:user:","2021-02-10T18:00:33Z","album rock,classic rock,rock,soft rock,yacht rock","0.545","0.67","9","-8.81","1","0.0496","0.009","0.000822","0.0451","0.481","151.553","4","","Rhino/Warner Records","C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:4T5Y25pWs2pVZVcFIqFuf8","You Should Be Dancing","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:5GucSY3249qHDx4v1Hcxry","The Ultimate Bee Gees","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","2009-11-03","https://i.scdn.co/image/ab67616d0000b27322219b7ba681368a16c219fe","1","1","256453","https://p.scdn.co/mp3-preview/6e915fd01f5059f1b2f579d7edec7322769be433?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USRH10722668","spotify:user:","2021-02-10T18:00:33Z","disco,mellow gold,soft rock","0.704","0.852","0","-6.521","1","0.0302","0.0283","0.352","0.625","0.96","122.969","4","","Bee Gees Catalog","C © 2017 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group, P ℗ 2017 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group"
"spotify:track:43DeSV93pJPT4lCZaWZ6b1","The Boys Are Back In Town","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","spotify:album:6Cf545T4jkaiyvMnTRPOB2","Jailbreak (Deluxe Edition)","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","1976","https://i.scdn.co/image/ab67616d0000b273e8f69ab903901064b1f19249","1","6","266720","https://p.scdn.co/mp3-preview/f9c151683fc6005f71b097c4009433dc1a977432?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBF087600063","spotify:user:","2021-02-10T18:00:33Z","album rock,art rock,blues rock,classic rock,hard rock,irish rock,metal,rock","0.445","0.706","8","-9.803","1","0.0461","0.234","0.000252","0.205","0.768","80.823","4","","UMC (Universal Music Catalogue)","C © 2010 Mercury Records Limited, P This Compilation ℗ 2010 Mercury Records Limited"
"spotify:track:5uuJruktM9fMdN9Va0DUMl","Play That Funky Music","spotify:artist:4apX9tIeHb85yPyy4F6FJG","Wild Cherry","spotify:album:27ompw8zlrCkWMacS21ysX","Wild Cherry","spotify:artist:4apX9tIeHb85yPyy4F6FJG","Wild Cherry","1976","https://i.scdn.co/image/ab67616d0000b273d419ed4f1e89669ce14bd369","1","1","300000","https://p.scdn.co/mp3-preview/60ac5b6ac4ee12caaa6a2502f9f813b9618dc015?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM19912699","spotify:user:","2021-02-10T18:00:33Z","disco,funk rock","0.814","0.672","9","-12.068","1","0.0619","0.0435","0","0.061","0.933","109.394","4","","Epic","P (P) 1976 Sony Music Entertainment Inc."
