"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:15BQ7vEDv2LJuh8TxWIhtd","The Passenger","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","spotify:album:2jnV6ytZOmt71iEC5xHEYz","Lust For Life","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","1977-08-29","https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225","1","4","283360","https://p.scdn.co/mp3-preview/127bd775b733d6d3cc341ea55c38a2a7913a8c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USVI20700278","spotify:user:","2022-11-17T15:28:43Z","classic rock,glam rock,new wave,permanent wave,protopunk,punk,rock","0.498","0.889","0","-5.413","1","0.0546","0.0947","0.00000162","0.733","0.696","134.88","4","","Virgin Catalog (V81)","C © 2017 Thousand Mile, Inc., under exclusive license to Virgin Records, P ℗ 2017 Thousand Mile, Inc., under exclusive license to Virgin Records"
"spotify:track:1QEEqeFIZktqIpPI4jSVSF","More Than a Feeling","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","spotify:album:2QLp07RO6anZHmtcKTEvSC","Boston","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","1976","https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a","1","1","285133","https://p.scdn.co/mp3-preview/c2218bba50a716621add2095ecee716282ac3f5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM17600941","spotify:user:","2022-11-17T15:28:43Z","album rock,art rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock","0.377","0.681","7","-8.039","1","0.0298","0.00088","0.0023","0.0504","0.285","108.789","4","","Epic/Legacy","P (P) 1976, 2006 Epic Records, a division of Sony Music Entertainment"
"spotify:track:2g7gviEeJr6pyxO7G35EWQ","Paradise By the Dashboard Light","spotify:artist:7dnB1wSxbYa8CejeVg98hz","Meat Loaf","spotify:album:6mvI80w5r78niBmwtu7RF9","Bat Out Of Hell","spotify:artist:7dnB1wSxbYa8CejeVg98hz","Meat Loaf","1977-10-21","https://i.scdn.co/image/ab67616d0000b2734111af27787499f6d8752e9f","1","6","508333","https://p.scdn.co/mp3-preview/de23db0b1c55873cd20a1f260f9f15b0b6807080?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USSM11206829","spotify:user:","2022-11-17T15:28:43Z","album rock,classic rock,mellow gold,rock,soft rock","0.326","0.872","2","-7.602","1","0.122","0.214","0","0.461","0.492","173.381","4","","Cleveland International/ Epic/Legacy","P (P) 1977, 2012 Sony Music Entertainment"
"spotify:track:2ZOTtG7v1OrSNs6EINIGb4","Black Betty","spotify:artist:6FITmSxIMsk6TfulFiCIIz","Ram Jam","spotify:album:6s1bwzTzWK3u9I4YPjp3lr","The Very Best Of Ram Jam","spotify:artist:6FITmSxIMsk6TfulFiCIIz","Ram Jam","1990-02-27","https://i.scdn.co/image/ab67616d0000b273ed4989dcb7cfb1887be9d250","1","1","237893","https://p.scdn.co/mp3-preview/084ac40d3afc7089bc97bfb86b101dc63f132a47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM10105935","spotify:user:","2022-11-17T15:28:43Z","album rock,classic rock,hard rock,southern rock","0.465","0.865","11","-9.573","0","0.098","0.018","0.00135","0.0769","0.677","117.528","4","","Epic/Legacy","P (P) 1990 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:07GvNcU1WdyZJq3XxP0kZa","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:1bt6q2SruMsBtcerNVtpZB","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b2730001af4f80be77069fc8fd41","1","5","223613","https://p.scdn.co/mp3-preview/eb79c81b8ad502f603124c24606cf81bf91cc98d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10400050","spotify:user:","2022-11-17T15:28:43Z","album rock,classic rock,rock,soft rock,yacht rock","0.583","0.947","5","-5.12","1","0.0378","0.0185","0.00109","0.0679","0.803","135.448","4","","Rhino/Warner Records","C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
"spotify:track:0LoQuiekvzqx7n8flgEKzF","Get It On","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","spotify:album:2wnq5e000z2hT7qS2F8jZ5","Electric Warrior","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","1971-09-24","https://i.scdn.co/image/ab67616d0000b27361a23657edb5d80fa18a630d","1","6","262613","https://p.scdn.co/mp3-preview/056a8cac642fa16f457ec56a4499dd1a68b99f44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBCHM7100038","spotify:user:","2022-11-17T15:28:43Z","album rock,art rock,blues rock,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock","0.728","0.878","11","-6.926","0","0.0564","0.176","0.856","0.61","0.911","126.59","4","","Universal Music Group International","C © 2012 Universal International Music B.V., P This Compilation ℗ 2012 Universal International Music B.V."
"spotify:track:43DeSV93pJPT4lCZaWZ6b1","The Boys Are Back In Town","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","spotify:album:6Cf545T4jkaiyvMnTRPOB2","Jailbreak (Deluxe Edition)","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","1976","https://i.scdn.co/image/ab67616d0000b273e8f69ab903901064b1f19249","1","6","266720","https://p.scdn.co/mp3-preview/f9c151683fc6005f71b097c4009433dc1a977432?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBF087600063","spotify:user:","2022-11-17T15:28:43Z","album rock,art rock,blues rock,classic rock,hard rock,irish rock,metal,rock","0.445","0.706","8","-9.803","1","0.0461","0.234","0.000252","0.205","0.768","80.823","4","","UMC (Universal Music Catalogue)","C © 2010 Mercury Records Limited, P This Compilation ℗ 2010 Mercury Records Limited"
"spotify:track:3EYOJ48Et32uATr9ZmLnAo","Roxanne","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:1H9g6j4Wwj6wh6p8YHVtkf","Outlandos D'Amour (Remastered 2003)","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1978-11-02","https://i.scdn.co/image/ab67616d0000b2732043dd3544a339547d04b436","1","3","191946","https://p.scdn.co/mp3-preview/822362025cc586076c52284dfb8b7dda67bb23ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBAAM0201086","spotify:user:","2022-11-17T15:28:43Z","album rock,classic rock,mellow gold,permanent wave,rock","0.618","0.748","0","-8.905","1","0.358","0.0384","0.0000041","0.0473","0.663","134.114","4","","Polydor Records","C © 2003 A&M Records, P ℗ 2003 A&M Records"
"spotify:track:4aVuWgvD0X63hcOCnZtNFA","Hold the Line","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:1mnu4hYvdwQgZXcNvtJ3D3","Toto","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1978-10-10","https://i.scdn.co/image/ab67616d0000b273f903e62767a0e22e33b7af83","1","9","235546","https://p.scdn.co/mp3-preview/15e438d23d829075b1513348cdccfd96fd9d5a31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM17800444","spotify:user:","2022-11-17T15:28:43Z","album rock,classic rock,mellow gold,rock,soft rock,yacht rock","0.473","0.898","6","-4.797","0","0.0561","0.00783","0.0618","0.173","0.808","96.556","4","","Columbia","P (P) 1978 Sony Music Entertainment Inc."
"spotify:track:21YxK0klhpfLW8budkJaMF","Lust For Life","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","spotify:album:2jnV6ytZOmt71iEC5xHEYz","Lust For Life","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","1977-08-29","https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225","1","1","313925","https://p.scdn.co/mp3-preview/9739744e1ef8bd9f7db65cc9005bc93e263f482d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USTM39200001","spotify:user:","2022-11-17T15:28:43Z","classic rock,glam rock,new wave,permanent wave,protopunk,punk,rock","0.383","0.97","9","-5.638","1","0.0435","0.0276","0","0.0942","0.62","101.603","4","","Virgin Catalog (V81)","C © 2017 Thousand Mile, Inc., under exclusive license to Virgin Records, P ℗ 2017 Thousand Mile, Inc., under exclusive license to Virgin Records"
