"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0dGTvdkLIb30tsULBgh8JT","All the Flavors","spotify:artist:0akfTcCQFVueuHRI77Qg0Q","EVP Tibo","spotify:album:0QN957stF8lHjqemrDM2MN","All the Flavors","spotify:artist:0akfTcCQFVueuHRI77Qg0Q","EVP Tibo","2022-03-25","https://i.scdn.co/image/ab67616d0000b2737bc8f14a619914ecc6ddb558","1","1","183520","https://p.scdn.co/mp3-preview/99b5f50b85c77b595e29660e5a5c6751ba30ee3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","TCAGC2219192","spotify:user:11184678507","2022-03-25T00:01:17Z","","0.791","0.633","0","-11.577","1","0.327","0.00838","0.659","0.51","0.142","125.034","4","","EVP Tibo","C 2022 EVP Tibo, P 2022 EVP Tibo"
"spotify:track:4HUMMFH06dIfzUG2ht1BJN","You Are My High","spotify:artist:4LiDDSfUo671okhAa6OSHY","Demon","spotify:album:3QiAIhmPhyyTWhFoqXexat","Midnight Funk","spotify:artist:4LiDDSfUo671okhAa6OSHY","Demon","1999-01-01","https://i.scdn.co/image/ab67616d0000b2737946530d34550c8a95d24ccb","1","15","229426","https://p.scdn.co/mp3-preview/55c140a74ebf3c29acfbd144ec6763f0f9b8e0f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FR54R0000370","spotify:user:11184678507","2020-11-17T12:40:26Z","filter house","0.644","0.93","2","-5.477","1","0.0471","0.00000758","0.865","0.146","0.239","120.877","4","","Help Yourself","C 2000 Help Yourself, P 2000 Help Yourself"
"spotify:track:53vXgimLWEBdCuxkHH5TlJ","Unexpected","spotify:artist:0akfTcCQFVueuHRI77Qg0Q","EVP Tibo","spotify:album:1av87G0hH5UENrUgN2IYUX","Unexpected","spotify:artist:0akfTcCQFVueuHRI77Qg0Q","EVP Tibo","2021-08-31","https://i.scdn.co/image/ab67616d0000b273b580e9ea395c5e6e19043102","1","1","143284","https://p.scdn.co/mp3-preview/1fcacbc278edef1eadeffbd62e688d5c41d279f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCAFS2160432","spotify:user:11184678507","2021-08-31T07:57:43Z","","0.834","0.623","1","-12.578","1","0.223","0.00337","0.000194","0.109","0.57","127.003","4","","EVP Tibo","C 2021 EVP Tibo, P 2021 EVP Tibo"
"spotify:track:7swhD4BPxg3cB4PDTTUGVv","Smile (feat. Alex Gopher & Asher Roth) - Vocal Mix (Extended Version)","spotify:artist:78YRbJhMi5kXKruiQGCJo7, spotify:artist:0ADS8B9CUYtbFLvjT99Ktw, spotify:artist:1wgY8huggK60P5nvYrwcYT","Étienne de Crécy, Alex Gopher, Asher Roth","spotify:album:5Wpw3zGXviELpf5X84gxn2","Super Discount 3","spotify:artist:78YRbJhMi5kXKruiQGCJo7","Étienne de Crécy","2015-09-04","https://i.scdn.co/image/ab67616d0000b273199403789fa1cdefc16c2a3d","1","5","279533","","false","0","FRU981500360","spotify:user:11184678507","2021-04-02T12:35:00Z","electro house,electronica,filter house,filter house,alternative hip hop,indie pop rap,pop rap","0.809","0.699","1","-9.303","1","0.0526","0.00184","0.0432","0.0894","0.573","120.032","4","","A+LSO","P (P) 2015 Pixadelic"
"spotify:track:0DiWol3AO6WpXZgp0goxAV","One More Time","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","1","320357","https://p.scdn.co/mp3-preview/18781de52205d9ade22904945510161feab085ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBDUW0000053","spotify:user:11184678507","2021-04-12T12:30:59Z","electro,filter house","0.613","0.697","2","-8.618","1","0.133","0.0194","0","0.332","0.476","122.746","4","","Daft Life Ltd./ADA France","C Distributed exclusively by Warner Music France / ADA France, © 2001 Daft Life Ltd., P Distributed exclusively by Warner Music France / ADA France, ℗ 2001 Daft Life Ltd."
"spotify:track:05QGJav2nGJ9qdQ3vG9A9t","Ask Me","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt, spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:3cQA9WH8liZfeja1DxcDYE","Duck Sauce, A-Trak, Armand Van Helden","spotify:album:01n0HtCtQh4ogK1d8hmrws","Ask Me / Mesmerize","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt, spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:3cQA9WH8liZfeja1DxcDYE","Duck Sauce, A-Trak, Armand Van Helden","2021-03-05","https://i.scdn.co/image/ab67616d0000b273f47b5ab6422ce72bccbd5bee","1","1","193795","https://p.scdn.co/mp3-preview/407bfb04ec155fbce681e526c4d882d73c655776?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","QM4TW2177532","spotify:user:11184678507","2021-04-06T17:40:07Z","disco house,electro house,filter house,vocal house,canadian electronic,electro house,electronic trap,turntablism,deep house,disco house,edm,electro house,house,pop dance,speed garage,tech house,vocal house","0.803","0.935","4","-4.915","0","0.032","0.0145","0.191","0.296","0.738","124.008","4","","Duck Sauce","C (C) 2021 Duck Sauce, P (P) 2021 Duck Sauce"
"spotify:track:2LO5h3aSbF1nC6ZIHjdeV5","Bestial","spotify:artist:0akfTcCQFVueuHRI77Qg0Q","EVP Tibo","spotify:album:0QN957stF8lHjqemrDM2MN","All the Flavors","spotify:artist:0akfTcCQFVueuHRI77Qg0Q","EVP Tibo","2022-03-25","https://i.scdn.co/image/ab67616d0000b2737bc8f14a619914ecc6ddb558","1","3","162009","https://p.scdn.co/mp3-preview/dcb6252a63cee0c0f5e771288bc2d84bd3bb174e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","TCAGC2219204","spotify:user:11184678507","2022-10-28T22:45:36Z","","0.653","0.539","4","-9.676","0","0.0646","0.024","0.508","0.378","0.131","123.998","4","","EVP Tibo","C 2022 EVP Tibo, P 2022 EVP Tibo"
"spotify:track:6SjC7xwKwRXlnQMLH7whsV","Tijuana","spotify:artist:7rgCh0Go1ezmcV75kXQM2T","Engelwood","spotify:album:3YbRlq4I7RN3UNTO8hNwAm","Nautical Nonsense","spotify:artist:7rgCh0Go1ezmcV75kXQM2T","Engelwood","2022-08-12","https://i.scdn.co/image/ab67616d0000b2735b7a7029ff6cb983fa826021","1","5","132254","https://p.scdn.co/mp3-preview/442132cd2140cc764131564d7b9ccde54100be09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QM24S2202649","spotify:user:11184678507","2022-12-09T09:54:22Z","chillhop,future funk","0.796","0.956","11","-4.257","0","0.224","0.000845","0.00071","0.225","0.713","132.489","4","","Engelwood","P 2022 Engelwood"
"spotify:track:5OlgbvkngYf6dibaafcqcO","Let You Do This (with Buy Now)","spotify:artist:5PdkRVDASsw6P7QoqRpz0F, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP, spotify:artist:4FqPRilb0Ja0TKG3RS3y4s, spotify:artist:7s2LRZMqnuMufCcNvu8eZJ","Salvatore Ganacci, Sebastian Ingrosso, Steve Angello, Buy Now","spotify:album:4Dq63kA76g29J8viZ448Zg","Let You Do This","spotify:artist:5PdkRVDASsw6P7QoqRpz0F, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP, spotify:artist:4FqPRilb0Ja0TKG3RS3y4s","Salvatore Ganacci, Sebastian Ingrosso, Steve Angello","2022-09-15","https://i.scdn.co/image/ab67616d0000b27346bde850e2f29dbecf04303c","1","1","202281","https://p.scdn.co/mp3-preview/4f556dd00f571273ead74bc2ec67e0957f3efb86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QMBZ92286165","spotify:user:11184678507","2022-09-21T08:59:36Z","basshall,moombahton,edm,electro house,pop dance,progressive electro house,progressive house,edm,electro house,pop dance,progressive electro house,progressive house","0.747","0.712","7","-5.73","0","0.0651","0.0576","0.172","0.0833","0.327","124.008","4","","MDLBEAST Records","C (C) MDLBEAST Records under Exclusive License from Zatara Recordings 2022, P (P) MDLBEAST Records under Exclusive License from Zatara Recordings 2022"
"spotify:track:10AA8zz84owcIoVHsFXKea","Le Knight Club Is Playing at My House","spotify:artist:2hK0A1hY8plZiE4gQ0HAmh","CHANCE デラソウル","spotify:album:4ir1bVF1FAkHRl4zGLqhKj","Goodbye Future Funk","spotify:artist:2hK0A1hY8plZiE4gQ0HAmh","CHANCE デラソウル","2020-08-07","https://i.scdn.co/image/ab67616d0000b2738da9df29c8500c8620c486dd","1","4","216774","https://p.scdn.co/mp3-preview/4800d660611ea9c6242b25ad633a14a518f424cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QZHNA2040845","spotify:user:11184678507","2022-03-11T09:44:47Z","future funk","0.655","0.934","11","-5.207","0","0.0974","0.00493","0.222","0.153","0.828","124.048","4","","Forgotten Tapes Preservation Society","C 2020 Forgotten Tapes Preservation Society, P 2020 Forgotten Tapes Preservation Society"
