"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5OUTFH5acycdnf8OVo21Gv","Television / So Far So Good","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","2","262600","","true","57","US23A1500497","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-22T20:43:47Z","bedroom pop,pop","0.405","0.505","5","-7.75","1","0.0458","0.592","0","0.121","0.318","164.971","4","","Rex Orange County","C 2017 Rex Orange County, P 2017 Rex Orange County"
"spotify:track:47Bg6IrMed1GPbxRgwH2aC","Best Friend","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:51pSyGziPFv8ajzF7ilUAr","Best Friend","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-01-25","https://i.scdn.co/image/ab67616d0000b27333a6b45fa8354efe37633964","1","1","262231","","true","58","US23A1500387","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-22T20:49:31Z","bedroom pop,pop","0.575","0.714","6","-5.247","1","0.0596","0.395","0","0.115","0.32","144.982","4","","Rex Orange County","C 2017 Rex Orange County, P 2017 Rex Orange County"
"spotify:track:0V5cvmTKsYmF5FmGGEAfmS","Je te laisserai des mots","spotify:artist:7bPs6jf983f0bjRAt1yxDM","Patrick Watson","spotify:album:7KPvATOyLVFbV6UR6DujF8","Je te laisserai des mots","spotify:artist:7bPs6jf983f0bjRAt1yxDM","Patrick Watson","2010-09-10","https://i.scdn.co/image/ab67616d0000b27339372cb9fc75f395a5090a8d","1","1","160853","https://p.scdn.co/mp3-preview/effa9452a0ccbbb211850adcff7742b1e96f70b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","CA0RZ1000020","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-23T21:02:26Z","indie folk,indie quebecois","0.303","0.187","2","-16.757","1","0.0356","0.989","0.489","0.101","0.213","132.731","4","","Secret City Records","C 2010 Secret City Records, Inc, P 2010 Secret City Records, Inc."
"spotify:track:0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","spotify:album:2sBB17RXTamvj7Ncps15AK","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","2018-04-19","https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c","1","1","200185","https://p.scdn.co/mp3-preview/3ebe867688f8f3c20f550fa2308e06b42791824f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USUM71804190","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-23T21:12:34Z","art pop,electropop,pop,pop,pop r&b","0.351","0.296","4","-10.109","0","0.0333","0.934","0","0.095","0.12","115.284","4","","Darkroom","C © 2018 Darkroom/Interscope Records, P ℗ 2018 Darkroom/Interscope Records"
"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0JGOiO34nwfUdDrD612dOp","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2021-07-30","https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e","1","15","298899","https://p.scdn.co/mp3-preview/20a10ed1ec5ad22668edc467682141db898ba45b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USUM72105936","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:50:51Z","art pop,electropop,pop","0.332","0.225","0","-8.697","1","0.0348","0.767","0.00349","0.128","0.297","81.055","3","","Darkroom/Interscope Records","C © 2021 Darkroom/Interscope Records, P ℗ 2021 Darkroom/Interscope Records"
"spotify:track:5wANPM4fQCJwkGd4rN57mH","drivers license","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:6s84u2TUpR3wdUv4NgKA2j","SOUR","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-21","https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a","1","3","242013","https://p.scdn.co/mp3-preview/3a145991602f4a7304d5227ce2268596d0f8e589?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USUG12004749","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:50:51Z","pop","0.561","0.431","10","-8.81","1","0.0578","0.768","0.0000142","0.106","0.137","143.875","4","","Olivia Rodrigo PS","C © 2021 Olivia Rodrigo, under exclusive license to Geffen Records, P ℗ 2021 Olivia Rodrigo, under exclusive license to Geffen Records"
"spotify:track:7GASUNtLpNwSmvLNkRSRiU","Obstacle 1","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","spotify:album:2SNck8dxnwrreCno34r9ji","Turn On The Bright Lights","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","2002-08-20","https://i.scdn.co/image/ab67616d0000b273b2035be3c9ae1488f01f914b","1","2","251333","","false","0","USMTD0254502","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:58:30Z","alternative rock,indie rock,modern rock,rock","0.381","0.941","5","-4.91","1","0.0624","0.0000508","0.523","0.0708","0.382","120.533","4","","Soft Limit","C 2012 Soft Limit, P 2012 Soft Limit"
"spotify:track:0ZAJsSQdiPsgCz9l9j7hw7","I Need Some Fine Wine And You, You Need To Be Nicer","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","spotify:album:5e6kUXc2Lk7EjJCuukqCEp","Super Extra Gravity (Remastered)","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","2005-01-01","https://i.scdn.co/image/ab67616d0000b273a4ee8f28e7c3082b2ec973cb","1","5","213577","https://p.scdn.co/mp3-preview/0495c95a1d3888a7847023f06e402b9f022f191f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","SEUM70500006","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:59:52Z","dance pop,lilith,new wave pop,permanent wave,pop rock,swedish pop","0.433","0.734","5","-4.711","0","0.0459","0.000099","0.000105","0.104","0.603","125.117","4","","Universal Music AB","C © 2019 Universal Music AB, P ℗ 2005 Universal Music AB"
"spotify:track:7sq2z9oX2S0CvgTqCZ0ko4","Strange","spotify:artist:49HlOY4gkHqsYG9GCuhkcc","Celeste","spotify:album:3bqEvlGHE4amqPGZtdMnep","Not Your Muse (Deluxe)","spotify:artist:49HlOY4gkHqsYG9GCuhkcc","Celeste","2021-01-29","https://i.scdn.co/image/ab67616d0000b273a724f0a2c23fdc0ef98201b8","2","4","255986","https://p.scdn.co/mp3-preview/5998305b47c89105adc73353f0eb70742417a02e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM71904248","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T20:40:50Z","british soul","0.286","0.0847","2","-9.883","1","0.0397","0.934","0.00000694","0.121","0.112","70.743","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P Atlas Artists / Polydor Records; ℗ 2021 Universal Music Operations Limited"
"spotify:track:1Ibiuakl4eDRoOpA7jYyRM","Man Man","spotify:artist:5uT4SmzhWTYv1iia2BFnVQ","anaïs","spotify:album:3N4rKiNU9T3WAuv6Xg9TIR","Man Man","spotify:artist:5uT4SmzhWTYv1iia2BFnVQ","anaïs","2021-04-09","https://i.scdn.co/image/ab67616d0000b2731d962531a77bfe0a946cfc32","1","1","172720","https://p.scdn.co/mp3-preview/d1b40cf6e12eb7b8c73e26bbdc509c37cce58b13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","DEZC62181690","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-10T06:05:26Z","","0.703","0.305","11","-8.751","0","0.0366","0.896","0.000174","0.107","0.186","120.106","4","","anaïs","C 2021 anaïs, P 2021 anaïs"
