"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2FPVYeyKBKSNUUKrg4L0rk","White City","spotify:artist:7b6l5JehVDc5Wb7L8iPvJN","Willow Kayne","spotify:album:3xm5CfmCOizd2OT4BrQtqX","White City","spotify:artist:7b6l5JehVDc5Wb7L8iPvJN","Willow Kayne","2022-07-01","https://i.scdn.co/image/ab67616d0000b2733025354e1b0cc573b56578ad","1","1","186740","https://p.scdn.co/mp3-preview/32bf73ca33dedde90a709503878375abb763a72d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBARL2201400","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-26T22:14:37Z","uk pop","0.622","0.796","2","-6.612","1","0.146","0.0129","0.000171","0.214","0.304","89.837","4","","Columbia","P (P) 2022 Sony Music Entertainment UK Limited"
"spotify:track:0vnh0D3xtxMMuG0VO8kr2p","Crushed","spotify:artist:3bg5rmICvmA8dmYVAdKGYH","Actress","spotify:album:4kMTX5zW78Oj7c60qKzQaA","Hazyville","spotify:artist:3bg5rmICvmA8dmYVAdKGYH","Actress","2014-01-27","https://i.scdn.co/image/ab67616d0000b273c969760672fbfcbfdfd03eb0","1","6","195122","https://p.scdn.co/mp3-preview/3fd0130da7440194d5904e8d864c76360f038147?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBCFB1304021","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-27T12:39:51Z","ambient,art pop,deconstructed club,electronica,escape room,experimental pop,float house,fluxwork,fourth world,future garage,hauntology,intelligent dance music,microhouse,outsider house,uk bass,wonky","0.783","0.632","1","-10.869","1","0.27","0.354","0.526","0.0792","0.579","130.105","4","","Werkdiscs / Ninja Tune","C 2014 Werkdiscs / Ninja Tune, P 2014 Werkdiscs / Ninja Tune"
"spotify:track:0BomfsUcw03fQPKK668Etn","Feel the Love (feat. John Newman)","spotify:artist:4WN5naL3ofxrVBgFpguzKo, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Rudimental, John Newman","spotify:album:2O7R7SK5zDsGeI1JpNihNE","Home (Deluxe Edition)","spotify:artist:4WN5naL3ofxrVBgFpguzKo","Rudimental","2013-04-26","https://i.scdn.co/image/ab67616d0000b2730ae99283c46ed97f5c025d9b","1","2","245186","https://p.scdn.co/mp3-preview/db0f2b4073ece6bc598be0184cc27eb96fa3db1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBAHS1200174","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-28T16:55:46Z","dance pop,edm,house,pop,pop dance,tropical house,uk dance,uk funky,dance pop","0.389","0.706","1","-6.849","1","0.0593","0.0026","0.000182","0.686","0.238","179.911","4","","Asylum","C © 2013 Warner Music UK Limited., P ℗ 2013 Warner Music UK Limited except tracks 2 & 5 (p) 2013 Black Butter Records under exclusive licence to Warner Music UK Limited"
"spotify:track:7fhzES2ZyvdaD7jSwFOZrR","Bunker","spotify:artist:4oMBP1OWXtmxyDhAj2aRyQ","Balthazar","spotify:album:29tvPtFTZwxZZMIA34BjYm","Thin Walls","spotify:artist:4oMBP1OWXtmxyDhAj2aRyQ","Balthazar","2015-03-30","https://i.scdn.co/image/ab67616d0000b273627a7adf0ad98b2e2f0c50d3","1","4","291280","https://p.scdn.co/mp3-preview/497f8ac654b237a271f10e1eeb3afd9619157ebe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBENL1401245","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-28T22:11:01Z","belgian indie,belgian rock,dutch indie,ghent indie","0.678","0.444","10","-8.889","0","0.0362","0.222","0.0213","0.165","0.237","106.977","4","","Play It Again Sam","C 2015 Balthazar under exclusive license to Play It Again Sam, P 2015 Balthazar under exclusive license to Play It Again Sam"
"spotify:track:3KiCzO6XdIWcAtUZnjLIoX","Dancing On My Own","spotify:artist:6UE7nl9mha6s8z0wFQFIZ2","Robyn","spotify:album:1RY0I5fe7l6cg46x03Dap6","Body Talk (pt. 1)","spotify:artist:6UE7nl9mha6s8z0wFQFIZ2","Robyn","2010-06-11","https://i.scdn.co/image/ab67616d0000b27387173ece97c772bbd284bb7d","1","3","288670","https://p.scdn.co/mp3-preview/d02383a92e864b0ec9921707e6001cfc934f3887?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEWKZ1000003","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-28T23:02:12Z","art pop,dance pop,electropop,europop,pop,scandipop,swedish electropop,swedish pop","0.687","0.865","6","-4.663","1","0.0349","0.0743","0.225","0.0966","0.261","117.015","4","","Ministry Of Sound","C 2010 Ministry Of Sound Recordings (Germany) GmbH, P 2010 Ministry Of Sound Recordings (Germany) GmbH under exclusive license from Konichiwa Records"
"spotify:track:456WNXWhDwYOSf5SpTuqxd","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:1rLLyY5p6HXNl2lKzINWp5","Lungs (Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d","1","1","252818","https://p.scdn.co/mp3-preview/e8dc4f3824cae6fad81fd6664b0eb90bb7b4e0dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBUM70900209","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-29T21:28:22Z","baroque pop,pop,uk alternative pop","0.501","0.809","7","-5.264","1","0.0938","0.0338","0.00602","0.119","0.258","149.964","4","","Universal-Island Records Ltd.","C © 2011 Universal Island Records Ltd. A Universal Music Company., P ℗ 2011 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:244AvzGQ4Ksa5637JQu5Gy","You've Got The Love","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:1rLLyY5p6HXNl2lKzINWp5","Lungs (Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d","1","13","168666","https://p.scdn.co/mp3-preview/9027cb9974c874aa575ea0c93f786a3fbb203f45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM70900237","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-29T21:31:07Z","baroque pop,pop,uk alternative pop","0.574","0.694","6","-4.697","1","0.0327","0.00481","0","0.102","0.401","109.85","4","","Universal-Island Records Ltd.","C © 2011 Universal Island Records Ltd. A Universal Music Company., P ℗ 2011 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:1mnqraQ8oV8MX92rdOFLWW","1 Thing","spotify:artist:08rMCq2ek1YjdDBsCPVH2s","Amerie","spotify:album:2PFK4dMZkqUQfxfSrK8WMf","Touch","spotify:artist:08rMCq2ek1YjdDBsCPVH2s","Amerie","2005","https://i.scdn.co/image/ab67616d0000b27315dd2fc9aa1109bbe1456916","1","1","238760","https://p.scdn.co/mp3-preview/7289613f77ce482470534ab1ce9e5f6a9403332e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USSM10500100","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-29T21:36:31Z","alternative r&b,contemporary r&b,dance pop,hip hop,hip pop,neo soul,r&b,urban contemporary","0.612","0.961","10","-3.078","0","0.333","0.107","0.0000417","0.0413","0.867","129.873","5","","Richcraft/Sony Urban Music/Columbia","P (P) 2002, 2005 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:0VxgGWGWRcAPONRMALrJHJ","Madan - Exotic Disco Mix","spotify:artist:0VVnWF3KNaa5O7ESohKhAx","Salif Keita","spotify:album:4seEsEgkuc3oUejo7LMDGB","Madan Exotic","spotify:artist:0VVnWF3KNaa5O7ESohKhAx","Salif Keita","2004-01-01","https://i.scdn.co/image/ab67616d0000b2737f66f0b845453d8161cd8a64","1","1","458293","https://p.scdn.co/mp3-preview/5504689c05672faeb214974ac9edbd7ae0d61c0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FRZ020280770","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-30T11:07:46Z","afropop,malian blues,mande pop,world","0.82","0.723","0","-7.795","1","0.0597","0.00391","0.801","0.0298","0.911","128.005","4","","UMOD (Universal Music On Demand)","C © 2004 Universal Music TV, a division of Universal Music Operations Ltd., P ℗ 2004 Universal Music S.A.S. France"
"spotify:track:3Q2M6sNKDwoqZGBvwdFqZr","Adagio For Strings","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","spotify:album:3E8N6fNnqcOwNwUvALrqZ5","Just Be","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2009-07-22","https://i.scdn.co/image/ab67616d0000b273474a6f696349a8e4349b2490","1","10","443426","https://p.scdn.co/mp3-preview/733038c7a69835b12a6f6ab32270770d1a397c5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","NLE710480320","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-30T14:06:55Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house","0.604","0.939","10","-7.49","0","0.0544","0.0102","0.698","0.0723","0.205","139.975","4","","Magik Muzik","C 2009 Black Hole Recordings, P 2009 Black Hole Recordings"
