"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1ftsPnNZSEc3gZAVzbtWsI","Clara (the night is dark)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:0FNW4zTrB6JjDb5ctjbX28","Fred again.., Clara Ward","spotify:album:4O0noIPlmEkVFvyj7TOKpA","Actual Life 3 (January 1 - September 9 2022)","spotify:artist:4oLeXFyACqeem2VImYeBFe","Fred again..","2022-11-02","https://i.scdn.co/image/ab67616d0000b273f4618d17f5884a61c8fec571","1","11","278400","https://p.scdn.co/mp3-preview/e23dd172c6be452611ba3d7b803a0a3b768dc17a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAHS2201425","spotify:user:","2022-12-12T19:17:16Z","edm,house,gospel singers,praise","0.585","0.868","8","-7.855","0","0.0393","0.0482","0.138","0.288","0.531","125.011","4","","Atlantic Records UK","C Under exclusive licence to Warner Music UK Limited .An Atlantic Records UK release, © 2022 Fred Gibson, P Under exclusive licence to Warner Music UK Limited .An Atlantic Records UK release., ℗ 2022 Fred Gibson"
"spotify:track:4XeIiGpUBshIfs9yrBDVZC","The Last Goodbye (feat. Bettye LaVette)","spotify:artist:21mKp7DqtSNHhCAU2ugvUw, spotify:artist:55U998XxmxjicLMKDSz6R3","ODESZA, Bettye LaVette","spotify:album:4vpnU0Hu4c0KNq2p4nz4U2","The Last Goodbye (feat. Bettye LaVette)","spotify:artist:21mKp7DqtSNHhCAU2ugvUw, spotify:artist:55U998XxmxjicLMKDSz6R3","ODESZA, Bettye LaVette","2022-02-08","https://i.scdn.co/image/ab67616d0000b273b2feeaf1e3991813aa208409","1","1","358983","https://p.scdn.co/mp3-preview/e2dd54665096b2e3e9106b8b57e624641ef2d6bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCFB2100832","spotify:user:","2022-11-16T11:12:48Z","chillwave,edm,ninja,soul,soul blues","0.667","0.92","9","-2.71","1","0.0773","0.00752","0.00232","0.126","0.146","114.977","4","","Foreign Family Collective/Ninja Tune","C 2022 Foreign Family Collective under exclusive license to Ninja Tune, P 2022 Foreign Family Collective under exclusive license to Ninja Tune"
"spotify:track:3MOhipHFUkGpS0rV7cKrJO","Rosewood","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:0jjMHsOQJzzRi3JpxiS5xj","Rosewood","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2021-10-06","https://i.scdn.co/image/ab67616d0000b273cf05b47b48b92a8c47205123","1","1","242773","https://p.scdn.co/mp3-preview/0c000e0addfd58d452a82f00cf8264a299df11f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBCFB2100677","spotify:user:","2022-11-16T11:12:48Z","downtempo,electronica,jazztronica,ninja,nu jazz,trip hop","0.757","0.637","10","-9.451","0","0.0432","0.0668","0.485","0.191","0.429","121.009","4","","Ninja Tune","C 2021 Ninja Tune, P 2021 Ninja Tune"
"spotify:track:6XMQh62uwtY3gcxi5NiY2k","Tacken","spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Modeselektor","spotify:album:3wYpn2JP8z3VqlzyIwiGHC","Extended","spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Modeselektor","2021-04-09","https://i.scdn.co/image/ab67616d0000b273205a8195e3a35754f39099d8","1","4","200389","https://p.scdn.co/mp3-preview/3a146e6e30b63cfff41ec07a1943397e17f4d843?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","DEOE82100012","spotify:user:","2022-11-16T11:12:48Z","electronica,microhouse,minimal techno","0.651","0.564","10","-8.691","0","0.0385","0.102","0.133","0.612","0.165","103.025","4","","Monkeytown Records","C 2021 Monkeytown Records, P 2021 Monkeytown Records"
"spotify:track:0JsdRVcOPmk5MqlifhWPQl","Peace","spotify:artist:1z5xbcOeFRQXBVDpvRPh8H","MEUTE","spotify:album:2OEzkuJirqao61dblPqLuX","Peace","spotify:artist:1z5xbcOeFRQXBVDpvRPh8H","MEUTE","2022-01-25","https://i.scdn.co/image/ab67616d0000b273a57c6c6b138f0f48156107b1","1","1","467086","https://p.scdn.co/mp3-preview/65ddda3d52e129e977a065beea5b93ddceb56d39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","DE1AO2120010","spotify:user:","2022-11-16T11:12:48Z","german dance,hamburg electronic,livetronica","0.71","0.586","5","-11.336","0","0.0378","0.801","0.811","0.109","0.153","121.995","3","","TUMULT","C (C) 2022 TUMULT serviced by NEUBAU Music, P (P) 2022 TUMULT serviced by NEUBAU Music"
"spotify:track:11mPoozehZGjUH21UhmtWy","Blausteinsee","spotify:artist:3EAufUKxTXCXQHPeUZv4yj","Nils Zimmermann","spotify:album:34WmfgXBgzbqMxCJgsoChR","Blausteinsee","spotify:artist:3EAufUKxTXCXQHPeUZv4yj","Nils Zimmermann","2022-06-26","https://i.scdn.co/image/ab67616d0000b27386e022c96db509d6da0f7480","1","1","368709","https://p.scdn.co/mp3-preview/43ae49cd7d217314fa3e3e0734d3a885b6311113?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","DEZC62273315","spotify:user:","2022-11-16T11:12:48Z","","0.858","0.27","10","-16.652","0","0.112","0.00599","0.869","0.109","0.226","123.989","4","","recordJet","C 2022 Copyright Control, P 2022 Nils Zimmermann"
"spotify:track:7CcemlviHxm5z9NyS0NBi8","Kamo Kamo - Richard Dorfmeister & Stefan Obermaier Remix","spotify:artist:32lo0J8u6KZJTwBOIBrdYS, spotify:artist:7kVSO9W0cZoyKBEG5o3E9h, spotify:artist:7HV2r5sspVCo9LVNv5TiHf","Fat Freddy's Drop, Richard Dorfmeister, Stefan Obermaier","spotify:album:1W9OJWPIkeIJeO6a755OQQ","Kamo Kamo (Richard Dorfmeister & Stefan Obermaier Remix)","spotify:artist:32lo0J8u6KZJTwBOIBrdYS, spotify:artist:7kVSO9W0cZoyKBEG5o3E9h, spotify:artist:7HV2r5sspVCo9LVNv5TiHf","Fat Freddy's Drop, Richard Dorfmeister, Stefan Obermaier","2021-04-23","https://i.scdn.co/image/ab67616d0000b27378eebb18079698a7ad8c45f3","1","1","331527","https://p.scdn.co/mp3-preview/1a62595eb96d66c82c168075d7a18f3d7f0b57c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QM6MZ2188242","spotify:user:","2022-11-16T11:12:48Z","electronica,funk rock,nu jazz,nz reggae","0.661","0.702","0","-9.515","1","0.0365","0.0451","0.763","0.0984","0.224","118.038","4","","Best's Friends","C (C) 2021 Best's Friends, P (P) 2021 Best's Friends"
"spotify:track:4rw9xbxHWWRuihfAvQG3M2","Spectrum","spotify:artist:0WSSKmoRbxqLf3MnXInQ2J","Max Cooper","spotify:album:5JuO2GgzgGLrF1Kz0l82Qk","Unspoken Words","spotify:artist:0WSSKmoRbxqLf3MnXInQ2J","Max Cooper","2022-03-25","https://i.scdn.co/image/ab67616d0000b273f371510a6eab72b1fd7033bf","1","5","285675","https://p.scdn.co/mp3-preview/c3d3ddd03508fe339e8179e25fe4d9ecfa5f089d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FRX872183416","spotify:user:","2022-11-16T11:12:48Z","electronica,microhouse,minimal techno,modular synth,tech house","0.729","0.685","10","-9.788","0","0.0756","0.215","0.903","0.117","0.108","110.997","4","","Mesh","C 2022 Manners McDade Music Ltd, P 2022 Mesh"
"spotify:track:3oIybLlADYuhdinp3LB8Ct","Unite","spotify:artist:0HBaoUIo3fXlnWz1dc4mro, spotify:artist:7scXA3hBD8JyGGajVR9q9l, spotify:artist:0hMfbfkUs2tiOOZpSwLmDu, spotify:artist:1bpbyzXfwOMIBHq6y02Nqc","Gorje Hewek, Volen Sentir, Makebo, Amonita","spotify:album:3mobiZAUlWOmLEtcasYTTh","Unite","spotify:artist:0HBaoUIo3fXlnWz1dc4mro, spotify:artist:7scXA3hBD8JyGGajVR9q9l, spotify:artist:0hMfbfkUs2tiOOZpSwLmDu","Gorje Hewek, Volen Sentir, Makebo","2021-06-14","https://i.scdn.co/image/ab67616d0000b273f739b80d31f5b2d21340d7fb","1","1","320000","https://p.scdn.co/mp3-preview/9625aaf44de360e73962c512a527d8eeeec8cd34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","UKSP42100089","spotify:user:","2022-11-16T11:12:48Z","organic house,focus trance,organic electronic,organic house,organic house,organic house","0.801","0.736","10","-6.838","1","0.0447","0.000695","0.825","0.0766","0.841","123.02","4","","All Day I Dream","C 2021 All Day I Dream, P 2021 All Day I Dream"
"spotify:track:0dDySpHrcKUnDyyfRz6wqR","Love Will Tear Us Apart - Tensnake Remix","spotify:artist:0lnAZ68xKGysVy084bTQmh, spotify:artist:75nC6MXUalYZSOd7OfNkwq, spotify:artist:3I4pqS75HcWouwU39LjRdM","R Plus, Tensnake, Amelia Fox","spotify:album:2UyXEaoTmIzsmLA09h2M92","Love Will Tear Us Apart (Tensnake Remix)","spotify:artist:0lnAZ68xKGysVy084bTQmh, spotify:artist:5T4UKHhr4HGIC0VzdZQtAE, spotify:artist:75nC6MXUalYZSOd7OfNkwq","R Plus, Faithless, Tensnake","2021-06-04","https://i.scdn.co/image/ab67616d0000b2735a1753f0c66ed3a69b0cd911","1","1","220776","https://p.scdn.co/mp3-preview/48ec6129c1638a6b5f3b8cbfaeeaedc9183d6bab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","NLF712104405","spotify:user:","2022-11-16T11:12:48Z","deep house,disco house,edm,german house,hamburg electronic,house,nu disco,pop dance,tropical house,vocal house","0.717","0.835","11","-7.113","0","0.0328","0.478","0.764","0.126","0.295","122.988","4","","Kontor Records","C 2021 Kontor Records GmbH / Armada Music B.V., P 2021 Kontor Records GmbH / Armada Music B.V."
