"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3w3y8KPTfNeOKPiqUTakBh","Locked out of Heaven","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:58ufpQsJ1DS5kq4hhzQDiI","Unorthodox Jukebox","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2012-12-07","https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46","1","2","233478","https://p.scdn.co/mp3-preview/4b3bedd0366b3ebe72a20ece0d596fac196a5b3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USAT21203287","spotify:user:","2022-10-09T00:00:00Z","dance pop,pop","0.726","0.698","5","-4.165","1","0.0431","0.049","0","0.309","0.867","143.994","4","","Atlantic Records","C © 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
"spotify:track:6UdG0n7SNaWydrDu3PBq21","Waka Waka (This Time for Africa) (feat. Freshlyground)","spotify:artist:0EmeFodog0BfCgMzAIvKQp, spotify:artist:7AcV1lk8Zrgo1691PDWEle","Shakira, Freshlyground","spotify:album:25oZf8bHxWJXZm2DGTXW5K","50 Party Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013","https://i.scdn.co/image/ab67616d0000b273c05c5ccd9c0bcbdc96207504","1","9","202626","https://p.scdn.co/mp3-preview/71466b932574aab3e45b9e8b28be0363d230b26f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USSD11000300","spotify:user:","2022-10-09T00:00:00Z","colombian pop,dance pop,latin pop,afro soul,afropop,south african pop,south african pop dance","0.757","0.872","2","-6.388","1","0.141","0.00705","0","0.0665","0.719","127.013","4","","Legacy Recordings","P This compilation (P) 2013 Sony Music Entertainment. All rights reserved."
"spotify:track:0nrRP2bk19rLc0orkWPQk2","Wake Me Up","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","1","247426","https://p.scdn.co/mp3-preview/2571fb0455aff62bfbee58581dd4ce4414ec0b3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","SEUM71301326","spotify:user:","2022-10-09T00:00:00Z","dance pop,edm,pop,pop dance,pop rap","0.532","0.783","2","-5.697","1","0.0523","0.0038","0.0012","0.161","0.643","124.08","4","","Universal Music AB","C © 2013 Avicii Music AB, / PRMD under exclusive license to Universal Music AB, P ℗ 2013 Avicii Music AB, / PRMD under exclusive license to Universal Music AB"
"spotify:track:6JV2JOEocMgcZxYSZelKcc","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","spotify:album:40LbnfieVTWtHrK24WQeEB","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","2016-05-06","https://i.scdn.co/image/ab67616d0000b273ef37416970812293c08e8a78","1","1","236001","https://p.scdn.co/mp3-preview/092b2d551331460c5890e5fdd55eab9bde9c70b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRC11600876","spotify:user:","2022-10-09T00:00:00Z","dance pop,pop","0.666","0.83","0","-5.715","1","0.0751","0.0123","0","0.191","0.702","113.03","4","","Villa 40/RCA Records","P (P) 2016 RCA Records/DreamWorks Animation LLC"
"spotify:track:09CtPGIpYB4BrO8qb1RGsF","Sorry","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de","1","4","200786","https://p.scdn.co/mp3-preview/f52ebfda4aedb754a92e8af2442a5be85bb86a8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM71516760","spotify:user:","2022-10-09T00:00:00Z","canadian pop,pop","0.654","0.76","0","-3.669","0","0.045","0.0797","0","0.299","0.41","99.945","4","","RBMG/Def Jam","C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:3zHq9ouUJQFQRf3cm1rRLu","Love Me Like You Do - From ""Fifty Shades Of Grey""","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","spotify:album:20Ol6zZ0nLlc5EGTH1zA0j","Delirium (Deluxe)","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","2015-11-06","https://i.scdn.co/image/ab67616d0000b2736bdee14242f244d9d6ddf2fd","1","9","252534","https://p.scdn.co/mp3-preview/b94653280f35e2c4e891993716f5482bc9e01062?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBUM71406823","spotify:user:","2022-10-09T00:00:00Z","dance pop,edm,electropop,indietronica,metropopolis,pop,post-teen pop,uk pop","0.262","0.606","8","-6.646","1","0.0484","0.247","0","0.125","0.275","189.857","4","","Polydor Records","C © 2015 Polydor Ltd. (UK), P ℗ 2015 Polydor Ltd. (UK)"
"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Shape of You","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2017-03-03","https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96","1","4","233712","https://p.scdn.co/mp3-preview/09e92af512355474ccf074988ea208ce6eb90a2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBAHS1600463","spotify:user:","2022-10-09T00:00:00Z","pop,uk pop","0.825","0.652","1","-3.183","0","0.0802","0.581","0","0.0931","0.931","95.977","4","","Atlantic Records UK","C © 2017 Asylum Records UK, a division of Atlantic Records UK, a Warner Music Group company., P ℗ 2017 Asylum Records UK, a division of Atlantic Records UK, a Warner Music Group company."
"spotify:track:72jbDTw1piOOj770jWNeaG","Paris","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","spotify:album:4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2017-04-07","https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94","1","8","221506","https://p.scdn.co/mp3-preview/ca8170e4293032492b950cb4bdba29115cb069ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USQX91603031","spotify:user:","2022-10-09T00:00:00Z","dance pop,edm,electropop,pop,pop dance,tropical house","0.653","0.658","2","-6.428","1","0.0304","0.0215","0.00000166","0.0939","0.219","99.99","4","","Disruptor Records/Columbia","P (P) 2017 Disruptor Records/Columbia Records"
"spotify:track:5Nm9ERjJZ5oyfXZTECKmRt","Stay With Me","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","3","172723","https://p.scdn.co/mp3-preview/de1ca142058fc50b16033a891172be3c58e92f56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBUM71308833","spotify:user:","2022-10-09T00:00:00Z","dance pop,pop,uk pop","0.418","0.42","0","-6.444","1","0.0414","0.588","0.0000639","0.11","0.184","84.094","4","","Capitol","C © 2014 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2014 Capitol Records, a division of Universal Music Operations Limited"
"spotify:track:0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","6","218146","https://p.scdn.co/mp3-preview/1d16781160270b7e2e601f96187c4cb9fbff33e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71710087","spotify:user:","2022-10-09T00:00:00Z","dfw rap,melodic rap,rap,atl hip hop,rap","0.585","0.52","5","-6.136","0","0.0712","0.124","0.0000701","0.131","0.129","159.801","4","","Republic Records","C © 2018 Republic Records, a division of UMG Recordings, Inc., P ℗ 2018 Republic Records, a division of UMG Recordings, Inc."
