"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6cS27V3QGz0WdRqSRioDu3","Party Right","spotify:artist:6ocDQwCTkVro3cmejcF1DH, spotify:artist:7ezXYwQkPrEkSXdVsFowz0","Zero, Logan_olm","spotify:album:1ZDew2sa32OfMmXnUJCzBx","Party Right / Snake Charmer","spotify:artist:6ocDQwCTkVro3cmejcF1DH","Zero","2022-07-01","https://i.scdn.co/image/ab67616d0000b2738479883e167cef7fb1dcba9b","1","1","216715","https://p.scdn.co/mp3-preview/98fc01215669de3b88acc49518457f685c3a7043?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FRX202249148","spotify:user:","2022-10-28T16:25:08Z","bass house","0.687","0.923","1","-5.429","1","0.0936","0.00709","0.000557","0.0801","0.435","128.009","4","","Guilty As Charged","C 2022 Guilty As Charged, P 2022 Guilty As Charged"
"spotify:track:6yrMWKRUdGZ8He2TibxkCo","EGODEATH","spotify:artist:5QK20C8SnSQhtYwEL5wrbO, spotify:artist:4PCeJ2EIn3YtzYYRsHHWyy, spotify:artist:64aAUlycnpUelu81j7FPi0","GHENGHIS OTT, GRM Daily, 6HRS","spotify:album:22fzZWdUIIywKnUPiSZ6D4","EGODEATH","spotify:artist:5QK20C8SnSQhtYwEL5wrbO, spotify:artist:64aAUlycnpUelu81j7FPi0, spotify:artist:4PCeJ2EIn3YtzYYRsHHWyy","GHENGHIS OTT, 6HRS, GRM Daily","2022-09-09","https://i.scdn.co/image/ab67616d0000b2733680a8b849b4e08739128195","1","1","192000","https://p.scdn.co/mp3-preview/d9c5a0b3cc2d3067d4ebf5f522244aeb09d3cc8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","SE6XX2256908","spotify:user:","2022-10-28T16:25:08Z","grime,uk hip hop","0.836","0.778","0","-6","1","0.128","0.0436","0.0683","0.06","0.914","135.03","4","","ROOL Records","C 2022 ROOL Records, P 2022 ROOL Records"
"spotify:track:7EfCX1JJcvCtul38U9PBRB","Show Me - Skepsis Remix","spotify:artist:6C0Tazx8fb7cJIhm2s2Ttm, spotify:artist:6DnQYUjtYusK9QJts9HqSC","Kamakaze, Skepsis","spotify:album:3KQMAgCDCdTzqCjWPRvaPY","Show Me (Skepsis Remix)","spotify:artist:6C0Tazx8fb7cJIhm2s2Ttm, spotify:artist:6DnQYUjtYusK9QJts9HqSC","Kamakaze, Skepsis","2022-09-09","https://i.scdn.co/image/ab67616d0000b2735213633caa39334c482dc339","1","1","165454","https://p.scdn.co/mp3-preview/2cc76e7926b0d1a6c6df3b3ca8fcab02a6af5610?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","QZS632210317","spotify:user:","2022-10-28T16:25:08Z","grime,uk alternative hip hop,bass house","0.623","0.993","1","-2.905","1","0.134","0.00886","0.00681","0.623","0.773","131.992","4","","Kamakaze","C 2022 Kamakaze, P 2022 Kamakaze"
"spotify:track:6WFwfQuDSWdPkG7PkJcAyf","Don't Be Shady","spotify:artist:4DabGEOrvBxxta0YlaaJpJ, spotify:artist:2U5JmM5bTJuARrzQYnDAKn, spotify:artist:5F7UnHRhLHiqANbzjdssT3","Axel Boy, Dread MC, Try Me","spotify:album:1w95IkFLU1zhLc0oGlaAAs","Push Your Body / Don't Be Shady","spotify:artist:4DabGEOrvBxxta0YlaaJpJ","Axel Boy","2022-04-08","https://i.scdn.co/image/ab67616d0000b273ddced418aa88af1f8bba965a","1","1","187968","https://p.scdn.co/mp3-preview/fec99458b95a5940748d1337cba2deb0a84d8471?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FR59R2220902","spotify:user:","2022-10-28T16:25:08Z","bass house,brostep,electro house,bass house","0.695","0.985","1","-2.542","0","0.204","0.0692","0","0.844","0.53","127.91","4","","Crucast","C 2022 CRUCAST, P 2022 CRUCAST"
"spotify:track:2a9hp6HbEtzUQBLv5C81mw","Rush","spotify:artist:62SCu33InHVq97VaWw3eof, spotify:artist:6LtDEad7bRcRxBKQoiFAlI","MPH, Cecelia","spotify:album:2eZsDmAcZj27p3B73kbcYp","Rush","spotify:artist:62SCu33InHVq97VaWw3eof, spotify:artist:6LtDEad7bRcRxBKQoiFAlI","MPH, Cecelia","2022-09-16","https://i.scdn.co/image/ab67616d0000b273d8620fb5f1bbc7915383a61f","1","1","232727","https://p.scdn.co/mp3-preview/c1f57f7f4e3a868f4716954d0b7a8f71cdc8020c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USYBL2201573","spotify:user:","2022-10-28T16:25:08Z","bass house","0.674","0.898","3","-4.406","0","0.128","0.0315","0.597","0.674","0.474","132.025","4","","Night Bass Records","C 2022 Night Bass Records, P 2022 Night Bass Records"
"spotify:track:2QWXmgMXYp1UM3LyHVaAFe","Renegade","spotify:artist:5SRr4ZJMoygWecytkIwlaV","Bad Boy Chiller Crew","spotify:album:0HlsaMsBjldN8ilQkkF4G8","Renegade","spotify:artist:5SRr4ZJMoygWecytkIwlaV","Bad Boy Chiller Crew","2022-10-27","https://i.scdn.co/image/ab67616d0000b273b6bf43c771736bc8bd1c109a","1","1","154650","https://p.scdn.co/mp3-preview/b384ba3ea8a136b4efd40ab8c735fab85fd45d39?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","GBARL2202063","spotify:user:","2022-10-28T16:25:08Z","indie hip hop","0.872","0.911","11","-5.861","0","0.202","0.0979","0","0.348","0.888","134.011","4","","Relentless Records","P (P) 2022 Relentless Records and Sony Music Entertainment UK Limited under exclusive license from House Anxiety"
"spotify:track:19djX580zpwpDHDAbGnaul","No Clip","spotify:artist:6YYg4TQoF8cp50IuM2vU4C","Bushbaby","spotify:album:12spfrxeApDAVNV3ul5DmF","No Clip","spotify:artist:6YYg4TQoF8cp50IuM2vU4C","Bushbaby","2022-11-25","https://i.scdn.co/image/ab67616d0000b273b62cb450b703a6f54a984790","1","1","254769","https://p.scdn.co/mp3-preview/19e46fd3a4649b0ab6264dd5ddc5ffe778ca6e69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USA2P2248640","spotify:user:","2022-12-12T19:16:59Z","bass house","0.791","0.96","7","-3.406","0","0.0519","0.036","0.339","0.486","0.847","130.003","4","","Southpoint","C © 2022 Southpoint, P ℗ 2022 Southpoint"
"spotify:track:2pdswR1p29SsJNP6Zl7d05","Signal","spotify:artist:4DabGEOrvBxxta0YlaaJpJ, spotify:artist:68mfV6tyHCTHZrNWNbVXmu","Axel Boy, Ruth Royall","spotify:album:1i685TMCvqmUHQc9ZcGqf4","Signal / Have You Over","spotify:artist:4DabGEOrvBxxta0YlaaJpJ","Axel Boy","2022-10-21","https://i.scdn.co/image/ab67616d0000b273f9cbe2dac0ebed7f2e38f9fd","1","1","253181","https://p.scdn.co/mp3-preview/7c4d70b068520baa19d85e51b14f54be588c8849?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FRX872242132","spotify:user:","2022-10-28T16:25:08Z","bass house,brostep,electro house","0.67","0.931","9","-2.173","0","0.0619","0.0376","0.000464","0.18","0.461","132.031","4","","Crucast","C 2022 CRUCAST, P 2022 CRUCAST"
"spotify:track:7ske1qDeuRwD933vcnD3OS","Tune","spotify:artist:2U5JmM5bTJuARrzQYnDAKn, spotify:artist:7dDPt2xIGymSDddx80OfF1, spotify:artist:58MEqEE2029jp6KTWTt1hO","Dread MC, DJ Q, Gentlemens Club","spotify:album:0wN5zaRkX38Eh8U8myFobq","Tune","spotify:artist:2U5JmM5bTJuARrzQYnDAKn, spotify:artist:7dDPt2xIGymSDddx80OfF1, spotify:artist:58MEqEE2029jp6KTWTt1hO","Dread MC, DJ Q, Gentlemens Club","2022-08-12","https://i.scdn.co/image/ab67616d0000b273daff622b1650d6c41632105c","1","1","188160","https://p.scdn.co/mp3-preview/465754d289706830eb3873e2e882315268f782ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FRX282279272","spotify:user:","2022-10-28T16:25:08Z","bass house,bass house,bassline,instrumental grime,speed garage,uk garage,ukg revival,bass house,dubstep,electro house","0.855","0.94","2","-3.596","1","0.258","0.0156","0.129","0.561","0.858","125.065","4","","Crucast","C 2022 CRUCAST, P 2022 CRUCAST"
"spotify:track:21xzkkfeDUsPXyxZmiGGpM","Closer","spotify:artist:7MJpKixo6xeRETtQC1KFHd","Bailey P","spotify:album:0zRA2049WBLpWo0m90Fb6B","Images / Closer","spotify:artist:7MJpKixo6xeRETtQC1KFHd","Bailey P","2022-09-02","https://i.scdn.co/image/ab67616d0000b2739d430062cc5f81fdf555e360","1","2","216923","https://p.scdn.co/mp3-preview/3d356d0b9ec687bc8aebd41f6deb38a435cc4d94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GB8KE2209158","spotify:user:","2022-10-28T16:25:08Z","","0.927","0.889","4","-5.118","0","0.3","0.0312","0.379","0.183","0.582","135.079","4","","Wub Club Records","C 2022 Wub Club Records, P 2022 Wub Club Records"
