"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6fNhZRFEkBfgW39W3wKARJ","Pompeii","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","spotify:album:1jUoeAbO2HCADZ1uiyLYIo","Bad Blood","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","2013-01-01","https://i.scdn.co/image/ab67616d0000b273b89cf022db28fa31376e0ed8","1","1","214147","https://p.scdn.co/mp3-preview/04e003a96e306d3ebe0538449547bcb6c85209dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAAA1200795","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","metropopolis,modern rock,pop,pop rock","0.679","0.715","9","-6.383","1","0.0407","0.0755","0","0.271","0.571","127.435","4","","Virgin Records","C © 2013 Virgin Records Limited, P ℗ 2013 Virgin Records Limited"
"spotify:track:2V65y3PX4DkRhy1djlxd9p","Don't You Worry Child - Radio Edit","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin","spotify:album:3RKhRsifs4RWrqvWV1YpPY","Don't You Worry Child","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","2012-09-14","https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e","1","1","212862","https://p.scdn.co/mp3-preview/68ba649e5233a128a3c95a28375dee8522892a4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAAA1200728","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","dance pop,edm,electro house,pop,pop dance,progressive electro house,pop edm","0.612","0.84","11","-3.145","0","0.0509","0.112","0","0.116","0.438","129.042","4","","Virgin Records","C © 2012 EMI Records Ltd, P ℗ 2012 EMI Records Ltd"
"spotify:track:5jrdCoLpJSvHHorevXBATy","Dark Horse","spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:5gCRApTajqwbnHHPbr2Fpi","Katy Perry, Juicy J","spotify:album:5MQBzs5YlZlE28mD9yUItn","PRISM (Deluxe)","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2013-10-18","https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2","1","6","215672","https://p.scdn.co/mp3-preview/cee8fe917533a8f7272f1aad11c2769f3764df3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71311296","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","dance pop,pop,crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap","0.645","0.585","6","-6.122","1","0.0513","0.00314","0","0.165","0.353","131.931","4","","Capitol Records (CAP)","C © 2013 Capitol Records, LLC, P ℗ 2013 Capitol Records, LLC"
"spotify:track:3QGsuHI8jO1Rx4JWLUh9jd","Treat You Better","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:1ne2D0NxoGyZd31gAM4HNd","Illuminate","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2017-04-20","https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b","1","4","187973","https://p.scdn.co/mp3-preview/4262fe689658263bddea2d270fb567df160365dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71604711","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","canadian pop,dance pop,pop,viral pop","0.444","0.819","10","-4.078","0","0.341","0.106","0","0.107","0.747","82.695","4","","Island Records","C © 2016 Island Records, a division of UMG Recordings, Inc., P This Compilation ℗ 2017 Island Records, a division of UMG Recordings, Inc."
"spotify:track:5M4yti0QxgqJieUYaEXcpw","Eventually","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","5","318591","https://p.scdn.co/mp3-preview/86f8090a50f6b20c0561d748349d35d756dd9279?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AUUM71500296","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","australian psych,neo-psychedelic","0.424","0.615","9","-6.217","0","0.0325","0.0158","0.000389","0.0844","0.155","77.935","4","","Universal Music Australia Pty. Ltd.","C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
"spotify:track:3BJe4B8zGnqEdQPMvfVjuS","Summertime Sadness","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:5VoeRuTrGhTbKelUfwymwu","Born To Die - The Paradise Edition","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918","1","11","265427","https://p.scdn.co/mp3-preview/d79797d73d71e58283ac93bb12a9d6d00b6f82e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBUM71111565","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","art pop,pop","0.565","0.654","1","-6.826","0","0.0335","0.0542","0.0000018","0.122","0.235","111.968","4","","Polydor Records","C © 2012 Lana Del Rey, under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA, P ℗ 2012 Lana Del Rey, under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA"
"spotify:track:4L7jMAP8UcIe309yQmkdcO","Lost","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:623Ef2ZEB3Njklix4PC0Rs","channel ORANGE (Explicit Version)","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2012-07-10","https://i.scdn.co/image/ab67616d0000b273f11f1c4ad183b7fa625f8534","1","11","234093","","true","4","USUM71207186","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","hip hop,lgbtq+ hip hop,neo soul,pop","0.913","0.603","8","-4.892","1","0.226","0.0272","0.000503","0.167","0.497","123.061","4","","Red Zone Entertainment / IDJ","C © 2012 The Island Def Jam Music Group, P ℗ 2012 The Island Def Jam Music Group"
"spotify:track:48QmG1dfvMuYLxMPt7KSRA","No Lie","spotify:artist:3Isy6kedDrgPYoTS1dazA9, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Sean Paul, Dua Lipa","spotify:album:5xrOcCoO3jkXRjHQjfESM6","Mad Love The Prequel","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","2018-06-29","https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c","1","9","221176","https://p.scdn.co/mp3-preview/844dafd03c3191e7fdce735b8a35bb824f1de948?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBUM71604557","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","dance pop,dancehall,pop rap,dance pop,pop,uk pop","0.742","0.882","7","-2.862","1","0.117","0.0466","0","0.206","0.463","102.04","4","","Universal-Island Records Ltd.","C © 2018 SPJ Productions Ltd, under exclusive licence to Universal Music Operations Limited, P An Island Records release; ℗ 2018 SPJ Productions Ltd, under exclusive licence to Universal Music Operations Limited"
"spotify:track:1zi7xx7UVEFkmKfv06H8x0","One Dance","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3tVQdUvClmAT7URs9V3rsp, spotify:artist:77DAFfvm3O9zT5dIoG0eIO","Drake, Wizkid, Kyla","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2016-05-06","https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c","1","12","173986","https://p.scdn.co/mp3-preview/b96700a9da12df888cfb2ccd8b180183d740a5a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USCM51600028","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","canadian hip hop,canadian pop,hip hop,rap,toronto rap,afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop,uk funky","0.792","0.625","1","-5.609","1","0.0536","0.00776","0.0018","0.329","0.37","103.967","4","","Cash Money Records/Young Money Ent./Universal Rec.","C © 2016 Young Money Entertainment/Cash Money Records, P ℗ 2016 Young Money Entertainment/Cash Money Records"
"spotify:track:1qk9ujVgudgU8CyhKOx8ji","Somebody That I Used To Know","spotify:artist:2AsusXITU8P25dlRNhcAbG, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti","Gotye, Kimbra","spotify:album:6EMxWaM803hd4sPsJ6PkcA","Making Mirrors","spotify:artist:2AsusXITU8P25dlRNhcAbG","Gotye","2011-01-01","https://i.scdn.co/image/ab67616d0000b2731ba0ff466c68a0977a0039bc","1","3","244893","https://p.scdn.co/mp3-preview/e8631ec5bc3955db38125256f94551f43c4ee520?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","AUZS21100040","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","australian pop,bergen indie,electropop,nz pop","0.864","0.515","0","-6.967","1","0.0367","0.571","0.0000792","0.0947","0.755","129.048","4","","Universal Music Australia Pty. Ltd.","C © 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company. Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license, P ℗ 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company. Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license"
"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:20lOt6G8MHv8ZO7ViOmiP7","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2013-01-01","https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb","1","1","257266","https://p.scdn.co/mp3-preview/fbfa3718e363ec0c53ccbe470cfa5a9d4e5d3ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71301306","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","piano rock,pop","0.664","0.705","1","-4.972","0","0.0382","0.0654","0","0.118","0.477","122.016","4","","Mosley / Interscope","C © 2013 Mosley Music/Interscope Records, P ℗ 2013 Mosley Music/Interscope Records"
"spotify:track:5XX9oGZfgKMXdHnEp4t2JB","Money On My Mind","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","1","192670","https://p.scdn.co/mp3-preview/0c2967df622df8188b8a03bca2c1969f6f314494?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBUM71308252","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","dance pop,pop,uk pop","0.688","0.841","2","-5.217","1","0.179","0.204","0.000295","0.229","0.743","133.912","4","","Capitol","C © 2014 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2014 Capitol Records, a division of Universal Music Operations Limited"
"spotify:track:7LP4Es66zdY7CyjepqmvAg","Down","spotify:artist:4pADjHPWyrlAF0FA7joK2H, spotify:artist:55Aa2cqylxrFIXC767Z865","Jay Sean, Lil Wayne","spotify:album:3v0AeWgJPrdPPZGt1tS2s0","All Or Nothing","spotify:artist:4pADjHPWyrlAF0FA7joK2H","Jay Sean","2009-01-01","https://i.scdn.co/image/ab67616d0000b2739004d9d1b817af63d113e937","1","3","212106","","false","1","USCM50900094","spotify:user:best-of-the-best","2022-06-01T03:19:12Z","dance pop,pop rap,post-teen pop,urban contemporary,hip hop,new orleans rap,pop rap,rap,trap","0.657","0.695","2","-4.493","1","0.0321","0.0108","0","0.0822","0.683","65.997","4","","Cash Money","C © 2009 Cash Money Records Inc., P ℗ 2009 Cash Money Records Inc."
