"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5pMGhbV6EDt9kxxzGZm086","Faces From Beyond","spotify:artist:050NpEYZ5xFUS1BOAZjVmX","Atrocity","spotify:album:07tI8UIDXurBgET99kFZmk","Faces From Beyond","spotify:artist:050NpEYZ5xFUS1BOAZjVmX","Atrocity","2022-11-29","https://i.scdn.co/image/ab67616d0000b273179f4940d98c2df1800826a1","1","1","302318","https://p.scdn.co/mp3-preview/3c71168262398d275042ba403aeab0376bae7bde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DER372323708","spotify:user:","2022-12-02T05:00:00Z","dark rock,gothic metal","0.371","0.977","9","-4.265","1","0.281","0.000119","0.123","0.113","0.0392","199.941","4","","Massacre Records","C 2022 Massacre Records, a division of Soulfood Music Distribution GmbH, P 2022 Massacre Records, a division of Soulfood Music Distribution GmbH"
"spotify:track:112ODhA6Xh9999jyqpYAmO","Popecrusher","spotify:artist:0ucuxyPTAHv0TPkA1WBV10","Witchery","spotify:album:5lp8Fhsz1D6kZypBMGUDn8","Popecrusher","spotify:artist:0ucuxyPTAHv0TPkA1WBV10","Witchery","2022-05-20","https://i.scdn.co/image/ab67616d0000b2739e9a30cd94f5be36aec347d3","1","1","188346","https://p.scdn.co/mp3-preview/800fd370fd7735761dc383f68e5241f44fa23ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBDHC2231405","spotify:user:","2022-12-02T05:00:00Z","black metal,black thrash,death metal,metal,new wave of thrash metal,swedish black metal,swedish metal","0.487","0.992","1","-4.044","1","0.0853","0.000115","0.166","0.12","0.337","111.976","4","","Century Media","P (P) 2022 Century Media Records Ltd."
"spotify:track:7CYKHsr8Wgx90CyWpHtVzl","Caravan of Broken Ghosts","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","spotify:album:75NgJLpx9Sd36o6kzXihOG","Caravan of Broken Ghosts","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","2022-10-20","https://i.scdn.co/image/ab67616d0000b273821778bc650b40aff44ed02a","1","1","473500","https://p.scdn.co/mp3-preview/d82745c0ca3855cc6fc3b04003bef3946de544ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBCQV2200018","spotify:user:","2022-12-02T05:00:00Z","black 'n' roll,black metal,blackened crust,metal,norwegian black metal,norwegian death metal,norwegian metal","0.166","0.894","4","-6.485","1","0.0652","0.00000823","0.852","0.123","0.34","129.904","4","","Peaceville Records","C (C) 2022 Peaceville Records Ltd, P (P) 2022 Peaceville Records Ltd"
"spotify:track:2oyornhocyqp1XpxsJxIld","Congelia","spotify:artist:2HmtB6wVRRi3z0JwZHtkiD","Enslaved","spotify:album:1uvY2dvGnOgnwwpIOn9a34","Congelia","spotify:artist:2HmtB6wVRRi3z0JwZHtkiD","Enslaved","2022-11-18","https://i.scdn.co/image/ab67616d0000b273cdce8dfafc0f6b54ddefb7ab","1","1","481320","https://p.scdn.co/mp3-preview/84702833e35547e28445a1cb22030db800c14527?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","DED832200318","spotify:user:","2022-12-02T05:00:00Z","black metal,death metal,doom metal,metal,norwegian black metal,norwegian metal,pagan black metal,progressive black metal,viking black metal,viking metal","0.41","0.984","9","-6.579","1","0.132","0.00000277","0.667","0.0672","0.101","119.985","4","","Nuclear Blast","C 2022 Nuclear Blast, P 2022 Nuclear Blast"
"spotify:track:2aQuwaap0qGUFx3qCt7y9F","Angels Hung from the Arches of Heaven","spotify:artist:59YfPxuxGghrdPumu6aFKI","Goatwhore","spotify:album:3wkROANEE5jyoV1B1usizt","Angels Hung from the Arches of Heaven","spotify:artist:59YfPxuxGghrdPumu6aFKI","Goatwhore","2022-10-07","https://i.scdn.co/image/ab67616d0000b273a3279c4b1ea642d72a087113","1","4","294610","https://p.scdn.co/mp3-preview/c659425dee5541bed566540f5529398e063a1c3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USMBR2215257","spotify:user:","2022-12-02T05:00:00Z","black metal,brutal death metal,death metal,louisiana metal","0.39","0.93","1","-5.736","1","0.0539","0.00000272","0.201","0.109","0.164","85.028","4","","Metal Blade Records","C (C) 2022 Metal Blade Records, Inc., P (P) 2022 Metal Blade Records, Inc."
"spotify:track:3gRVHf7tMrvbAZFMqZIWmD","A Psylacybic Death","spotify:artist:0giVCDcrvEldaPK8aCF1vp","Abduction","spotify:album:0ldAuoMKfNhTDZn9lvLDgp","A Psylacybic Death","spotify:artist:0giVCDcrvEldaPK8aCF1vp","Abduction","2022-10-07","https://i.scdn.co/image/ab67616d0000b273b4c852977fee6fa8df932bfe","1","1","428181","https://p.scdn.co/mp3-preview/0de95bc31a65dbed5f64340db69f40bc416015aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBUM72202717","spotify:user:","2022-12-02T05:00:00Z","british black metal","0.275","0.807","7","-6.491","0","0.0592","0.0000143","0.741","0.378","0.0746","132.038","4","","Spinefarm Records UK","C © 2022 Universal Music Operations Limited, P A Candlelight Records release; ℗ 2022 Universal Music Operations Limited"
"spotify:track:69vWSqVEctJbTKD3qKaAnD","Puritania - The Kolbotn Tapes","spotify:artist:6e8ISIsI7UQZPyEorefAhK","Dimmu Borgir","spotify:album:2zOvw7u5XelDbYsxQMPQDI","Puritania (The Kolbotn Tapes)","spotify:artist:6e8ISIsI7UQZPyEorefAhK","Dimmu Borgir","2022-08-10","https://i.scdn.co/image/ab67616d0000b27345363050ca43406e61fb3810","1","1","169394","https://p.scdn.co/mp3-preview/8b4e7107df5074f9187ad6fcf7d7f14a0db090b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","DED832100198","spotify:user:","2022-12-02T05:00:00Z","black metal,melodic death metal,metal,norwegian black metal,norwegian metal,symphonic black metal,symphonic metal","0.33","0.656","11","-13.55","0","0.0415","0","0.819","0.077","0.616","83.653","4","","Nuclear Blast","C 2022 Nuclear Blast, P 2022 Nuclear Blast"
"spotify:track:65lPFRIFFc1BPZaQMZAOx2","Slaughterer of Souls","spotify:artist:6hR8mUd2yyHFazoCuweiIJ","Autopsy","spotify:album:0rNeQyZdV5rD6U4xjXj21T","Morbidity Triumphant","spotify:artist:6hR8mUd2yyHFazoCuweiIJ","Autopsy","2022-09-30","https://i.scdn.co/image/ab67616d0000b273c68f05cdb84700ec436a376c","1","10","266712","https://p.scdn.co/mp3-preview/59d5fb1835dce1b9fc40208d51fd314edde52790?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","GBCQV2200142","spotify:user:","2022-12-02T05:00:00Z","brutal death metal,death metal,doom metal,grindcore,metal,technical death metal","0.183","0.98","7","-4.305","1","0.11","0.000295","0.155","0.139","0.0561","108.301","3","","Peaceville Records","C (C) 2022 Peaceville Records Ltd, P (P) 2022 Peaceville Records Ltd"
"spotify:track:2KIFDLjfHIIkRum4fNmonY","KILLING PEOPLE FOR THE BETTERMENT OF THE PLANET","spotify:artist:69B0S7YBt4xKC2HCJMISyv","Cxrpse","spotify:album:0pOdTGdqc1p8iizWzoE64G","KILLING PEOPLE FOR THE BETTERMENT OF THE PLANET","spotify:artist:69B0S7YBt4xKC2HCJMISyv","Cxrpse","2022-11-23","https://i.scdn.co/image/ab67616d0000b2733f3779a129f8e57d62fc57b3","1","1","114147","https://p.scdn.co/mp3-preview/6cffc6f6ed12eb10bf65436753e76663acc8a253?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","QZSYP2204877","spotify:user:","2022-12-02T05:00:00Z","dark trap","0.293","0.841","1","-4.712","1","0.108","0.0643","0.0000103","0.0745","0.0396","176.597","4","","CXRPSE","P 2022 cxrpse"
"spotify:track:0nv2fQCtxDqIJuPTKynKy8","Pillars Of Mercy","spotify:artist:3eVkhnD2UKVjX5uiUsqfXP","Absu","spotify:album:0XvzG5PTrCcGxR3LiY8xke","Tara","spotify:artist:3eVkhnD2UKVjX5uiUsqfXP","Absu","2008-07-01","https://i.scdn.co/image/ab67616d0000b273cc7739a88ea3aa86674f1bde","1","2","261693","https://p.scdn.co/mp3-preview/89873d3e6eed22cb58e71e29d19a011342a97a02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FR4E60000730","spotify:user:","2022-12-02T05:00:00Z","black death,black metal,black thrash,death metal,metal,occult black metal,pagan black metal,technical black metal,usbm","0.269","0.993","8","-6.664","1","0.0866","0.00134","0.393","0.129","0.161","145.99","4","","Osmose Productions","C Osmose Productions, P Osmose Productions"
