"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:209NMuyjXMryt970O7cjg3","Pieces Of The People We Love","spotify:artist:166Dz1GX3xonSQ3Z6CQW26","The Rapture","spotify:album:5PILsStb9LmMlu7IQpn3GK","Pieces Of The People We Love","spotify:artist:166Dz1GX3xonSQ3Z6CQW26","The Rapture","2006-01-01","https://i.scdn.co/image/ab67616d0000b27329d12772598754e2102e7614","1","2","223520","https://p.scdn.co/mp3-preview/aace434f6fae8851dbf49499d260a9a3dc54720f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBUM70601857","spotify:user:1190591070","2015-09-12T18:00:07Z","alternative dance,dance-punk,electroclash,electronica,indie rock,modern rock,new rave","0.786","0.507","11","-5.327","1","0.0382","0.0000619","0.166","0.143","0.469","140.007","4","","EMI","C © 2006 Mercury Records Limited, P ℗ 2006 Mercury Records Limited"
"spotify:track:3n9Roz49akxftZl1kJv2tK","To the Top","spotify:artist:6fLrPFLWLSCrp7gcTZXcKb","Twin Shadow","spotify:album:4MkY7K5eyXl0Ts42KLCyir","Eclipse","spotify:artist:6fLrPFLWLSCrp7gcTZXcKb","Twin Shadow","2015-03-09","https://i.scdn.co/image/ab67616d0000b27353ec01dc9c41cacb965c32cc","1","3","196933","https://p.scdn.co/mp3-preview/3007b966d275b8a3b06c46e75a4e0ade5fdaa2f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USWB11403587","spotify:user:1190591070","2015-09-12T18:00:10Z","alternative dance,art pop,chillwave,electropop,indietronica,metropopolis","0.429","0.725","2","-6.156","1","0.0371","0.00502","0.0000154","0.266","0.159","82.925","4","","Warner Records","C © 2015 Warner Records Inc., P ℗ 2014, 2015 Warner Records Inc."
"spotify:track:6nojo9DPsoxBbfqI2odPtQ","Kiss the sky","spotify:artist:3DkmShHV6P6CezJN6EPmCJ, spotify:artist:2t2sOC1zFZpj0Li5YZmXAp","Shawn Lee, Nino Moschella","spotify:album:7ljPlK6a1usKIva367O7Wp","Mezzanine de L'Alcazar Volume 5","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-03-19","https://i.scdn.co/image/ab67616d0000b273255f33d18e2ec88f0a5ac9b6","1","1","215532","","false","0","USUR40720704","spotify:user:1190591070","2015-09-12T18:00:13Z","","0.536","0.702","6","-7.004","0","0.0284","0.0664","0.683","0.13","0.246","85.247","4","","Pschent Music","C 2007 Pschent Music, P 2007 Pschent Music"
"spotify:track:3g86N0SqyfxEVNMHlmW3RE","Busy Earnin'","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","spotify:album:6IH6co1QUS7uXoyPDv0rIr","Jungle","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","2014-07-14","https://i.scdn.co/image/ab67616d0000b273a41a6c65f0428c84e556d396","1","3","181772","","false","0","GBBKS1400112","spotify:user:1190591070","2015-09-12T18:01:25Z","uk contemporary r&b","0.457","0.883","10","-5.61","0","0.0376","0.209","0.00000511","0.0912","0.736","99.937","4","","XL Recordings","C 2014 XL Recordings Limited., P 2014 XL Recordings Limited."
"spotify:track:5c5a2Ptu8eyIpljhQHjIqk","Ain't No Rest For The Wicked - Original Version","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:0KcRX7YkMZ4mwOkEiCb9zw","Cage The Elephant","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2008-01-01","https://i.scdn.co/image/ab67616d0000b27304a4f82bf0594b411397edde","1","3","175493","","false","0","GBGLM0700133","spotify:user:1190591070","2015-09-12T18:02:25Z","modern rock,punk blues,rock","0.635","0.914","0","-5.631","1","0.111","0.0597","0","0.601","0.922","156.014","4","","Relentless/Virgin","C © 2008 4u2asky Entertainment Inc t/a DSP Entertainment, P ℗ 2008 4u2asky Entertainment Inc t/a DSP Entertainment"
"spotify:track:2inSaXfDWLkOfwYPZItoBw","Short Change Hero","spotify:artist:0bZCak2tcRMY1dzEIuwF42","The Heavy","spotify:album:6GJl4impgRmt2MY5CY5BbW","The House That Dirt Built","spotify:artist:0bZCak2tcRMY1dzEIuwF42","The Heavy","2009-10-05","https://i.scdn.co/image/ab67616d0000b2737389867f3702284e91f7799a","1","5","322266","","false","0","GBCFB0901504","spotify:user:1190591070","2015-09-12T18:03:34Z","bath indie,funk,garage rock,modern alternative rock,modern blues rock,modern rock,rock","0.68","0.64","1","-6.691","0","0.0336","0.29","0.00593","0.124","0.738","105.981","4","","Counter Records","C 2009 Counter Records, P 2009 Counter Records"
"spotify:track:7osxdmjPy3wzMVGWxQKDp3","No Heaven","spotify:artist:0glR494sLIJfgyO03vHgnw","Champion","spotify:album:49HHObHFjhbxySp1pSnDgM","Chill' Em All","spotify:artist:0glR494sLIJfgyO03vHgnw","Champion","2004","https://i.scdn.co/image/ab67616d0000b273f68b64b445e1dbdf5b6ecf2f","1","2","206533","","false","0","CAL660400003","spotify:user:1190591070","2015-09-12T18:04:34Z","uk funky","0.652","0.686","4","-10.38","1","0.0607","0.0169","0.802","0.612","0.623","120.056","4","","Saboteur","C Saboteur 2004, P Saboteur 2004"
"spotify:track:3nGWzFBJ5tMzHWAgs16fK6","What Makes A Good Man?","spotify:artist:0bZCak2tcRMY1dzEIuwF42","The Heavy","spotify:album:5MmMomspau1V5YpXjHYJRy","The Glorious Dead","spotify:artist:0bZCak2tcRMY1dzEIuwF42","The Heavy","2012-08-17","https://i.scdn.co/image/ab67616d0000b273ffa262e79ca11e55114f7fd6","1","3","226380","https://p.scdn.co/mp3-preview/e2bf91e633bdb8d1baacccb982d087472f036f27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBCFB1200102","spotify:user:1190591070","2015-09-12T18:05:06Z","bath indie,funk,garage rock,modern alternative rock,modern blues rock,modern rock,rock","0.456","0.803","2","-4.265","1","0.0786","0.000259","0.000368","0.291","0.333","186.15","4","","Counter Records","C 2012 Counter Records, P 2012 Counter Records"
"spotify:track:2kWowW0k4oFymhkr7LmvzO","Come with Me Now","spotify:artist:58R5LHkK3vkmEyGUPOR5kS","KONGOS","spotify:album:71C65HI7THrlkpHHa24YJX","Lunatic","spotify:artist:58R5LHkK3vkmEyGUPOR5kS","KONGOS","2014-01-27","https://i.scdn.co/image/ab67616d0000b27367ff87e2839c5c93bb6e6a6a","1","2","211960","https://p.scdn.co/mp3-preview/f846ecc31a6914d930ab0efb466556be41fa6032?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USY741100002","spotify:user:1190591070","2015-09-12T18:05:39Z","modern alternative rock,modern blues rock,modern rock,south african rock","0.654","0.726","10","-3.803","0","0.0401","0.0311","0.0000635","0.0618","0.728","103.987","4","","Epic","P (P) 2014 Epic Records, a division of Sony Music Entertainment"
"spotify:track:03CLsFk6JSz301bKuukPSD","Retrograde","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","spotify:album:12ExNn0hx85F8UNzoKCyCD","Overgrown","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","2013-04-08","https://i.scdn.co/image/ab67616d0000b273e3248e994fec952e380f8562","1","5","223600","","false","0","GBUM71300788","spotify:user:1190591070","2015-10-28T13:20:49Z","electronica,indie soul,uk alternative pop","0.324","0.256","7","-11.229","0","0.042","0.869","0.078","0.134","0.182","77.906","4","","Universal Music Group","C © 2013 Polydor Ltd. (UK), P ℗ 2013 Polydor Ltd. (UK)"
"spotify:track:5BkNCuxzzid0gz9sx3NNbX","My Silver Lining","spotify:artist:21egYD1eInY6bGFcniCRT1","First Aid Kit","spotify:album:6toF7GAattD7gLgqKbY8f9","Stay Gold","spotify:artist:21egYD1eInY6bGFcniCRT1","First Aid Kit","2014-06-06","https://i.scdn.co/image/ab67616d0000b2738b807fc9cf395e6f7182a845","1","1","215493","https://p.scdn.co/mp3-preview/47008bfc71099d791ea2ef45b3b50174673abac2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM11401643","spotify:user:1190591070","2015-10-28T13:22:22Z","swedish americana,swedish country","0.479","0.725","2","-4.671","1","0.0335","0.026","0.000129","0.209","0.43","101.938","4","","Columbia","P (P) 2014 Jagadamba, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2Z8EqEtv0CxT6Jfzfdhtbf","Black Dragon","spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD","The Vines","spotify:album:4j2kIMxPRG1mlI0NNCUiIT","Future Primitive","spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD","The Vines","2011-06-06","https://i.scdn.co/image/ab67616d0000b273fc39d825efdca7dc81bc023a","1","9","208986","https://p.scdn.co/mp3-preview/a142901bf1f2ea00ecab16a33a06cc8ecad6364e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","AUBM01100082","spotify:user:1190591070","2017-01-08T12:22:25Z","alternative rock,garage rock,modern rock,rock","0.191","0.807","0","-4.726","1","0.0426","0.00000252","0.897","0.158","0.246","138.723","4","","Sony Music Entertainment","P (P) 2011 The Vines under exclusive license to Sony Music Entertainment Australia Pty Ltd."
"spotify:track:6ExAdhZPkHjRto7CyYnrcY","Goodbye","spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD","The Vines","spotify:album:4j2kIMxPRG1mlI0NNCUiIT","Future Primitive","spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD","The Vines","2011-06-06","https://i.scdn.co/image/ab67616d0000b273fc39d825efdca7dc81bc023a","1","12","134266","https://p.scdn.co/mp3-preview/cc835646271de1d3c3daeeceedd1304802f5848e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","AUBM01100084","spotify:user:1190591070","2017-01-08T12:22:50Z","alternative rock,garage rock,modern rock,rock","0.515","0.0637","2","-12.589","1","0.0321","0.951","0.0000665","0.104","0.359","68.475","4","","Sony Music Entertainment","P (P) 2011 The Vines under exclusive license to Sony Music Entertainment Australia Pty Ltd."
"spotify:track:7nBFCwnYqgmNOOS5PrTlfN","Fools Rhythm","spotify:artist:2AminfyJLRagEeHO6H6bCS","Two Fingers","spotify:album:5j0mXvmzTXI1h1ryaEUgqW","Stunt Rhythms","spotify:artist:2AminfyJLRagEeHO6H6bCS","Two Fingers","2012-10-08","https://i.scdn.co/image/ab67616d0000b2732cb1404c87a9247b739dc9b2","1","4","234866","https://p.scdn.co/mp3-preview/449bbd2df88a76372c2c9976c4d8c443bb75ecf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBCFB1205404","spotify:user:1190591070","2019-03-29T09:52:37Z","ninja,turntablism,wonky","0.589","0.82","2","-6.099","1","0.114","0.000605","0.858","0.941","0.531","86.051","4","","Big Dada","C 2012 Big Dada, P 2012 Big Dada"
"spotify:track:5jCyw3gXBuokjBKJJYsDsk","Can't Hold Me Down","spotify:artist:25oLRSUjJk4YHNUsQXk7Ut, spotify:artist:63oJNt0P1lu1EDXUGonpGM","GRiZ, Tash Neal","spotify:album:1H11dYnWcUyVpw3MMakGAl","Good Will Prevail","spotify:artist:25oLRSUjJk4YHNUsQXk7Ut","GRiZ","2016-09-23","https://i.scdn.co/image/ab67616d0000b273bb2fccfc1c079ec32e9b817d","1","2","216837","https://p.scdn.co/mp3-preview/3d967049b072bc60426c36b99fe26a3ab8edf228?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USA2P1686659","spotify:user:1190591070","2019-03-29T09:52:52Z","edm,electronic trap,electropop,jamtronica,jazztronica,livetronica","0.541","0.933","9","-4.862","1","0.12","0.00259","0.000523","0.136","0.144","89.981","4","","All Good Records","C © 2016 All Good Records, P ℗ 2016 All Good Records"
"spotify:track:5bCDC7qkmxiJc0lPsqiALj","Let Me Live / Let Me Die","spotify:artist:2kO6mP0olFJGGh6kvUdNC8","Des Rocs","spotify:album:4xPEjD84ueU6Oq6l2saC2d","Let The Vultures In","spotify:artist:2kO6mP0olFJGGh6kvUdNC8","Des Rocs","2018-11-02","https://i.scdn.co/image/ab67616d0000b273668fe74360bd5c9cb10b47da","1","1","207141","","false","0","GBKPL1812549","spotify:user:1190591070","2019-06-09T21:16:52Z","modern alternative rock,modern rock,rebel blues,rock","0.51","0.759","9","-4.854","1","0.101","0.034","0","0.077","0.237","91.123","4","","Des Rocs","C 2018 Des Rocs, P 2018 Des Rocs"
"spotify:track:1JO1xLtVc8mWhIoE3YaCL0","Happy Together","spotify:artist:2VIoWte1HPDbZ2WqHd2La7","The Turtles","spotify:album:2pMxs38Y5A0mmHrcu3twvB","Happy Together","spotify:artist:2VIoWte1HPDbZ2WqHd2La7","The Turtles","1967","https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929","1","6","176293","https://p.scdn.co/mp3-preview/4f8e88b4a53cd73b6385a9f92e4cb6326aee1458?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USA560587940","spotify:user:1190591070","2019-07-16T14:40:26Z","bubblegum pop,classic rock,folk rock,psychedelic rock","0.584","0.367","6","-9.638","0","0.0328","0.55","0.0000138","0.0818","0.588","120.175","4","","Flo & Eddie, Inc.","C 1967 Flo & Eddie, Inc."
"spotify:track:6O62m95BITlZWXDzzrRtjb","I Gotta Rokk","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","spotify:album:2cK9AdSA8Lxg4LDY5IZVRa","I Gotta Rokk","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","2011-01-01","https://i.scdn.co/image/ab67616d0000b273822bbc07089227c9db93552d","1","1","389433","https://p.scdn.co/mp3-preview/c63da0c9cfba1d36b80c61d0c562b364db816b47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBUM71103378","spotify:user:1190591070","2019-07-16T14:45:19Z","big beat,downtempo,electronica,hip hop,trip hop,turntablism","0.554","0.746","8","-5.387","1","0.301","0.143","0.466","0.0919","0.4","180.37","4","","Universal-Island Records Ltd.","C © 2011 A&M Records Limited, P ℗ 2011 A&M Records Limited"
"spotify:track:2AwHZZUf8QLreMWUrgR4T9","Meth Lab Zoso Sticker","spotify:artist:3P5NW1wQjcWpR0VsT1m0xr","7Horse","spotify:album:60IwyXp7T0zwmRsK2JoE01","Let The 7Horse Run","spotify:artist:3P5NW1wQjcWpR0VsT1m0xr","7Horse","2011-11-11","https://i.scdn.co/image/ab67616d0000b273b48806a730410528efd9aec6","1","1","221200","","false","3","TCABB1195544","spotify:user:1190591070","2019-07-16T14:45:54Z","modern blues rock","0.417","0.945","0","-3.424","1","0.116","0.115","0.000319","0.1","0.518","79.82","4","","Los Gatos","C 2011 Los Gatos, P 2011 Los Gatos"
"spotify:track:0kHwTHf8ye0mSd66pwcrEN","How You Like Me Now","spotify:artist:0bZCak2tcRMY1dzEIuwF42","The Heavy","spotify:album:7DjSNptx7IUVoWuSeN4rxA","The House That Dirt Built","spotify:artist:0bZCak2tcRMY1dzEIuwF42","The Heavy","2009-10-05","https://i.scdn.co/image/ab67616d0000b27387aa34532133fbd0ba267b16","1","2","217493","https://p.scdn.co/mp3-preview/15d605a9a5570ca61d1670fa12c0a8446552424a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCFB0901502","spotify:user:1190591070","2019-07-16T14:47:30Z","bath indie,funk,garage rock,modern alternative rock,modern blues rock,modern rock,rock","0.647","0.71","0","-4.692","1","0.029","0.000973","0.703","0.0777","0.268","110.059","4","","Counter Records","C 2009 Counter Records, P 2009 Counter Records"
"spotify:track:5n0CTysih20NYdT2S0Wpe8","Trouble","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:0nW0w37lrQ87k7PLZvC4qJ","Tell Me I'm Pretty","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2015-12-18","https://i.scdn.co/image/ab67616d0000b273e7dd69ac32cf313fde62cbad","1","6","225973","https://p.scdn.co/mp3-preview/0c51113ea9aa1d7febc6a68fd4f882a3a0e3e41d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC11502826","spotify:user:1190591070","2022-03-25T14:02:32Z","modern rock,punk blues,rock","0.47","0.623","0","-5.655","1","0.0302","0.392","0.000439","0.0992","0.298","77.861","4","","RCA Records Label","P (P) 2015 RCA Records, a division of Sony Music Entertainment"
