"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2h7w0KHwHbx4WbG6WxjO7U","Pacific State","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:0mwlWFUpsVDeDw5kkUlDzV","ESP: The 808 State Effect","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","2021-09-03","https://i.scdn.co/image/ab67616d0000b2737cc69fb85af30da6dd6c40d5","1","1","351400","https://p.scdn.co/mp3-preview/579c61f878fec5bd95a2f22e12fb3a06491a62fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAHW1100023","spotify:user:","2022-11-23T11:55:14Z","acid house,big beat,classic house,electronica,hardcore techno,hip house,intelligent dance music,madchester,rave,techno","0.682","0.979","10","-6.496","0","0.0733","0.0649","0.882","0.14","0.277","124.188","4","","ZTT Records","C © 2021 ZTT Records Limited, P This Compilation ℗ 2021 ZTT Records Limited"
"spotify:track:7FVvHGA46aU7mkwx4iHMRE","Little Fluffy Clouds","spotify:artist:5HAtRoEPUvGSA7ziTGB1cF","The Orb","spotify:album:0ee1sAau9a2DXQkAyezdwk","Adventures Beyond The Ultraworld","spotify:artist:5HAtRoEPUvGSA7ziTGB1cF","The Orb","1991-04-02","https://i.scdn.co/image/ab67616d0000b273a9edde0a7cfcc62232856096","1","1","267666","https://p.scdn.co/mp3-preview/1e9754133ee923d379ec9c65db4e47e78062ac92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAAN9100004","spotify:user:","2022-11-23T11:55:14Z","ambient house,electronica,intelligent dance music,trip hop","0.661","0.542","6","-18.465","0","0.0405","0.01","0.269","0.129","0.541","104.99","4","","Universal-Island Records Ltd.","C © 1991 Inter-Modo, P ℗ 1991 Inter-Modo"
"spotify:track:0tH7mxb2ML1VlOinHRcelQ","Clipper","spotify:artist:6WH1V41LwGDGmlPUhSZLHO","Autechre","spotify:album:0ioIXXMV89w0qC39FpxYnL","Tri Repetae","spotify:artist:6WH1V41LwGDGmlPUhSZLHO","Autechre","1995-11-06","https://i.scdn.co/image/ab67616d0000b273acda0e3782d4628782949d31","1","2","514000","https://p.scdn.co/mp3-preview/7bf29ccd4486706c3e8d01d305b4002b8327b9ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBBPW9500178","spotify:user:","2022-11-23T11:55:14Z","abstract,ambient,ambient techno,deconstructed club,deep idm,drill and bass,electro,electronica,experimental,glitch,intelligent dance music,microhouse,outsider house,techno,uk experimental electronic","0.623","0.864","8","-11.918","1","0.159","0.134","0.849","0.369","0.968","160.025","5","","Warp Records","C 1995 Warp Records, P 1995 Warp Records"
"spotify:track:0TJJcRcGvDs7DxAL79bqFN","Baltimore to Fair Play","spotify:artist:6dYrdRlNZSKaVxYg5IrvCH, spotify:artist:623YeFh2bNivR5ZxQcsjjP","The KLF, The Justified Ancients of Mu Mu","spotify:album:4fBvkZkBuPyo3k7ZogKFAo","Come Down Dawn","spotify:artist:6dYrdRlNZSKaVxYg5IrvCH, spotify:artist:623YeFh2bNivR5ZxQcsjjP","The KLF, The Justified Ancients of Mu Mu","2021-02-04","https://i.scdn.co/image/ab67616d0000b2737152bb4251bfa5ea2cb09bf3","1","4","464777","https://p.scdn.co/mp3-preview/387a73c7f2571fbc7671657377c3f27a9e5f5272?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBCEL2100100","spotify:user:","2022-11-23T11:55:14Z","acid house,ambient house,big beat,hip house,acid house","0.1","0.305","1","-15.294","0","0.0348","0.0337","0.803","0.0929","0.0375","69.363","4","","KLF Communications","C 2021 KLF Communications, P 2021 KLF Communications"
"spotify:track:7c4lnS1bSj4fRJWAQ8D54R","#13","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:17vHPMmoxN5B8cdhCDeMTe","Selected Ambient Works Volume II","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1994-03-07","https://i.scdn.co/image/ab67616d0000b27332083f1a325ed4939f1fbecd","2","1","440333","https://p.scdn.co/mp3-preview/4a64686dd562ad06aff224b657a3e2f2b8fb7126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBBPW9400044","spotify:user:","2022-11-23T11:55:14Z","ambient,braindance,electronica,intelligent dance music,uk experimental electronic","0.497","0.127","5","-29.508","0","0.051","0.993","0.859","0.147","0.0402","134.902","4","","Warp Records","C 1994 Warp Records Limited, P 1994 Warp Records Limited"
"spotify:track:1dV0JUzukyWI1BO5tcVpCh","Lady Burning Sky","spotify:artist:0wTMDXNFj8bX2rKZuBDEdd","Neutron 9000","spotify:album:0Q9MAgJqzAEbFaBopjzY1H","Lady Burning Sky","spotify:artist:0wTMDXNFj8bX2rKZuBDEdd","Neutron 9000","2021-05-07","https://i.scdn.co/image/ab67616d0000b273df991e137cfb101237a01f54","1","1","841685","https://p.scdn.co/mp3-preview/bf4986ad6556ac4a31d3543313fd093bde3d65b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","DEG932101186","spotify:user:","2022-11-23T11:55:14Z","ambient house","0.706","0.656","11","-10.975","1","0.0335","0.707","0.533","0.0758","0.306","139.962","4","","Turbo Recordings","C 2021 Turbo Recordings, P 2021 Turbo Recordings"
"spotify:track:3gpLIMd0ySkcorvVIMtmTp","14:31","spotify:artist:6YktolrgGPFMwWrmAgf4hu","Global Communication","spotify:album:4y0wXNP3t9rUv1y58Peuj1","76:14","spotify:artist:6YktolrgGPFMwWrmAgf4hu","Global Communication","1994-05-10","https://i.scdn.co/image/ab67616d0000b273d32299bbb57fcaeb0a52c730","1","2","878360","https://p.scdn.co/mp3-preview/a8b7c56f452f1bcd2fc6e522b7254cfef17f35a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBARL9400474","spotify:user:","2022-11-23T11:55:14Z","ambient,ambient house,intelligent dance music","0.528","0.377","10","-18.005","0","0.034","0.815","0.826","0.536","0.159","115.018","4","","Dedicated","P (P) 1994 Dedicated."
"spotify:track:3UteqPisakwAwZ1xKjERqf","Magical Dream","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:46z1u29jqg6fZA6mAO2E8Y","Ninety","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","1989-12-04","https://i.scdn.co/image/ab67616d0000b273ab5f002cca7ec2e243a1bc0a","1","1","232906","https://p.scdn.co/mp3-preview/2cfbfe4de0c137f2f4bfc2cb81d9dd639ebb7de2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBAHW0800001","spotify:user:","2022-11-23T11:55:14Z","acid house,big beat,classic house,electronica,hardcore techno,hip house,intelligent dance music,madchester,rave,techno","0.59","0.977","7","-5.213","1","0.0568","0.059","0.895","0.221","0.311","120.249","4","","ZTT Records","C © 1989 ZTT Records Limited, P ℗ 2008 ZTT Records Limited"
"spotify:track:3B4lp8GZOzyvpNePkbL7ga","Plateau","spotify:artist:5HAtRoEPUvGSA7ziTGB1cF","The Orb","spotify:album:2cLITANiTl4sj0lTBR8Afg","Orbvs Terrarvm","spotify:artist:5HAtRoEPUvGSA7ziTGB1cF","The Orb","1995-04-04","https://i.scdn.co/image/ab67616d0000b273694bc580a8063851ab6e1add","1","2","769026","https://p.scdn.co/mp3-preview/df7258bc06710d7d5f10e7ded68cc904e831fc7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBAAN9500051","spotify:user:","2022-11-23T11:55:14Z","ambient house,electronica,intelligent dance music,trip hop","0.217","0.636","11","-14.525","1","0.0607","0.0147","0.422","0.303","0.0732","81.601","1","","UMC (Universal Music Catalogue)","C © 2008 Universal-Island Records Ltd., P This Compilation ℗ 2008 Universal-Island Records Ltd."
"spotify:track:2Bc4llhjJBW77I552RgA3L","#3","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:17vHPMmoxN5B8cdhCDeMTe","Selected Ambient Works Volume II","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1994-03-07","https://i.scdn.co/image/ab67616d0000b27332083f1a325ed4939f1fbecd","1","3","464293","https://p.scdn.co/mp3-preview/e7a42e06953b797233ef79a172500e5d120b8acd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBBPW9400034","spotify:user:","2022-11-23T11:55:14Z","ambient,braindance,electronica,intelligent dance music,uk experimental electronic","0.167","0.071","6","-27.108","0","0.041","0.911","0.855","0.107","0.0613","143.315","5","","Warp Records","C 1994 Warp Records Limited, P 1994 Warp Records Limited"
