"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3D6ZPZrFk2CHZCJ2STxHW7","In the Minds of Evil","spotify:artist:2K3GorTixXKAiwe2t9lO89","Deicide","spotify:album:67GkH7HsM4Stab3ORwNyfo","In the Minds of Evil","spotify:artist:2K3GorTixXKAiwe2t9lO89","Deicide","2013-11-26","https://i.scdn.co/image/ab67616d0000b273515ec98121f8de0266b77022","1","1","233048","https://p.scdn.co/mp3-preview/b7405a83153f566e279a7cb032657a12a3685319?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","US4E41302701","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-05T19:01:17Z","black metal,brutal death metal,death metal,florida death metal,metal,technical death metal","0.535","0.889","10","-5.547","0","0.0533","0.0000992","0.41","0.329","0.327","97.493","4","","Century Media","P (P) 2013 Century Media Records, Ltd."
"spotify:track:1GQ53zFkceMExs9KXYd2Ul","The Stench Of Redemption","spotify:artist:2K3GorTixXKAiwe2t9lO89","Deicide","spotify:album:4upuFjlQaEYaWyTWWaNBuq","The Stench Of Redemption","spotify:artist:2K3GorTixXKAiwe2t9lO89","Deicide","2006","https://i.scdn.co/image/ab67616d0000b273c8d1529ddbc26dba117e9a5c","1","1","249613","https://p.scdn.co/mp3-preview/848c49edd92a31202afa9c9ff0f37d37b8fc56ee?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","GBBPB0600121","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-05T19:01:33Z","black metal,brutal death metal,death metal,florida death metal,metal,technical death metal","0.264","0.991","8","-4.623","0","0.172","0.0000462","0.842","0.0931","0.178","116.922","4","","Earache Records Ltd","C 2009 Earache Records Ltd, P 2009 Earache Records Ltd"
"spotify:track:0Rgg2T9J1eL99dwywjezT5","Apokatastasis Pantôn","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","spotify:album:0IacUrFK1BuOr0MrhTGKQN","Paracletus","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","2010-11-08","https://i.scdn.co/image/ab67616d0000b273e8c5dd1a7476258e2446e5b1","1","10","243626","https://p.scdn.co/mp3-preview/5e16a0c7566043b67168d6387c1341d265883d9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR33T1080910","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-05T19:08:38Z","avant-garde black metal,black metal,dark black metal,dissonant death metal,french black metal,french metal,technical black metal,voidgaze","0.353","0.958","0","-3.111","0","0.0467","0.000025","0.466","0.198","0.128","78.856","4","","NoEvDiA","C 2010 NoEvDia, P 2010 NoEvDia"
"spotify:track:3wEYSq5lEMivJmKUDKPJGn","Ov My Herculean Exile","spotify:artist:1MK0sGeyTNkbefYGj673e9","Behemoth","spotify:album:4HJqsD4Aw2HHa24liDoxFe","Opvs Contra Natvram","spotify:artist:1MK0sGeyTNkbefYGj673e9","Behemoth","2022-09-16","https://i.scdn.co/image/ab67616d0000b2730c72188d81aada38decb65f4","1","4","283791","https://p.scdn.co/mp3-preview/43d0e4dcfc6448d99f97f60c90a72c450e8088b4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","DED832200055","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-06T10:32:40Z","black metal,death metal,metal,pagan black metal,polish black metal,polish death metal,polish metal","0.411","0.937","4","-5.001","0","0.0571","0.0000194","0.0245","0.153","0.225","110.972","3","","Nuclear Blast","C 2022 Nuclear Blast, P 2022 Nuclear Blast"
"spotify:track:2RM6p5lHeqQswGVfOM2QBu","Neo-Spartacvs","spotify:artist:1MK0sGeyTNkbefYGj673e9","Behemoth","spotify:album:4HJqsD4Aw2HHa24liDoxFe","Opvs Contra Natvram","spotify:artist:1MK0sGeyTNkbefYGj673e9","Behemoth","2022-09-16","https://i.scdn.co/image/ab67616d0000b2730c72188d81aada38decb65f4","1","5","258160","https://p.scdn.co/mp3-preview/b38d1dd4a1d193d47fe46460133386ef9ba2e643?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","DED832200056","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-24T19:51:52Z","black metal,death metal,metal,pagan black metal,polish black metal,polish death metal,polish metal","0.148","0.978","6","-4.02","0","0.187","0.0000224","0.0000836","0.0805","0.34","66.121","4","","Nuclear Blast","C 2022 Nuclear Blast, P 2022 Nuclear Blast"
"spotify:track:4TktvZTsMoFukiim1otMtr","Welcome Home (Sanitarium)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Lq2qX3hYhiuPckC8Flj21","Master Of Puppets (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20","1","4","387146","https://p.scdn.co/mp3-preview/792be6dedf61264de1055e660463374463d1d0de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QMKHM1600221","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-10T15:36:30Z","hard rock,metal,old school thrash,rock,thrash metal","0.306","0.766","0","-9.693","1","0.0329","0.000324","0.101","0.102","0.42","96.668","4","","Blackened Recordings / Universal Music","C © 2017 Blackened Recordings Inc., under exclusive licence to Universal International Music B.V., P ℗ 2017 Blackened Recordings Inc., under exclusive licence to Universal International Music B.V."
"spotify:track:3JRmeCjOaBqRCvzwCx9MNh","Cold","spotify:artist:6YXarbjg36ODFPez0PnOlD","At The Gates","spotify:album:1m0px7K5tJndjxU6RIuL8U","Slaughter Of The Soul","spotify:artist:6YXarbjg36ODFPez0PnOlD","At The Gates","1995","https://i.scdn.co/image/ab67616d0000b273c88cbdf5c897cfd7407196d9","1","3","207773","https://p.scdn.co/mp3-preview/44f3581e2c6ab0dfb56c9c9c65c2e18085f4a527?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBBPB0200022","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-07T10:42:33Z","death metal,gothenburg metal,melodic death metal,metal,swedish death metal,swedish melodeath,swedish metal","0.245","0.983","7","-7.314","1","0.124","0.00000228","0.811","0.658","0.276","129.996","3","","Earache Records Ltd","C 2009 Earache Records Ltd, P 2009 Earache Records Ltd"
"spotify:track:3DfL249UiNlVvCqh67Lt7Y","Cold Hate Warm Blood","spotify:artist:29PgYwTelpNl6370XLqFtN","Cryptopsy","spotify:album:51Nl6Dr1NAqJqMLersdrUE","Whisper Supremacy","spotify:artist:29PgYwTelpNl6370XLqFtN","Cryptopsy","1998-07-13","https://i.scdn.co/image/ab67616d0000b2735f9c6d9b892a7c8575ce6222","1","2","233800","https://p.scdn.co/mp3-preview/13f796edd0e3316fbd12dde71172d94b05654780?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","US4E40592102","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-07T10:44:10Z","brutal death metal,canadian metal,death metal,quebec death metal,technical death metal,technical deathcore,technical melodic death metal","0.271","0.969","7","-4.989","1","0.199","0.00000722","0.84","0.163","0.39","108.356","4","","Century Media","P (P) 1998 Century Media Records Ltd."
"spotify:track:69Yia3qCLw6N9U80WhLwLn","Voice of the Soul","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:0p6DxsQOhQ5qiBnUu9G1PB","The Sound of Perseverance - Reissue","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","1998","https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59","1","6","223933","https://p.scdn.co/mp3-preview/84d39ab06f7785bb9805353f218e1cfaeb766fc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","US2641115406","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-07T10:44:26Z","alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal","0.158","0.572","7","-6.293","0","0.0346","0.000926","0.893","0.144","0.347","79.176","3","","Relapse Records","C (C) 2011 Relapse Records Inc."
"spotify:track:3uyKKxrdCyezZX3wCDVfR0","Cold","spotify:artist:2O8ZayBAqBqoXujSAAx7pm","Psycroptic","spotify:album:5Ej1IWmsitRt2rA8Leoc2H","Psycroptic","spotify:artist:2O8ZayBAqBqoXujSAAx7pm","Psycroptic","2015-03-10","https://i.scdn.co/image/ab67616d0000b273b951ff0421d354eafd82c2ec","1","4","275777","https://p.scdn.co/mp3-preview/f3598bea1d55318633cf1ceb6cfc3b5ae146b720?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USERN1008944","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-07T10:51:30Z","australian death metal,australian metal,brutal death metal,death metal,technical death metal","0.636","0.974","2","-7.132","1","0.0929","0.000101","0.781","0.0744","0.0422","104.998","4","","Prosthetic","C (C) 2015 Prosthetic Records"
