"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:37ZJ0p5Jm13JPevGcx4SkF","Livin' On A Prayer","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0kBfgEilUFCMIQY5IOjG4t","Slippery When Wet","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1986-08-16","https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac","1","3","249293","https://p.scdn.co/mp3-preview/fabd6cd060e5dcfdc6e48db3f4931643d6ef280c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USPR38619998","spotify:user:oliviaacrocker","2021-03-27T19:07:50Z","glam metal,rock","0.532","0.887","0","-3.757","1","0.0335","0.0778","0.000214","0.294","0.795","122.511","4","","Island Records","C © 1986 UMG Recordings, Inc., P A Mercury Records release; ℗ 1986 UMG Recordings, Inc."
"spotify:track:62bOmKYxYg7dhrC6gH9vFn","Bye Bye Bye","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","1","200400","https://p.scdn.co/mp3-preview/112c20c8714921dc56cbe6e79e7f56152c7905f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USJI10000001","spotify:user:oliviaacrocker","2021-03-27T19:07:54Z","boy band,dance pop,post-teen pop","0.61","0.926","8","-4.843","0","0.0479","0.031","0.0012","0.0821","0.861","172.638","4","","Jive","P (P) 2000 Zomba Recording LLC"
"spotify:track:5WTxbyWTpoqhdxEN2szOnl","Everybody (Backstreet's Back) - Extended Version","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:0wvQovgaVU99eqw8n3g22S","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1996","https://i.scdn.co/image/ab67616d0000b273dafd4b9261a1ab9acd53a53d","1","4","287293","https://p.scdn.co/mp3-preview/74f0b8e12d0322fdce86b0884b694fc26682d7f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USJI19710084","spotify:user:oliviaacrocker","2021-03-27T19:07:59Z","boy band,dance pop","0.792","0.81","10","-5.198","0","0.0368","0.00609","0.000153","0.224","0.509","108.054","4","","Jive","P (P) 1997 Zomba Recording LLC"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","1999-01-12","https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02","1","1","211066","https://p.scdn.co/mp3-preview/fd353f288358cb29fa0628254152ec6aab2ee99c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USJI19810404","spotify:user:oliviaacrocker","2021-03-27T19:08:02Z","dance pop,pop","0.759","0.699","0","-5.745","0","0.0307","0.202","0.000131","0.443","0.907","92.96","4","","Jive","P (P) 1999 Zomba Recording LLC"
"spotify:track:0Ph6L4l8dYUuXFmb71Ajnd","Livin' la Vida Loca","spotify:artist:7slfeZO9LsJbWgpkIoXBUJ","Ricky Martin","spotify:album:1k1Cr3nlJDa8pvwZUJ5xfj","Ricky Martin","spotify:artist:7slfeZO9LsJbWgpkIoXBUJ","Ricky Martin","1999","https://i.scdn.co/image/ab67616d0000b273e7e9b85cc1f021ec12130d80","1","1","243160","https://p.scdn.co/mp3-preview/3317fa4d1bdb62e178414fcdc820eb4f1012b946?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","NLB639920005","spotify:user:oliviaacrocker","2021-03-27T19:08:05Z","dance pop,latin pop,mexican pop,puerto rican pop","0.425","0.954","1","-3.756","0","0.0476","0.00414","0","0.0555","0.933","178.043","4","","C2Records/Columbia","P 1995 Sony Music Entertainment (México) S.A. de C.V.,1998 Sony Music Entertainment Inc.,1999 Sony Music Entertainment (Holland) B.V"
"spotify:track:3Cx4yrFaX8CeHwBMReOWXI","We Didn't Start the Fire","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Vw2uoVkLAJFVViJ1QyK1D","Storm Front","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1989-10-17","https://i.scdn.co/image/ab67616d0000b2731946747b8692919f98918ec4","1","2","287733","https://p.scdn.co/mp3-preview/6fac32766cf931651488f8972477dfb3df3cec23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM18900217","spotify:user:oliviaacrocker","2021-03-27T19:08:09Z","classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","0.712","0.967","7","-5.206","1","0.047","0.0771","0","0.356","0.895","145.024","4","","Columbia","P (P) 1989 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:7FwBtcecmlpc1sLySPXeGE","Dancing In the Dark","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:0PMasrHdpaoIRuHuhHp72O","Born In The U.S.A.","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1984-06-04","https://i.scdn.co/image/ab67616d0000b273a7865e686c36a4adda6c9978","1","11","241306","https://p.scdn.co/mp3-preview/8f79f5c853e12e11f03a4ab9a2fe4a98e08793cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM18400416","spotify:user:oliviaacrocker","2021-03-27T19:08:13Z","classic rock,heartland rock,mellow gold,permanent wave,rock,singer-songwriter","0.527","0.942","1","-5.64","0","0.0366","0.0115","0","0.188","0.495","148.723","4","","Columbia","P (P) 1984 Bruce Springsteen"
"spotify:track:4bHsxqR3GMrXTxEPLuK5ue","Don't Stop Believin'","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:43wpzak9OmQfrjyksuGwp0","Escape (Bonus Track Version)","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","1981","https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266","1","1","250986","https://p.scdn.co/mp3-preview/ba6721ffafb5ae83a832eb522424289097bda288?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM18100116","spotify:user:oliviaacrocker","2021-03-27T19:08:16Z","album rock,classic rock,hard rock,mellow gold,rock,soft rock","0.5","0.748","4","-9.072","1","0.0363","0.127","0","0.447","0.514","118.852","4","","Columbia","P (P) 1981 Sony Music Entertainment"
"spotify:track:6W2VbtvMrDXm5vYeB7amkO","Footloose","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","spotify:album:3uN87hwClF0hult2cxMbAW","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","1997-03-25","https://i.scdn.co/image/ab67616d0000b27319db9ac54c80a898a179f0f1","1","3","220706","https://p.scdn.co/mp3-preview/63de20ceb46be4970991539228d73d1656dfb3ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM18400107","spotify:user:oliviaacrocker","2021-03-27T19:08:19Z","album rock,mellow gold,new wave pop,soft rock,yacht rock","0.546","0.895","9","-7.189","1","0.0579","0.0819","0.0000142","0.0768","0.494","174.089","4","","Columbia","P This compilation (P) 1997 Sony Music Entertainment"
"spotify:track:5zA8vzDGqPl2AzZkEYQGKh","Uptown Girl","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:3R3x4zIabsvpD3yxqLaUpc","An Innocent Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1983-08-08","https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7","1","6","197706","https://p.scdn.co/mp3-preview/14c45e1d20b6b3a8769e1efc3c0f662b51ffacf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM18300270","spotify:user:oliviaacrocker","2021-03-27T19:08:23Z","classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","0.701","0.944","4","-2.986","1","0.0455","0.0755","0","0.601","0.792","128.993","4","","Columbia","P (P) 1983 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:62AuGbAkt8Ox2IrFFb8GKV","Sweet Caroline","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","spotify:album:6RfgcwsOUlWkGNAd6zjjYd","Sweet Caroline","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","1969-06-06","https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc","1","13","203573","https://p.scdn.co/mp3-preview/beeca23f8cd66dd064db0cb0c7ed6aa13af0beae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USMC16991138","spotify:user:oliviaacrocker","2021-03-27T19:08:26Z","adult standards,brill building pop,classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock","0.529","0.127","11","-16.066","1","0.0274","0.611","0.000109","0.237","0.578","63.05","4","","Geffen","C © 1969 UMG Recordings, Inc., P A Geffen Records Release; ℗ 1969 UMG Recordings, Inc."
"spotify:track:1fDsrQ23eTAVFElUMaf38X","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","spotify:album:10jsW2NYd9blCrDITMh2zS","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","1971","https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb","1","1","516893","https://p.scdn.co/mp3-preview/ad5d9122398eb0183a7067ad38e8c6d93899584d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USEM38600088","spotify:user:oliviaacrocker","2021-03-27T19:08:31Z","adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock","0.531","0.481","4","-11.709","0","0.06","0.699","0","0.0842","0.491","138.45","4","","Capitol Records","C © 1971 EMI Catalog, P ℗ 1988 Capitol Records, LLC"
"spotify:track:4ZoBC5MhSEzuknIgAkBaoT","My Life","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1HmCO8VK98AU6EXPOjGYyI","52nd Street","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1978-10-13","https://i.scdn.co/image/ab67616d0000b2731d4675d5a0345bb93686e4b6","1","3","284000","https://p.scdn.co/mp3-preview/7e1f2108d44a0231fa6e91b6eaadc92e9ddaa77d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM17800448","spotify:user:oliviaacrocker","2021-03-27T19:08:34Z","classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","0.741","0.647","2","-12.878","1","0.0427","0.108","0.00139","0.0555","0.804","131.097","4","","Columbia","P (P) 1978 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:78WVLOP9pN0G3gRLFy1rAa","Piano Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:77ErLrVvYETIlQJHAwhfIH","Piano Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1973-11-09","https://i.scdn.co/image/ab67616d0000b273db9c8abe838bbfb28ed5cc06","1","2","336200","https://p.scdn.co/mp3-preview/213474b9336b8e72decd06a6c3d9e61c3d914a79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USSM17300504","spotify:user:oliviaacrocker","2021-03-27T19:08:38Z","classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","0.334","0.477","0","-8.806","1","0.0276","0.618","0.00000417","0.312","0.405","179.239","3","","Columbia","P (P) 1973 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:46ou4l4zvrZMada0TgoVH9","Knowing Me, Knowing You","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1M4anG49aEs4YimBdj96Oy","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62","1","5","243893","","false","0","SEAYD7601050","spotify:user:oliviaacrocker","2021-03-27T19:08:41Z","europop,swedish pop","0.55","0.741","2","-7.109","1","0.0299","0.0426","0.00000372","0.235","0.903","107.327","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:4sNG5v6T3N8nrfAfNIHE9v","Money, Money, Money","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1M4anG49aEs4YimBdj96Oy","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62","1","6","186506","","false","0","SEAYD7601060","spotify:user:oliviaacrocker","2021-03-27T19:08:44Z","europop,swedish pop","0.782","0.692","9","-6.86","0","0.0367","0.524","0.00163","0.105","0.704","120.762","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:4NtUY5IGzHCaqfZemmAu56","Dancing Queen","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1M4anG49aEs4YimBdj96Oy","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62","1","2","230693","","false","0","SEAYD7601020","spotify:user:oliviaacrocker","2021-03-27T19:08:48Z","europop,swedish pop","0.539","0.884","9","-6.53","1","0.0403","0.382","0.00166","0.76","0.752","100.812","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:1IxDBsZdVMhfkLqrZjARpk","Fernando","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1M4anG49aEs4YimBdj96Oy","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62","1","11","255533","","false","0","SEAYD7602070","spotify:user:oliviaacrocker","2021-03-27T19:08:51Z","europop,swedish pop","0.353","0.526","9","-8.868","1","0.0299","0.583","0.00000217","0.0762","0.467","110.517","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:6T5UMetPqrN3YKK2oNZnr3","SOS","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0C36RlW2Fa0C7n1JnWBBMP","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b273d8154127a53ef0aab783f100","1","4","203640","","false","0","SEAYD7501040","spotify:user:oliviaacrocker","2021-03-27T19:08:56Z","europop,swedish pop","0.416","0.698","5","-5.572","1","0.0282","0.264","0.00364","0.333","0.561","124.867","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:2vMQmBmcmFsdLQQgXl3PtE","Waterloo","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:4hHXvnHGn6pmHhdnnmNdmn","Waterloo (Deluxe Edition)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1974-03-04","https://i.scdn.co/image/ab67616d0000b273882f6401de034bf0ad4079ba","1","1","166053","https://p.scdn.co/mp3-preview/25087bcdad1ef8c9abb39b79fea9c1b18653c248?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEAYD7415010","spotify:user:oliviaacrocker","2021-03-27T19:08:59Z","europop,swedish pop","0.445","0.882","2","-6.575","1","0.045","0.193","0.0000132","0.0854","0.834","147.166","4","","Polar Music International AB","C © 2014 Polar Music International AB, P This Compilation ℗ 2014 Polar Music International AB"
"spotify:track:6vQN2a9QSgWcm74KEZYfDL","Take A Chance On Me","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5GwbPSgiTECzQiE6u7s0ZN","The Album","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1977","https://i.scdn.co/image/ab67616d0000b273dca40205d34a5975ef2f04ac","1","2","243933","","false","0","SEAYD7702020","spotify:user:oliviaacrocker","2021-03-27T19:09:02Z","europop,swedish pop","0.685","0.685","11","-8.103","1","0.0254","0.173","0","0.201","0.925","106.987","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:2PzCOP5Aj9SABiBgNEZ52G","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0zdZSyxWaYmaRMPeUHcG1K","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273e47ce0362dd11917fb8307f1","1","13","292571","","false","0","SEAYD7901120","spotify:user:oliviaacrocker","2021-03-27T19:09:05Z","europop,swedish pop","0.747","0.492","10","-9.616","1","0.04","0.0163","0.00897","0.224","0.533","119.531","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:6jJYlWqSUHXoX15nGk3Yfe","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0zdZSyxWaYmaRMPeUHcG1K","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273e47ce0362dd11917fb8307f1","1","2","309160","","false","0","SEAYD7901020","spotify:user:oliviaacrocker","2021-03-27T19:09:09Z","europop,swedish pop","0.707","0.775","11","-6.91","0","0.0371","0.124","0.000585","0.154","0.909","126.662","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:2HeTmGTjl870ucJ8mF7zl5","The Winner Takes It All","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5PVuX09frPq7AMYkkdcDfR","Super Trouper","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1980","https://i.scdn.co/image/ab67616d0000b273b068bc8047c241b565d80eb2","1","2","294733","","false","0","SEAYD8001020","spotify:user:oliviaacrocker","2021-03-27T19:09:13Z","europop,swedish pop","0.457","0.785","6","-6.783","1","0.0383","0.548","0.000781","0.082","0.522","126.947","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:2nMghZvtLx6DDgTEHEsb4w","Super Trouper","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5PVuX09frPq7AMYkkdcDfR","Super Trouper","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1980","https://i.scdn.co/image/ab67616d0000b273b068bc8047c241b565d80eb2","1","1","254600","","false","0","SEAYD8001010","spotify:user:oliviaacrocker","2021-03-27T19:09:15Z","europop,swedish pop","0.764","0.626","0","-8.274","1","0.0288","0.457","0.00000635","0.172","0.961","118.324","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:4euAGZTszWPrriggYK0HG9","Lay All Your Love On Me","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:3ZdkT5buYFi1WQaB0XNNtf","Super Trouper","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1980","https://i.scdn.co/image/ab67616d0000b2734d08fc99eff4ed52dfce91fa","1","9","274466","https://p.scdn.co/mp3-preview/ea5bde281ab294a5bb4293796c620d7325bb1cac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","SEAYD8001090","spotify:user:oliviaacrocker","2021-03-27T19:09:18Z","europop,swedish pop","0.678","0.727","2","-7.844","0","0.0258","0.117","0.00396","0.354","0.71","133.481","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:5fP7YHDNkIwh3F7zPPgEdB","Tiny Dancer - Remastered","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:3kUqS4YNcnNNlYoUMAeqNB","Diamonds (Deluxe)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","2017-11-10","https://i.scdn.co/image/ab67616d0000b27343be0ddad60a1397314e4eb4","1","2","375866","","false","0","GBUM71604254","spotify:user:oliviaacrocker","2021-03-27T19:09:42Z","glam rock,mellow gold,piano rock","0.407","0.428","0","-10.676","1","0.027","0.391","0.000182","0.107","0.251","145.638","4","","Universal Music Group","C © 2017 Universal Music Operations Limited, P A Virgin EMI Records Release; ℗ 2017 Universal Music Operations Limited"
"spotify:track:2zvot9pY2FNl1E94kc4K8M","Rocket Man (I Think It's Going To Be A Long Long Time)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:46g6b33tbttcPtzbwzBoG6","Honky Chateau (Remastered)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1972-05-19","https://i.scdn.co/image/ab67616d0000b273b9eca179ac50136e43ee136b","1","5","281613","","false","0","GBAMB7200006","spotify:user:oliviaacrocker","2021-03-27T19:09:46Z","glam rock,mellow gold,piano rock","0.601","0.532","10","-9.119","1","0.0286","0.432","0.00000625","0.0925","0.341","136.571","4","","Universal Music Group","C © 1995 Mercury Records Limited, P ℗ 1972 This Record Company Ltd."
