"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0cGG2EouYCEEC3xfa0tDFV","Tainted Love","spotify:artist:6aq8T2RcspxVOGgMrTzjWc","Soft Cell","spotify:album:3KFWViJ1wIHAdOVLFTVzjD","Non-Stop Erotic Cabaret","spotify:artist:6aq8T2RcspxVOGgMrTzjWc","Soft Cell","1981","https://i.scdn.co/image/ab67616d0000b27349c982dae436bac27c336f45","1","2","153800","https://p.scdn.co/mp3-preview/fc3173b5c73eba573c339b258cead279cde8e6c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBF088100017","spotify:user:","2021-11-12T16:54:53Z","new romantic,new wave,new wave pop,synthpop","0.5","0.501","0","-8.284","0","0.0376","0.462","0","0.26","0.623","144.438","4","","EMI","C © 1996 Mercury Records Limited, P This Compilation ℗ 1996 Mercury Records Limited"
"spotify:track:1jDJFeK9x3OZboIAHsY9k2","I'm Still Standing","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:0OmYuz9hwn1XoqmDaU0yJ7","Too Low For Zero","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1983-05-30","https://i.scdn.co/image/ab67616d0000b273eb11e2abccdca41f39ad3b89","1","2","183440","https://p.scdn.co/mp3-preview/e841b922ebf0913991e7552e7f9e1769dc27bdec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBALX8300190","spotify:user:","2021-11-12T16:54:53Z","glam rock,mellow gold,piano rock","0.504","0.904","6","-6.863","1","0.179","0.356","0.121","0.14","0.772","176.808","4","","EMI","C © 1998 Mercury Records Limited, P ℗ 1998 Mercury Records Limited"
"spotify:track:3L7RtEcu1Hw3OXrpnthngx","Don't You Want Me","spotify:artist:1aX2dmV8XoHYCOQRxjPESG","The Human League","spotify:album:3ls7tE9D2SIvjTmRuEtsQY","Dare!","spotify:artist:1aX2dmV8XoHYCOQRxjPESG","The Human League","1981","https://i.scdn.co/image/ab67616d0000b2735579d8a505c727349a203074","1","10","236920","https://p.scdn.co/mp3-preview/62d8e09932655f8b7024ac439b53d8c9c5c14588?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAAA0200924","spotify:user:","2021-11-12T16:54:53Z","art rock,new romantic,new wave,new wave pop,permanent wave,rock,soft rock,sophisti-pop,synthpop","0.731","0.738","9","-8.125","0","0.0377","0.184","0","0.214","0.958","117.656","4","","Virgin Records","C © 2003 Virgin Records Limited, P ℗ 2003 Virgin Records Limited"
"spotify:track:29d0nY7TzCoi22XBqDQkiP","Running Up That Hill (A Deal With God) - 2018 Remaster","spotify:artist:1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","spotify:album:3OYnManu1Nlxnw9OMng7BH","Hounds of Love (2018 Remaster)","spotify:artist:1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","1985-09-16","https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4","1","1","300840","https://p.scdn.co/mp3-preview/9f110dbdde66d0a4f3151a67dab5b1b61d6770c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAYE1800884","spotify:user:","2022-05-31T14:06:36Z","art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter","0.625","0.533","10","-11.903","0","0.0596","0.659","0.00266","0.0546","0.139","108.296","4","","Rhino","C © 2018 Noble & Brite Ltd, P ℗ 2018 Noble & Brite Ltd"
"spotify:track:2id8E4WvczfKHB4LHI7Np3","Edge of Seventeen","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","spotify:album:7q0dYnAjmqZBJLhMBre8aL","Crystal Visions...The Very Best of Stevie Nicks","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","2007-03-27","https://i.scdn.co/image/ab67616d0000b2732614c295a38ee782d093aa09","1","1","329680","https://p.scdn.co/mp3-preview/21493e37a22e036d7f6e79af7e981b430af279db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USAT28300037","spotify:user:","2021-11-12T16:54:53Z","album rock,heartland rock,mellow gold,rock","0.59","0.828","0","-6.28","1","0.0439","0.277","0.00000557","0.0868","0.636","111.353","4","","Reprise","C © 2007 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S., P ℗ 2007 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S."
"spotify:track:34x6hEJgGAOQvmlMql5Ige","Danger Zone - From ""Top Gun"" Original Soundtrack","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","spotify:album:3uN87hwClF0hult2cxMbAW","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","1997-03-25","https://i.scdn.co/image/ab67616d0000b27319db9ac54c80a898a179f0f1","1","5","215133","https://p.scdn.co/mp3-preview/f06c7fbe7584a8ac076b63d904e55d80057a9ebd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM18600108","spotify:user:","2021-11-12T16:54:53Z","album rock,mellow gold,new wave pop,soft rock,yacht rock","0.544","0.897","3","-6.056","0","0.0471","0.241","0","0.13","0.647","157.17","4","","Columbia","P This compilation (P) 1997 Sony Music Entertainment"
"spotify:track:4xh7W7tlNMIczFhupCPniY","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","5","223613","https://p.scdn.co/mp3-preview/341eb18c48a0b49b6d164c43c32be5bef4ccdf2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USWB11301114","spotify:user:","2021-11-12T16:54:53Z","album rock,classic rock,rock,soft rock,yacht rock","0.586","0.941","5","-5.139","1","0.0375","0.0167","0.000776","0.068","0.831","135.448","4","","Rhino/Warner Records","C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:4fQMGlCawbTkH9yPPZ49kP","Green Onions","spotify:artist:2vDV0T8sxx2ENnKXds75e5","Booker T. & the M.G.'s","spotify:album:2aGFVLz0oQPa3uxCfq9lcU","Green Onions","spotify:artist:2vDV0T8sxx2ENnKXds75e5","Booker T. & the M.G.'s","1962","https://i.scdn.co/image/ab67616d0000b27346007ceff2f1c33c9b9ec19c","1","1","176333","https://p.scdn.co/mp3-preview/9e738c6c8ba26233070ec8c09827df964816671a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT20000736","spotify:user:","2022-10-03T15:51:09Z","classic soul,funk,instrumental funk,instrumental soul,memphis soul,soul,southern soul","0.816","0.514","10","-8.741","1","0.0339","0.767","0.949","0.0899","0.912","136.837","4","","Rhino Atlantic","C © 2004 Atlantic Recording Corp. Manufactured & Marketed by Warner Strategic Marketing, P ℗ 2004 Atlantic Recording Corp. Manufactured & Marketed by Warner Strategic Marketing"
"spotify:track:6HMFtoMvv6n6Q2eOyPFyne","Walk Of Life","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:0u7sgzvlLmPLvujXxy9EeY","Brothers In Arms - 20th Anniversary Edition","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b273042dbf8721e37f11843bfeac","1","3","248893","https://p.scdn.co/mp3-preview/1739cd2afb721f26f15b38284d40c35bf0396969?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBF088500675","spotify:user:","2021-11-12T16:54:53Z","album rock,classic rock,mellow gold,rock,soft rock","0.437","0.965","4","-4.448","1","0.136","0.326","0.00028","0.144","0.766","172.428","4","","Mercury Records Limited","C (C) 2005 Mercury Records Limited, P (P) 2005 Mercury Records Limited"
"spotify:track:2dpO3NteNWUDL2S9e0t0Mi","Make Me Smile (Come up and See Me) - 2014 Remaster","spotify:artist:3dS8rLINyM7EYuMXryXJym, spotify:artist:6EL5GD53kaaVgJCHgdtdLz","Steve Harley, Steve Harley & Cockney Rebel","spotify:album:4D1oAjj0nxeAlsAJWAJn8g","The Best Years of Our Lives (Deluxe Version)","spotify:artist:3dS8rLINyM7EYuMXryXJym, spotify:artist:6EL5GD53kaaVgJCHgdtdLz","Steve Harley, Steve Harley & Cockney Rebel","1975-03-22","https://i.scdn.co/image/ab67616d0000b273f3613926b1b8bbd69c49a3e2","1","6","239213","https://p.scdn.co/mp3-preview/f391af05a0e58d567135a8290035862cf1289bb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAYE1349972","spotify:user:","2021-11-12T16:54:53Z","classic uk pop,glam rock,classic uk pop,glam rock,pub rock","0.571","0.818","0","-8.277","1","0.0337","0.00706","0.000181","0.0877","0.773","141.464","4","","Chrysalis Records","C 2016 Chrysalis Records Limited, P 2014 Chrysalis Records Limited"
