"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4ASOMWcJUrwEpjJy4GEijz","California Dreamin' (feat. High Jinx)","spotify:artist:7tm9Tuc70geXOOyKhtZHIj, spotify:artist:0XFmkmsCbCoR7wlqaZdt64","Chris Lorenzo, High Jinx","spotify:album:4QNJtrJyZlV4CMzvQqPcjW","California Dreamin' (feat. High Jinx)","spotify:artist:7tm9Tuc70geXOOyKhtZHIj","Chris Lorenzo","2021-10-08","https://i.scdn.co/image/ab67616d0000b27327b52d52b3673bd8ce243184","1","1","196899","https://p.scdn.co/mp3-preview/14b357f87859b36317381ee63b4817e5efd71a05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USUG12104877","spotify:user:","2022-11-24T23:01:00Z","bass house,deep groove house,edm,electro house,house","0.685","0.911","9","-4.977","1","0.144","0.00552","0.0247","0.285","0.351","128.02","4","","Astralwerks","C © 2021 Chris Lorenzo Limited, under exclusive license to UMG Recordings, Inc., P Black Book Records / Astralwerks; ℗ 2021 Chris Lorenzo Limited, under exclusive license to UMG Recordings, Inc."
"spotify:track:7dDLAQ1y0qOq3E4DhNh8FS","Talamanca","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","spotify:album:1N66eMzBBNRHa3HFE6GCsW","Talamanca","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","2021-06-25","https://i.scdn.co/image/ab67616d0000b273c51ca039b07ab8e98bd776ae","1","1","186727","https://p.scdn.co/mp3-preview/a8f4f1be71c7bbe0a5b492e34a0f81ebfc7a06c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAYE2100748","spotify:user:","2022-11-24T23:01:00Z","house,la pop","0.683","0.77","11","-6.641","0","0.0512","0.0988","0.896","0.379","0.527","126.006","4","","FFRR","C under exclusive license to Parlophone Records Limited / FFRR.., © 2021 Glow Ent, LLC, P under exclusive license to Parlophone Records Limited / FFRR., ℗ 2021 Glow Ent, LLC"
"spotify:track:5OJQ7sgz7ZEb9Mxsfqlpiv","Take Me To America","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","spotify:album:0ZlTqa54yd4gXfMSqaF40x","Take Me To America","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","2022-10-27","https://i.scdn.co/image/ab67616d0000b2739aa7e6d1446b6d675bd5993f","1","1","231134","https://p.scdn.co/mp3-preview/cc0e5c3b2169731d955e3f8394e957e68425d345?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QMDA62251164","spotify:user:","2022-11-24T23:01:00Z","basshall,moombahton","0.791","0.894","7","-5.31","1","0.0331","0.000142","0.675","0.223","0.945","134.963","4","","MDLBEAST Records","C (C) 2022 MDLBEAST Records under Exclusive License from Zatara Recordings, P (P) 2022 MDLBEAST Records under exclusive license from Zatara Recordings"
"spotify:track:3hp1sx2wqHipS9fanoPrzV","We Don’t Need - Club Edit","spotify:artist:5FD9tbbiWd6th8FaOdCtnB","Piero Pirupa","spotify:album:5aW2wXp4q8UKrVEbBRt2g7","We Don’t Need (Club Edit)","spotify:artist:5FD9tbbiWd6th8FaOdCtnB","Piero Pirupa","2022-03-25","https://i.scdn.co/image/ab67616d0000b273d6cac91e478a6399ebdd27b7","1","1","158462","https://p.scdn.co/mp3-preview/f4ec2c64f5f3b370a6b6e4baf07ddef325a6856b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","NLZ542200283","spotify:user:","2022-11-24T23:01:00Z","italian tech house","0.729","0.811","0","-6.829","1","0.0307","0.00473","0.0354","0.644","0.399","124.997","4","","Spinnin' Deep","C Spinnin' Deep, © 2022 SpinninRecords.com, P Spinnin' Deep, ℗ 2022 SpinninRecords.com"
"spotify:track:6GomT970rCOkKAyyrwJeZi","Move Your Body","spotify:artist:37czgDRfGMvgRiUKHvnnhj, spotify:artist:0aOIluXr131XqrXFwFCFGT","Öwnboss, Sevek","spotify:album:4l9wMVL4XAM5jPMXP5RAbL","Move Your Body","spotify:artist:37czgDRfGMvgRiUKHvnnhj, spotify:artist:0aOIluXr131XqrXFwFCFGT","Öwnboss, Sevek","2021-10-29","https://i.scdn.co/image/ab67616d0000b273dbe45fee4e36211b4bf8de71","1","1","157444","https://p.scdn.co/mp3-preview/a432eeb945ae176fe2478cb0515c9b9d98f035ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","NLZ542101576","spotify:user:","2022-11-24T23:01:00Z","brazilian edm","0.848","0.821","2","-5.408","0","0.0527","0.0169","0.000403","0.0962","0.249","125.051","4","","Musical Freedom","C © 2021 Musical Freedom Label Ltd., P ℗ 2021 Musical Freedom Label Ltd."
"spotify:track:4zN21mbAuaD0WqtmaTZZeP","Ferrari","spotify:artist:43BxCL6t4c73BQnIJtry5v, spotify:artist:45ruzGUmIr8WLjLOPJ9mGU","James Hype, Miggy Dela Rosa","spotify:album:6moZ4sNThthUAwCklyuPY8","Ferrari","spotify:artist:43BxCL6t4c73BQnIJtry5v, spotify:artist:45ruzGUmIr8WLjLOPJ9mGU","James Hype, Miggy Dela Rosa","2022-04-01","https://i.scdn.co/image/ab67616d0000b2736cc861b5c9c7cdef61b010b4","1","1","186661","https://p.scdn.co/mp3-preview/84aed346f934d9b0db04d2f7cfb1edf3fbde71aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GB3CE2200004","spotify:user:","2022-11-24T23:01:00Z","deep groove house,edm,house,pop dance,uk dance,dance pop","0.847","0.69","1","-7.877","0","0.0493","0.0127","0.00006","0.0526","0.692","125.004","4","","Universal-Island Records Ltd.","C © 2022 James Hype, under exclusive licence to Universal Music Operations Limited, P An Island Records / Cross Records release; ℗ 2022 James Hype, under exclusive licence to Universal Music Operations Limited"
"spotify:track:4MyPLcBTpqfXZJKcUhMXOg","Set You Free","spotify:artist:5wwneIFdawNgQ7GvKK29Z3, spotify:artist:4eWvHAcWh3Hq6DYJ9K3mD4","Lucas & Steve, Laura White","spotify:album:1cQwMGOrpiXTdeot0bdplB","Set You Free","spotify:artist:5wwneIFdawNgQ7GvKK29Z3, spotify:artist:4eWvHAcWh3Hq6DYJ9K3mD4","Lucas & Steve, Laura White","2022-01-28","https://i.scdn.co/image/ab67616d0000b27355159b48862b1048f1312fed","1","1","169523","https://p.scdn.co/mp3-preview/b042f8b5cf053fce866ad7574739a4a1286fb820?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","BE5KW2200048","spotify:user:","2022-11-24T23:01:00Z","dance pop,deep house,edm,electro house,house,pop dance,pop edm,progressive electro house,progressive house,tropical house,talent show","0.554","0.93","5","-4.646","0","0.0768","0.0024","0.535","0.4","0.431","126.015","4","","Tomorrowland Music","C © 2022 Tomorrowland Music, P ℗ 2022 Tomorrowland Music"
"spotify:track:5ZduaRci3iNUiDfJbBfAaf","Give It To Me - Full Vocal Mix","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","spotify:album:1jbRY71konakrKvDUiW7Rp","Give It To Me (Full Vocal Mix)","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","2021-10-22","https://i.scdn.co/image/ab67616d0000b2736a1e9d7201b74142e2d47b69","1","1","102860","https://p.scdn.co/mp3-preview/16df6ea59af314dd3a5b16643c45e98f30d4164b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHAD2102631","spotify:user:","2022-11-24T23:01:00Z","french tech house,french techno","0.874","0.869","1","-5.996","0","0.0315","0.00116","0.00238","0.164","0.726","126.027","4","","Cr2 Records","C 2021 Cr2 Records Ltd, P 2021 Cr2 Records Ltd"
"spotify:track:6txvQu0zUbiqG24A8XMLnK","Miracle Maker","spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:4DWuml4Jf6K81b5rAPwMb6","Dom Dolla, Clementine Douglas","spotify:album:3yQSxYbAj2jrwAx7W7MIAU","Miracle Maker","spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:4DWuml4Jf6K81b5rAPwMb6","Dom Dolla, Clementine Douglas","2022-07-14","https://i.scdn.co/image/ab67616d0000b273271d5d428af8209918db1401","1","1","188592","https://p.scdn.co/mp3-preview/5c0d983d1d6bbab95eb27c22a1fe3eadd6881f26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USQX92201881","spotify:user:","2022-11-24T23:01:00Z","australian house,deep groove house,edm,house,pop dance","0.609","0.94","10","-6.097","1","0.0617","0.00124","0.269","0.15","0.238","128.001","4","","Three Six Zero Recordings","P (P) 2022 Three Six Zero Recordings/Sony Music Entertainment"
"spotify:track:4tRhRLBxIZ34Iw0eCuiC03","Miss You","spotify:artist:1GVuCyb4PlArufUZDUnRQi","southstar","spotify:album:4fmtd5CduUYx2bmMOvXwX4","Miss You","spotify:artist:1GVuCyb4PlArufUZDUnRQi","southstar","2022-07-30","https://i.scdn.co/image/ab67616d0000b2731b5f2557a7fe884d0e3d8b2a","1","1","206019","https://p.scdn.co/mp3-preview/07509ee3b1c8d6e5401b54e1d852f90166ef6b9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","DEZC62269331","spotify:user:","2022-11-24T23:01:00Z","","0.663","0.559","6","-12.876","0","0.0391","0.136","0.0894","0.108","0.296","145.007","4","","Columbia/B1 Recordings","P (P) 2022 Southstar, under exclusive license to B1 Recordings GmbH, a Sony Music Entertainment company."
"spotify:track:4nTj9uSRpyhHWGaeZRUeqQ","That Feeling","spotify:artist:052B9SONfhoScw7dgYWw5o, spotify:artist:1QOHbhVRpDoNtRkz79si6b","Biscits, Karen Harding","spotify:album:4XGZu2GMoCpvUPUyXUodAq","Without U","spotify:artist:052B9SONfhoScw7dgYWw5o","Biscits","2022-10-07","https://i.scdn.co/image/ab67616d0000b273babf8c4ec73859b9ca95613f","1","10","166633","https://p.scdn.co/mp3-preview/b3a93d4f05fe5a8128ad0b1cd114d9fb0a9398d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ZZOPM2237435","spotify:user:","2022-11-24T23:01:00Z","bass house,deep groove house,edm,house,pop dance,uk tech house,dance pop,deep groove house,edm,house,pop dance,tropical house,uk dance","0.701","0.83","9","-6.656","0","0.0535","0.0407","0.0121","0.348","0.839","125.979","3","","Solotoko","C © 2022 Solotoko, P ℗ 2022 Solotoko"
"spotify:track:2UwgoIMAYT0pDOxUFTjEVJ","Chill Like That","spotify:artist:0PavAVTZWBEpaj4iJdKCyj, spotify:artist:0Nqow4lyg43fW8ktlTR9Vi","Sunday Scaries, PiCKUPLiNES","spotify:album:189CZXjmGJs7PzbQ0S5WVf","Chill Like That","spotify:artist:0PavAVTZWBEpaj4iJdKCyj, spotify:artist:0Nqow4lyg43fW8ktlTR9Vi","Sunday Scaries, PiCKUPLiNES","2022-09-16","https://i.scdn.co/image/ab67616d0000b273c7605f1af32ad74e7fffba0d","1","1","178908","https://p.scdn.co/mp3-preview/50b3c0deadfa653764bdbfb7e1cb8183b11c14b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","QZNWU2266227","spotify:user:","2022-11-24T23:01:00Z","","0.889","0.871","11","-5.349","0","0.149","0.00176","0.586","0.279","0.491","124.008","4","","DamGood Music/10K Projects/Astralwerks","C © 2022 DamGood Records / 10K Projects, P DamGood Records/10K Projects/Astralwerks; ℗ 2022 DamGood Records / 10K Projects"
"spotify:track:48Jf12YHPBCAfAzi255Rvr","Redlight","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:0Ty63ceoRnnJKVEYP0VQpk","Swedish House Mafia, Sting","spotify:album:2Dbe9L757CSQbhnbW5PVSH","Paradise Again","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","2022-04-15","https://i.scdn.co/image/ab67616d0000b273bd6f8ac82dc5fe1028c14f7d","1","13","242880","https://p.scdn.co/mp3-preview/7526be716bf9426f598e96230732917bbbb3038d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USUG12200887","spotify:user:","2022-11-24T23:01:00Z","dance pop,edm,electro house,pop,pop dance,progressive electro house,permanent wave,soft rock,sophisti-pop","0.71","0.63","2","-7.003","1","0.0413","0.00879","0.147","0.058","0.216","125","4","","Republic Records","C © 2022 SSA Recording, LLP, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ℗ 2022 SSA Recording, LLP, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
"spotify:track:547LWbvqDFeNS6xuK3XjLH","For You - Deeperlove Remix","spotify:artist:0suokA0Exjok9HBfB0Oc3X, spotify:artist:2NJXWjY61CLRVARkqDJeRm, spotify:artist:2utNxkLhreF1oIfO8kQT3q","The Disco Boys, Deeperlove, Manfred Mann's Earth Band","spotify:album:4S7mFciWbBmkMAk5gOKMec","For You (Deeperlove Remix)","spotify:artist:0suokA0Exjok9HBfB0Oc3X, spotify:artist:2NJXWjY61CLRVARkqDJeRm","The Disco Boys, Deeperlove","2021-10-15","https://i.scdn.co/image/ab67616d0000b273278c00e79b9617133314c9a4","1","1","146408","https://p.scdn.co/mp3-preview/e88999916f1b17e6ceaaa921a4dbf26af0710199?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DEN062101095","spotify:user:","2022-11-24T23:01:00Z","german techno,pop house,album rock,art rock,british blues,classic rock,progressive rock,symphonic rock","0.695","0.895","7","-5.059","1","0.215","0.011","0.0064","0.379","0.566","125.068","4","","Kontor Records","C 2021 Kontor Records GmbH, P 2021 Kontor Records GmbH"
"spotify:track:2h6vO5K8wa8EzyOVn3xIOL","Mission Control","spotify:artist:24Sxfn1uAoJmuR9N72drt9","Mike Candys","spotify:album:6hQbEN6xR9APEwMg2bk6y8","Mission Control","spotify:artist:24Sxfn1uAoJmuR9N72drt9","Mike Candys","2022-11-18","https://i.scdn.co/image/ab67616d0000b27319f45be07c26034f492e1300","1","1","136846","https://p.scdn.co/mp3-preview/9c109d1d5ffc8b441050e215f8fb4b7698225526?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","CH3132200075","spotify:user:","2022-11-24T23:01:00Z","edm,pop dance,pop house","0.892","0.84","11","-1.206","0","0.106","0.0127","0.683","0.0874","0.597","130.051","4","","Kontor Records","C 2022 Kontor Records GmbH / Sirup Music (S2 Records), P 2022 Kontor Records GmbH / Sirup Music (S2 Records)"
