"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6KzkqZqhUBEsWYJJa2aBOd","The Weekend - Radio Edit","spotify:artist:2aM5jpQ0WTcQDeHsil8Ihz","Michael Gray","spotify:album:1v1bEFD6ZgEvAbrMJqK1Oz","Analog Is On","spotify:artist:2aM5jpQ0WTcQDeHsil8Ihz","Michael Gray","2007-06-01","https://i.scdn.co/image/ab67616d0000b2736901b4f4490faaf121cfb64c","1","1","192173","https://p.scdn.co/mp3-preview/47a91101b406bdfdfc8b324962c3301e6ae77198?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBBFR0400137","spotify:user:","2022-09-07T06:56:45Z","disco house,vocal house","0.686","0.832","4","-5.673","0","0.0725","0.000321","0.127","0.583","0.884","127.023","4","","Altra Moda Music","C 2007 Altra Moda Music under exclusive license from M. Gray, P 2007 Altra Moda Music under exclusive license from M. Gray"
"spotify:track:0F2BxpbxH8Yc3pLub48hrb","Pjanoo - Radio Edit","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:7zlMxh1NR0Shklu48L4e7x","Pjanoo","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","2008-08-29","https://i.scdn.co/image/ab67616d0000b273bf82130ce529153496038461","1","1","157432","https://p.scdn.co/mp3-preview/47007fb4cdd23f23045e3abdc2593ad66759a0fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCEN0800951","spotify:user:","2022-09-07T06:56:45Z","disco house,edm,electro house,pop dance,progressive house,vocal house","0.605","0.874","7","-4.949","0","0.0295","0.000563","0.812","0.112","0.836","125.99","4","","Pryda Presents","P (P) 2008 Data Records|Ministry of Sound Recordings Ltd"
"spotify:track:653rxW1E7V52QWh6a7oIdS","My My My","spotify:artist:3cQA9WH8liZfeja1DxcDYE","Armand Van Helden","spotify:album:2JIkl78IhsQCuyoEGc7COH","Nympho","spotify:artist:3cQA9WH8liZfeja1DxcDYE","Armand Van Helden","2005-07-04","https://i.scdn.co/image/ab67616d0000b2731373e40983ac85018eb42671","1","11","182266","https://p.scdn.co/mp3-preview/a395ba6ea28bb9a2865e563999a1e675f38fb7f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBEFR0500419","spotify:user:","2022-09-07T06:56:45Z","deep house,disco house,edm,electro house,house,pop dance,speed garage,tech house,vocal house","0.652","0.733","7","-8.207","1","0.246","0.00672","0.00867","0.0392","0.744","127.533","4","","Southern Fried Records","C 2005 - Southern Fried Records, P 2005 - Southern Fried Records"
"spotify:track:01CqAlhAH6R51gJSLY6CsL","Make Luv - Radio Version","spotify:artist:0AEbDFXbsssoSoC3pj91eq, spotify:artist:25MNkA39C5jjxApUl812ic","Room 5, Oliver Cheatham","spotify:album:4cKXgboWqIZzXcgOaoMiZD","Make Luv","spotify:artist:0AEbDFXbsssoSoC3pj91eq","Room 5","2005-01-01","https://i.scdn.co/image/ab67616d0000b273289c7d5ed7fcdffb2de3b137","1","1","213013","https://p.scdn.co/mp3-preview/33c835be18b7a6701b122e544701e2c06f047602?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","BEX630200007","spotify:user:","2022-09-07T06:56:45Z","disco house,vocal house,disco,post-disco","0.872","0.796","8","-8.253","1","0.116","0.012","0.732","0.0374","0.678","124.852","4","","Blow Up","C © 2005 EMI GERMANY, P ℗ 2005 EMI GERMANY"
"spotify:track:0DiWol3AO6WpXZgp0goxAV","One More Time","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","1","320357","https://p.scdn.co/mp3-preview/18781de52205d9ade22904945510161feab085ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBDUW0000053","spotify:user:","2022-09-07T06:56:45Z","electro,filter house","0.613","0.697","2","-8.618","1","0.133","0.0194","0","0.332","0.476","122.746","4","","Daft Life Ltd./ADA France","C Distributed exclusively by Warner Music France / ADA France, © 2001 Daft Life Ltd., P Distributed exclusively by Warner Music France / ADA France, ℗ 2001 Daft Life Ltd."
"spotify:track:49ErwcBYfYRPNBdRuPvpYA","We Are Your Friends - Justice Vs Simian","spotify:artist:1gR0gsQYfi6joyO1dlp76N, spotify:artist:19rgRqYVP3LJf9tGmMWLjP","Justice, Simian","spotify:album:1M9rUTZKBvDhKIqK9rNxLi","We Are Your Friends","spotify:artist:19rgRqYVP3LJf9tGmMWLjP, spotify:artist:1gR0gsQYfi6joyO1dlp76N","Simian, Justice","2006-01-01","https://i.scdn.co/image/ab67616d0000b273da9d336dbc4e0b8adc2b8959","1","1","262773","https://p.scdn.co/mp3-preview/0a60c6bca88aed6b690973b1ffd5f841e7a0cada?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAAA0600209","spotify:user:","2022-09-07T06:56:45Z","alternative dance,electro house,electronica,filter house,new rave,alternative dance,new rave","0.615","0.97","9","1.342","0","0.119","0.0104","0.384","0.178","0.507","122.993","4","","Ten Records","C © 2006 Mawlaw 388 Ltd T/A Source UK, P ℗ 2006 Mawlaw 388 Ltd T/A Source UK"
"spotify:track:1HALJg1M7J4h0vINDddEzA","Exceeder - Original Mix","spotify:artist:307erl4VjT1dZDMYpneZqd","Mason","spotify:album:7zR1wyGGxoiuLAXjl51dJq","Exceeder","spotify:artist:307erl4VjT1dZDMYpneZqd","Mason","2006-07-17","https://i.scdn.co/image/ab67616d0000b273f92a7c19f4c62d87d5d80215","1","2","405385","https://p.scdn.co/mp3-preview/3141661c56282701694e826b6deb9c9d92f2c87e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","NLF711312397","spotify:user:","2022-09-07T06:56:45Z","disco house,electro house,vocal house","0.78","0.789","6","-6.907","1","0.099","0.00263","0.898","0.238","0.541","128","4","","Armada Music","C 2006 Armada Music B.V., P 2006 Armada Music B.V."
"spotify:track:5TmFTHZp7HjBXjjsFvCY6h","Destination Calabria - Radio Edit","spotify:artist:7vb7VLDqpLTlAy1ctTMR5d, spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43","Alex Gaudino, Crystal Waters","spotify:album:4sRexfGVnXMBJ1k5RW5WT8","Destination Calabria","spotify:artist:7vb7VLDqpLTlAy1ctTMR5d","Alex Gaudino","2007-02-19","https://i.scdn.co/image/ab67616d0000b2739ddec2a9c771fcd96ca3fe1d","1","1","223111","https://p.scdn.co/mp3-preview/ac67101e3083527135041e40360f3f01e2344677?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","ITL010600343","spotify:user:","2022-09-07T06:56:45Z","disco house,electro house,vocal house,disco house,diva house,hip house,vocal house","0.627","0.954","2","-4.804","1","0.0425","0.0015","0.000814","0.292","0.312","128.016","4","","Rise Records","C 2007 Rise / Time S.p.A. Unipersonale, P 2007 Rise / Time S.p.A. Unipersonale"
"spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff","Call on Me - Radio Mix","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:7thKR3tw162CqNqIRdwZ3z","Call on Me (Radio Mix)","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","2004-09-10","https://i.scdn.co/image/ab67616d0000b2731cd65e046a28cef435feff21","1","1","171360","https://p.scdn.co/mp3-preview/bd73ef301b60f140ef63d1cebc9285107514da3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBCEN0400130","spotify:user:","2022-09-07T06:56:45Z","disco house,edm,electro house,pop dance,progressive house,vocal house","0.597","0.837","10","-6.518","1","0.375","0.00427","0.00115","0.839","0.447","126.342","4","","Pryda Presents","P (P) 2004 Data Records / Ministry of Sound Recordings Limited / Wincraft Music Limited"
"spotify:track:69R5Ot0VZjFd71SOBgivoL","Show Me Love - Radio Edit","spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk, spotify:artist:4FqPRilb0Ja0TKG3RS3y4s, spotify:artist:2WvLeseDGPX1slhmxI59G3","Laidback Luke, Steve Angello, Robin S","spotify:album:6ZGmFSpPnJAEnnJ2cHTxeY","Show Me Love","spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk, spotify:artist:4FqPRilb0Ja0TKG3RS3y4s","Laidback Luke, Steve Angello","2009-03-24","https://i.scdn.co/image/ab67616d0000b2731442c096260fb50c9dd66629","1","2","184846","https://p.scdn.co/mp3-preview/3b6a6b7441d205b94821cfe18d4f9bee4e667571?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","NLBW50800027","spotify:user:","2022-09-07T06:56:45Z","big room,dance pop,dutch edm,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house,edm,electro house,pop dance,progressive electro house,progressive house,disco house,diva house,hip house,vocal house","0.653","0.856","5","-4.197","1","0.0638","0.517","0","0.128","0.571","129.955","4","","Mixmash Records","C Mixmash Records - 2009, P Mixmash Records - 2009"
