"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0mA8YVcK3fYTot54K1abTq","White Room","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:4MjvgrLG57gPHWTREFZRrT","The Very Best Of Cream","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","1995-01-01","https://i.scdn.co/image/ab67616d0000b273389b913c29b0d8ad0590d776","1","12","298226","https://p.scdn.co/mp3-preview/176a1dbbb5f43463501d8bf15fe85a1f4ce225ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBA076800030","spotify:user:kidfreeze","2014-07-20T12:49:31Z","album rock,art rock,blues rock,classic rock,folk rock,hard rock,psychedelic rock,rock,roots rock,supergroup","0.555","0.576","0","-13.451","1","0.0295","0.178","0.00459","0.0419","0.495","109.833","4","","Polydor Records","C © 1995 Universal International Music B.V., P This Compilation ℗ 1995 Universal International Music B.V."
"spotify:track:32kgOw8wejH7zUhtXCM8DH","More Than a Feeling","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","spotify:album:01OahkTPRCleDjobtRk7ST","Boston","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","1976","https://i.scdn.co/image/ab67616d0000b273cbdeb4ed581e56ac25609357","1","1","285133","","false","0","USSM17600941","spotify:user:kidfreeze","2014-07-20T12:51:30Z","album rock,art rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock","0.377","0.682","7","-8.039","1","0.0299","0.000894","0.00217","0.0504","0.288","108.736","4","","Epic","P (P) 1976, 2006 Sony Music Entertainment"
"spotify:track:5Fz2wrKAjhKpWeTwvE1Ct3","Paradise City","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:4a92B7gXZWKJopxs6gWgqb","Greatest Hits","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","2004-03-23","https://i.scdn.co/image/ab67616d0000b2734e04404c40be7b80855656a8","1","4","406200","","false","0","USGF18714806","spotify:user:kidfreeze","2014-07-20T16:45:13Z","glam metal,hard rock,rock","0.28","0.977","11","-5.488","1","0.127","0.0232","0.0158","0.138","0.475","100.409","4","","Universal Strategic Marketing","C © 2004 Geffen Records, P ℗ 2004 Geffen Records"
"spotify:track:0QwZfbw26QeUoIy82Z2jYp","Good Times Bad Times - 1993 Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:3ycjBixZf7S3WpC5WZhhUK","Led Zeppelin","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1969-01-12","https://i.scdn.co/image/ab67616d0000b2736f2f499c1df1f210c9b34b32","1","1","166266","https://p.scdn.co/mp3-preview/9d54ac8d655aebf2920de790b421ba13e3508d5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT29900534","spotify:user:kidfreeze","2014-07-20T16:45:37Z","album rock,classic rock,hard rock,rock","0.476","0.717","9","-9.192","1","0.0949","0.0382","0.0000761","0.0818","0.753","93.584","4","","Rhino Atlantic","C © 1969 Swan Song Inc., P ℗ 1969 Atlantic Recording Corp., a Warner Music Group company"
"spotify:track:2IgLwduDgZ1sQ7JY4oMvq1","The Joker","spotify:artist:6QtGlUje9TIkLrgPZrESuk","Steve Miller Band","spotify:album:4DQWyEIUQs6o2TTAKKTYCD","Live From Chicago","spotify:artist:6QtGlUje9TIkLrgPZrESuk","Steve Miller Band","2008-06-10","https://i.scdn.co/image/ab67616d0000b2732ba443db160d9afb5fd2cd62","1","2","269693","","false","0","USKAK0846502","spotify:user:kidfreeze","2014-07-20T16:48:41Z","album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,psychedelic rock,rock,singer-songwriter,soft rock","0.568","0.795","5","-6.811","1","0.0281","0.0661","0.0000806","0.686","0.737","83.44","4","","Coming Home Media","C 2008 Coming Home Media, P 2008 Coming Home Media"
"spotify:track:7xdLNxZCtY68x5MAOBEmBq","All Along the Watchtower","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:2vfiwvlxOBNBohRXfvlMtY","Experience Hendrix: The Best Of Jimi Hendrix","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1997-09-16","https://i.scdn.co/image/ab67616d0000b2737bfdcc5707e04f9418d2b69d","1","5","238626","https://p.scdn.co/mp3-preview/e1bfb6b98c39f913b9af531477b25effdff9f22d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USQX90900749","spotify:user:kidfreeze","2014-07-20T16:53:53Z","acid rock,album rock,blues rock,classic rock,hard rock,proto-metal,psychedelic rock,rock","0.429","0.812","8","-6.252","1","0.0657","0.00282","0.0000244","0.0882","0.625","113.279","4","","Legacy Recordings","P This compilation (P) 1997 Sony Music Entertainment"
"spotify:track:5Ixo7kVPzQlpdn7VVHET7b","Ohio - Single Version","spotify:artist:1CYsQCypByMVgnv17qsSbQ","Crosby\, Stills\, Nash & Young","spotify:album:7KB2kvAO7bj7X6HRQmuZ4Q","Neil Young Archives Vol. I (1963 - 1972)","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","2009-05-29","https://i.scdn.co/image/ab67616d0000b273766cca7d4bc3a46cb4a28342","1","90","179973","","false","0","USAT20900807","spotify:user:kidfreeze","2014-07-20T16:59:18Z","album rock,art rock,blues rock,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,supergroup","0.444","0.721","0","-6.337","1","0.0261","0.225","0.00211","0.242","0.785","78.453","4","","Reprise","C © 2009 Silver Bow Productions, Inc., P ℗ 2009 Silver Bow Productions, Inc."
"spotify:track:4f2QcB0RYGz70dXGjvpR0w","Barracuda","spotify:artist:34jw2BbxjoYalTp8cJFCPv","Heart","spotify:album:1La86JTftH0TB87NPxrzFX","The Essential Heart","spotify:artist:34jw2BbxjoYalTp8cJFCPv","Heart","2002-11-26","https://i.scdn.co/image/ab67616d0000b273fe45abcf82940ec656995ea5","1","4","262506","","false","0","USSM10009075","spotify:user:kidfreeze","2014-07-20T16:59:31Z","album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock","0.538","0.908","4","-6.277","0","0.0435","0.00293","0.124","0.123","0.665","137.416","4","","Epic/Capitol/Legacy","P (P) 1976,1978,1985,1987,1990,1991,1993,1994,2002 Capitol Records,Inc., 1977,1978,1980,1982,1983,2002 Sony Music Entertainment Inc."
"spotify:track:0FeCO85RKW8fDRytwXof2x","Go Your Own Way","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:63k57x0qOkUWEMR0dkMivh","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b2735e66bc0df2bd18e746dbb823","1","5","218400","","false","0","USWB19900181","spotify:user:kidfreeze","2014-07-20T17:00:32Z","album rock,classic rock,rock,soft rock,yacht rock","0.597","0.812","5","-12.062","1","0.0315","0.0219","0.00106","0.102","0.823","135.68","4","","Warner Bros.","C 1977 Warner Bros. Records Inc. for the U.S. and WEA International Inc. for the world outside of the U.S., P 1977 Warner Bros. Records Inc. for the U.S. and WEA International Inc. for the world outside of the U.S."
"spotify:track:4pj8ElgSWmmy5LT9a7jb0s","Toys In The Attic","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:36IxIOGEBAXVozDSiVs09B","Toys In The Attic","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1975-04-08","https://i.scdn.co/image/ab67616d0000b2739662c6535fb4bf5767e50f32","1","1","185133","https://p.scdn.co/mp3-preview/f3d1eafca31f7e53cd1b8a6af240262e51498501?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USSM19906478","spotify:user:kidfreeze","2014-07-20T17:01:18Z","album rock,classic rock,hard rock,rock","0.219","0.928","11","-9.997","0","0.0697","0.001","0.00000243","0.341","0.446","197.462","4","","Columbia","P (P) 1975 Columbia Records, a division of Sony Music Entertainment"
