"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4dzBqc5t2GWJKpGqUoTbrU","2gether","spotify:artist:5Q81rlcTFh3k6DQJXPdsot, spotify:artist:39HYn2OCDJFkUauHXqwBsG","Mura Masa, Gretel Hänlyn","spotify:album:3DG2mNSbwGZjzSJxnpM1Qf","2gether","spotify:artist:5Q81rlcTFh3k6DQJXPdsot","Mura Masa","2021-11-26","https://i.scdn.co/image/ab67616d0000b273717bc6f6bbe001f73e9d9596","1","1","191074","https://p.scdn.co/mp3-preview/f6c1af258895ca5e2ffdd8b8a51b14d5c6ad3677?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBUM72108229","spotify:user:","2021-11-26T07:27:00Z","channel islands indie,hyperpop,vapor soul","0.768","0.374","1","-5.552","1","0.0586","0.455","0.000226","0.245","0.229","91.903","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records Release; ℗ 2021 Anchor Point Records, under exclusive license to Universal Music Operations Limited"
"spotify:track:6Dg3ArDiJcseYoeeTZZXK6","All The Highs","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","spotify:album:4Z9aZaIeSiKBVOf7v7oHCI","All The Highs","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","2022-09-16","https://i.scdn.co/image/ab67616d0000b273f7654c177892b06bf56e8bf3","1","1","206793","https://p.scdn.co/mp3-preview/921eac818f58b31b295a3ca29506c3f8bd1daaca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","QZUCN2200160","spotify:user:","2022-09-16T04:00:00Z","edm,electro house,electronic trap,electropop,future bass,pop dance,pop edm,vapor twitch","0.538","0.694","3","-7.035","1","0.0483","0.143","0.098","0.112","0.425","145.007","4","","Helix Records","C 2022 Helix Records, a division of Payday Records, Inc., P 2022 Helix Records, a division of Payday Records, Inc."
"spotify:track:3MYGkr4LPB4erhr97GnHbI","‎kinder ‎opposites","spotify:artist:4YUBqnGDhH4JphZIhi9cdB","Laxcity","spotify:album:6BVsvhJucDYyb9LhM1MzcQ","‎kinder ‎opposites","spotify:artist:4YUBqnGDhH4JphZIhi9cdB","Laxcity","2022-06-03","https://i.scdn.co/image/ab67616d0000b273efae14b79fd9bd7594417592","1","1","102400","https://p.scdn.co/mp3-preview/a04bb3473a608e7252e1df034d4df0b33a33fab1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBKPL2298626","spotify:user:","2022-06-03T04:01:00Z","future bass,vapor twitch","0.449","0.951","10","-2.242","1","0.61","0.0629","0.0000919","0.242","0.229","150.274","4","","Laxcity","C (C) 2022 Laxcity, P (P) 2022 Laxcity"
"spotify:track:7ammiC4TKHgMXP8RnccYcA","Shoyu","spotify:artist:5Y7rFm0tiJTVDzGLMzz0W1, spotify:artist:0u18Cq5stIQLUoIaULzDmA","IMANU, DROELOE","spotify:album:3MWWoyTPwnuhND8LMOAyse","Unfold","spotify:artist:5Y7rFm0tiJTVDzGLMzz0W1","IMANU","2022-09-16","https://i.scdn.co/image/ab67616d0000b2738e3b313f38d38ddd647ae9d8","1","3","141951","https://p.scdn.co/mp3-preview/589c02b10c0d9af8577a7900844124770d154227?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","CAUM82200356","spotify:user:","2022-09-16T04:00:00Z","dutch dnb,future bass,vapor twitch,bass trap,edm,electronic trap,electropop,future bass,pop edm,vapor twitch","0.556","0.852","1","-5.223","1","0.286","0.353","0.694","0.121","0.396","164.07","4","","Deadbeats","C © 2022 Deadbeats, P ℗ 2022 Deadbeats"
"spotify:track:5tOq0CP7E8025oB6l9eghz","Addicted","spotify:artist:66VgJGpaRMwrNaS2MPqIDf, spotify:artist:3pJlam8yODJN1AEzmTVGko","Pauline Herr, TWERL","spotify:album:0iaxJy9W6DrkrnvwKgdyjf","Addicted","spotify:artist:66VgJGpaRMwrNaS2MPqIDf, spotify:artist:3pJlam8yODJN1AEzmTVGko","Pauline Herr, TWERL","2022-07-22","https://i.scdn.co/image/ab67616d0000b27314f0ef38708db102f54a6794","1","1","164609","https://p.scdn.co/mp3-preview/62bd24b0fc6d380ba461237ac300778b1b0b9330?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","NLRD51632966","spotify:user:","2022-07-25T14:32:57Z","traprun","0.583","0.568","3","-5.832","1","0.0785","0.197","0.0000168","0.121","0.204","154.98","4","","bitbird","C 2022 bitbird, P 2022 bitbird"
"spotify:track:21kzMROplBP8MhBCmfYcSm","idio-savan","spotify:artist:1N0uTSN7HQpzJYmQIvsusL","Serph","spotify:album:05bDe8Ngwf8YLwu6uPmRsa","Psychic Music","spotify:artist:1N0uTSN7HQpzJYmQIvsusL","Serph","2021-11-26","https://i.scdn.co/image/ab67616d0000b2730b24d8b5154295f5fbc392ac","1","1","264000","https://p.scdn.co/mp3-preview/135a714d0501f0c23d5609bc277bfc199178cdc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPP632100400","spotify:user:","2021-11-26T07:27:00Z","glitch pop,j-ambient,japanese idm,japanese jazz fusion","0.543","0.876","1","-4.678","1","0.0526","0.0607","0.211","0.222","0.706","169.991","4","","noble","C (C) 2021 noble, P (P) 2021 noble"
"spotify:track:4yYYjy0Dtj4CkWeqljwpLq","When You Feel Like This","spotify:artist:3fmMaLC5jjf2N4EC2kTx0u, spotify:artist:6wFwvxJkurQPU2UdeD4qVt","Hermitude, The Jungle Giants","spotify:album:3hcYCXbWFUV5eP4wZPQn8K","Mirror Mountain","spotify:artist:3fmMaLC5jjf2N4EC2kTx0u","Hermitude","2022-05-06","https://i.scdn.co/image/ab67616d0000b2732cd66e933f8e46734d83e5d2","1","4","225000","https://p.scdn.co/mp3-preview/90c2663338a9438bbf4257092d45516ff9e2e607?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","AUEF02202135","spotify:user:","2022-03-25T04:00:00Z","australian dance,downtempo,edm,electronic trap,escape room,vapor twitch,australian indie","0.749","0.715","0","-7.028","1","0.0993","0.0884","0.0294","0.0998","0.543","139.973","4","","Nettwerk Music Group","C 2022 Elefant Traks Operations Pty Ltd. under exclusive license to Nettwerk Music Group Inc., P 2022 Elefant Traks Operations Pty Ltd. under exclusive license to Nettwerk Music Group Inc."
"spotify:track:4AB02ifWnUgGQuND9gS9ki","Stellar","spotify:artist:7wfx7Fc5L3L8uvXEv8pCm6, spotify:artist:4CSoZYGqDvZRs5b7UhIOKO","LAUTRE., Bubblemint","spotify:album:6FqyPnrQSVjsrWxUUNh49g","Stellar","spotify:artist:7wfx7Fc5L3L8uvXEv8pCm6, spotify:artist:4CSoZYGqDvZRs5b7UhIOKO","LAUTRE., Bubblemint","2021-11-26","https://i.scdn.co/image/ab67616d0000b27313d87fcc25b8ab6a8c75471b","1","1","212270","https://p.scdn.co/mp3-preview/66fbf6934ee5e7ff1a02cf7e59d6c5460ba6f5de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TCAFT2185183","spotify:user:","2021-11-26T07:27:00Z","hardwave,traprun","0.43","0.882","4","-5.226","0","0.0559","0.00592","0.00148","0.199","0.185","155.002","5","","Tribal Trap","C 2021 Tribal Trap, P 2021 Tribal Trap"
"spotify:track:0awYObOk6SaUF1HovGwrVI","Never Be Mine","spotify:artist:72heZIc2iMXdpDwsTjTcCQ, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Biicla, Rome in Silver","spotify:album:7hJjm7oazb7hP0lTmLEuWF","Never Be Mine","spotify:artist:72heZIc2iMXdpDwsTjTcCQ, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Biicla, Rome in Silver","2022-04-07","https://i.scdn.co/image/ab67616d0000b273b232a69da803a15123a23ffc","1","1","154029","https://p.scdn.co/mp3-preview/a6dff579789a5e3eec72f9889ad889956b529819?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QM24S2201413","spotify:user:","2022-04-08T04:01:00Z","vapor twitch,future bass,vapor twitch","0.63","0.957","9","-4.029","0","0.051","0.00988","0.674","0.321","0.0369","133.986","4","","Good Luck Have Fun","P 2022 Good Luck Have Fun"
"spotify:track:0chpQTaECrCZBusarf71Ql","Blue - Flume Remix","spotify:artist:64rxQRJsLgZwHHyWKB8fiF, spotify:artist:6nxWCVXbOlEVRexSbLsTer","Eiffel 65, Flume","spotify:album:0jihZJEz7ZnvQVN6WBj5RC","Blue (Flume Remix)","spotify:artist:64rxQRJsLgZwHHyWKB8fiF, spotify:artist:6nxWCVXbOlEVRexSbLsTer","Eiffel 65, Flume","2020-07-03","https://i.scdn.co/image/ab67616d0000b273fab5eacd2aae13133a3f82f9","1","1","166666","https://p.scdn.co/mp3-preview/bf68c9ce2cead5d5a1c4f76450182d69f9e43452?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","AUFF02000077","spotify:user:","2021-08-06T15:53:29Z","bubblegum dance,eurodance,europop,italian adult pop,italo dance,australian dance,australian electropop,australian indie,downtempo,edm","0.743","0.701","7","-3.907","0","0.0886","0.434","0.0075","0.249","0.659","134.987","4","","Future Classic","C 2020 Future Classic, P 2020 Future Classic"
