"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3NanY0K4okhIQzL33U5Ad8","Boy's a liar","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","spotify:album:5Kdlc7Kds94W7UFFg6Me0N","Boy's a liar","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","2022-11-30","https://i.scdn.co/image/ab67616d0000b2735911dc1602a9d100ebe955fc","1","1","131253","https://p.scdn.co/mp3-preview/a3e236f30998aa46d4a2eea8d760ed923e856ab1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBAYE2202560","spotify:user:","1970-01-01T00:00:00Z","","0.656","0.838","5","-8.407","1","0.041","0.25","0.00281","0.207","0.74","132.981","4","","Warner Records","C Under Exclusive Licence to Warner Music UK Limited, © 2022 PinkPantheress, P Under Exclusive Licence to Warner Music UK Limited, ℗ 2022 PinkPantheress"
"spotify:track:2ikT7zgIJYBcpchNseRmka","Don't Call It Love - 12"" Version","spotify:artist:14H7ag1wpQOsPPQJOD6Dqr","Zero 7","spotify:album:5ulxwV032s3dUxd1sXLxm0","On My Own","spotify:artist:14H7ag1wpQOsPPQJOD6Dqr","Zero 7","2013-09-01","https://i.scdn.co/image/ab67616d0000b273a505c6cf6832068d36781961","1","2","385986","https://p.scdn.co/mp3-preview/0a9451f2c7249e930ed3bb0f6d05c57ad7ae46d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","UK46T1301002","spotify:user:","1970-01-01T00:00:00Z","downtempo,electronica,nu jazz,trip hop","0.821","0.529","10","-8.758","0","0.0349","0.0556","0.0744","0.152","0.941","118.023","4","","Make Records","C 2013 Zero 7, P 2013 Zero 7"
"spotify:track:4iaaEAAyCWrQdYT5tRnyDb","Free","spotify:artist:1uRxRKC7d9zwYGSRflTKDR","SAULT","spotify:album:0K8jX7CLwxJaML5iXdxveF","Untitled (Rise)","spotify:artist:1uRxRKC7d9zwYGSRflTKDR","SAULT","2020-09-18","https://i.scdn.co/image/ab67616d0000b2734a08d9f639f2bb1054f357de","1","9","305829","https://p.scdn.co/mp3-preview/2bd607ade16b40ae8a647e9f8a0c17fcf1451bdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","UKMEH2000093","spotify:user:","1970-01-01T00:00:00Z","alternative r&b,indie soul,pop soul","0.746","0.759","7","-3.078","1","0.042","0.0979","0.0139","0.598","0.623","112.31","4","","Forever Living Originals","C 2020 Forever Living Originals, P 2020 Forever Living Originals"
"spotify:track:3FN7IJMnUMWZXDw08ix3ot","Stop This Flame - Celeste x MK","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","spotify:album:1G6SH7CRZ5qtYVaGnUVhSK","Stop This Flame (Celeste x MK)","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","2021-06-25","https://i.scdn.co/image/ab67616d0000b273b61ad93c3ca363ef040bf226","1","1","203946","https://p.scdn.co/mp3-preview/f0a355b18c22fce0ae1849df4a579414e0472d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM72103464","spotify:user:","1970-01-01T00:00:00Z","british soul,dance pop,edm,house,pop dance,tropical house","0.692","0.846","8","-5.72","1","0.0559","0.0194","0.0000291","0.324","0.827","124.007","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P Atlas Artists / Polydor Records; ℗ 2021 Universal Music Operations Limited"
"spotify:track:50Jzwcj8kYcVrK1EbhuEfK","If You Need","spotify:artist:007rtpm59gnMeRW0zmkJ30, spotify:artist:6h6jp2XsW3RvXdQs7Pfu4m","Taim, ALYSS","spotify:album:3km0npKrBGgvF3etv8M7F7","If You Need","spotify:artist:007rtpm59gnMeRW0zmkJ30, spotify:artist:6h6jp2XsW3RvXdQs7Pfu4m","Taim, ALYSS","2021-04-30","https://i.scdn.co/image/ab67616d0000b2736f81419750db8138cee7e68f","1","1","206608","https://p.scdn.co/mp3-preview/d76bb0c6af05b46c4f7ee58f54587842f24d5d00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USLD91732093","spotify:user:","1970-01-01T00:00:00Z","deep groove house,uk alternative pop","0.721","0.733","2","-6.216","1","0.0384","0.00113","0.198","0.129","0.307","126.006","4","","Confession","C 2021 Confession, P 2021 Confession"
"spotify:track:6mfM11rZkoXsU5xAArF4Ix","Like The Old Days","spotify:artist:0vTVU0KH0CVzijsoKGsTPl","Barry Can't Swim","spotify:album:1UKTx4oagTgTO2PVtoTWf3","Like The Old Days","spotify:artist:0vTVU0KH0CVzijsoKGsTPl","Barry Can't Swim","2022-11-15","https://i.scdn.co/image/ab67616d0000b27318ef527316c945aa9218fad1","1","1","240041","https://p.scdn.co/mp3-preview/97ce8bb333d5902220ae1c240b8fc48959cc82ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBCFB2200807","spotify:user:","1970-01-01T00:00:00Z","electronica,indie soul","0.654","0.79","0","-10.384","1","0.0388","0.0035","0.859","0.257","0.627","121.993","4","","Technicolour","C 2022 Technicolour, P 2022 Technicolour"
"spotify:track:1dl8w8jWWN8c00TUKH6vwh","Pyramid","spotify:artist:6h6jp2XsW3RvXdQs7Pfu4m","ALYSS","spotify:album:5nKhJceSqh4VzzHM6tKW3p","Pyramid","spotify:artist:6h6jp2XsW3RvXdQs7Pfu4m","ALYSS","2017","https://i.scdn.co/image/ab67616d0000b2732671a44b9c2eb5e2666ed39a","1","1","233684","https://p.scdn.co/mp3-preview/d22f91cfa00ecbd744638e4dde022650176c5881?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","US23A1500508","spotify:user:","1970-01-01T00:00:00Z","uk alternative pop","0.655","0.758","3","-9.779","1","0.272","0.0447","0","0.0971","0.414","114.082","4","","Columbia","P (P) 2017 Alyss under exclusive licence to Room Two Recordings as a division of Sony Music Entertainment UK Limited"
"spotify:track:2dUzIrjBXMPBoZbfa4f3ZF","If I Fall Under","spotify:artist:63wd5NS9hEIj1MchScLJB1","J Lloyd","spotify:album:7wTZWtC5Rbu7YgNLn1GdUP","Kosmos","spotify:artist:63wd5NS9hEIj1MchScLJB1","J Lloyd","2020-07-10","https://i.scdn.co/image/ab67616d0000b273bbe155e347a39b371869f027","1","4","86800","https://p.scdn.co/mp3-preview/346294e47b84aee6d67cf67407ffe0148a8ad82c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBKPL2006972","spotify:user:","1970-01-01T00:00:00Z","indie soul,uk alternative pop","0.672","0.647","0","-6.446","1","0.0796","0.485","0.000021","0.532","0.844","94.191","4","","Caiola Records","C (C) 2020 Caiola Records under exclusive license to AWAL Recordings Ltd, P (P) 2020 Caiola Records under exclusive license to AWAL Recordings Ltd"
"spotify:track:67r7ZHxVxONN9ZQk05AQVL","Do you miss me?","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","spotify:album:3Mp1zB42F2yqqOMEep7R3k","Do you miss me?","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","2022-11-15","https://i.scdn.co/image/ab67616d0000b273f9c9812c775bdb0e9c70d5f1","1","1","128853","https://p.scdn.co/mp3-preview/5c006d287cc8af5a0f757c0b13039b037c06b68b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","GBAYE2200752","spotify:user:","1970-01-01T00:00:00Z","","0.647","0.871","11","-7.144","0","0.0936","0.0976","0.000534","0.173","0.643","129.928","4","","Warner Records","C Under Exclusive Licence to Warner Music UK Limited, © 2022 PinkPantheress, P Under Exclusive Licence to Warner Music UK Limited, ℗ 2022 PinkPantheress"
"spotify:track:603pPHCZn9Ng9K9woYdWEd","Blackpool Boulevard - Edit","spotify:artist:4pSMnAlD8JVEW3eZDuaQH8, spotify:artist:0vTVU0KH0CVzijsoKGsTPl","Anish Kumar, Barry Can't Swim","spotify:album:3jc8IkDpZ1bGZCNCZOyT3R","Blackpool Boulevard","spotify:artist:4pSMnAlD8JVEW3eZDuaQH8, spotify:artist:0vTVU0KH0CVzijsoKGsTPl","Anish Kumar, Barry Can't Swim","2021-11-18","https://i.scdn.co/image/ab67616d0000b2733884a8730cf58a571eab9d00","1","2","215768","https://p.scdn.co/mp3-preview/e5568ad0023c575e922f22f4748585f6bc609caa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBCFB2100737","spotify:user:","1970-01-01T00:00:00Z","electronica,indie soul","0.598","0.907","0","-7.13","0","0.0371","0.0123","0.868","0.219","0.393","121.998","4","","Technicolour","C 2021 Technicolour, P 2021 Technicolour"
