"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3NvS0SxNWIPiAJoPWUpZzr","What Is Love - 7"" Mix","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","spotify:album:7iJaLP2Wqt624nD3esC08f","The Album 2nd Edition","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","1993-11-29","https://i.scdn.co/image/ab67616d0000b273e5749c5d8058faac4562af4a","1","1","270373","https://p.scdn.co/mp3-preview/6b31e9ed78d0a3741d68b1312e0886f67f7d9e77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DEA410500401","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","bubblegum dance,eurodance,europop,hip house","0.683","0.772","7","-7.907","0","0.031","0.0222","0.0156","0.203","0.738","123.869","4","","Coconut Music","C 1993 Coconut Music UG (haftungsbeschränkt) & Co. KG, P 1993 Coconut Music UG (haftungsbeschränkt) & Co. KG"
"spotify:track:6Sy9BUbgFse0n0LPA5lwy5","Sandstorm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","spotify:album:0Xks5v0dve8Gh2tRHIekjo","Before the Storm, Special Edition","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d","1","4","225493","https://p.scdn.co/mp3-preview/29369068078c2a088aa3fed0917eb712c5a594c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","FISGC9900001","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","eurodance,europop,finnish edm,trance","0.528","0.965","11","-7.984","0","0.0465","0.141","0.985","0.0797","0.587","136.065","4","","16 Inch Records","C (C) 2008 16 Inch Records, P (P) 2000 16 Inch Records"
"spotify:track:2yAVzRiEQooPEJ9SYx11L3","Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","spotify:artist:64rxQRJsLgZwHHyWKB8fiF, spotify:artist:5ENS85nZShljwNgg4wFD7D","Eiffel 65, Gabry Ponte","spotify:album:54vbD17F1t5q3yHkj1cX37","Europop","spotify:artist:64rxQRJsLgZwHHyWKB8fiF","Eiffel 65","1999","https://i.scdn.co/image/ab67616d0000b2733b1a2136a769a6503d8e2aef","1","4","283747","https://p.scdn.co/mp3-preview/275f2d809c4861d4a03b19780e0b9412a75d73db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","ITT019810102","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","bubblegum dance,eurodance,europop,italian adult pop,italo dance,edm,eurodance,italo dance,pop dance,slap house,tropical house","0.822","0.969","7","-11.471","0","0.0582","0.259","0.000153","0.39","0.765","128.007","4","","Hits Only","C 2011 Bliss Corporation, P 2011 Bliss Corporation"
"spotify:track:7CEIFwLf4XmFz8okORSizE","Creep","spotify:artist:2DYDFBqoaBP2i9XrTGpOgF, spotify:artist:5cKlE8f6b26h61Ml7m052Q","Naeleck, Haley Reinhart","spotify:album:60SKSurtzL5m59nahMg9TL","Creep","spotify:artist:2DYDFBqoaBP2i9XrTGpOgF, spotify:artist:5cKlE8f6b26h61Ml7m052Q","Naeleck, Haley Reinhart","2022-06-03","https://i.scdn.co/image/ab67616d0000b273b8aae4c1cac1d205ee1f29e0","1","1","203225","https://p.scdn.co/mp3-preview/5923fdd254820e1f1656c4eb7502e39b311030e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRR642200834","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","electro,idol","0.615","0.829","6","-4.567","1","0.0421","0.0555","0.00156","0.426","0.0754","124.013","4","","Dancing Dead","C 2022 Dancing Dead, P 2022 Dancing Dead"
"spotify:track:6dNZPvJteUFQZwT8tQ10wX","L' Amour Toujours - Radio Version","spotify:artist:1OAjDaKgg00KCUYqDe68un","Gigi D'Agostino","spotify:album:2K6Zh562H4nfuVItJoDFVG","00's Dance Top 65","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-02-15","https://i.scdn.co/image/ab67616d0000b27381951d38918a8bde93532e23","1","1","242133","","false","0","DEA310200623","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","eurodance,europop,italo dance","0.643","0.875","11","-5.048","0","0.0306","0.0848","0.014","0.317","0.77","139.038","4","","Cloud 9 Music","C 2013 Cloud 9 Music B.V., P 2013 Cloud 9 Music B.V."
"spotify:track:1n7omixiROWs5q6xpWiQuL","Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz","spotify:artist:4Ws2otunReOa6BbwxxpCt6, spotify:artist:1jQDgp9Fak4WYVZedWLF4G","Benny Benassi, The Biz","spotify:album:1pjsWAK5eBtJsYGtYDiCER","Hypnotica (Benny Benassi Presents The Biz)","spotify:artist:4Ws2otunReOa6BbwxxpCt6, spotify:artist:1jQDgp9Fak4WYVZedWLF4G","Benny Benassi, The Biz","2003-05-23","https://i.scdn.co/image/ab67616d0000b2731184191625b12259967b7116","1","1","285570","https://p.scdn.co/mp3-preview/60219c24253884e1adad86aabd51552a2fc201f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","IT00D0206401","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","dance pop,edm,electro house,pop dance,electro house","0.793","0.698","11","-3.626","1","0.104","0.163","0.145","0.0745","0.339","130.017","4","","D:Vision","C 2003 d:vision / Energy Production S.r.l., P 2003 d:vision / Energy Production S.r.l."
"spotify:track:6ooMCJR3I2XhHCHIpgWPvp","Scatman (Ski-Ba-Bop-Ba-Dop-Bop) - Basic Radio","spotify:artist:4omQQTNN7ILiMsSB2k9eqX","Scatman John","spotify:album:3FnYMT5U131F3ZraMFU3d5","Scatman (Ski-Ba-Bop-Ba-Dop-Bop)","spotify:artist:4omQQTNN7ILiMsSB2k9eqX","Scatman John","1994-12-01","https://i.scdn.co/image/ab67616d0000b273c3380791c17ae4d46fe9beed","1","1","213426","https://p.scdn.co/mp3-preview/9fdb6848e50632582697ec6848a8da9efaff2cd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DKELA9400101","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","bubblegum dance,eurodance,europop,hip house","0.653","0.902","5","-7.304","0","0.0352","0.054","0.00195","0.219","0.739","136.019","4","","Iceberg Records","C 2017 Iceberg Records A/S, P 2017 Iceberg Records A/S"
"spotify:track:2yN6fQOuaRSuwK7lsRfpC6","Shivers","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5, spotify:artist:5T8x61HRsjZo0CwH1rs6Kf","Armin van Buuren, Susana","spotify:album:2pDaq7X7aRDXUelv3YlR3I","A State Of Trance Classics, Vol. 12 (The Full Unmixed Versions)","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","Armin van Buuren","2017-09-22","https://i.scdn.co/image/ab67616d0000b27351160fd70f545d1d58e89a8d","2","11","189816","https://p.scdn.co/mp3-preview/c542206be73df7520d3c9f18c7e12432a0a1e266?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","NLF711709011","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","dutch trance,edm,pop dance,progressive house,trance,deep uplifting trance,progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance,vocal trance","0.474","0.88","1","-10.189","1","0.0328","0.0015","0.0712","0.507","0.371","135.013","4","","Armada Music Albums","C 2017 Armada Music B.V., P 2017 Armada Music B.V."
"spotify:track:3H3cOQ6LBLSvmcaV7QkZEu","Aerodynamic","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","2","212546","https://p.scdn.co/mp3-preview/6a1242dcb93790ebe95205ebd755d76cb0e14177?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBDUW0000057","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","electro,filter house","0.624","0.911","7","-7.482","1","0.0524","0.329","0.861","0.0727","0.135","122.902","4","","Daft Life Ltd./ADA France","C Distributed exclusively by Warner Music France / ADA France, © 2001 Daft Life Ltd., P Distributed exclusively by Warner Music France / ADA France, ℗ 2001 Daft Life Ltd."
"spotify:track:4ntwMws17qmbQUI1NemGqd","Seven Nation Army","spotify:artist:6CnCjQXjKiV9Ro5GGA8ztB, spotify:artist:7oz4dlYyj9jadcbGJq1jwx","DJ Fluke, Jaki Nelson","spotify:album:0R4f3m05IHfoq3aPPCPuto","Seven Nation Army","spotify:artist:6CnCjQXjKiV9Ro5GGA8ztB, spotify:artist:7oz4dlYyj9jadcbGJq1jwx","DJ Fluke, Jaki Nelson","2021-01-22","https://i.scdn.co/image/ab67616d0000b2735e7fb32542ad51959c401f3e","1","1","156309","https://p.scdn.co/mp3-preview/8bad5e30aa7274f6ec9f4a6b55be2ce8c04e7d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","FRR642001715","spotify:user:312avoycbyo353bvbqm2mpdnghjy","2022-06-15T16:11:56Z","","0.689","0.832","4","-4.248","0","0.0443","0.00694","0.11","0.0885","0.276","125.97","4","","Dancing Dead","C 2020 Dancing Dead, P 2020 Dancing Dead"
