"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1mv4lh1rW1K6xhxhJmEezy","Music Sounds Better With You - Radio Edit","spotify:artist:2w7IutHv5g4e8LumrwtjWR","Stardust","spotify:album:7Kusf5plZjl76X5ARWJbNO","Music Sounds Better With You","spotify:artist:2w7IutHv5g4e8LumrwtjWR","Stardust","1998-07-20","https://i.scdn.co/image/ab67616d0000b273b98afa12c212cbbda4f1799b","1","2","260906","https://p.scdn.co/mp3-preview/ffe481eafb675581e31582349ff22159ce4a849a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","FR11Q9800001","spotify:user:","2022-02-28T22:22:26Z","","0.729","0.662","5","-7.191","0","0.337","0.00128","0.208","0.305","0.359","124.149","4","","Because Music","C 1998 Because Music LC33186, P 1998 Because Music LC33186"
"spotify:track:2SCP5oOX5OSp5RT83h2rs0","Lola's Theme - Radio Edit","spotify:artist:60FV7KyxIH9FH1uq7u8inP","The Shapeshifters","spotify:album:7DdLjF8JFxVVMFh4rRC1bE","Lola's Theme","spotify:artist:60FV7KyxIH9FH1uq7u8inP","The Shapeshifters","2004-01-01","https://i.scdn.co/image/ab67616d0000b2734d74f575e1d411a6369e9ca8","1","1","207066","https://p.scdn.co/mp3-preview/346ed5e11b4cc37ec7bf99245d660932ebd5c12b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBGYY0400010","spotify:user:","2022-02-28T22:22:26Z","deep house,disco house,diva house,house,vocal house","0.753","0.835","5","-4.631","0","0.0533","0.000842","0.0000874","0.13","0.669","123.943","4","","Glitterbox Recordings","C © 2004 Glitterbox Recordings, P ℗ 2004 Glitterbox Recordings"
"spotify:track:0F2BxpbxH8Yc3pLub48hrb","Pjanoo - Radio Edit","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:7zlMxh1NR0Shklu48L4e7x","Pjanoo","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","2008-08-29","https://i.scdn.co/image/ab67616d0000b273bf82130ce529153496038461","1","1","157432","https://p.scdn.co/mp3-preview/47007fb4cdd23f23045e3abdc2593ad66759a0fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCEN0800951","spotify:user:","2022-02-28T22:22:26Z","disco house,edm,electro house,pop dance,progressive house,vocal house","0.605","0.874","7","-4.949","0","0.0295","0.000563","0.812","0.112","0.836","125.99","4","","Pryda Presents","P (P) 2008 Data Records|Ministry of Sound Recordings Ltd"
"spotify:track:34sGnIHB3ZthMvHpNX1i7e","Day 'N' Nite - Crookers Remix","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:3o1cwVQfiDWafhYA02k13C","Kid Cudi, Crookers","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","16","281746","https://p.scdn.co/mp3-preview/c0d602b16a82fceb6b7dcb97ca2e8156c13dc21b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUM70957532","spotify:user:","2022-02-28T22:22:26Z","hip hop,ohio hip hop,rap,fidget house","0.756","0.705","11","-4.744","0","0.0462","0.0326","0.0503","0.0552","0.962","129.993","4","","Kid Cudi/Universal Records","C © 2009 Universal Motown Records, a division of UMG Recordings, Inc., P ℗ 2009 Universal Motown Records, a division of UMG Recordings, Inc."
"spotify:track:3u5N55tHf7hXATSQrjBh2q","Freed From Desire","spotify:artist:3OqTvcWgb0xaainosGVvuZ","Gala","spotify:album:3vcwGUl0WiJVssOR1dXEbe","Come Into My Life (The Album)","spotify:artist:3OqTvcWgb0xaainosGVvuZ","Gala","1997-11-17","https://i.scdn.co/image/ab67616d0000b273e3a26492e5b3a5f37021bd2d","1","10","213394","https://p.scdn.co/mp3-preview/4ea0d2d049ae35da94b17b61177dcc866c726c79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","ITA179700143","spotify:user:","2022-02-28T22:22:26Z","eurodance,europop,hip house","0.704","0.861","2","-4.221","0","0.0493","0.587","0.0615","0.0992","0.636","128.99","4","","Do It Yourself","C 2007 Do It Yourself Multimedia Group S.r.l. Unipersonale (Italy), Mollyville Publishing S.r.l., P 2007 Do It Yourself Multimedia Group S.r.l. Unipersonale (Italy), Mollyville Publishing S.r.l."
"spotify:track:5qGIfWDRdyO67LCTqA2sEn","Heads Will Roll - A-Trak Remix Radio Edit","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2, spotify:artist:3TaUSUXn41GixL7zbvrIDt","Yeah Yeah Yeahs, A-Trak","spotify:album:3MWSY8N1zWSNBcnMTIeiTz","Good Morning Music: Wake Up Workout","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-05-10","https://i.scdn.co/image/ab67616d0000b27399ac98ddd6534acb3f93f08f","1","11","203920","https://p.scdn.co/mp3-preview/b6e773c626c729ae28545fbeb924488d1f53293c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USUM70906805","spotify:user:","2022-02-28T22:22:26Z","alternative dance,alternative rock,dance-punk,indie rock,modern rock,new rave,rock,canadian electronic,electro house,electronic trap,turntablism","0.68","0.805","8","-3.232","0","0.0801","0.0134","0.0558","0.237","0.865","132.005","4","","UME - Global Clearing House","C © 2019 UMG Recordings, Inc., P ℗ 2019 UMG Recordings, Inc. FP"
"spotify:track:0DiWol3AO6WpXZgp0goxAV","One More Time","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","1","320357","https://p.scdn.co/mp3-preview/18781de52205d9ade22904945510161feab085ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBDUW0000053","spotify:user:","2022-02-28T22:22:26Z","electro,filter house","0.613","0.697","2","-8.618","1","0.133","0.0194","0","0.332","0.476","122.746","4","","Daft Life Ltd./ADA France","C Distributed exclusively by Warner Music France / ADA France, © 2001 Daft Life Ltd., P Distributed exclusively by Warner Music France / ADA France, ℗ 2001 Daft Life Ltd."
"spotify:track:3dX6WDwnHwYzB5t754oB4T","Insomnia - Radio Edit","spotify:artist:5T4UKHhr4HGIC0VzdZQtAE","Faithless","spotify:album:03awYMGLQWIlD1VyDwq1HF","Pure... 90s Dance Party","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-12-10","https://i.scdn.co/image/ab67616d0000b27386ea2bbfc9494163c9f5e42d","3","17","215093","https://p.scdn.co/mp3-preview/eb1defe93e19c5f8d1aca5fbedac2398c6e9627a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBBXH9600001","spotify:user:","2022-02-28T22:22:26Z","big beat,downtempo,electronica,trip hop","0.712","0.837","7","-7.191","1","0.0285","0.00864","0.00684","0.102","0.279","127.076","4","","Sony Music Entertainment","P (P) 2010 Sony Music Entertainment"
"spotify:track:69R5Ot0VZjFd71SOBgivoL","Show Me Love - Radio Edit","spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk, spotify:artist:4FqPRilb0Ja0TKG3RS3y4s, spotify:artist:2WvLeseDGPX1slhmxI59G3","Laidback Luke, Steve Angello, Robin S","spotify:album:6ZGmFSpPnJAEnnJ2cHTxeY","Show Me Love","spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk, spotify:artist:4FqPRilb0Ja0TKG3RS3y4s","Laidback Luke, Steve Angello","2009-03-24","https://i.scdn.co/image/ab67616d0000b2731442c096260fb50c9dd66629","1","2","184846","https://p.scdn.co/mp3-preview/3b6a6b7441d205b94821cfe18d4f9bee4e667571?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","NLBW50800027","spotify:user:","2022-02-28T22:22:26Z","big room,dance pop,dutch edm,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house,edm,electro house,pop dance,progressive electro house,progressive house,disco house,diva house,hip house,vocal house","0.653","0.856","5","-4.197","1","0.0638","0.517","0","0.128","0.571","129.955","4","","Mixmash Records","C Mixmash Records - 2009, P Mixmash Records - 2009"
"spotify:track:1PAYgOjp1c9rrZ2kVQg2vN","Changed the Way You Kiss Me - Radio Edit","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:0oxZteBM3NJPbNnBMLjPhN","Playing In The Shadows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2011-09-04","https://i.scdn.co/image/ab67616d0000b273fcc9df4e486dd703a6aa1b9b","1","3","195466","https://p.scdn.co/mp3-preview/6affd06444db4226853c9ba29dcf5a9e6a89d8e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCEN1100336","spotify:user:","2022-02-28T22:22:26Z","dance pop,grime,hip house,house,pop dance,tropical house,uk dance","0.578","0.857","4","-3.78","0","0.041","0.00548","0.00162","0.0948","0.188","126.979","4","","Ministry of Sound Recordings","P (P) 2011 Ministry of Sound Recordings Limited"
