"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:39JofJHEtg8I4fSyo7Imft","B.O.T.A. (Baddest Of Them All) - Edit","spotify:artist:4XC335ouK6pXyq4QiIb8bP, spotify:artist:6uJ51uV5rYzu1MJkC4CceI","Eliza Rose, Interplanetary Criminal","spotify:album:2lQgd3Svp1ZWAzZPLobAPK","B.O.T.A. (Baddest Of Them All)","spotify:artist:4XC335ouK6pXyq4QiIb8bP, spotify:artist:6uJ51uV5rYzu1MJkC4CceI","Eliza Rose, Interplanetary Criminal","2022-08-12","https://i.scdn.co/image/ab67616d0000b273eb15b994e15a3a6634d1694e","1","1","226626","https://p.scdn.co/mp3-preview/ef846b1bc7718027bfc7e91e121aed7618a72ad3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","QZAKB2166405","spotify:user:","2022-12-01T17:56:26Z","house,breaks,experimental house","0.736","0.906","0","-7.589","1","0.048","0.164","0.585","0.106","0.698","137.001","4","","Warner Records","C Under exclusive licence to Warner Music UK Limited, © 2022 One House X Limited, P Under exclusive licence to Warner Music UK Limited, ℗ 2022 One House X Limited"
"spotify:track:5ZduaRci3iNUiDfJbBfAaf","Give It To Me - Full Vocal Mix","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","spotify:album:1jbRY71konakrKvDUiW7Rp","Give It To Me (Full Vocal Mix)","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","2021-10-22","https://i.scdn.co/image/ab67616d0000b2736a1e9d7201b74142e2d47b69","1","1","102860","https://p.scdn.co/mp3-preview/16df6ea59af314dd3a5b16643c45e98f30d4164b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHAD2102631","spotify:user:","2022-12-01T17:56:26Z","french tech house,french techno","0.874","0.869","1","-5.996","0","0.0315","0.00116","0.00238","0.164","0.726","126.027","4","","Cr2 Records","C 2021 Cr2 Records Ltd, P 2021 Cr2 Records Ltd"
"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Miss You","spotify:artist:6TLwD7HPWuiOzvXEa3oCNe, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Oliver Tree, Robin Schulz","spotify:album:32G4vFNwLJQjpzkOoGEUUo","Miss You","spotify:artist:6TLwD7HPWuiOzvXEa3oCNe, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Oliver Tree, Robin Schulz","2022-08-05","https://i.scdn.co/image/ab67616d0000b2735b1bff1152ef6d402c9b75a8","1","1","206000","https://p.scdn.co/mp3-preview/524ace4f6ea6cbbd8a192a402597a781210be07d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","94","USAT22211992","spotify:user:","2022-12-01T17:56:26Z","alternative hip hop,dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,pop rap,tropical house","0.587","0.742","6","-6.64","0","0.0529","0.0128","0.00107","0.146","0.199","145.007","4","","Atlantic Records","C © 2022 Atlantic Recording Corporation, P ℗ 2022 Atlantic Recording Corporation"
"spotify:track:6gdDu39yYqPcaTgCwYEW8i","Turn On The Lights again.. (feat. Future)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Fred again.., Swedish House Mafia, Future","spotify:album:2jiMeC1iUWVYmvXSIiO8ks","Turn On The Lights again.. (feat. Future)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Fred again.., Swedish House Mafia","2022-07-29","https://i.scdn.co/image/ab67616d0000b27312a4dc46531cda7b6e954223","1","1","267946","https://p.scdn.co/mp3-preview/b2d10bf2886b4b4c74788ef94e0ecfe87e2466bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBAHS2201001","spotify:user:","2022-12-01T17:56:26Z","edm,house,dance pop,edm,electro house,pop,pop dance,progressive electro house,atl hip hop,rap,southern hip hop,trap","0.683","0.887","6","-4.944","0","0.0497","0.0125","0.446","0.318","0.551","132.007","4","","Atlantic Records UK","C An Atlantic Records UK release, © 2022 Warner Music UK Limited, P An Atlantic Records UK release., ℗ 2022 Warner Music UK Limited"
"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","spotify:album:060SvgMzLKrNzpvVLK5gSo","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","2022-09-16","https://i.scdn.co/image/ab67616d0000b273a8270fb7bd24767babe59423","1","1","235785","https://p.scdn.co/mp3-preview/2821aaabf84159313db20566c5822d3993ef54ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBK6Y2251421","spotify:user:","2022-12-01T17:56:26Z","","0.683","0.932","8","-10.402","1","0.0513","0.0389","0.605","0.0615","0.553","125.002","4","","Island Records UK / Republic Records / Virgin Records Germany","C © 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited, P Island Records UK / Republic Records / Virgin Records Germany; ℗ 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited"
"spotify:track:4zN21mbAuaD0WqtmaTZZeP","Ferrari","spotify:artist:43BxCL6t4c73BQnIJtry5v, spotify:artist:45ruzGUmIr8WLjLOPJ9mGU","James Hype, Miggy Dela Rosa","spotify:album:6moZ4sNThthUAwCklyuPY8","Ferrari","spotify:artist:43BxCL6t4c73BQnIJtry5v, spotify:artist:45ruzGUmIr8WLjLOPJ9mGU","James Hype, Miggy Dela Rosa","2022-04-01","https://i.scdn.co/image/ab67616d0000b2736cc861b5c9c7cdef61b010b4","1","1","186661","https://p.scdn.co/mp3-preview/84aed346f934d9b0db04d2f7cfb1edf3fbde71aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GB3CE2200004","spotify:user:","2022-12-01T17:56:26Z","deep groove house,edm,house,pop dance,uk dance,dance pop","0.847","0.69","1","-7.877","0","0.0493","0.0127","0.00006","0.0526","0.692","125.004","4","","Universal-Island Records Ltd.","C © 2022 James Hype, under exclusive licence to Universal Music Operations Limited, P An Island Records / Cross Records release; ℗ 2022 James Hype, under exclusive licence to Universal Music Operations Limited"
"spotify:track:780be5fB7823aHG06mwTat","Baianá","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","spotify:album:5pmFI5q0ob82elppBCel0W","The Ringmaster","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","2020-10-09","https://i.scdn.co/image/ab67616d0000b273fc7ce3acfa2e8c2479bcf621","1","4","180842","https://p.scdn.co/mp3-preview/721b52a33dec87fd926393f65f2c058a34e886fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","NLE801900440","spotify:user:","2022-12-01T17:56:26Z","minimal tech house,tropical house","0.587","0.722","2","-6.983","0","0.0709","0.000754","0.668","0.543","0.466","121.964","4","","Columbia/B1 Recordings","P (P) 2020 B1 Recordings GmbH, a Sony Music Entertainment company under exclusive license from Be Yourself Catalogue B.V."
"spotify:track:6ryWXzeSbDX5cebOrgjMKL","World, Hold On - FISHER Rework","spotify:artist:5YFS41yoX0YuFY39fq21oN, spotify:artist:2SwhNukah1MYpLR594PnuC, spotify:artist:1VJ0briNOlXRtJUAzoUJdt","Bob Sinclar, Steve Edwards, FISHER","spotify:album:5toviX45fuHcs6yy9HhZs2","World, Hold On (FISHER Rework)","spotify:artist:5YFS41yoX0YuFY39fq21oN, spotify:artist:2SwhNukah1MYpLR594PnuC, spotify:artist:1VJ0briNOlXRtJUAzoUJdt","Bob Sinclar, Steve Edwards, FISHER","2022-07-08","https://i.scdn.co/image/ab67616d0000b273c272f11aee228a5089cb4501","1","1","178304","https://p.scdn.co/mp3-preview/91d208a2217454846e4c0a48f3a47ddc87bfedf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FR4E42227000","spotify:user:","2022-12-01T17:56:26Z","dance pop,disco house,edm,electro house,filter house,vocal house,australian house","0.771","0.883","1","-5.242","0","0.06","0.006","0.00601","0.135","0.892","127.006","4","","Virgin","C © 2022 Yellow Productions, under exclusive license to Universal Music GmbH, P A Virgin Records release; ℗ 2022 Yellow Productions, under exclusive license to Universal Music GmbH"
"spotify:track:6txvQu0zUbiqG24A8XMLnK","Miracle Maker","spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:4DWuml4Jf6K81b5rAPwMb6","Dom Dolla, Clementine Douglas","spotify:album:3yQSxYbAj2jrwAx7W7MIAU","Miracle Maker","spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:4DWuml4Jf6K81b5rAPwMb6","Dom Dolla, Clementine Douglas","2022-07-14","https://i.scdn.co/image/ab67616d0000b273271d5d428af8209918db1401","1","1","188592","https://p.scdn.co/mp3-preview/5c0d983d1d6bbab95eb27c22a1fe3eadd6881f26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USQX92201881","spotify:user:","2022-12-01T17:56:26Z","australian house,deep groove house,edm,house,pop dance","0.609","0.94","10","-6.097","1","0.0617","0.00124","0.269","0.15","0.238","128.001","4","","Three Six Zero Recordings","P (P) 2022 Three Six Zero Recordings/Sony Music Entertainment"
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","2022-08-26","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4","1","1","175238","https://p.scdn.co/mp3-preview/f387f0bdbce0f044f7bf9e2e6a87f59cd78f20a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","97","UKWLG2200055","spotify:user:","2022-12-01T17:56:26Z","big room,dance pop,edm,pop,pop dance,dance pop,edm,pop,post-teen pop","0.561","0.965","7","-3.673","0","0.0343","0.00383","0.00000707","0.371","0.304","128.04","4","","Parlophone UK","C Under license to Warner Music UK Limited, © 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ℗ 2022 What A DJ Ltd"
