"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4vp2J1l5RD4gMZwGFLfRAu","I Gotta Feeling","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:36fdxiOzdlmsrHgGcfvqUJ","THE E.N.D. (THE ENERGY NEVER DIES)","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b273f051a314bb7eaa973c795176","1","5","289133","","false","7","USUM70965169","spotify:user:t8w9dojs72e99167uwmde65tp","2021-10-07T10:43:36Z","dance pop,pop,pop rap","0.743","0.766","0","-6.375","1","0.0265","0.0873","0","0.509","0.61","127.96","4","","Interscope","C © 2009 Interscope, P ℗ 2009 Interscope"
"spotify:track:7mitXLIMCflkhZiD34uEQI","Party Rock Anthem","spotify:artist:3sgFRtyBnxXD5ESfmbK4dl, spotify:artist:2jLE4BoXHriQ96JagEtiDP, spotify:artist:53sIBaVjXQhfH89Vu6nEGh","LMFAO, Lauren Bennett, GoonRock","spotify:album:0D49RvtlLCKyxeDKDnBU2R","Sorry For Party Rocking","spotify:artist:3sgFRtyBnxXD5ESfmbK4dl","LMFAO","2011-01-01","https://i.scdn.co/image/ab67616d0000b2731db908d5f66645cb158837ca","1","3","262146","https://p.scdn.co/mp3-preview/ac588f8a9321db3b17a5ba4530e42f9d59e769de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USUM71100061","spotify:user:t8w9dojs72e99167uwmde65tp","2021-10-07T10:43:36Z","dance pop,pop,pop rap","0.751","0.736","5","-4.168","0","0.156","0.0206","0","0.265","0.352","130.014","4","","Will I Am / A&M","C © 2011 Foo & Blu, LLC, under exclusive License to Interscope Records, P ℗ 2011 Foo & Blu, LLC, under exclusive License to Interscope Records"
"spotify:track:2s5YN9O8Qv25BjQobPHWVZ","Like A G6","spotify:artist:698hF4vcwHwPy8ltmXermq, spotify:artist:7C64wNX3howEFZjAYRKsfP, spotify:artist:7Ip2u3e5Nv6fFb5xyIHxEE","Far East Movement, The Cataracs, DEV","spotify:album:78ysj0YXG9moP8Gv9izzm4","Dirty Bass (Deluxe)","spotify:artist:698hF4vcwHwPy8ltmXermq","Far East Movement","2012","https://i.scdn.co/image/ab67616d0000b27374bbe4c371b16d97f112f0ba","1","15","219306","","false","0","USUM71008138","spotify:user:t8w9dojs72e99167uwmde65tp","2021-10-07T10:43:36Z","asian american hip hop,dance pop,edm,pop rap,pop rap,electropop,post-teen pop","0.431","0.862","7","-7.005","0","0.428","0.00618","0","0.322","0.696","124.93","4","","Cherrytree Records/Kierszenbaum 33%","C © 2013 Interscope Records, P ℗ 2013 Interscope Records"
"spotify:track:7MIhUdNJtaOnDmC5nBC1fb","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX, spotify:artist:2u3rmzZC0psTER2sDfUebm","Alok, Ella Eyre, Kenny Dope, Never Dull","spotify:album:3KpxpdySrMR2S7noneu1bI","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX","Alok, Ella Eyre, Kenny Dope","2022-06-17","https://i.scdn.co/image/ab67616d0000b273ed443f0fff29eee63c9ede20","1","1","165752","https://p.scdn.co/mp3-preview/b4d439ac9a810e7d2a47f0eb9d2cca1341799398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","DEE862200810","spotify:user:t8w9dojs72e99167uwmde65tp","2022-11-30T12:06:11Z","electro house,pop nacional,slap house,dance pop,post-teen pop,tropical house,uk pop,soulful house,disco house,funky house","0.687","0.818","0","-4.221","1","0.0778","0.0112","0","0.248","0.886","125.952","4","","Columbia/B1 Recordings","P (P) 2022 Alok Music/B1 Recordings, a Sony Music Entertainment company, in conjunction with High Fashion Music B.V."
"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Where Are You Now","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Lost Frequencies, Calum Scott","spotify:album:5YrOK7zze6egKg9a8WRcnD","Where Are You Now","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Lost Frequencies, Calum Scott","2021-07-30","https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b","1","1","148197","https://p.scdn.co/mp3-preview/822c97661e9d8a4cdbc9bebf8b414b95d982ee81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","BEHP42100067","spotify:user:t8w9dojs72e99167uwmde65tp","2022-11-30T12:06:11Z","belgian edm,edm,pop,pop dance,tropical house,neo mellow,pop","0.671","0.636","6","-8.117","0","0.103","0.515","0.000411","0.172","0.262","120.966","4","","Epic Amsterdam","P (P) 2021 Lost & Cie Music SPRL exclusively licensed to Epic Amsterdam, with courtesy of Sony Music Entertainment Belgium NV/SA"
"spotify:track:7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Calvin Harris, Dua Lipa","spotify:album:7GEzhoTiqcPYkOprWQu581","One Kiss (with Dua Lipa)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Calvin Harris, Dua Lipa","2018-04-06","https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108","1","1","214846","https://p.scdn.co/mp3-preview/128a50f77ec0225f05a2bd1664cab327bc66bc5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBARL1800368","spotify:user:t8w9dojs72e99167uwmde65tp","2022-11-30T12:06:11Z","dance pop,edm,electro house,house,pop,progressive house,uk dance,dance pop,pop,uk pop","0.791","0.862","9","-3.24","0","0.11","0.037","0.0000219","0.0814","0.592","123.994","4","","Sony Music UK","P (P) 2018 Sony Music Entertainment UK Limited"
"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Ride It","spotify:artist:4ofCBoyEiGSePFAG500xev","Regard","spotify:album:4zOhjJfe0dwqsNdDYk622E","Ride It","spotify:artist:4ofCBoyEiGSePFAG500xev","Regard","2019-07-26","https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78","1","1","157605","https://p.scdn.co/mp3-preview/e9a833aa0e72fbe25b509018ee57f86f52065fd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBCEN1900047","spotify:user:t8w9dojs72e99167uwmde65tp","2021-10-07T10:43:36Z","dance pop,edm,electro house,pop,pop dance,pop edm,slap house,tropical house","0.88","0.751","7","-4.258","0","0.0874","0.177","0.0000643","0.106","0.884","117.948","4","","Ministry of Sound Recordings","P (P) 2019 Ministry of Sound Recordings Limited"
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","2022-08-26","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4","1","1","175238","https://p.scdn.co/mp3-preview/f387f0bdbce0f044f7bf9e2e6a87f59cd78f20a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","97","UKWLG2200055","spotify:user:t8w9dojs72e99167uwmde65tp","2022-09-13T11:19:44Z","big room,dance pop,edm,pop,pop dance,dance pop,edm,pop,post-teen pop","0.561","0.965","7","-3.673","0","0.0343","0.00383","0.00000707","0.371","0.304","128.04","4","","Parlophone UK","C Under license to Warner Music UK Limited, © 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ℗ 2022 What A DJ Ltd"
"spotify:track:7CEIFwLf4XmFz8okORSizE","Creep","spotify:artist:2DYDFBqoaBP2i9XrTGpOgF, spotify:artist:5cKlE8f6b26h61Ml7m052Q","Naeleck, Haley Reinhart","spotify:album:60SKSurtzL5m59nahMg9TL","Creep","spotify:artist:2DYDFBqoaBP2i9XrTGpOgF, spotify:artist:5cKlE8f6b26h61Ml7m052Q","Naeleck, Haley Reinhart","2022-06-03","https://i.scdn.co/image/ab67616d0000b273b8aae4c1cac1d205ee1f29e0","1","1","203225","https://p.scdn.co/mp3-preview/5923fdd254820e1f1656c4eb7502e39b311030e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRR642200834","spotify:user:t8w9dojs72e99167uwmde65tp","2022-06-02T21:14:36Z","electro,idol","0.615","0.829","6","-4.567","1","0.0421","0.0555","0.00156","0.426","0.0754","124.013","4","","Dancing Dead","C 2022 Dancing Dead, P 2022 Dancing Dead"
"spotify:track:20on25jryn53hWghthWWW3","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd, spotify:artist:1c70yCa8sRgIiQxl3HOEFo","ACRAZE, Cherish","spotify:album:58cd90Jkrovggh556JPN9L","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd","ACRAZE","2021-08-20","https://i.scdn.co/image/ab67616d0000b27384d413b195aac8a69cc6e5c6","1","1","157890","https://p.scdn.co/mp3-preview/187aea9020bb024adfbb0e19e7b6022a2996e4ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","QZFPL2100100","spotify:user:t8w9dojs72e99167uwmde65tp","2022-06-10T22:02:18Z","atl hip hop,dance pop,girl group,hip pop,pop r&b,r&b,southern hip hop,urban contemporary","0.854","0.806","11","-8.262","0","0.0886","0.0209","0.0542","0.0703","0.637","124.927","4","","Thrive Music, LLC","C © 2021 Thrive Music, LLC, P ℗ 2021 Thrive Music, LLC"
"spotify:track:4ntwMws17qmbQUI1NemGqd","Seven Nation Army","spotify:artist:6CnCjQXjKiV9Ro5GGA8ztB, spotify:artist:7oz4dlYyj9jadcbGJq1jwx","DJ Fluke, Jaki Nelson","spotify:album:0R4f3m05IHfoq3aPPCPuto","Seven Nation Army","spotify:artist:6CnCjQXjKiV9Ro5GGA8ztB, spotify:artist:7oz4dlYyj9jadcbGJq1jwx","DJ Fluke, Jaki Nelson","2021-01-22","https://i.scdn.co/image/ab67616d0000b2735e7fb32542ad51959c401f3e","1","1","156309","https://p.scdn.co/mp3-preview/8bad5e30aa7274f6ec9f4a6b55be2ce8c04e7d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","FRR642001715","spotify:user:t8w9dojs72e99167uwmde65tp","2021-10-07T10:43:36Z","","0.689","0.832","4","-4.248","0","0.0443","0.00694","0.11","0.0885","0.276","125.97","4","","Dancing Dead","C 2020 Dancing Dead, P 2020 Dancing Dead"
"spotify:track:2LxdNADWier3MKTei8FbOY","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:1ilcpQQeF5mmvfO682aDgJ","Oliver Heldens, Nile Rodgers, House Gospel Choir","spotify:album:7rE2qU0GsiIiNd4VPupV3B","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:1ilcpQQeF5mmvfO682aDgJ","Oliver Heldens, Nile Rodgers, House Gospel Choir","2022-05-06","https://i.scdn.co/image/ab67616d0000b273873997a27febe78aa5276669","1","1","157205","https://p.scdn.co/mp3-preview/ddafc503166d7a3478146b5cfde62ee4112c4485?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC12201414","spotify:user:t8w9dojs72e99167uwmde65tp","2022-09-13T11:19:09Z","dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house,disco,cedm","0.686","0.892","10","-3.186","0","0.0498","0.0577","0.00000711","0.0838","0.752","126.03","4","","Kangarooli Tracks/RCA Records","P (P) 2022 Kangarooli Tracks B.V., under exclusive license to RCA Records, a division of Sony Music Entertainment"
"spotify:track:4q8PHoRsPUB52LFylX8Ulz","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz","Axwell /\ Ingrosso","spotify:album:5wtHzowB37Fre3iXWQW5v5","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz, spotify:artist:1xNmvlEiICkRlRGqlNFZ43, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","2017-05-24","https://i.scdn.co/image/ab67616d0000b2738f24ce68154603cffe698779","1","1","203000","","false","0","GBUM71701735","spotify:user:t8w9dojs72e99167uwmde65tp","2021-10-07T10:43:36Z","dance pop,edm,electro house,pop,pop dance,pop rap,tropical house","0.645","0.741","5","-4.989","0","0.0339","0.0323","0","0.29","0.534","123.07","4","","Universal Music Group","C © 2017 Axwell Music AB and Refune Music Ltd, under exclusive license to Virgin EMI Records, a division of Universal Music Operations Ltd, P ℗ 2017 Axwell Music AB and Refune Music Ltd, under exclusive license to Virgin EMI Records, a division of Universal Music Operations Ltd"
