"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:40SBS57su9xLiE1WqkXOVr","Afraid To Feel","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","spotify:album:528LrHfHcB7PMAvyp8Obhp","Afraid To Feel","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","2022-05-02","https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438","1","1","177524","https://p.scdn.co/mp3-preview/127d8691ff65a9c521813cbfb973ac5302b7840f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBAHT2200492","spotify:user:","2022-12-02T05:00:00Z","","0.578","0.912","1","-3.929","1","0.114","0.0166","0.00362","0.273","0.68","127.87","4","","Warner Records","C © 2022 Warner Music UK Limited, P ℗ 2022 Warner Music UK Limited"
"spotify:track:1M8t1j3Kv2qp97bdq5q4Vl","Rainfall (Praise You)","spotify:artist:1dTEPvUhxpFzL7UMKHWFfZ","Tom Santa","spotify:album:4VanY5i4E59Mhz52qznJ95","Rainfall (Praise You)","spotify:artist:1dTEPvUhxpFzL7UMKHWFfZ","Tom Santa","2022-02-18","https://i.scdn.co/image/ab67616d0000b273e3fc464799df99dc5a66ea85","1","1","166569","https://p.scdn.co/mp3-preview/675f7cbb1e9fee672c56457cf22e2ab11cf11793?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBUM72200893","spotify:user:","2022-12-02T05:00:00Z","","0.767","0.862","5","-5.464","0","0.0606","0.14","0.0092","0.252","0.509","128.039","4","","Polydor Records","C © 2022 Universal Music Operations Limited, P A Polydor Records Release; ℗ 2022 Universal Music Operations Limited"
"spotify:track:0SyxZC4wlqAwf20cHE6Xon","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","spotify:album:5TSSlGJmfkBNC4M3uoMswL","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","2021-05-21","https://i.scdn.co/image/ab67616d0000b273b3bf3ba5d8ef6fb0bb564e4e","1","1","162213","https://p.scdn.co/mp3-preview/e2f863a8016efaf0276696ca4913a443215edff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBUM72102497","spotify:user:","2022-12-02T05:00:00Z","alternative dance,dance pop,electropop,neo-synthpop,deep house,deep tropical house,edm,german dance,pop dance,pop edm,tropical house","0.752","0.771","6","-5.95","1","0.0311","0.00341","0.0000173","0.0905","0.527","126.02","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records & Virgin Records Germany release with courtesy of Big Top Amsterdam; ℗ 2021 Universal Music Operations Limited"
"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","spotify:album:060SvgMzLKrNzpvVLK5gSo","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","2022-09-16","https://i.scdn.co/image/ab67616d0000b273a8270fb7bd24767babe59423","1","1","235785","https://p.scdn.co/mp3-preview/2821aaabf84159313db20566c5822d3993ef54ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBK6Y2251421","spotify:user:","2022-12-02T05:00:00Z","","0.683","0.932","8","-10.402","1","0.0513","0.0389","0.605","0.0615","0.553","125.002","4","","Island Records UK / Republic Records / Virgin Records Germany","C © 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited, P Island Records UK / Republic Records / Virgin Records Germany; ℗ 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited"
"spotify:track:2LxdNADWier3MKTei8FbOY","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:1ilcpQQeF5mmvfO682aDgJ","Oliver Heldens, Nile Rodgers, House Gospel Choir","spotify:album:7rE2qU0GsiIiNd4VPupV3B","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:1ilcpQQeF5mmvfO682aDgJ","Oliver Heldens, Nile Rodgers, House Gospel Choir","2022-05-06","https://i.scdn.co/image/ab67616d0000b273873997a27febe78aa5276669","1","1","157205","https://p.scdn.co/mp3-preview/ddafc503166d7a3478146b5cfde62ee4112c4485?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC12201414","spotify:user:","2022-12-02T05:00:00Z","dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house,disco,cedm","0.686","0.892","10","-3.186","0","0.0498","0.0577","0.00000711","0.0838","0.752","126.03","4","","Kangarooli Tracks/RCA Records","P (P) 2022 Kangarooli Tracks B.V., under exclusive license to RCA Records, a division of Sony Music Entertainment"
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","2022-08-26","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4","1","1","175238","https://p.scdn.co/mp3-preview/f387f0bdbce0f044f7bf9e2e6a87f59cd78f20a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","97","UKWLG2200055","spotify:user:","2022-12-02T05:00:00Z","big room,dance pop,edm,pop,pop dance,dance pop,edm,pop,post-teen pop","0.561","0.965","7","-3.673","0","0.0343","0.00383","0.00000707","0.371","0.304","128.04","4","","Parlophone UK","C Under license to Warner Music UK Limited, © 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ℗ 2022 What A DJ Ltd"
"spotify:track:3rN9iG9QDHFQfBdbym2uel","Moving All Around (Jumpin') (feat. Kim English)","spotify:artist:7gA8yMxRoBujfmpDLuLPvx, spotify:artist:1Tvhj4mF2pvvAT1InLbRKs","Schak, Kim English","spotify:album:70r5AZjJ8e1dw4TxqcHae5","Moving All Around (Jumpin') (feat. Kim English)","spotify:artist:7gA8yMxRoBujfmpDLuLPvx, spotify:artist:1Tvhj4mF2pvvAT1InLbRKs","Schak, Kim English","2022-10-21","https://i.scdn.co/image/ab67616d0000b273136c85694180292c6c3998d4","1","1","189248","https://p.scdn.co/mp3-preview/1b10e9ae5c8f23ebfac23256f0e28fb7d9958a96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCEN2200174","spotify:user:","2022-12-02T05:00:00Z","house,deep house,diva house,garage house,soulful house,tribal house,vocal house","0.761","0.982","10","-4.401","0","0.0575","0.000483","0.742","0.0871","0.576","135.025","4","","Ministry of Sound Recordings","P (P) 2022 Trick under exclusive licence to Ministry of Sound Recordings Limited"
"spotify:track:7MIhUdNJtaOnDmC5nBC1fb","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX, spotify:artist:2u3rmzZC0psTER2sDfUebm","Alok, Ella Eyre, Kenny Dope, Never Dull","spotify:album:3KpxpdySrMR2S7noneu1bI","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX","Alok, Ella Eyre, Kenny Dope","2022-06-17","https://i.scdn.co/image/ab67616d0000b273ed443f0fff29eee63c9ede20","1","1","165752","https://p.scdn.co/mp3-preview/b4d439ac9a810e7d2a47f0eb9d2cca1341799398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","DEE862200810","spotify:user:","2022-12-02T05:00:00Z","electro house,pop nacional,slap house,dance pop,post-teen pop,tropical house,uk pop,soulful house,disco house,funky house","0.687","0.818","0","-4.221","1","0.0778","0.0112","0","0.248","0.886","125.952","4","","Columbia/B1 Recordings","P (P) 2022 Alok Music/B1 Recordings, a Sony Music Entertainment company, in conjunction with High Fashion Music B.V."
"spotify:track:5ZduaRci3iNUiDfJbBfAaf","Give It To Me - Full Vocal Mix","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","spotify:album:1jbRY71konakrKvDUiW7Rp","Give It To Me (Full Vocal Mix)","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","2021-10-22","https://i.scdn.co/image/ab67616d0000b2736a1e9d7201b74142e2d47b69","1","1","102860","https://p.scdn.co/mp3-preview/16df6ea59af314dd3a5b16643c45e98f30d4164b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHAD2102631","spotify:user:","2022-12-02T05:00:00Z","french tech house,french techno","0.874","0.869","1","-5.996","0","0.0315","0.00116","0.00238","0.164","0.726","126.027","4","","Cr2 Records","C 2021 Cr2 Records Ltd, P 2021 Cr2 Records Ltd"
"spotify:track:4Uz7te06snSlkmcIwwAvkw","Hungry (For Love)","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","spotify:album:2VhVESPvETnPjoM9XOoeRA","Hungry (For Love)","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","2022-10-07","https://i.scdn.co/image/ab67616d0000b273067b744b2f4cf64c55a501ef","1","1","129375","https://p.scdn.co/mp3-preview/ad18258be730841e3d1b64a69c98f15eeef867ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAHT2202713","spotify:user:","2022-12-02T05:00:00Z","","0.605","0.973","7","-3.214","0","0.0806","0.00063","0.0995","0.455","0.49","128.014","4","","Warner Records","C © 2022 Warner Music UK Limited, P ℗ 2022 Warner Music UK Limited"
