"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5hmek3mrSYvfSElBsPNbxo","Immortal Rites","spotify:artist:35jmO5o3AhUV70kiR7u4Nw","Morbid Angel","spotify:album:2vWHACnDiSnFM52octEvY0","Altars of Madness","spotify:artist:35jmO5o3AhUV70kiR7u4Nw","Morbid Angel","1989","https://i.scdn.co/image/ab67616d0000b2733e5b915ca435eb4e2b0d743e","1","1","243520","https://p.scdn.co/mp3-preview/f957143c7445d3198a9b4fbd402d4d468d9a3d51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBBPB0401548","spotify:user:itsazyr","2020-03-30T11:30:13Z","black metal,brutal death metal,death metal,florida death metal,metal,technical death metal","0.19","0.934","1","-7.796","1","0.056","0.00000808","0.107","0.363","0.36","98.424","3","","Earache Records Ltd","C 1989 Earache Records Ltd, P 1989 Earache Records Ltd"
"spotify:track:01cGujYWGF7JchJLSgf6Ta","Chopped in Half","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:79fVRZLnIqS3FytTLfTBT4","Cause of Death (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1990","https://i.scdn.co/image/ab67616d0000b27301dcd8722a65d2f868bb7d63","1","3","225360","https://p.scdn.co/mp3-preview/6f0aebeab7bf9b22f713f5a757486cd8de2668dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","NLA329780562","spotify:user:itsazyr","2020-03-30T11:30:17Z","brutal death metal,death metal,florida death metal,groove metal,metal","0.257","0.989","10","-5.918","0","0.0867","0.00000672","0.521","0.263","0.385","109.267","4","","Roadrunner Records","C © 1990, 1997 The All Blacks B.V., P ℗ 1990, 1997 The All Blacks B.V., This reissue P. 1997 The All Blacks B.V."
"spotify:track:5faD0zZ9fMa3J5ZN3lIWtp","Left Hand Path","spotify:artist:2pnezMcaiTHfGmgmGQjLsB","Entombed","spotify:album:5nrZejD99ZmAXrmrouIJcU","Left Hand Path","spotify:artist:2pnezMcaiTHfGmgmGQjLsB","Entombed","1990","https://i.scdn.co/image/ab67616d0000b273731794970611e9e768f5ae86","1","1","399093","https://p.scdn.co/mp3-preview/8168cc43b975438922e698ffd817220e5d68a69a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBBPB0703066","spotify:user:itsazyr","2020-03-30T11:30:20Z","alternative metal,death 'n' roll,death metal,doom metal,metal,swedish death metal,swedish metal","0.166","0.927","7","-8.797","1","0.0736","0.00000394","0.651","0.344","0.219","131.984","4","","Earache Records Ltd","C 2009 Earache Records Ltd, P 2009 Earache Records Ltd"
"spotify:track:2l0h4aBFLp9HdoaNdCTlbW","Pull the Plug","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:4EQcPArSq6dm0k4QWzpLBF","Leprosy (Deluxe Reissue)","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","2014-04-29","https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90","1","5","266773","https://p.scdn.co/mp3-preview/def7e3ea0904ff092ce6378b63c1a53c6bea6c85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","US2641322805","spotify:user:itsazyr","2020-03-30T11:30:25Z","alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal","0.226","0.978","9","-5.729","1","0.209","0.0000036","0.533","0.0436","0.242","102.374","4","","Relapse Records","C (C) 2014 Relapse Records"
"spotify:track:4bAIIhqJeOTDcyeo1GvIMo","Into The Grave","spotify:artist:28imYdYhi5ieRXvgYwiIdi","Grave","spotify:album:5T80OB3e30BhXZzJU36r2v","Exhumed (A Grave Collection)","spotify:artist:28imYdYhi5ieRXvgYwiIdi","Grave","2006-09-19","https://i.scdn.co/image/ab67616d0000b273935b18ae7efad31b582a44ed","1","2","248146","https://p.scdn.co/mp3-preview/6f000c17fae6fa317a54d04bcc2d0bdd60b383bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBDHC0503886","spotify:user:itsazyr","2020-03-30T11:30:31Z","brutal death metal,death metal,swedish death metal,swedish metal","0.295","0.915","1","-6.968","1","0.0954","0.00000328","0.91","0.0772","0.343","115.437","4","","Century Media","P (P) 2008 Century Media Records Ltd."
"spotify:track:5F6ZrWLngDICyjazxM1gNq","Slowly We Rot","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","4","218426","https://p.scdn.co/mp3-preview/f219b754208762c63fcf25b10cad85c07466eada?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","NLA329780575","spotify:user:itsazyr","2020-03-30T11:30:35Z","brutal death metal,death metal,florida death metal,groove metal,metal","0.275","0.947","0","-6.696","1","0.0835","0.0000108","0.00968","0.124","0.0835","107.1","3","","Roadrunner Records","C © 1989, 1997 The All Blacks B.V., P ℗ 1989, 1997 The All Blacks B.V., This reissue P. 1997 The All Blacks B.V."
"spotify:track:0ItAcLSkUiePOmFGun3cSe","Crystal Mountain","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:1QgFthItpbxvMXlgGjvhBR","Symbolic (Remastered Version)","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","1995-03-19","https://i.scdn.co/image/ab67616d0000b273014e93e47bf1dc746cab4930","1","7","307426","https://p.scdn.co/mp3-preview/e9c9f9feb2fe69479d24415eb1b4a92be5998796?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","NLA329501700","spotify:user:itsazyr","2020-03-30T11:30:37Z","alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal","0.261","0.979","7","-6.218","1","0.221","0.0000448","0.0014","0.374","0.362","175.866","4","","Roadrunner Records","C © 1995, 2008 The All Blacks B.V. Issued under license to Roadrunner Records from The All Blacks B.V. Roadrunner Records is a registered trademark of The All Blacks B.V., P ℗ 1995, 2008 The All Blacks B.V. Issued under license to Roadrunner Records from The All Blacks B.V. Roadrunner Records is a registered trademark of The All Blacks B.V."
"spotify:track:3fsOBwBwxBB4j1IFhh3s9V","Once Upon the Cross","spotify:artist:2K3GorTixXKAiwe2t9lO89","Deicide","spotify:album:0ZfJEIY1iOasgnt67JleR7","Once Upon The Cross","spotify:artist:2K3GorTixXKAiwe2t9lO89","Deicide","1995-01-01","https://i.scdn.co/image/ab67616d0000b273bcdbe0da75e1e75444960612","1","1","214213","https://p.scdn.co/mp3-preview/5a01c943907696050e241d5efc9615a351047484?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","NLA329503400","spotify:user:itsazyr","2020-03-30T11:30:39Z","black metal,brutal death metal,death metal,florida death metal,metal,technical death metal","0.205","0.95","10","-8.498","0","0.132","0.0000193","0.805","0.212","0.314","184.43","4","","Roadrunner Records","C © 1995 The All Blacks B.V., P ℗ 1995 The All Blacks B.V."
"spotify:track:1SvsK5tkR5R73DOAcsW8wz","Before the Creation of Time","spotify:artist:3MKwCexzAd8YTdsSjRkKbv","Unleashed","spotify:album:5fHUyQrG3Tb6SRLZcaLhVJ","Where No Life Dwells","spotify:artist:3MKwCexzAd8YTdsSjRkKbv","Unleashed","1991-05-01","https://i.scdn.co/image/ab67616d0000b27385699e2d68b9a130181601e7","1","3","229000","https://p.scdn.co/mp3-preview/e3cf31e7a669c04fb2effbdb8db445808573ee51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","US4E40571803","spotify:user:itsazyr","2020-03-30T11:31:04Z","black metal,brutal death metal,death metal,metal,swedish death metal,swedish metal","0.265","0.944","6","-10.365","1","0.0598","0.0000578","0.0243","0.492","0.397","170.083","4","","Century Media","P (P) 1991 Century Media Records Ltd."
"spotify:track:7jok5zvxnrQuK2N7psZHyN","Chapel of Ghouls","spotify:artist:35jmO5o3AhUV70kiR7u4Nw","Morbid Angel","spotify:album:2vWHACnDiSnFM52octEvY0","Altars of Madness","spotify:artist:35jmO5o3AhUV70kiR7u4Nw","Morbid Angel","1989","https://i.scdn.co/image/ab67616d0000b2733e5b915ca435eb4e2b0d743e","1","6","297493","https://p.scdn.co/mp3-preview/72b2e0484b923100a4cda234ff02133fdfd2225a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBPB0401553","spotify:user:itsazyr","2020-03-30T11:31:22Z","black metal,brutal death metal,death metal,florida death metal,metal,technical death metal","0.177","0.965","4","-7.14","1","0.0809","0.00000329","0.548","0.11","0.203","96.069","4","","Earache Records Ltd","C 1989 Earache Records Ltd, P 1989 Earache Records Ltd"
"spotify:track:2fSYadDsbWMtIVqX7flKIc","Redneck Stomp","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:1fzDounFHdiVT5Zg9MKcFh","Frozen In Time","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","2005-07-11","https://i.scdn.co/image/ab67616d0000b2737d84f22087aeaff7ede2b3b6","1","1","212840","https://p.scdn.co/mp3-preview/306f5490886f86ab9be68f17b4855be5009cb26c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","NLA320581159","spotify:user:itsazyr","2020-03-30T11:31:25Z","brutal death metal,death metal,florida death metal,groove metal,metal","0.245","0.861","2","-8.728","1","0.0415","0.000256","0.871","0.216","0.483","91.056","4","","Roadrunner Records","C © 2005 The All Blacks B.V., P ℗ 2005 The All Blacks B.V."
