"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7dDLAQ1y0qOq3E4DhNh8FS","Talamanca","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","spotify:album:1N66eMzBBNRHa3HFE6GCsW","Talamanca","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","2021-06-25","https://i.scdn.co/image/ab67616d0000b273c51ca039b07ab8e98bd776ae","1","1","186727","https://p.scdn.co/mp3-preview/a8f4f1be71c7bbe0a5b492e34a0f81ebfc7a06c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAYE2100748","spotify:user:","2022-11-25T13:06:12Z","house,la pop","0.683","0.77","11","-6.641","0","0.0512","0.0988","0.896","0.379","0.527","126.006","4","","FFRR","C under exclusive license to Parlophone Records Limited / FFRR.., © 2021 Glow Ent, LLC, P under exclusive license to Parlophone Records Limited / FFRR., ℗ 2021 Glow Ent, LLC"
"spotify:track:0OOT6JmtkcYidsuQ9Fh54i","Weightless - jamesjamesjames Remix","spotify:artist:5tDjiBYUsTqzd0RkTZxK7u, spotify:artist:3W9UldYu0xJcaOAw2SUTDI, spotify:artist:0DqR5aQYPz1s2M3YbycLMJ","Ben Böhmer, Panama, jamesjamesjames","spotify:album:5la1PqKrf6aVJeIlL6i1lv","Weightless (jamesjamesjames Remix)","spotify:artist:5tDjiBYUsTqzd0RkTZxK7u, spotify:artist:3W9UldYu0xJcaOAw2SUTDI, spotify:artist:0DqR5aQYPz1s2M3YbycLMJ","Ben Böhmer, Panama, jamesjamesjames","2021-04-07","https://i.scdn.co/image/ab67616d0000b27395950ac55969d04f0b92a7b3","1","1","249779","https://p.scdn.co/mp3-preview/d4ab223fbaae9c3de3d20d5a1c040df147d06252?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","AUFF02100039","spotify:user:","2022-11-25T13:06:12Z","australian indie","0.688","0.814","6","-7.252","0","0.0419","0.43","0.581","0.399","0.0961","127.99","4","","Future Classic","C 2021 Future Classic, P 2021 Future Classic"
"spotify:track:35vMyIh6E7NZ50YtYb2Kxc","Dig Deep","spotify:artist:32lo0J8u6KZJTwBOIBrdYS","Fat Freddy's Drop","spotify:album:4MAhJnzuVI9wuq16A2Jidk","WAIRUNGA","spotify:artist:32lo0J8u6KZJTwBOIBrdYS","Fat Freddy's Drop","2021-08-20","https://i.scdn.co/image/ab67616d0000b27363bd651b0e91efed7bf4ea54","1","7","630336","https://p.scdn.co/mp3-preview/cdf0e80199553aa1d456d1713a8bcea5d8816106?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","NZDP02100007","spotify:user:","2022-11-25T13:06:12Z","electronica,funk rock,nu jazz,nz reggae","0.718","0.471","10","-11.393","0","0.0515","0.155","0.712","0.174","0.214","125.002","4","","The Drop","C 2021 FAT FREDDY'S DROP/THE DROP, P 2021 FAT FREDDY'S DROP/THE DROP"
"spotify:track:6UJTyXQvDe3hv8NQXOKOCl","Caprice","spotify:artist:0iTjLBepeGaLgZS18kxgRq, spotify:artist:32wcuqRxZuBY5HbH1bWa8h","Oliver Schories, Tube & Berger","spotify:album:0zv9KQqPhVAPleEi8anQ4R","Caprice","spotify:artist:0iTjLBepeGaLgZS18kxgRq, spotify:artist:32wcuqRxZuBY5HbH1bWa8h","Oliver Schories, Tube & Berger","2021-06-18","https://i.scdn.co/image/ab67616d0000b273e7efbd6c438c70b0cd1c6c47","1","1","230839","https://p.scdn.co/mp3-preview/d5fe5fe1dc4ecdb0711888e7b9c891c0889e7e78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DEY472173166","spotify:user:","2022-11-25T13:06:12Z","deep euro house,hamburg electronic,minimal techno,tech house,dusseldorf electronic,german techno,tech house,tropical house","0.644","0.806","6","-8.014","0","0.0375","0.057","0.486","0.338","0.092","122.99","4","","Pracht","C 2021 Pracht, P 2021 Pracht"
"spotify:track:1Ledf8FxJJ7MfFnu3saspW","Deep Gone Far","spotify:artist:0f14r70OISSfJoyqYaHbgV","Anja Schneider","spotify:album:69NMXu0vuKRruWEe3XbPyb","So Us Vol. 1","spotify:artist:0f14r70OISSfJoyqYaHbgV","Anja Schneider","2022-11-18","https://i.scdn.co/image/ab67616d0000b2730046a4489379f7343f828672","1","2","372335","https://p.scdn.co/mp3-preview/28b3faa353e55d5cde610c7f386c3187d9e94e6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DEG932204125","spotify:user:","2022-11-25T13:06:12Z","electra,german house,german techno,microhouse,minimal techno,tech house","0.76","0.626","0","-11.246","1","0.0418","0.0216","0.786","0.0975","0.755","129.004","4","","Sous Music","C 2022 SoUS Music, P 2022 SoUS Music"
"spotify:track:2zWyV9CIpfaH6v0g1mq1a0","Alone with You","spotify:artist:106OuakzOxxbXTuigEEf01, spotify:artist:2j74J6dIUd8X3x6UKH3pZF","warner case, DIDI HAN","spotify:album:1pM6qa4CNTYLrSL1Bd3Bcw","Alone with You (feat. Didi Han)","spotify:artist:106OuakzOxxbXTuigEEf01, spotify:artist:2j74J6dIUd8X3x6UKH3pZF","warner case, DIDI HAN","2021-11-05","https://i.scdn.co/image/ab67616d0000b273114efba8d709529dabbe828a","1","1","210607","https://p.scdn.co/mp3-preview/b13a36216b01ac07ff12a9353fe2334b54bb24bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FRD9M2101120","spotify:user:","2022-11-25T13:06:12Z","korean electronic","0.82","0.765","8","-6.294","0","0.0644","0.148","0.0293","0.0475","0.679","126.531","4","","Headroom Records","C (C) 2021 warner case under exclusive license to Headroom Records, a division of Unity Records, P (P) 2021 warner case under exclusive license to Headroom Records, a division of Unity Records"
"spotify:track:1vVq4Y18oveAg20Ujh43aE","These Things Will Come To Be","spotify:artist:37YzpfBeFju8QRZ3g0Ha1Q","DJ Seinfeld","spotify:album:3RGrGXf9ZsPOuqHm02SSl7","These Things Will Come To Be","spotify:artist:37YzpfBeFju8QRZ3g0Ha1Q","DJ Seinfeld","2021-07-21","https://i.scdn.co/image/ab67616d0000b273caf52d10eaabee4b8ecda858","1","1","296360","https://p.scdn.co/mp3-preview/6e7e31ce91fa7523d807ef6aee98d93e4fe4c8ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBCFB2100390","spotify:user:","2022-11-25T13:06:12Z","electronica,float house,lo-fi house","0.674","0.74","4","-9.138","1","0.0504","0.515","0.818","0.319","0.166","125.998","4","","Ninja Tune","C 2021 Ninja Tune, P 2021 Ninja Tune"
"spotify:track:2DRUTKWuuWebFUXu6p1krH","Diving Into Minds - Club Mix","spotify:artist:7nBJ5F2V7hDZE1hhKgqXM9, spotify:artist:6kFJNl3ISQSkOq2iS0Lk53","Soichi Terada, Masalo","spotify:album:2MvKF44F9EhwL46cMgWE8z","Diving Into Minds","spotify:artist:7nBJ5F2V7hDZE1hhKgqXM9, spotify:artist:6kFJNl3ISQSkOq2iS0Lk53","Soichi Terada, Masalo","2022-05-27","https://i.scdn.co/image/ab67616d0000b2735f77071e3bb35ac7df875841","1","1","387302","https://p.scdn.co/mp3-preview/ad7d9f1e7faab42123b961323ed1e9a28bf4764e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","NLM971900430","spotify:user:","2022-11-25T13:06:12Z","japanese electronic,japanese house","0.747","0.579","8","-11.545","1","0.0569","0.033","0.891","0.1","0.466","125.018","4","","Rush Hour","C 2022 Rush Hour, P 2022 Rush Hour"
"spotify:track:1O73n53LZxJNLeGdhwChtt","Burnt Orange - Edit","spotify:artist:5Ly0z60jjgsY4rkmjRFtPS","Elkka","spotify:album:3krmis8XpyRrEGKQ4LXRf4","Burnt Orange","spotify:artist:5Ly0z60jjgsY4rkmjRFtPS","Elkka","2021-03-23","https://i.scdn.co/image/ab67616d0000b273d456a5cad3948536a430a707","1","2","271475","https://p.scdn.co/mp3-preview/1f1b84398416a7afa26e98eba9756de2d7451400?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBCFB2100348","spotify:user:","2022-11-25T13:06:12Z","electra,electronica","0.849","0.744","11","-9.744","0","0.0891","0.236","0.157","0.0776","0.312","122.019","4","","Technicolour","C 2021 Technicolour, P 2021 Technicolour"
"spotify:track:4AFWYfIxLAiEL3G3KwEhQR","NOSTALGIA*","spotify:artist:2c8JocB8eI6cCGaF5xGoT1","MATVEÏ","spotify:album:5SSB8c7AeeF66wKMJ7cUBl","NOSTALGIA*","spotify:artist:2c8JocB8eI6cCGaF5xGoT1","MATVEÏ","2022-01-26","https://i.scdn.co/image/ab67616d0000b2731696da81dda0e122e29332d4","1","1","145000","https://p.scdn.co/mp3-preview/0261e958864898968b85c76a1c1b72139caad725?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FRU702100273","spotify:user:","2022-11-25T13:06:12Z","","0.902","0.516","9","-6.493","0","0.368","0.284","0.00104","0.097","0.276","125.942","4","","Kitsuné Musique","C 2022 Kitsuné Musique & Matveï Production, P 2022 Kitsuné Musique & Matveï Production"
