"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:676uF5Pn6BSJcfDNjrJ8m2","Maggot Brain","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","spotify:album:1cDsLx993o1ozxr0oMRUR8","Maggot Brain","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","1971-07-12","https://i.scdn.co/image/ab67616d0000b273992d51770b59adc5a4888da6","1","1","621106","","false","0","US25X0588947","spotify:user:125256226","2017-05-28T14:52:17Z","funk,funk rock,p funk,psychedelic rock,psychedelic soul,soul","0.3","0.353","4","-15.588","0","0.047","0.777","0.478","0.406","0.19","134.912","3","","Westbound Records Inc.","C 2005 1971 Westbound Records Inc., P 2005 Westbound Records Inc."
"spotify:track:4f3u4Oy0JqJRIhMmTqRcxj","Family Affair - Single Version","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","spotify:album:29f2cOueckYE8Nc1pkJjrU","There's a Riot Goin' On","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","1971-11-01","https://i.scdn.co/image/ab67616d0000b273de0391ae05929bfe0e952f6b","1","4","185533","https://p.scdn.co/mp3-preview/afa50f27c77434e58673f29145b72bd64ee8904b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM17100398","spotify:user:125256226","2017-05-28T14:53:15Z","classic rock,classic soul,disco,funk,funk rock,psychedelic soul,rock,soul","0.819","0.605","2","-13.83","0","0.132","0.669","0.0163","0.199","0.797","108.892","4","","Epic/Legacy","P Originally released 1971. All rights reserved by Epic Records, a division of Sony Music Entertainment"
"spotify:track:62LJFaYihsdVrrkgUOJC05","Kiss","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:54DjkEN3wdCQgfCTZ9WjdB","Parade - Music from the Motion Picture Under the Cherry Moon","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","1986-03-31","https://i.scdn.co/image/ab67616d0000b27323cc0f0a925845a3de4aca38","1","10","226240","https://p.scdn.co/mp3-preview/978b9ddec8011f5d1919bb514338265df35697e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USWB19903319","spotify:user:125256226","2017-05-28T14:54:01Z","funk,funk rock,minneapolis sound,synth funk","0.898","0.271","7","-12.238","1","0.091","0.0135","0.00138","0.0461","0.742","111.485","4","","Warner Records","C © 1986 NPG Records, Inc. under exclusive license to Warner Records Inc., P ℗ 1986 NPG Records, Inc. under exclusive license to Warner Records Inc."
"spotify:track:54X78diSLoUDI3joC2bjMz","Purple Rain","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:7nXJ5k4XgRj5OLg9m8V3zc","Purple Rain","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","1984-06-25","https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b","1","9","520786","https://p.scdn.co/mp3-preview/90e24837bb021d0e25e97b7f0562945c2b5f3824?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USWB10001880","spotify:user:125256226","2017-05-28T14:54:09Z","funk,funk rock,minneapolis sound,synth funk","0.367","0.452","10","-10.422","1","0.0307","0.0353","0.00228","0.689","0.189","113.066","4","","Rhino/Warner Records","C © 1984 NPG Records, Inc. under exclusive license to Warner Records Inc., P ℗ 1984 NPG Records, Inc. under exclusive license to Warner Records Inc."
"spotify:track:7HNFphOjDJpUGiseV5YvPZ","While My Guitar Gently Weeps","spotify:artist:2UZMlIwnkgAEDBsw1Rejkn, spotify:artist:3bTAaMx9nf237AkBnGw3vL, spotify:artist:5gxynDEKwNDgxGJmJjZyte, spotify:artist:0BNG5EOWoNlIE1Q1c4L0Kh, spotify:artist:5a2EaR3hamoenG9rDuVn8j","Tom Petty, Jeff Lynne, Steve Winwood, Dhani Harrison, Prince","spotify:album:2VbXEqCO2C06ABWcZ8ymHI","The Best of Rock and Roll Hall of Fame + Museum Live","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-11-01","https://i.scdn.co/image/ab67616d0000b2737092d9007846a6c900c7e5f2","1","20","380586","","false","43","USUPV1100016","spotify:user:125256226","2017-05-28T14:56:27Z","album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock,art rock,beatlesque,classic uk pop,glam rock,album rock,art rock,classic rock,country rock,folk rock,heartland rock,mellow gold,new romantic,new wave pop,pop rock,rock,singer-songwriter,soft rock,symphonic rock,beatlesque,british alternative rock,funk,funk rock,minneapolis sound,synth funk","0.21","0.85","7","-3.694","1","0.0587","0.287","0.00607","0.912","0.382","121.383","4","","Time-Life Music","C © 2011 Direct Holdings Americas, Inc., P ℗ 2011 Direct Holdings Americas Inc"
"spotify:track:0dMd4rilfd6gPbXaLpNYhu","Higher Ground","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:5jgI8Eminx9MmLBontDWq8","Innervisions","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1973-08-03","https://i.scdn.co/image/ab67616d0000b273ea8ab1a548312b79ac955266","1","5","222600","https://p.scdn.co/mp3-preview/f6d7eef540fe9fa6adbcd2f1573e698d2421b952?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USMO17382652","spotify:user:125256226","2017-05-28T14:58:23Z","adult standards,motown,quiet storm,soul","0.716","0.85","8","-9.949","1","0.0426","0.0631","0.00133","0.189","0.821","125.474","4","","Motown","C © 1973 Motown Record Company L.P., P ℗ 1973 UMG Recordings, Inc."
"spotify:track:6AIB4vBOGWM4FJ65yNWaXu","It's A Man's, Man's, Man's World","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:6MjOv3BeIjmht2ymtRih3s","20 All-Time Greatest Hits!","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1991","https://i.scdn.co/image/ab67616d0000b27312b16cbb525e11bcbfd50d82","1","9","167066","","false","0","USUR10001144","spotify:user:125256226","2017-05-28T15:00:46Z","funk,soul","0.646","0.35","8","-11.539","0","0.0486","0.665","0.000122","0.0472","0.552","80.882","3","","Strategic Marketing","C © 2008 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2008 Universal Records, a Division of UMG Recordings, Inc."
"spotify:track:0AECVMjxepWdsjDb49JFRd","Tell Me Something Good","spotify:artist:3MCjwjfIor5FkK3h639qkW, spotify:artist:6mQfAAqZGBzIfrmlZCeaYT","Rufus, Chaka Khan","spotify:album:3o8GWA6IiUF6V4r26bF0HS","The Very Best Of Rufus Featuring Chaka Khan","spotify:artist:1YLsqPcFg1rj7VvhfwnDWm","Rufus & Chaka Khan","1982-01-01","https://i.scdn.co/image/ab67616d0000b2733a3e72e44f8ebe8564f8ee2c","1","2","280040","https://p.scdn.co/mp3-preview/b543b2711663d245d85b05527000017f28847f74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USMC17448846","spotify:user:125256226","2017-05-28T15:02:17Z","disco,funk,post-disco,quiet storm,soul,urban contemporary,dance pop,disco,funk,neo soul,post-disco,quiet storm,soul,urban contemporary","0.724","0.404","1","-9.186","1","0.231","0.657","0","0.116","0.794","73.983","4","","Geffen*","C © 1996 MCA Records Inc., P This Compilation ℗ 1982 UMG Recordings, Inc."
"spotify:track:6Ie9yuocD61v7hrh02moc6","Flash Light","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","spotify:album:38d6Ea87Hc9x5SpEp5Xij6","Funkentelechy Vs. The Placebo Syndrome","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","1977-11-28","https://i.scdn.co/image/ab67616d0000b273b44f48e4ae948111e3559783","1","6","346666","","false","0","USWWW0135213","spotify:user:125256226","2017-05-28T15:03:35Z","afrofuturism,funk,funk rock,p funk,soul","0.704","0.735","10","-10.426","1","0.0594","0.28","0.149","0.475","0.681","105.182","4","","Universal Special Markets","C © 1977 The Island Def Jam Music Group, P ℗ 1977 The Island Def Jam Music Group"
"spotify:track:1MjeP8lwmaNGqGbmS9IrEc","Stir It Up - Original Album Version","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:0tiPal8J7t3B9tPF7kGWDi","Legend (Deluxe Edition)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","2002-01-01","https://i.scdn.co/image/ab67616d0000b27379348f95e66a3bac402f11e9","1","7","331453","","false","0","GBAAN7390002","spotify:user:125256226","2017-05-28T15:06:36Z","reggae,roots reggae","0.759","0.438","9","-11.028","1","0.122","0.613","0.32","0.0414","0.929","147.232","4","","Universal/Island Def Jam","C © 2002 The Island Def Jam Music Group, P ℗ 2002 The Island Def Jam Music Group"
