"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2cLHnxLRLpIGgRnFRChnpr","Flasche Luft","spotify:artist:3mmI5HKArDwgggj4j0aJyC, spotify:artist:0n1kV1G3NQrfuLGJosIGxb, spotify:artist:0jEyGu5QKLxQ2tIZVnRbfE, spotify:artist:0vbfrsbTQsxmBTrvtZTFB4","BHZ, Longus Mongus, Monk, Dead Dawg","spotify:album:51DeIS0ySUJLKdlOCdqCsX","Kiezromantik","spotify:artist:3mmI5HKArDwgggj4j0aJyC","BHZ","2020-05-29","https://i.scdn.co/image/ab67616d0000b273c35e0ce52e167158ddde1dd0","1","4","209306","https://p.scdn.co/mp3-preview/9e4caacc9b98ec7eb87c279943cafc6403da1a42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","DEXK52000109","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-26T18:06:19Z","german alternative rap,german hip hop,german trap,german hip hop,german trap,german hip hop,german trap,german hip hop,german trap","0.9","0.559","10","-8.274","0","0.132","0.412","0.0000188","0.102","0.21","99.988","4","","Sony Music/BHZ","P (P) 2020 BHZ distributed by Sony Music Entertainment Germany"
"spotify:track:2H7jZg2HliuQhZjfBblLrZ","Sommergewitter","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","spotify:album:0y1jv7eymP0ZOITC6hQHyP","Sommergewitter","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","2021-06-24","https://i.scdn.co/image/ab67616d0000b273f4021229806dee1ed58835d2","1","1","138533","https://p.scdn.co/mp3-preview/2de721d2e49fcc42c06dbee8b64c1e1df7f959a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","DECE72103812","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-26T18:14:09Z","german alternative rap,german drill,german hip hop","0.787","0.531","11","-10.569","0","0.101","0.132","0.00094","0.112","0.721","91.996","4","","Urban","C © 2021 Pashanim, P Distributed by URBAN; ℗ 2021 Pashanim"
"spotify:track:4vhC2QGPdGRifEbqsYa6uH","Dein Herz schlägt schneller","spotify:artist:7i6FNvFrVU61bNKBmWwX4X","Fünf Sterne deluxe","spotify:album:4F3ZHzmqE1SgDbEN1U5xqj","Sillium","spotify:artist:7i6FNvFrVU61bNKBmWwX4X","Fünf Sterne deluxe","1998","https://i.scdn.co/image/ab67616d0000b27380329fde2b2853e781b51aeb","1","2","252666","","false","0","DEOW91420002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-16T18:32:51Z","german reggae,hamburg hip hop,oldschool deutschrap","0.847","0.435","1","-9.32","1","0.0945","0.0856","0.0000187","0.121","0.415","93.291","4","","Fünf Sterne deluxe Records","C 1998 Edition Tromo / Rueckbank, P 2014 Fünf Sterne deluxe Records"
"spotify:track:4GmzRUGxjqaELYlg5joqip","Ich bin Klempner von Beruf","spotify:artist:119CgQj02xyMpOobWjdb3C","Reinhard Mey","spotify:album:0fGyjXlu6YDfwf9kndn5Xw","Die Grossen Erfolge","spotify:artist:119CgQj02xyMpOobWjdb3C","Reinhard Mey","1998-01-01","https://i.scdn.co/image/ab67616d0000b273edd4ca576698a41976a894b9","1","8","207573","https://p.scdn.co/mp3-preview/3dadf12c06ec12e43c4c15b92aeb4157829b6bc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DEC649800505","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-16T19:43:49Z","german pop,german rock,kabarett,liedermacher","0.639","0.533","7","-15.774","1","0.158","0.557","0","0.147","0.937","98.471","4","","Intercord","C © 1998 EMI GERMANY, P ℗ 1998 EMI GERMANY"
"spotify:track:1IikW5aCjY08gagX94j3fJ","Hauseingang","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","spotify:album:0Ee5Ust8OrC5QWnq1cVYsA","Hauseingang","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","2019-12-18","https://i.scdn.co/image/ab67616d0000b273ba789a5ee93fee2807ea8daf","1","1","141451","https://p.scdn.co/mp3-preview/af645d4222178754af9ff593b9583a8b2913e23f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DECE71900906","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-27T08:34:57Z","german alternative rap,german drill,german hip hop","0.549","0.396","8","-8.435","0","0.437","0.168","0.0777","0.147","0.284","79.559","4","","Urban","C © 2019 Pashanim, P Distributed by URBAN; ℗ 2019 Pashanim"
"spotify:track:6lKWevYNoi3ozeIfZSNpC2","Grad mal ein Jahr","spotify:artist:6ARKr2ZoLf9TDoQiZarJMt","makko","spotify:album:3UQFPsmVscbjCZxCuGqiqZ","Grad mal ein Jahr","spotify:artist:6ARKr2ZoLf9TDoQiZarJMt","makko","2021-02-18","https://i.scdn.co/image/ab67616d0000b273dee39b4f723c4803f18dd004","1","1","149076","https://p.scdn.co/mp3-preview/e3817b8d3dc94d111425e0948a47dc2e1e5f4c81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","QZPLR2058833","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-27T08:37:49Z","german hip hop,german trap","0.825","0.274","2","-15.42","1","0.418","0.409","0.0000391","0.0877","0.266","130.017","4","","makko305","C 2020 makko305, P 2020 makko305"
"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Airwaves","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","spotify:album:4ZylcATH7a5JkgNNGXxwhJ","Airwaves","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","2020-05-14","https://i.scdn.co/image/ab67616d0000b273bef362b164cb7ebc1b1d8eb7","1","1","178932","https://p.scdn.co/mp3-preview/6f4d5b5326af923fb3d222b844a117356a007873?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","DECE72000342","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-27T12:44:39Z","german alternative rap,german drill,german hip hop","0.885","0.578","5","-7.416","0","0.0783","0.0739","0.0903","0.102","0.388","131.999","4","","Urban","C © 2020 Pashanim, P Distributed by URBAN; ℗ 2020 Pashanim"
"spotify:track:0gThlZWwZWkDqRKGOz2CN1","Angels Sippen","spotify:artist:1VmIfQToGVtxmv2w3QtyVY","Symba","spotify:album:5OQmosn8RrP7l83hHXOCJ0","Angels Sippen","spotify:artist:1VmIfQToGVtxmv2w3QtyVY","Symba","2020-03-27","https://i.scdn.co/image/ab67616d0000b273c8df2a4ca230a67977b89543","1","1","131272","https://p.scdn.co/mp3-preview/00f05c02435a39e5f0a0f4c994d4eb25eb4b4cb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DEKF22000155","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-27T13:30:13Z","german alternative rap,german hip hop,german trap","0.892","0.571","1","-10.54","1","0.285","0.0984","0.00000165","0.257","0.872","82.52","4","","SME - Symba","C (C) 2020 Symba distributed by COLUMBIA - a division of Sony Music Entertainment Germany GmbH, P (P) 2020 Symba distributed by COLUMBIA - a division of Sony Music Entertainment Germany GmbH"
"spotify:track:2BTRtXJHyq3R4caYG6pYtp","Dagobert Duck (feat. Lucio101 & Nizi19)","spotify:artist:3r82jUxl7ThSdOhB90Qn6u, spotify:artist:4LwRgSkj7AJJTKLnEaHjMv, spotify:artist:2IVvZIe3P9BMuCI6h48Bjg","1019, Lucio101, Nizi19","spotify:album:4kGYZ5RVyLmbcOTIuPjPZe","Dagobert Duck (feat. Lucio101 & Nizi19)","spotify:artist:3r82jUxl7ThSdOhB90Qn6u, spotify:artist:4LwRgSkj7AJJTKLnEaHjMv, spotify:artist:2IVvZIe3P9BMuCI6h48Bjg","1019, Lucio101, Nizi19","2021-12-17","https://i.scdn.co/image/ab67616d0000b273c99dfbb3cc3b7c4f1804dc9b","1","1","131820","https://p.scdn.co/mp3-preview/d24749b23033ec180de719705d6b014150fef93e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","DEKF22101289","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-27T13:39:39Z","german hip hop,german trap,german alternative rap,german drill,german hip hop,german trap,german hip hop,german trap,german underground rap","0.92","0.468","1","-10.173","1","0.41","0.119","0.00000759","0.129","0.483","120.012","4","","Columbia/1019 Records","P (P) 2021 1019 Records/ Columbia distributed by Sony Music Entertainment Germany"
"spotify:track:5U9IDhX8tsBaxArgwGNIXu","Rotweinflecken","spotify:artist:5tVhlO1blEw862NE6d06ab","dieserBuddha","spotify:album:3hRR9YdVRRYMxdUxJqDs4F","Rotweinflecken","spotify:artist:5tVhlO1blEw862NE6d06ab","dieserBuddha","2022-02-11","https://i.scdn.co/image/ab67616d0000b2733a074a64212f12ec31cd012f","1","1","135146","https://p.scdn.co/mp3-preview/5a06b79e9ed4a33c6b9696fc9f7e6d1439bd1591?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","DEVY82000549","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-27T13:41:02Z","german hip hop,german underground rap","0.885","0.758","1","-8.134","1","0.263","0.00831","0.15","0.0411","0.643","102.989","4","","Schattenspiel Records","C (C) 2022 Schattenspiel Records, P (P) 2022 a distri GmbH release; ℗ 2022 Schattenspiel Records"
