"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5hqxBvQJ3XJDSbxT9vyyqA","Alles neu","spotify:artist:6rqlONGmPuP2wJVSfliLBI","Peter Fox","spotify:album:6cEVfMd0XVocPbRrYkVY5H","Stadtaffe","spotify:artist:6rqlONGmPuP2wJVSfliLBI","Peter Fox","2008-09-26","https://i.scdn.co/image/ab67616d0000b2739061a4e47413aff8f58a3c9c","1","1","260093","https://p.scdn.co/mp3-preview/4d29ec7a8ec94b4accbc4dcf35262effebd9aa04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","DEA620800706","spotify:user:","2022-11-21T12:26:20Z","german pop","0.811","0.816","8","-4.887","1","0.129","0.186","0","0.629","0.313","133.876","4","","WM Germany","C © 2008 Warner Music Group Germany Holding GmbH / A Warner Music Group Company, P ℗ 2008 Warner Music Group Germany Holding GmbH / A Warner Music Group Company"
"spotify:track:1IivtUqnUfW9jH3pM08D8U","Oh Jonny","spotify:artist:4KivBMgSnZ7hCDfPm46fKc","Jan Delay","spotify:album:7MrA7kNLED6TooTm9uxH2i","Wir Kinder vom Bahnhof Soul (Re-Release)","spotify:artist:4KivBMgSnZ7hCDfPm46fKc","Jan Delay","2009","https://i.scdn.co/image/ab67616d0000b2737e7bd1a1ca1c5c6e0d67ac18","1","2","219013","https://p.scdn.co/mp3-preview/fc85e9510280ddcb8f138b1937bbcdda04da1168?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","DEUM70903106","spotify:user:","2022-11-21T12:26:20Z","german pop,german rock,hamburg hip hop","0.552","0.577","5","-7.107","1","0.0929","0.0122","0.000139","0.121","0.763","87.554","4","","EIZ","C © 2011 Im- und Export Hamburg City Musikproduktionen Eißfeldt & Arfmann GbR, under exclusive license to Universal Music Domestic Rock/Urban - a division of Universal Music GmbH, P ℗ 2011 Im- und Export Hamburg City Musikproduktionen Eißfeldt & Arfmann GbR, under exclusive license to Universal Music Domestic Rock/Urban - a division of Universal Music GmbH"
"spotify:track:063ltSmgXNffmgYxippeke","Easy","spotify:artist:3utZ2yeQk0Z3BCOBWP7Vlu","CRO","spotify:album:5CvpkMTpc2wVdDdB9JSGWV","Raop","spotify:artist:3utZ2yeQk0Z3BCOBWP7Vlu","CRO","2012-07-06","https://i.scdn.co/image/ab67616d0000b27397c097afa44e5cdb38a03d4f","1","3","172208","https://p.scdn.co/mp3-preview/3d4d6e5a811e68d22da0dc9370a11c8aa25e3f9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEW921100135","spotify:user:","2022-11-21T12:26:20Z","german hip hop","0.818","0.626","7","-6.512","1","0.0355","0.0792","0","0.122","0.958","95.545","4","","BMG Rights Management","C 2012 BMG Rights Management, P 2012 BMG Rights Management"
"spotify:track:22f8RBGm0xklH4wSh36J3w","Jein","spotify:artist:3RRODs1rHC2ktLqyDDfgPH","Fettes Brot","spotify:album:4VFsj2vgk7Iyiw7Nsv9HfH","Außen Top Hits, innen Geschmack","spotify:artist:3RRODs1rHC2ktLqyDDfgPH","Fettes Brot","1996-04-08","https://i.scdn.co/image/ab67616d0000b2733c6c6d085a3708c70dbd00a9","1","2","354133","https://p.scdn.co/mp3-preview/1b769edbccff75a340a7606f7dd75ba252b2402f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DEAH91600042","spotify:user:","2022-11-21T12:26:20Z","german alternative rap,german jazz rap,german pop,german rock,hamburg hip hop,oldschool deutschrap","0.749","0.886","1","-4.887","1","0.122","0.0442","0.0000602","0.118","0.479","99.524","4","","Fettes Brot Schallplatten","C 2016 Fettes Brot Schallplatten, P 2016 Fettes Brot Schallplatten"
"spotify:track:4eRmCZWJoEtLl0wy7EJPwd","Dickes B (feat. Black Kappa)","spotify:artist:5ISjkNS17JpCwiFtW80lpV, spotify:artist:3FkwhBl3e9ktuTbKnWOcm6","Seeed, Black Kappa","spotify:album:1OjdfxY5zWzEbxUrGJr1Le","New Dubby Conquerors","spotify:artist:5ISjkNS17JpCwiFtW80lpV","Seeed","2000-11-27","https://i.scdn.co/image/ab67616d0000b27389917cfa3391d5c872396e6f","1","5","284906","https://p.scdn.co/mp3-preview/89aeba4e8d1972f9a8a401d33e181562f3764a23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","DEA620101390","spotify:user:","2022-11-21T12:26:20Z","german pop,german reggae","0.643","0.794","7","-5.958","1","0.417","0.133","0","0.709","0.513","97.753","4","","WM Germany","C © 2001 WEA RECORDS / WARNER MUSIC GERMANY, P ℗ 2001 WEA RECORDS / WARNER MUSIC GERMANY"
"spotify:track:6lxTIMeCLEkj48TlCRG3XX","Kids (2 Finger an den Kopf)","spotify:artist:3nDNDLcZuSto4k9u4AbcLB","Marteria","spotify:album:6Ttnb4f8aPy7ytDJqV10FT","Zum Glück in die Zukunft II","spotify:artist:3nDNDLcZuSto4k9u4AbcLB","Marteria","2014-01-31","https://i.scdn.co/image/ab67616d0000b273cd920ed90a9f89c9ba2e86c3","1","2","229573","https://p.scdn.co/mp3-preview/822c2645d3ec077c7cdf9444d1cc47a883f53362?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DEQ321300396","spotify:user:","2022-11-21T12:26:20Z","german hip hop","0.801","0.77","5","-3.38","0","0.133","0.142","0.00107","0.27","0.448","80.013","4","","Four Music","P (P) 2014 Four Music Productions GmbH"
"spotify:track:1Fjz0ME9pzk553wH86m3ZZ","Schwarz zu blau","spotify:artist:6rqlONGmPuP2wJVSfliLBI","Peter Fox","spotify:album:6cEVfMd0XVocPbRrYkVY5H","Stadtaffe","spotify:artist:6rqlONGmPuP2wJVSfliLBI","Peter Fox","2008-09-26","https://i.scdn.co/image/ab67616d0000b2739061a4e47413aff8f58a3c9c","1","2","215800","https://p.scdn.co/mp3-preview/15f9dfd6d1cd2539c5d8d6ac7e522ea2f2a2af20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","DEA620800623","spotify:user:","2022-11-21T12:26:20Z","german pop","0.637","0.604","8","-5.197","1","0.329","0.0194","0","0.108","0.238","162.088","4","","WM Germany","C © 2008 Warner Music Group Germany Holding GmbH / A Warner Music Group Company, P ℗ 2008 Warner Music Group Germany Holding GmbH / A Warner Music Group Company"
"spotify:track:01y4v0GVDAFwj9hjxTMshg","Klar","spotify:artist:4KivBMgSnZ7hCDfPm46fKc","Jan Delay","spotify:album:2SBaZj97eH8S2s2KYjM6Th","Mercedes Dance","spotify:artist:4KivBMgSnZ7hCDfPm46fKc","Jan Delay","2006-01-01","https://i.scdn.co/image/ab67616d0000b2730600b5bc370ae7fcfed773be","1","2","295440","https://p.scdn.co/mp3-preview/88d5abf34ff338714ee6cf41421b196b63fbc9a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","DEUM70602183","spotify:user:","2022-11-21T12:26:20Z","german pop,german rock,hamburg hip hop","0.752","0.751","10","-4.029","1","0.143","0.369","0","0.0553","0.926","99.561","4","","EIZ","C © 2006 Im- und Export Hamburg City Musikproduktionen Eißfeldt & Arfmann GbR, under exclusive license to Universal Music Domestic Division - a division of Universal Music GmbH, P ℗ 2006 Im- und Export Hamburg City Musikproduktionen Eißfeldt & Arfmann GbR, under exclusive license to Universal Music Domestic Division - a division of Universal Music GmbH"
"spotify:track:4jaeRZRaBSlVkYAjWqrf7z","Bon Voyage (feat. Nina)","spotify:artist:49eo9xE4yGzJLWkOndiODs, spotify:artist:5OsMY9Hwrho3pltegqow1p","Deichkind, Nina Tenge","spotify:album:7DTkfgriE5mNBwC9CL2fWW","Bitte ziehen sie durch","spotify:artist:49eo9xE4yGzJLWkOndiODs","Deichkind","2000-05-29","https://i.scdn.co/image/ab67616d0000b27307d34cbec1f15eab4142e306","1","4","204000","https://p.scdn.co/mp3-preview/d999609d85c2344b6d9a9ae8fe2c388aa75a83ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEA620000141","spotify:user:","2022-11-21T12:26:20Z","german pop,german rock,hamburg hip hop","0.904","0.755","4","-7.809","0","0.222","0.235","0.000552","0.087","0.945","96.418","4","","BMG Rights Management GmbH","C © 2000 The Echo Label Limited, a BMG Company, P ℗ 2000 The Echo Label Limited, a BMG Company"
"spotify:track:6QRng4ZFJxeRnjcnquKlx2","Troy","spotify:artist:748dDObrUoBetes0pLj788","Die Fantastischen Vier","spotify:album:265fpziPcNNDSBYhwOE5YY","Viel - Jubiläums-Edition","spotify:artist:748dDObrUoBetes0pLj788","Die Fantastischen Vier","2004","https://i.scdn.co/image/ab67616d0000b2739e6501acda7e7fdb914a6d99","1","13","269840","https://p.scdn.co/mp3-preview/3f7df0a44ddcc3f039d79beb7a6c255242432dd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","DEE860400443","spotify:user:","2022-11-21T12:26:20Z","german pop,german rock,oldschool deutschrap","0.809","0.785","0","-5.773","1","0.0995","0.0291","0.000237","0.363","0.664","124.999","4","","Four Music","P (P) 2009 Sony Music Entertainment Germany GmbH"
