"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:47gFO4wiq9rLJo9vz0DP3q","Party Sahne","spotify:artist:6CP5wWvO8oIxedESJNCN4H, spotify:artist:7uK2QScoOUkqq8tvtvBIL7, spotify:artist:2mkCm5VNJTplOKJxcDYMpa","Ski Aggu, Endzone, Ericson","spotify:album:6vcV95HX3EIghNFsoOgbDC","Party Sahne","spotify:artist:6CP5wWvO8oIxedESJNCN4H, spotify:artist:7uK2QScoOUkqq8tvtvBIL7, spotify:artist:2mkCm5VNJTplOKJxcDYMpa","Ski Aggu, Endzone, Ericson","2022-10-06","https://i.scdn.co/image/ab67616d0000b273e434ea78e7af24c8ace193e4","1","1","137647","https://p.scdn.co/mp3-preview/07623817a58e9a4439863fc233766d5af18c53c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","DE1FB2200013","spotify:user:","2022-11-03T23:00:00Z","german hip hop,german trap,german hip hop,german trap","0.84","0.938","5","-4.992","0","0.0806","0.0717","0.000196","0.256","0.746","135.971","4","","jungeratze","C © 2022 jungeratze, P ℗ 2022 jungeratze"
"spotify:track:5qEGAHerczFt3HmL9lhh4j","Nachts wach (Lila Wolken Bootleg)","spotify:artist:76dRoxKtDwYkgCQePok9cU, spotify:artist:6ARKr2ZoLf9TDoQiZarJMt","Miksu / Macloud, makko","spotify:album:6VLivifFeh65jFqwXCAar3","Nachts wach","spotify:artist:76dRoxKtDwYkgCQePok9cU, spotify:artist:6ARKr2ZoLf9TDoQiZarJMt","Miksu / Macloud, makko","2022-08-26","https://i.scdn.co/image/ab67616d0000b27382b8ecbfc85abb26405b4d85","1","1","158080","https://p.scdn.co/mp3-preview/d5c1f2fe7395f252e5f33d41bb042919fd70f3e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","DEQ022291278","spotify:user:","2022-11-03T23:00:00Z","german hip hop,german hip hop,german trap","0.667","0.849","10","-4.4","0","0.124","0.165","0.000048","0.107","0.752","155.002","4","","Futura","C 2022 FUTURA under exclusive license to Groove Attack, P 2022 FUTURA under exclusive license to Groove Attack"
"spotify:track:5HsrYtb503rCCWyZvGtf4v","61 Grad (Deep House RMX)","spotify:artist:7uK2QScoOUkqq8tvtvBIL7, spotify:artist:2yh2yg3b2viRskto7M1cx7","Endzone, TM","spotify:album:4lT60ivI572gAiaChQ6cCw","61 Grad (Deep House RMX)","spotify:artist:7uK2QScoOUkqq8tvtvBIL7, spotify:artist:2yh2yg3b2viRskto7M1cx7","Endzone, TM","2021-09-10","https://i.scdn.co/image/ab67616d0000b273c30f81c2ef661f18ffa737a9","1","1","113000","https://p.scdn.co/mp3-preview/b73d70714f5137f543cb30a04c843dfc8ac21ea5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","DEQ022150505","spotify:user:","2022-11-03T23:00:00Z","german hip hop,german trap,german drill,german hip hop,german trap","0.895","0.553","7","-9.606","0","0.061","0.393","0.0000523","0.116","0.354","127.968","4","","2Live Entertainment","C 2021 2 Live Entertainment under exclusive license to Groove Attack, P 2021 2 Live Entertainment under exclusive license to Groove Attack"
"spotify:track:3JSud3KS4sDoxQ8Ywfr0jF","Gorilla","spotify:artist:0HXAyc6kXXdnrE8wdVwS5E, spotify:artist:0cUMeX7DFLIvLy0q8uqp6q, spotify:artist:0bMt8SJlp0gFRUufzifS05","Tarek K.I.Z, Drunken Masters, K.I.Z","spotify:album:39vightRcb096aBUbeep4i","Gorilla","spotify:artist:0HXAyc6kXXdnrE8wdVwS5E, spotify:artist:0cUMeX7DFLIvLy0q8uqp6q, spotify:artist:0bMt8SJlp0gFRUufzifS05","Tarek K.I.Z, Drunken Masters, K.I.Z","2022-08-04","https://i.scdn.co/image/ab67616d0000b2735d4fff4b3898fdd8dc15b6ba","1","1","174314","https://p.scdn.co/mp3-preview/2b03c823e2001546c72638b5a003a98f24e9b5e9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","DEZC62285942","spotify:user:","2022-11-03T23:00:00Z","german hip hop,jump up,german hip hop","0.864","0.673","9","-6.58","1","0.0887","0.219","0.00146","0.168","0.634","124.056","4","","EKLAT Tonträger GmbH","C 2022 Tarek K.I.Z & Drunken Masters & EKLAT Tonträger GmbH, P 2022 Tarek K.I.Z & Drunken Masters & EKLAT Tonträger GmbH"
"spotify:track:0rRn3j1DLkhEI6XL52Gaie","Sport","spotify:artist:1qQLhymHXFPtP5U8KNKsm6","Apache 207","spotify:album:3h7DCGcI0lWcVf9DWAfB0v","Sport","spotify:artist:1qQLhymHXFPtP5U8KNKsm6","Apache 207","2021-11-26","https://i.scdn.co/image/ab67616d0000b273d544a11f415d16f566445a6c","1","1","175330","https://p.scdn.co/mp3-preview/7a74e6a47cb55ab76f708e3603af22ec32a943d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","DEQ322100375","spotify:user:","2022-11-03T23:00:00Z","german hip hop","0.794","0.78","11","-3.373","0","0.0748","0.0073","0.0000999","0.0516","0.628","165.009","4","","Four Music/Two Sides","P (P) 2021 TwoSides under exclusive license to FOUR MUSIC PRODUCTIONS GmbH a Sony Music Entertainment company"
"spotify:track:3a0F2N6rXJSibQTp77xH4f","Ohne Benzin","spotify:artist:3XZewrXpRQqqCMuUMAIhvN","Domiziana","spotify:album:44qXZ6KEzcKrp9E9jaxpH0","Ohne Benzin","spotify:artist:3XZewrXpRQqqCMuUMAIhvN","Domiziana","2022-03-04","https://i.scdn.co/image/ab67616d0000b273d357802eddb76930c925a18c","1","1","155136","https://p.scdn.co/mp3-preview/8a9136a415bdb7d0f118b903fae6d9ae5e0e9254?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","DEQ322200037","spotify:user:","2022-11-03T23:00:00Z","","0.746","0.7","8","-6.42","0","0.109","0.0427","0.00146","0.552","0.687","133.044","4","","Four Music Local","P (P) 2022 0909 Future Club under exclusive license to FOUR MUSIC PRODUCTIONS GmbH a Sony Music Entertainment company"
"spotify:track:1S4Ehm8b7O4n9lIy3uAMS1","Späti","spotify:artist:5eioJDe26lOqkAMbuhzZYs","Gzuz","spotify:album:2hYQBTpcqsqp9qwzuGk5O2","Späti","spotify:artist:5eioJDe26lOqkAMbuhzZYs","Gzuz","2021-10-14","https://i.scdn.co/image/ab67616d0000b273e6712d861e2d5d3612e32565","1","1","152771","https://p.scdn.co/mp3-preview/ccce472d7346cc26da582af69af0a062497725d6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","DECE72105108","spotify:user:","2022-11-03T23:00:00Z","deep german hip hop,german hip hop,hamburg hip hop","0.812","0.66","1","-6.093","1","0.171","0.309","0.00262","0.172","0.482","139.992","4","","187 Strassenbande","C © 2021 187 Strassenbande, P Distributed by Vertigo/Capitol; ℗ 2021 187 Strassenbande"
"spotify:track:1ftln1emQR93Oyw0pJqN2i","2CB","spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L, spotify:artist:3CJKkU0XuElRT1z8rEtIYg","RAF Camora, Luciano","spotify:album:4g21E2XTNtOkiqsBQ4Yx2i","Zukunft 1 & 2","spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L","RAF Camora","2021-10-01","https://i.scdn.co/image/ab67616d0000b27366c3a7555a843bf21e63d4f9","2","7","172288","https://p.scdn.co/mp3-preview/af64c3df334d4bca0c33e45b0b0d45e2a819df80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","DEQ022150430","spotify:user:","2022-11-03T23:00:00Z","german hip hop,german drill","0.82","0.725","10","-6.449","0","0.208","0.456","0.457","0.114","0.364","125.049","4","","Indipendenza","C 2021 Indipendenza under exclusive license to Groove Attack, P 2021 Indipendenza under exclusive license to Groove Attack"
"spotify:track:1ywM9BP8vzh0Pu1zbnGAfY","Wildberry Lillet (Remix feat. Juju)","spotify:artist:2kS9NyuATpYwjeB93h24H5, spotify:artist:4sg4no0TXdsrM1s4SVUwNF","Nina Chuba, Juju","spotify:album:68YT84vuoXApmgcibxxM9v","Wildberry Lillet (Remix feat. Juju)","spotify:artist:2kS9NyuATpYwjeB93h24H5, spotify:artist:4sg4no0TXdsrM1s4SVUwNF","Nina Chuba, Juju","2022-09-15","https://i.scdn.co/image/ab67616d0000b273ad6b875f09bd8912f6a29cf5","1","1","138857","https://p.scdn.co/mp3-preview/d93c577e8bb84f2404165913faa30b0029fb2922?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","DEE862201417","spotify:user:","2022-11-03T23:00:00Z","german hip hop,hamburg hip hop,frauenrap,german hip hop","0.899","0.51","1","-6.84","1","0.111","0.0816","0","0.0972","0.632","140.006","4","","Jive","P (P) 2022 Jive Germany a division of Sony Music Entertainment Germany GmbH"
"spotify:track:5OqIKA0ETzvxocl2IS7nV6","Extasy","spotify:artist:2j2rh3oQh4QEUnNTDKYSJD, spotify:artist:1aS5tqEs9ci5P9KD9tZWa6, spotify:artist:38KSpOSYnwQX9zcOcVKdym","187 Strassenbande, Bonez MC, Frauenarzt","spotify:album:17BMEx1PKFdh53eGNPW8D5","Extasy","spotify:artist:2j2rh3oQh4QEUnNTDKYSJD, spotify:artist:1aS5tqEs9ci5P9KD9tZWa6, spotify:artist:38KSpOSYnwQX9zcOcVKdym","187 Strassenbande, Bonez MC, Frauenarzt","2021-05-06","https://i.scdn.co/image/ab67616d0000b27388c58f8fda0a2e728b4c2c7e","1","1","174021","https://p.scdn.co/mp3-preview/70479e3de6063fafa1429b265b87892305bf9e48?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","DECE72102343","spotify:user:","2022-11-03T23:00:00Z","german hip hop,hamburg hip hop,german hip hop,hamburg hip hop,german hip hop","0.863","0.74","9","-5.879","0","0.151","0.0289","0.0272","0.0932","0.54","129.966","4","","187 Strassenbande","C © 2021 187 Strassenbande, P Distributed by Vertigo/Capitol; ℗ 2021 187 Strassenbande"
