"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4FEcEwbE2vsqhxbTPtiNTL","Summer 91 (Looking Back)","spotify:artist:3VRyybsQu0MDG0F2LBxnv7","Noizu","spotify:album:4QCh5emLRWuIg8CUzprNXm","Summer 91 (Looking Back)","spotify:artist:3VRyybsQu0MDG0F2LBxnv7","Noizu","2021-01-15","https://i.scdn.co/image/ab67616d0000b2733c0c35544b3c51b9b8896f87","1","1","180000","https://p.scdn.co/mp3-preview/0c9f148bf2166df7392d1f9a61775d7d511f5122?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBARL2001582","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-27T16:00:19Z","bass house,deep groove house,edm,electro house,house,pop dance,tropical house,uk dance","0.509","0.953","11","-4.954","0","0.0414","0.0159","0.000033","0.28","0.406","125.015","4","","RCA Records Label","P (P) Techne 2021, under exclusive license to Sony Music Entertainment UK Limited"
"spotify:track:6I9VzXrHxO9rA9A5euc8Ak","Toxic","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:0z7pVBGOD7HCIB7S8eLkLI","In The Zone","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2003-11-13","https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4","1","6","198800","https://p.scdn.co/mp3-preview/7e3699a5a8b20b5847234627839a1c68bfaf5fb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USJI10301005","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:16:05Z","dance pop,pop","0.774","0.838","5","-3.914","0","0.114","0.0249","0.025","0.242","0.924","143.04","4","","Jive","P (P) 2003 Zomba Recording LLC"
"spotify:track:5qGIfWDRdyO67LCTqA2sEn","Heads Will Roll - A-Trak Remix Radio Edit","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2, spotify:artist:3TaUSUXn41GixL7zbvrIDt","Yeah Yeah Yeahs, A-Trak","spotify:album:3MWSY8N1zWSNBcnMTIeiTz","Good Morning Music: Wake Up Workout","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-05-10","https://i.scdn.co/image/ab67616d0000b27399ac98ddd6534acb3f93f08f","1","11","203920","https://p.scdn.co/mp3-preview/b6e773c626c729ae28545fbeb924488d1f53293c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USUM70906805","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:27:19Z","alternative dance,alternative rock,dance-punk,indie rock,modern rock,new rave,rock,canadian electronic,electro house,electronic trap,turntablism","0.68","0.805","8","-3.232","0","0.0801","0.0134","0.0558","0.237","0.865","132.005","4","","UME - Global Clearing House","C © 2019 UMG Recordings, Inc., P ℗ 2019 UMG Recordings, Inc. FP"
"spotify:track:519uJbE3zyKLlToVA65PrP","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:24REY1t8dFi2VXi6oUVO8j","Native (Deluxe)","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2013-01-01","https://i.scdn.co/image/ab67616d0000b273f5eaf1b4d675b763303a127b","1","1","257266","","false","0","USUM71301306","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-10T19:47:19Z","piano rock,pop","0.665","0.7","1","-4.946","0","0.042","0.066","0","0.119","0.473","121.961","4","","Interscope","C (C) 2013 Mosley Music/Interscope Records, P (P) 2013 Mosley Music/Interscope Records"
"spotify:track:2N3U8uTYhjX2KwGT0pf5x0","Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT, spotify:artist:360IAlyVv4PCEVjgyMZrxK, spotify:artist:3hv9jJF3adDNsBSIQDqcjp","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2015-05-26","https://i.scdn.co/image/ab67616d0000b27381a6a2cafab2e7a4066b5eec","1","17","260986","https://p.scdn.co/mp3-preview/cf7effdc8ba7f64b214fd3578c9e057065791702?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11500811","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:15:22Z","east coast hip hop,hip hop,rap,mellow gold,soft rock,dance pop,hip hop,pop,r&b,urban contemporary,dance pop,pop","0.394","0.661","4","-8.684","1","0.192","0.00996","0","0.343","0.335","149.818","4","","A$AP Worldwide/Polo Grounds Music/RCA Records","P (P) 2015 A$AP Rocky Recordings LLC/RCA Records. Marketed & Distributed by Polo Grounds Music/RCA Records."
"spotify:track:3FN7IJMnUMWZXDw08ix3ot","Stop This Flame - Celeste x MK","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","spotify:album:1G6SH7CRZ5qtYVaGnUVhSK","Stop This Flame (Celeste x MK)","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","2021-06-25","https://i.scdn.co/image/ab67616d0000b273b61ad93c3ca363ef040bf226","1","1","203946","https://p.scdn.co/mp3-preview/f0a355b18c22fce0ae1849df4a579414e0472d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM72103464","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:18:16Z","british soul,dance pop,edm,house,pop dance,tropical house","0.692","0.846","8","-5.72","1","0.0559","0.0194","0.0000291","0.324","0.827","124.007","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P Atlas Artists / Polydor Records; ℗ 2021 Universal Music Operations Limited"
"spotify:track:5PtEpuVX03k9bOUwilL5EO","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","2","238133","https://p.scdn.co/mp3-preview/b16c1dd9a64c253f66a7e09ead081bed0673a3fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","NZNK11000002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-07T23:34:09Z","alternative dance,auckland indie,electropop,indietronica,kiwi rock,metropopolis,modern rock","0.473","0.883","6","-3.65","1","0.047","0.00201","0.000967","0.142","0.164","115.048","4","","Polydor Records","C © 2011 Somewhat Damaged, Under Exclusive License To Polydor UK Ltd., P ℗ 2011 Somewhat Damaged, Under Exclusive License To Polydor UK Ltd."
"spotify:track:36VkLBq245WRvM9pVjpQNY","Rainfall (Praise You) - Nathan Dawe Remix","spotify:artist:1dTEPvUhxpFzL7UMKHWFfZ, spotify:artist:2gduEC76ry33RVurAvT05p","Tom Santa, Nathan Dawe","spotify:album:65ZiJDx9OpOKOYI8R8sa7K","Rainfall (Praise You) [Nathan Dawe Remix]","spotify:artist:1dTEPvUhxpFzL7UMKHWFfZ, spotify:artist:2gduEC76ry33RVurAvT05p","Tom Santa, Nathan Dawe","2022-07-29","https://i.scdn.co/image/ab67616d0000b2734bc9cc384ab97e383e4bf439","1","1","137343","https://p.scdn.co/mp3-preview/47f7a6211cbe2bce12b832f15c77555d9d419c22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBUM72205207","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-27T09:27:35Z","dance pop,house,pop dance,post-teen pop,tropical house,uk dance","0.656","0.812","0","-8.042","0","0.121","0.017","0.0000594","0.11","0.558","127.732","4","","Polydor Records","C © 2022 Universal Music Operations Limited, P A Polydor Records Release; ℗ 2022 Universal Music Operations Limited"
"spotify:track:76hfruVvmfQbw0eYn1nmeC","Cake By The Ocean","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","spotify:album:3Wv4X8OA65pGpFzBkuUgAh","DNCE","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","2016-11-18","https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9","1","3","219146","https://p.scdn.co/mp3-preview/f67040fecb7f04f7e339058a503e60ca37a740c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71514637","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-30T19:03:16Z","dance pop,edm,pop,post-teen pop","0.774","0.753","4","-5.446","0","0.0517","0.152","0","0.0371","0.896","119.002","4","","Joseph Jonas/Republic Records","C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:6xdLJrVj4vIXwhuG8TMopk","Crazy Little Thing Called Love - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:58alCatewkjNm9IM1Ucj67","The Game (2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1980-06-27","https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba","1","5","163373","https://p.scdn.co/mp3-preview/34cdfb0dd1fddd0b26752d6ea6c2d606b1a88c6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71029612","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:15:37Z","classic rock,glam rock,rock","0.599","0.761","0","-6.887","1","0.0421","0.713","0.00000474","0.349","0.712","77.015","4","","EMI","C © 2011 Raincloud Productions Ltd. under exclusive licence to Universal International Music BV, P ℗ 2011 Raincloud Productions Ltd. under exclusive licence to Universal International Music BV"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756","1","8","222533","https://p.scdn.co/mp3-preview/738c08036fd5a89bdcdae396f6687d9b0ebfff10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBARL1400296","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:20:33Z","dance pop,edm,electro house,house,pop,progressive house,uk dance","0.596","0.856","4","-3.556","0","0.0346","0.0211","0.0178","0.141","0.743","127.949","4","","Columbia","P (P) 2014 Sony Music Entertainment UK Limited"
"spotify:track:7gfFqigmPAHrHt6c84b5cm","Higher","spotify:artist:6r20qOqY7qDWI0PPTxVMlC, spotify:artist:4sewbfr40so8t6Zfh9tmoK, spotify:artist:01PAM2LxCLL6tflnv7mbV7","DJ Fresh, Used, Nikki Ambers","spotify:album:3PsDcHdtiMfXxYcakymN39","Higher","spotify:artist:6r20qOqY7qDWI0PPTxVMlC, spotify:artist:4sewbfr40so8t6Zfh9tmoK, spotify:artist:01PAM2LxCLL6tflnv7mbV7","DJ Fresh, Used, Nikki Ambers","2022-08-12","https://i.scdn.co/image/ab67616d0000b273bb0d334133fa6b20c3100eea","1","1","172840","https://p.scdn.co/mp3-preview/1a86b4693957c4a37244bcaca700caa346fe1ad4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QM6N22288401","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-09T20:19:02Z","dancefloor dnb,drum and bass,house,uk dance,belgian dnb,vlaamse rap","0.494","0.941","9","-3.951","0","0.0442","0.0113","0.127","0.113","0.142","174.056","4","","Breakbeat Kaos","C (C) 2022 Breakbeat Kaos, P (P) 2022 Breakbeat Kaos"
