"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2zMJN9JvDlvGP4jB03l1Bz","Hot Stuff","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","spotify:album:58GjBhQvLHwfQFJtdP9Oxg","Bad Girls","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","1979-04-25","https://i.scdn.co/image/ab67616d0000b27331f6567831ff929fdea02074","1","1","314760","https://p.scdn.co/mp3-preview/41642200a542970b8e02e72e3836d542234bd11d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USPR37907202","spotify:user:","2022-08-31T15:13:54Z","dance pop,disco,hi-nrg,new wave pop","0.823","0.743","0","-13.98","1","0.0316","0.00559","0.0306","0.0707","0.966","120.471","4","","Mercury Records","C © 1979 UMG Recordings Inc., P A Mercury Records release; ℗ 1979 UMG Recordings Inc."
"spotify:track:15ifyO8wYntwyXAptfxhKr","Everybody Dance - 2018 Remaster","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","spotify:album:388S3dsftPqG1nwgauItcx","Chic (2018 Remaster)","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","1977-01-01","https://i.scdn.co/image/ab67616d0000b27353afe19ee3a695205550ed02","1","4","402693","https://p.scdn.co/mp3-preview/139620adddea0c3a99ec725e689831f8b4be9316?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRH11803124","spotify:user:","2022-08-31T15:13:54Z","disco,funk,post-disco,quiet storm,soul","0.722","0.66","5","-13.438","0","0.0538","0.05","0.000901","0.0907","0.906","129.727","4","","Rhino Atlantic","C © 2018, 1977 Atlantic Recording Corporation. All Rights Reserved., P ℗ 2018, 1977 Atlantic Recording Corporation. All Rights Reserved. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:3WMbD1OyfKuwWDWMNbPQ4g","Daddy Cool","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:1KQUrny9y5zGpktF6hAGd4","Take The Heat Off Me","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1976","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691","1","1","208600","https://p.scdn.co/mp3-preview/172875355ed7882fecddbf0d2820f5ae1860ae12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","DEC737600002","spotify:user:","2022-08-31T15:13:54Z","europop","0.763","0.777","5","-6.932","0","0.0364","0.281","0.79","0.134","0.929","124.431","4","","MCI","P (P) 1976/2007 SONY BMG MUSIC ENTERTAINMENT (GERMANY) GmbH"
"spotify:track:6Lphpr9Z6H282Sguw0dUWa","Le Freak - Edit","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","spotify:album:0VpPfXytCLshrjZFHKQHyc","Les Plus Grands Success De Chic - Chic's Greatest Hits","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","1979","https://i.scdn.co/image/ab67616d0000b273d908dfcf8d278821c5da625a","1","1","215693","https://p.scdn.co/mp3-preview/077580fd9589e1f90e34ee68791399ae890e42de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USAT20108541","spotify:user:","2022-08-31T15:13:54Z","disco,funk,post-disco,quiet storm,soul","0.832","0.553","7","-13.705","1","0.0487","0.0422","0.00356","0.249","0.89","119.825","4","","Rhino Atlantic","C © 1979 Atlantic Records, P ℗ 1979 Atlantic Records"
"spotify:track:6ztstiyZL6FXzh4aG46ZPD","Boogie Wonderland","spotify:artist:4QQgXkCYTt3BlENzhyNETg, spotify:artist:64CuUOOirKmdAYLQSfaOyr","Earth\, Wind & Fire, The Emotions","spotify:album:4RLVTxnuVN5ZWZqBFnaaQt","I Am","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1979-06","https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988","1","5","288293","https://p.scdn.co/mp3-preview/9ac9265a2edd03091665103429ca7f3eb25b71d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM19922860","spotify:user:","2022-08-31T15:13:54Z","disco,funk,jazz funk,quiet storm,soul,chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul,southern soul,urban contemporary","0.802","0.756","2","-10.791","0","0.0349","0.0843","0.00765","0.0521","0.963","131.715","4","","Columbia/Legacy","P (P) 1979 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:3pbtBomO4Zt5gGiqsYeiBH","Upside Down","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","spotify:album:3zgDLoVcpVGfFbDZJf3uHI","Diana","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","1980-05-22","https://i.scdn.co/image/ab67616d0000b273abc5193decc1a2984a93f31e","1","1","245600","https://p.scdn.co/mp3-preview/db898772f1164868d916d58e6e0a0e91aad17e34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USMO18000379","spotify:user:","2022-08-31T15:13:54Z","adult standards,dance pop,disco,motown,quiet storm,soul","0.873","0.855","5","-8.559","0","0.0615","0.179","0.0285","0.0377","0.884","107.868","4","","UNI/MOTOWN","C © 2003 Motown Records, a Division of UMG Recordings, Inc., P This Compilation ℗ 2003 Universal Motown Records, a division of UMG Recordings, Inc."
"spotify:track:1vCBk33l9HaWp5FOnhSGxk","I Feel Love","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","spotify:album:04nlrp346ZfIBhxsNOxpqe","I Remember Yesterday","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","1977-05-13","https://i.scdn.co/image/ab67616d0000b273dfda0715a34f49501dfc97a0","1","8","355173","https://p.scdn.co/mp3-preview/affce7ca9e54afb8eb34a4cd022ff2bbb8f4ef4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USPR39402393","spotify:user:","2022-08-31T15:13:54Z","dance pop,disco,hi-nrg,new wave pop","0.674","0.711","0","-15.581","1","0.0423","0.031","0.691","0.0925","0.961","126.696","4","","Island Mercury","C © 1977 The Island Def Jam Music Group, P ℗ 1977 The Island Def Jam Music Group"
"spotify:track:3MFa9idQuY4iJLWsZl3tIQ","Young Hearts Run Free","spotify:artist:3S34Unhn5yRcaH5K9aU5Et","Candi Staton","spotify:album:39ntuIhbcC8rsmRV2qXkmZ","Young Hearts Run Free (US Internet Release)","spotify:artist:3S34Unhn5yRcaH5K9aU5Et","Candi Staton","1976","https://i.scdn.co/image/ab67616d0000b2732fda39ea1a0524624719d8aa","1","5","248360","https://p.scdn.co/mp3-preview/d5991bbee3265f8bdd2f596cf50a183e3caa043e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USWB19700370","spotify:user:","2022-08-31T15:13:54Z","classic soul,disco,funk,quiet storm,soul,southern soul","0.653","0.652","7","-9.304","0","0.0427","0.13","0.0000158","0.202","0.846","115.388","4","","Rhino/Warner Records","C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
"spotify:track:3GXo1eWlT2flv4x01l5OTu","Disco Inferno - Edit","spotify:artist:1zgNpeHQe8GulzfVkYP2VK","The Trammps","spotify:album:2fbPRtAt1i5f68lZegx1iB","Playlist: The Best Of The Trammps","spotify:artist:1zgNpeHQe8GulzfVkYP2VK","The Trammps","2016-06-17","https://i.scdn.co/image/ab67616d0000b2731fab01f37c4d5bfe581e27a7","1","1","215626","https://p.scdn.co/mp3-preview/400a0b143f003b06783e0ea56d7b3dc80c3ffdef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USAT20300384","spotify:user:","2022-08-31T15:13:54Z","disco,philly soul,post-disco,quiet storm","0.761","0.614","10","-11.445","1","0.0354","0.0439","0.0596","0.0531","0.894","129.637","4","","Rhino Atlantic","C © 2016 Rhino Entertainment Company, a Warner Music Group Company., P ℗ 2016 Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:1ot6jEe4w4hYnsOPjd3xKQ","I'm So Excited","spotify:artist:2kreKea2n96dXjcyAU9j5N","The Pointer Sisters","spotify:album:4iqsNkST0v1aaL3S0Fd4XS","So Excited! (Expanded Edition)","spotify:artist:2kreKea2n96dXjcyAU9j5N","The Pointer Sisters","1982-02-01","https://i.scdn.co/image/ab67616d0000b2734650ca0a8f88129d4667acc5","1","1","230640","https://p.scdn.co/mp3-preview/84c43f84d5e8569ccba891e3fbe9b7d66fb8c125?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC18203285","spotify:user:","2022-08-31T15:13:54Z","dance pop,disco,girl group,hi-nrg,mellow gold,new wave pop,soft rock","0.59","0.868","5","-5.832","0","0.048","0.0962","0.000322","0.442","0.798","184.348","4","","RCA/Legacy","P (P) 1982 RCA Records, a division of Sony Music Entertainment"
"spotify:track:3qI94hINNNeb4S7xQi18lS","Blame It on the Boogie","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","spotify:album:46yTC334aJI4QTv4lkzj3a","Destiny","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","1978-12-17","https://i.scdn.co/image/ab67616d0000b27386e5468d84ed66f06d9a799e","1","1","214200","https://p.scdn.co/mp3-preview/e0f664400f80b207f2d87fe458f9f2124b529a78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM17801024","spotify:user:","2022-08-31T15:13:54Z","disco,funk,motown,quiet storm,soul","0.774","0.641","1","-10.193","1","0.0799","0.0765","0","0.0867","0.875","113.256","4","","Epic","P (P) 1978 Epic Records, a division of Sony Music Entertainment"
