"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3oiwQKGWKirH1H5qbTsYpG","Sunny - Edit","spotify:artist:4ZedOHbnyLaFvvMuY6uaOM, spotify:artist:32bhdXeRIDuN1EsKbYGKMv","L'Tric, Chloe Wilson","spotify:album:29KrGF5pVws5W2LnY4drbF","Sunny","spotify:artist:4ZedOHbnyLaFvvMuY6uaOM, spotify:artist:32bhdXeRIDuN1EsKbYGKMv","L'Tric, Chloe Wilson","2020-08-14","https://i.scdn.co/image/ab67616d0000b273e9e6fd6c18a92b53dd04d64d","1","1","176570","https://p.scdn.co/mp3-preview/e262ab8b86fb8fb05f4c579e77064f8b980494a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","AUNE32000097","spotify:user:","2022-12-11T23:00:00Z","","0.654","0.878","8","-4.539","1","0.0435","0.000927","0.073","0.329","0.607","122.993","4","","Universal Music Australia Pty. Ltd.","C © 2020 Neon Records, P ℗ 2020 Neon Records"
"spotify:track:1635wWSdp29PO3GxYhy991","Bel Mercy","spotify:artist:4lgrPvofm0IT605L9OrOTN","Jengi","spotify:album:7kJhB3zZiALyIaWRGO3rwE","Bel Mercy","spotify:artist:4lgrPvofm0IT605L9OrOTN","Jengi","2022-12-02","https://i.scdn.co/image/ab67616d0000b2733e75596f88233d659836bf4e","1","1","169606","https://p.scdn.co/mp3-preview/d43f32c2eab69b6beb5d5b6341d5fe8ea93b04c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYE2202575","spotify:user:","2022-12-11T23:00:00Z","dutch pop","0.941","0.753","6","-4.905","1","0.0905","0.458","0.61","0.109","0.681","127.02","4","","FFRR","C Under exclusive License to Parlophone Records Limited / FFRR., © 2022 Jengi, P Under exclusive License to Parlophone Records Limited / FFRR., ℗ 2022 Jengi"
"spotify:track:7elX5HalbHX0ce1dql4ckd","F The Disco","spotify:artist:0l3pVeXR1Tq4r2jL0PjdKK","Cavi","spotify:album:7ea0ORUmANmJFYAjfiffjG","Our Beats","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-01-24","https://i.scdn.co/image/ab67616d0000b27336b50f4c6387e80ad065b349","1","1","284506","https://p.scdn.co/mp3-preview/31d96d547a4dee19158947857d583f14c9e6d134?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBWUL1942379","spotify:user:","2022-12-11T23:00:00Z","","0.734","0.776","5","-7.717","0","0.0992","0.00894","0.738","0.0916","0.793","124.018","4","","Too Many Rules","C 2020 Too Many Rules, P 2020 Too Many Rules"
"spotify:track:5fR1gKyVaQOFsUe9XWz6Pg","Riviera","spotify:artist:1uF7AFfGahplhiaHEy9NNl","Loods","spotify:album:0Mx39nltkydoVI9Z7jpFAZ","Riviera","spotify:artist:1uF7AFfGahplhiaHEy9NNl","Loods","2021-03-12","https://i.scdn.co/image/ab67616d0000b273553d3ffa63db5f9aedefb2bf","1","1","212313","https://p.scdn.co/mp3-preview/dd77c518f8f26a950949da95a338b951820ef9b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","AUDCB1701726","spotify:user:","2022-12-11T23:00:00Z","australian dance,disco house","0.722","0.753","2","-6.905","1","0.0347","0.0014","0.849","0.101","0.781","127.018","4","","Club Sweat","C 2021 Club Sweat, P 2021 Club Sweat"
"spotify:track:6aJRtWjtwXuLzXeLnrtVbc","Where’s Your Head At - 1991 Remix","spotify:artist:2IP71LH7CbwddhsEXBI0fy, spotify:artist:4YrKBkKSVeqDamzBPWVnSJ","1991, Basement Jaxx","spotify:album:2AxKJIxwSnaTVgAghY524X","Where’s Your Head At (1991 Remix)","spotify:artist:2IP71LH7CbwddhsEXBI0fy, spotify:artist:4YrKBkKSVeqDamzBPWVnSJ","1991, Basement Jaxx","2021-06-18","https://i.scdn.co/image/ab67616d0000b273f75a2e86bae47234815325f9","1","1","216637","https://p.scdn.co/mp3-preview/1f4936c020f4e9807e3d12f7a93a455bef32e5cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBBKS2000338","spotify:user:","2022-12-11T23:00:00Z","dancefloor dnb,drum and bass,alternative dance,big beat,dance pop,electronica,filter house,new rave,vocal house","0.385","0.975","0","0.206","1","0.0904","0.000145","0.0316","0.431","0.38","173.988","4","","1991","C 2021 XL Recordings Ltd under licence to AEI Group Ltd t/a 1991, P 2021 XL Recordings Ltd under licence to AEI Group Ltd t/a 1991"
"spotify:track:4gg4uUTRXXRUMFs8qO3C2g","U Got Me","spotify:artist:04L4Y7Hkc1fULKhFbTnSSs","ATFC","spotify:album:2xPCtyu6XQ3DfVUvn0kbLZ","U Got Me","spotify:artist:04L4Y7Hkc1fULKhFbTnSSs","ATFC","2020-06-12","https://i.scdn.co/image/ab67616d0000b273be24128bc52eeea7425c3b3e","1","1","160548","https://p.scdn.co/mp3-preview/11b8a2d7671855b3fb9903a62d5862e4cd50ebc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NLF711812499","spotify:user:","2022-12-11T23:00:00Z","deep house,disco house,funky house,funky tech house,house,vocal house","0.802","0.928","10","-4.906","0","0.0471","0.0541","0.384","0.331","0.947","124.981","4","","Armada Subjekt","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
"spotify:track:7qucIblbYivqgFGupY6RIY","Where Are You Now - Kungs Remix","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:6ydoSd3N2mwgwBHtF6K7eX, spotify:artist:7keGfmQR4X5w0two1xKZ7d","Lost Frequencies, Calum Scott, Kungs","spotify:album:4SasazLxpIxvEsu5AnkOs7","Where Are You Now (Kungs Remix)","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:6ydoSd3N2mwgwBHtF6K7eX, spotify:artist:7keGfmQR4X5w0two1xKZ7d","Lost Frequencies, Calum Scott, Kungs","2022-01-06","https://i.scdn.co/image/ab67616d0000b273711e5895c1ff91e5eea5e8e8","1","1","192877","https://p.scdn.co/mp3-preview/1937f0aca7d528421ebbc0a5a1bc5ad82e2f9501?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","BEHP42100105","spotify:user:","2022-12-11T23:00:00Z","belgian edm,edm,pop,pop dance,tropical house,neo mellow,pop,edm,pop dance,tropical house","0.753","0.832","6","-4.891","0","0.0374","0.0452","0.482","0.0892","0.963","123.011","4","","Epic Amsterdam","P (P) 2021, Lost & Cie Music SPRL, exclusively licensed to Epic Amsterdam, with courtesy of Sony Music Entertainment Belgium NV/SA"
"spotify:track:0HFUOO7GkVBUCYz1u2IcBM","Seventies","spotify:artist:3qEwwb8O7MSkGRohGYEzkO","Theo Kottis","spotify:album:6snRQ9zw7mrK0l0vPyY8EJ","Seventies","spotify:artist:3qEwwb8O7MSkGRohGYEzkO","Theo Kottis","2020-11-06","https://i.scdn.co/image/ab67616d0000b273de176ee0a43d712c0cc2edab","1","1","196035","https://p.scdn.co/mp3-preview/d867d034aeccea167fa4fa846be817db348f4348?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GB5KW2003365","spotify:user:","2022-12-11T23:00:00Z","uk house","0.703","0.922","6","-6.633","0","0.0556","0.00172","0.652","0.103","0.81","126.979","4","","Skint Records","C © 2020 Loaded Records Limited, a BMG Company, trading as Skint Records, P ℗ 2020 Loaded Records Limited, a BMG Company, trading as Skint Records"
"spotify:track:1VUIiTRtcGwADarxWyyA1a","Remember","spotify:artist:5MOWxZWdW3Hi4IPyyRrRTi","Hollaphonic","spotify:album:71g7ryhSTDxeAMvBpmC5of","Remember","spotify:artist:5MOWxZWdW3Hi4IPyyRrRTi","Hollaphonic","2021-09-10","https://i.scdn.co/image/ab67616d0000b273e64367d02feb6030f2243219","1","1","162103","https://p.scdn.co/mp3-preview/edfa504749d6a25bcaaa47829f23c2e5dc469661?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBKQU2191364","spotify:user:","2022-12-11T23:00:00Z","deep groove house,uae indie","0.862","0.902","0","-6.833","1","0.0698","0.0016","0.00107","0.0319","0.692","125.986","4","","Another Rhythm","C 2021 Another Rhythm, P 2021 Another Rhythm"
"spotify:track:4zfEOLD5ZQb7NJ9RJe2vHk","In De Back","spotify:artist:7ATXdzQvx7McQXGlMEoQS8","Future Vision","spotify:album:1fkSOhyGohXRrPlJMDNcyu","In De Back","spotify:artist:7ATXdzQvx7McQXGlMEoQS8","Future Vision","2022-04-01","https://i.scdn.co/image/ab67616d0000b2739a90c496c10f6d377ca8c4f1","1","1","141504","https://p.scdn.co/mp3-preview/d6108f9bf2d808263694e40f74cf2a04c0bb9b01?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","QZES62278791","spotify:user:","2022-12-11T23:00:00Z","","0.943","0.481","11","-7.081","0","0.109","0.00496","0.0000356","0.0587","0.886","124.053","4","","Future Vision","C 2022 Future Vision, P 2022 Future Vision"
