"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1rHjUnaKcS0ZbkpnQzbAyr","Carried Away - Deadline Remix","spotify:artist:2XRjIwgD0UiJXtx7Xzfy7w, spotify:artist:4ODNQly5SX6AWp8P5mRzGq","Charlotte Haining, Deadline","spotify:album:2RMmPZXMtIaZsjA9yeyWx1","Carried Away (Deadline Remix)","spotify:artist:2XRjIwgD0UiJXtx7Xzfy7w","Charlotte Haining","2020-04-30","https://i.scdn.co/image/ab67616d0000b27357f76e7fb912f0d4af5ed935","1","1","254000","https://p.scdn.co/mp3-preview/cce51eba40cc1a9cfc75056ed4491d5ceb55150a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","UKW3Z2000137","spotify:user:paul.grayson.beohm","2020-06-17T13:15:06Z","uk dnb,dancefloor dnb,uk dnb","0.583","0.748","7","-4.418","1","0.0331","0.00207","0.000762","0.114","0.0391","85.999","4","","CJH Songs","C (C) 2020 CJH Songs, P (P) 2020 CJH Songs"
"spotify:track:1VlTXiHOAbQf7eXe15gBU9","Don't Ever","spotify:artist:05lF0DUkLJqiW5o70SScyR, spotify:artist:0WCfu8x76QX3CjVgiE3Hn2","Hybrid Minds, DRS","spotify:album:3eMBkyz6Jilgc7OMLcduCg","Don't Ever","spotify:artist:05lF0DUkLJqiW5o70SScyR","Hybrid Minds","2020-04-29","https://i.scdn.co/image/ab67616d0000b273af6e991ab02086cc7df631ff","1","1","270344","https://p.scdn.co/mp3-preview/a7a55cea511fb15d4c181b6f4b7958836ad65c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","UKFJY1900008","spotify:user:paul.grayson.beohm","2020-06-17T13:15:49Z","drum and bass,liquid funk,drum and bass,liquid funk,manchester hip hop","0.473","0.718","1","-3.492","0","0.0436","0.0419","0.552","0.0824","0.0357","173.94","4","","Hybrid Music","C (C) 2020 Hybrid Music, P (P) 2020 Hybrid Music"
"spotify:track:4qjvm3eFsTe8nY5Vm2CxE7","Secret Smile","spotify:artist:1LhB1j0Zq3tjBeG3k8gq7V, spotify:artist:601g3yFaEu1D7gjvuk9TbH","Technimatic, Lucy Kitchen","spotify:album:2NNMC8oYgvtmvxifBgWxqg","Flashbulb","spotify:artist:1LhB1j0Zq3tjBeG3k8gq7V","Technimatic","2015-07-10","https://i.scdn.co/image/ab67616d0000b2737d071baa1e976c4f9dfa1d7d","1","1","340748","https://p.scdn.co/mp3-preview/b3f3e13d6442de94a15f87fa29358c115e981a82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBPWR1500433","spotify:user:paul.grayson.beohm","2020-06-17T13:15:49Z","dancefloor dnb,drum and bass,liquid funk,southampton indie","0.603","0.776","7","-6.163","0","0.101","0.00212","0.643","0.0726","0.176","174.01","4","","Shogun Audio","C Shogun Audio, P Shogun Audio"
"spotify:track:0cx2cgwIoRAOagi5aYXJaL","Never Too Old","spotify:artist:6SZvMOzWVSx6cWYGRrZh6d, spotify:artist:51ferxocEKt0vjxzUsqyFX","Monrroe, Emily Makis","spotify:album:01zWAupP7Vbpd9ZaG91XYL","Never Too Old","spotify:artist:6SZvMOzWVSx6cWYGRrZh6d, spotify:artist:51ferxocEKt0vjxzUsqyFX","Monrroe, Emily Makis","2019-10-18","https://i.scdn.co/image/ab67616d0000b273dafb1188cfad9fcf287dde26","1","1","325517","https://p.scdn.co/mp3-preview/bbcd7ab925ee93111d6e2bd6fec8e65ca59a034b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBPWR1900098","spotify:user:paul.grayson.beohm","2020-06-17T13:16:06Z","liquid funk,uk dnb","0.583","0.691","4","-7.509","1","0.0508","0.0226","0.0436","0.0545","0.0724","87.045","4","","Shogun Audio","C 2019 Shogun Audio, P 2019 Shogun Audio"
"spotify:track:1NaUvsztgwMC45IJHSJaZR","Inside","spotify:artist:05lF0DUkLJqiW5o70SScyR, spotify:artist:5taZNlNvKMwwOMZ92DAVZT","Hybrid Minds, Emily Jones","spotify:album:4dpYGdWxWrjZ8DOmI0scgb","Elements","spotify:artist:05lF0DUkLJqiW5o70SScyR","Hybrid Minds","2017-06-23","https://i.scdn.co/image/ab67616d0000b273e892e5770f0eb0f05987c8a4","1","9","307257","","false","0","UKFJY1700009","spotify:user:paul.grayson.beohm","2020-06-17T13:16:08Z","drum and bass,liquid funk","0.396","0.769","8","-3.432","1","0.0365","0.00501","0.796","0.135","0.134","175.001","4","","Hybrid Music","C Hybrid Music, P Hybrid Music"
"spotify:track:7qQM7poU0j5KLhFVsoXTc4","If You're Here","spotify:artist:7M5ogsZnEm96Va8wLKvftN, spotify:artist:58IPTmSnQeAs8DmgXsfKE9","LSB, Sophia Wardman","spotify:album:0VxaoSz2CU5H7j26Fhfahl","Hospital: We Are 18","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-01-27","https://i.scdn.co/image/ab67616d0000b27357af1765e066fb7d44ca58f6","1","22","401177","https://p.scdn.co/mp3-preview/b90769eedc2b2f2ca7fd27919dab805b34287787?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","GBCJY1300255","spotify:user:paul.grayson.beohm","2020-06-17T13:16:39Z","drum and bass,jazzy dnb,liquid funk","0.479","0.945","11","-2.117","1","0.0452","0.000966","0.787","0.111","0.259","174.004","4","","Hospital Records","C 2014 Hospital Records Limited, P 2014 Hospital Records Limited"
"spotify:track:4F3qG1YENXem28dtWfcvkE","Milestone","spotify:artist:4dS6XMUu4xeN5rLmWIqbYa","The Vanguard Project","spotify:album:5pEfTZuB9oqNM3pc919hx6","The Vanguard Project, Vol. 3","spotify:artist:4dS6XMUu4xeN5rLmWIqbYa","The Vanguard Project","2016-11-18","https://i.scdn.co/image/ab67616d0000b273ff5fd0357829d4d3aad0372b","1","2","356860","https://p.scdn.co/mp3-preview/75f22b28871e0640d889b64ef6f9de14c87d281f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","GBRF51600066","spotify:user:paul.grayson.beohm","2020-06-17T13:16:39Z","liquid funk,uk dnb","0.563","0.918","9","-3.401","0","0.0407","0.000889","0.0855","0.134","0.123","173.999","4","","Spearhead Records","C 2016 Spearhead Records, P 2016 Spearhead Records"
"spotify:track:0XwF8LK98fQWSTZ7viYKlp","You Got Me","spotify:artist:6SZvMOzWVSx6cWYGRrZh6d, spotify:artist:7vgZqCNS2Nah7tlpo7ZjC4","Monrroe, Alexa Harley","spotify:album:7ItNDyIfEDpZjuI9ZCibe7","You Got Me","spotify:artist:6SZvMOzWVSx6cWYGRrZh6d, spotify:artist:7vgZqCNS2Nah7tlpo7ZjC4","Monrroe, Alexa Harley","2019-01-18","https://i.scdn.co/image/ab67616d0000b273fd72701a903cc5b825f0bc51","1","1","231500","https://p.scdn.co/mp3-preview/4753f1d15106ede2a3da4d25f80718d2f391524a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBPWR1600708","spotify:user:paul.grayson.beohm","2020-06-17T13:16:39Z","liquid funk,uk dnb","0.606","0.806","1","-5.289","0","0.0591","0.00572","0.186","0.301","0.057","174.037","4","","Shogun Audio","C 2019 Shogun Audio, P 2019 Shogun Audio"
"spotify:track:6w7xgYBdjBttd6sw6IZHIc","Weightless","spotify:artist:1LhB1j0Zq3tjBeG3k8gq7V, spotify:artist:601g3yFaEu1D7gjvuk9TbH","Technimatic, Lucy Kitchen","spotify:album:3wCDqJ4PsMfOpyr2fTtk85","Through the Hours","spotify:artist:1LhB1j0Zq3tjBeG3k8gq7V","Technimatic","2019-04-12","https://i.scdn.co/image/ab67616d0000b2735b34d8da248c4d29132bb996","1","12","297931","https://p.scdn.co/mp3-preview/a2ae447bb0355b733916712873c5871f39aecdbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBPWR1900021","spotify:user:paul.grayson.beohm","2020-06-17T13:16:39Z","dancefloor dnb,drum and bass,liquid funk,southampton indie","0.433","0.918","2","-4.45","1","0.043","0.000224","0.247","0.228","0.134","173.899","4","","Shogun Audio","C 2019 Shogun Audio, P 2019 Shogun Audio"
"spotify:track:2CGrOaD48icV7nAIJ6iHw3","Driftwood","spotify:artist:5pL8Q5xbDLEDE6JvYMXX9u, spotify:artist:6SLFgb1SlDvGfX0WAZSHDc","Nu:Logic, Ed Thomas","spotify:album:6VOdVuOMfuKSyv0FE8K03R","Driftwood","spotify:artist:5pL8Q5xbDLEDE6JvYMXX9u","Nu:Logic","2017-06-23","https://i.scdn.co/image/ab67616d0000b2731988c3472cb50522f1c8f25a","1","1","281252","https://p.scdn.co/mp3-preview/dff89828f597744d77ec996e2ed9d82a4ff9ef6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","GBCJY1700082","spotify:user:paul.grayson.beohm","2020-06-17T13:17:15Z","drum and bass,liquid funk,uk dnb","0.53","0.77","5","-6.885","1","0.0384","0.0019","0.0723","0.0942","0.11","174.01","4","","Hospital Records","C 2017 Hospital Records Limited, P 2017 Hospital Records Limited"
