"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/8ecd2e3646697c859c14bd0c2adbc291fab3ded2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM10702135","spotify:user:","2022-12-09T05:00:00Z","alternative dance,indietronica,modern rock,rock","0.451","0.931","9","-3.871","1","0.0719","0.00076","0.0049","0.361","0.172","122.961","4","","Red Ink/Columbia","P (P) 2007 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:5xYC48nOppVemY6U5GRGTb","Memories (feat. Kid Cudi)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","David Guetta, Kid Cudi","spotify:album:5DJc5qCdB5pPrDO97LXjeW","One More Love","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2010-11-22","https://i.scdn.co/image/ab67616d0000b273f45c50e7cff5f2376c1e36ea","1","4","210853","https://p.scdn.co/mp3-preview/5aea9eb6f4fcb46413c04f1b4709d5f807aaf993?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","FRZID0900480","spotify:user:","2022-12-09T05:00:00Z","big room,dance pop,edm,pop,pop dance,hip hop,ohio hip hop,rap","0.546","0.916","8","-3.932","1","0.255","0.00144","0.00000434","0.251","0.375","129.983","4","","Parlophone (France)","C © 2010 Gum Prod licence exclusive Parlophone Music France, P ℗ 2010 Gum Prod licence exclusive Parlophone Music France"
"spotify:track:6OufwUcCqo81guU2jAlDVP","Love Tonight - Edit","spotify:artist:2TcGJdSOiOvITBzhvfX8XB","Shouse","spotify:album:5KXv2MHeoLSqZ96jRuFF9H","Love Tonight","spotify:artist:2TcGJdSOiOvITBzhvfX8XB","Shouse","2017-12-14","https://i.scdn.co/image/ab67616d0000b27381376e47003d45f6513b5657","1","2","241970","https://p.scdn.co/mp3-preview/c55031c1eecbfa40204e10f160c646236c87808a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USQY51798087","spotify:user:","2022-12-09T05:00:00Z","aussietronica,edm,pop dance,tropical house","0.727","0.681","5","-7.114","0","0.0265","0.00214","0.000307","0.0861","0.448","123.028","4","","Hell Beach","C © 2017 Hell Beach, P ℗ 2017 Hell Beach"
"spotify:track:5r5cp9IpziiIsR6b93vcnQ","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:5B6XfyHHYawyLkEvNvhSPh","Walking On A Dream (10th Anniversary Edition)","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2008-10-03","https://i.scdn.co/image/ab67616d0000b273f3aa0e6ca22a382007f61e4d","1","2","198440","https://p.scdn.co/mp3-preview/edc56029c09193c9c72d3f1450ebcf9fcaf2f434?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AUEI10800039","spotify:user:","2022-12-09T05:00:00Z","alternative dance,australian dance,australian electropop,dance rock,electropop,indietronica,neo-synthpop","0.871","0.701","5","-5.594","0","0.0458","0.257","0.00000752","0.0589","0.716","126.975","4","","EMI Recorded Music Australia Pty Ltd","C © 2008 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd, P An EMI Recorded Music Australia Production; ℗ 2019 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd"
"spotify:track:51pshtuYkgUQnt5huMPbKL","The Spins","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0WzOtZBpXvWdNdH7hCJ4qo","K.I.D.S.","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2010-08-13","https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d","1","6","195873","https://p.scdn.co/mp3-preview/bf03ddff4fe0da5164998c42f2d4a7b0f7bc1497?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USA2P2015959","spotify:user:","2022-12-09T05:00:00Z","hip hop,pittsburgh rap,rap","0.794","0.766","9","-3.894","0","0.0377","0.0135","0","0.0785","0.55","127.007","4","","Rostrum Records","C © 2010 Rostrum Records, P ℗ 2010 Rostrum Records"
"spotify:track:2Foc5Q5nqNiosCNqttzHof","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:3yDIp0kaq9EFKe07X1X2rz","Daft Punk, Pharrell Williams, Nile Rodgers","spotify:album:2ePFIvZKMe8zefATp9ofFA","Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-04-19","https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f","1","1","248413","https://p.scdn.co/mp3-preview/a13551566573594eb4d12c396775b3fb0fca6e66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USQX91300809","spotify:user:","2022-12-09T05:00:00Z","electro,filter house,hip hop,pop,pop rap,disco","0.794","0.811","6","-8.966","0","0.038","0.0426","0.00000107","0.101","0.862","116.047","4","","Columbia","P (P) 2013 Daft Life Limited under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2PpruBYCo4H7WOBJ7Q2EwM","Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:1UsmQ3bpJTyK6ygoOOjG1r","Speakerboxxx/The Love Below","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367","2","9","235213","https://p.scdn.co/mp3-preview/3196afed0e89dcef43923ede55e0587d5542c9ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USAR10300924","spotify:user:","2022-12-09T05:00:00Z","atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop","0.727","0.974","4","-2.261","0","0.0664","0.103","0.000532","0.174","0.965","79.526","4","","Arista","P (P) 2003 Arista Records LLC"
"spotify:track:7uGpUhy4uf2UrHH7TyhM6C","Happy Music","spotify:artist:2hk94pAZS1iYSqoICeTyh1","Supershy","spotify:album:3UgxrgP8q9U0Zjz4t7PPGR","Happy Music / Something on My Mind","spotify:artist:2hk94pAZS1iYSqoICeTyh1","Supershy","2022-04-08","https://i.scdn.co/image/ab67616d0000b273c6b468710565cc1995308af0","1","1","232625","https://p.scdn.co/mp3-preview/3ac2cfd586d25d47158bcaf2e2d387ad72312731?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBKPL2288284","spotify:user:","2022-12-09T05:00:00Z","indie soul","0.777","0.737","11","-5.86","0","0.0351","0.0421","0.379","0.0265","0.891","123.993","4","","Beyond The Groove","C (C) 2022 Beyond The Groove, under exclusive license to AWAL Recordings Ltd, P (P) 2022 Beyond The Groove, under exclusive license to AWAL Recordings Ltd"
"spotify:track:1vMGIZbIkpaLSagdF2ygcV","Music Sounds Better with You","spotify:artist:587PA35pRGL1JwQr6idJbb","NEIL FRANCES","spotify:album:3HRJBkat1hIUQJ7f8maIDK","Music Sounds Better with You","spotify:artist:587PA35pRGL1JwQr6idJbb","NEIL FRANCES","2017-07-21","https://i.scdn.co/image/ab67616d0000b273c74c0ab7a788dd1521fe2c62","1","1","198305","https://p.scdn.co/mp3-preview/b673793410a316fa236497f24d9ca59dd881be12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","US3DF1718741","spotify:user:","2022-12-09T05:00:00Z","indie soul","0.927","0.525","8","-8.256","0","0.0667","0.274","0.238","0.0672","0.778","118.023","4","","Nettwerk Music Group","C 2017 NEIL FRANCES under exclusive license to Nettwerk Music Group Inc., P 2017 NEIL FRANCES under exclusive license to Nettwerk Music Group Inc."
"spotify:track:2xXPVOKw75Ouju8Qu4SdIA","I Don't Wanna Talk (I Just Wanna Dance)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:4nr6ytQ4OrEralEu4LhIVp","Dreamland (+ Bonus Levels)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2021-09-09","https://i.scdn.co/image/ab67616d0000b27320154c1edea81bf39988e1a9","1","17","195190","https://p.scdn.co/mp3-preview/80c4af3922ac781258f5313255c5a11c05c96df5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","GBUM72105458","spotify:user:","2022-12-09T05:00:00Z","gauze pop,indietronica,shiver pop","0.703","0.624","7","-6.228","1","0.0364","0.0156","0.0000553","0.299","0.808","131.966","4","","Polydor Records","C © 2021 Wolf Tone Records, a division of Universal Music Operations Limited, P ℗ 2021 Wolf Tone Records, a division of Universal Music Operations Limited"
