"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:07sxccsfOMu3ZiNG31pn4d","Insomnia - Radio Edit","spotify:artist:5T4UKHhr4HGIC0VzdZQtAE","Faithless","spotify:album:6ptnlw9K2gpKuocxaO8F2N","Headliners","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-06-15","https://i.scdn.co/image/ab67616d0000b273774e47c290923ec861329f12","2","6","215640","https://p.scdn.co/mp3-preview/8f00afc91dab37f407cf53b89f3cbe868bea5db5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBBXH9600001","spotify:user:","2022-06-10T12:01:48Z","big beat,downtempo,electronica,trip hop","0.714","0.938","8","-7.305","1","0.0369","0.0602","0.265","0.379","0.53","126.822","4","","Sony BMG Music UK","P This compilation (P) 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited"
"spotify:track:0EoGXXi91KSqAIY7SSgizW","Another Chance - Radio Edit","spotify:artist:1HT9k1ZSUL9IczSstOAgWJ","Roger Sanchez","spotify:album:7Mn4QEaFm9H2hVrfLdgocm","Another Chance","spotify:artist:1HT9k1ZSUL9IczSstOAgWJ","Roger Sanchez","2001-07-05","https://i.scdn.co/image/ab67616d0000b273825fae33f0ca8bb1c5a4109d","1","1","207360","https://p.scdn.co/mp3-preview/90daf12d782e81f96d72dbedcb34a9824d2fbf42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCPZ0100340","spotify:user:","2022-06-10T12:01:48Z","disco house,diva house,tribal house,vocal house","0.608","0.893","3","-6.968","1","0.0316","0.000506","0.0246","0.297","0.838","129.881","4","","Sine Direct Signings","P P) 2001 Sony Music Entertainment UK Limited"
"spotify:track:1YsZB1pLIXR0YgiOxUG9cv","On The Beach - Mauro Picotto's CRW Remix","spotify:artist:20L5MecnuNujUE6imrfK0Q, spotify:artist:0MNSDAOCHF7f2ZfAYxZ9bp, spotify:artist:14tToftzUXlFOnrR5ojQxu","York, Mauro Picotto, CRW","spotify:album:6VFOyyn3IVAWkeoJzBOCV9","On The Beach","spotify:artist:20L5MecnuNujUE6imrfK0Q","York","1999","https://i.scdn.co/image/ab67616d0000b27337116667619dd17b18faef72","1","4","197160","https://p.scdn.co/mp3-preview/4f30ca72f8a2be3721482f4ec665d757775f908d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","DEPN61100029","spotify:user:","2022-06-10T12:01:48Z","german techno,german trance,progressive house,trance,bubble trance,eurodance,hard house,italian trance,trance,bouncy house","0.652","0.936","1","-8.577","1","0.0293","0.0137","0.00887","0.0566","0.561","137.982","4","","Planet Love Classics","C 2011 Armada Music B.V. under exclusive license from Planet Love Records/Offshore Music, P 2011 Armada Music B.V. under exclusive license from Planet Love Records/Offshore Music"
"spotify:track:6Sy9BUbgFse0n0LPA5lwy5","Sandstorm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","spotify:album:0Xks5v0dve8Gh2tRHIekjo","Before the Storm, Special Edition","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d","1","4","225493","https://p.scdn.co/mp3-preview/29369068078c2a088aa3fed0917eb712c5a594c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","FISGC9900001","spotify:user:","2022-06-10T12:01:48Z","eurodance,europop,finnish edm,trance","0.528","0.965","11","-7.984","0","0.0465","0.141","0.985","0.0797","0.587","136.065","4","","16 Inch Records","C (C) 2008 16 Inch Records, P (P) 2000 16 Inch Records"
"spotify:track:3UPBOL5UtCZmJRwioMkfLD","Encore Une Fois - Future Breeze Edit","spotify:artist:5XTxV2ifoYkmNb13Gb6cKz, spotify:artist:2Qa4UBwzhEFt1Tpj95cZls","Sash!, Future Breeze","spotify:album:2YBkamwn6VqpPO2wOfDVjS","It's My Life","spotify:artist:5XTxV2ifoYkmNb13Gb6cKz","Sash!","1997-06-30","https://i.scdn.co/image/ab67616d0000b273481ecf6365d84be80cad59d7","1","13","221160","https://p.scdn.co/mp3-preview/8dcf08374542f132007635d1705bdbeb9555114a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DEF069615240","spotify:user:","2022-06-10T12:01:48Z","bubblegum dance,eurodance,europop,german techno,hip house,acid trance,bubble trance,dream trance,german techno,german trance","0.663","0.925","9","-6.775","1","0.0449","0.00683","0.703","0.185","0.843","132.687","4","","High Fashion Music","C 1997 High Fashion Music under excl license from Tokapi Recordings, P 1997 High Fashion Music under excl license from Tokapi Recordings"
"spotify:track:791WQUn8PePLamJVPgGKZC","Café Del Mar - Three 'n One Radio Edit","spotify:artist:0sElgscu7tp38PM1MtsUz7, spotify:artist:2IKWO17lkL7nUKTzd9opi0","Energy 52, Three 'N One","spotify:album:6ovkQXabRgialkTUgF3Jun","Café Del Mar: The Best of the Remixes","spotify:artist:0sElgscu7tp38PM1MtsUz7","Energy 52","2005-07-28","https://i.scdn.co/image/ab67616d0000b273afa7656c21c4d96d220d31fc","1","19","229600","https://p.scdn.co/mp3-preview/80e8722b2fbb0a8bae932f4da2894f700ffb5e35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","DEL020260008","spotify:user:","2022-06-10T12:01:48Z","bubble trance,german techno,trance,bubble trance,deep uplifting trance","0.594","0.962","5","-9.186","0","0.0678","0.0657","0.936","0.0418","0.298","133.021","4","","Grand Casino Records","C 2005 Grand Casino Records, P 2005 Grand Casino Records"
"spotify:track:5XVjNRubJUW0iPhhSWpLCj","Better Off Alone","spotify:artist:2tbvDi9eXf9XXp06LupkED","Alice Deejay","spotify:album:7wyEph8JrTyNFNPmRCu3pU","Who Needs Guitars Anyway?","spotify:artist:2tbvDi9eXf9XXp06LupkED","Alice Deejay","2000-10-01","https://i.scdn.co/image/ab67616d0000b2738d897b8994ce008298200408","1","2","214883","https://p.scdn.co/mp3-preview/76a1ba1c8845ddfa26ab6ffab75f74e7043c5d78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","NLC529811122","spotify:user:","2022-06-10T12:01:48Z","eurodance,europop","0.671","0.882","8","-6.149","0","0.0552","0.00181","0.667","0.285","0.787","136.955","4","","Universal Music, a division of Universal International Music BV","C © 2000 Violent Music B.V., licensed to Universal Music, a division of Universal International Music B.V., P Universal Music; ℗ 2000 Universal International Music B.V."
"spotify:track:6FP4peicCGnib7asns71fs","The Launch - Radio Edit","spotify:artist:73MDPnjHtoqOexpBNe4FPl","DJ Jean","spotify:album:2mf2kFapmGUkmAVWvjjzr0","The Launch","spotify:artist:73MDPnjHtoqOexpBNe4FPl","DJ Jean","1999-02-02","https://i.scdn.co/image/ab67616d0000b2738591410064d18374943c5eeb","1","1","220360","https://p.scdn.co/mp3-preview/a4568523ffcdd0b39b00ebf6a60f72c55f8bac35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NLB869900001","spotify:user:","2022-06-10T12:01:48Z","bouncy house,dutch trance","0.739","0.998","11","-5.669","0","0.137","0.0622","0.922","0.266","0.259","136.513","4","","High Fashion Music","C 1999 High Fashion Music, P 1999 High Fashion Music"
"spotify:track:2LGrLtvYEHrd3Nnot4Hxuw","Touch Me","spotify:artist:1kx78nQhmITF7OFvivyN4v","Rui Da Silva","spotify:album:7slnTp1JuFDHosCeCCGPrI","Produced & Remixed","spotify:artist:1kx78nQhmITF7OFvivyN4v","Rui Da Silva","2002-04-15","https://i.scdn.co/image/ab67616d0000b2739a04b34145f7083ab077c9bd","1","5","515173","https://p.scdn.co/mp3-preview/4ff96a12bd6894166650d2530f06b3cef3d32e89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBEBP0610005","spotify:user:","2022-06-10T12:01:48Z","disco house,vocal house","0.78","0.925","4","-6.715","0","0.046","0.0598","0.36","0.129","0.564","127.968","4","","Kismet Records Limited","C (C) 2002 Kismet Records"
"spotify:track:0FkLMOUTkSTPSAYkIXQ579","L'amour Toujours (Small Mix)","spotify:artist:1OAjDaKgg00KCUYqDe68un","Gigi D'Agostino","spotify:album:3dvjLo2u1kao2ikKIJa6KP","L'Amour Toujour","spotify:artist:1OAjDaKgg00KCUYqDe68un","Gigi D'Agostino","2014-05-30","https://i.scdn.co/image/ab67616d0000b273d84f459a905d4d06edff98d1","1","1","242053","https://p.scdn.co/mp3-preview/27654f872396f45d4e20eeb405c81a597965d31b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DEA310200623","spotify:user:","2022-06-10T12:01:48Z","eurodance,europop,italo dance","0.637","0.878","7","-4.449","1","0.0302","0.0775","0.0227","0.364","0.742","139.053","4","","ZYX","P 2014 ZYX Music GmbH & Co.KG"
