"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6LNoArVBBVZzUTUiAX2aKO","Off The Grid","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:5CnpZV3q5BcESefcB3WJmz","Donda","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-08-29","https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd","1","4","339249","https://p.scdn.co/mp3-preview/903bce5f8c5a49207942eafb57fbe6ccc02bd04b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USUM72116304","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-22T21:21:52Z","chicago rap,rap","0.546","0.64","8","-5.582","1","0.37","0.0438","0","0.137","0.63","137.728","4","","Rock The World/IDJ/Kanye LP7","C © 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam Recordings, A Division of UMG Recordings, Inc., P ℗ 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam Recordings, A Division of UMG Recordings, Inc."
"spotify:track:79s5XnCN4TJKTVMSmOx8Ep","Dior","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","spotify:album:6d1vGZsr6Uy3h9IigBpPAf","Meet The Woo","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","2019-07-26","https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5","1","6","216386","https://p.scdn.co/mp3-preview/c64d85430ac0e731e7e488d7bb882c221941184a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUM71914275","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-23T20:40:08Z","brooklyn drill","0.548","0.805","7","-5.732","1","0.351","0.212","0.000389","0.408","0.648","142.094","4","","Victor Victor Worldwide/Republic Records","C © 2019 Republic Records, a division of UMG Recordings, Inc. (Victor Victor), P Victor Victor Worldwide; ℗ 2019 Republic Records, a division of UMG Recordings, Inc. (Victor Victor)"
"spotify:track:6mSzsSdu0CWIV70jEjWMhI","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","spotify:album:6d8MlD2NJyzLtnRSprliO5","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","2021-06-03","https://i.scdn.co/image/ab67616d0000b273bf82b9861e8ccdeba944137e","1","1","174857","https://p.scdn.co/mp3-preview/5304b6a8d1b49cfa6808fca4987ae0e283e33f16?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","GBUM72102854","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-05-27T15:58:53Z","uk hip hop","0.725","0.807","11","-4.332","1","0.315","0.352","0","0.462","0.848","140.045","4","","Universal-Island Records Ltd.","C © 2021 ArrDee, under exclusive licence to Universal Music Operations Limited, P An Island Records release; ℗ 2021 ArrDee, under exclusive licence to Universal Music Operations Limited"
"spotify:track:5vGLcdRuSbUhD8ScwsGSdA","Whoopty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","spotify:album:5oBYG6dEI2Er6EeLnmonGE","Whoopty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","2020-08-20","https://i.scdn.co/image/ab67616d0000b2735038c2513329a3123b62923d","1","1","123262","https://p.scdn.co/mp3-preview/48933b2b851c4a8ad6e11c371f40e00002bdeea6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USA2P2031043","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:27:40Z","nyc rap","0.719","0.648","3","-7.6","0","0.125","0.2","0","0.127","0.66","140.201","4","","CJ Music Group/T-Series","C © 2020 CJ Music Group/T-Series, under exclusive license to Warner Records Inc., P ℗ 2020 CJ Music Group/T-Series, under exclusive license to Warner Records Inc."
"spotify:track:2jjsIpj4OG68TpojNlZcE6","Flowers (Say My Name)","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","spotify:album:2acy6L0ZXAGSHoW6TIVtyW","Pier Pressure","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","2022-03-18","https://i.scdn.co/image/ab67616d0000b27380e060e9c13d966d13607a01","1","4","158601","https://p.scdn.co/mp3-preview/03297806b7a8ce3b90ab1b46eb4f5c6511ef9c51?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","GBUM72107603","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-26T19:29:56Z","uk hip hop","0.723","0.713","2","-6.879","0","0.241","0.495","0","0.513","0.803","143.052","4","","Universal-Island Records Ltd.","C © 2022 ArrDee, under exclusive licence to Universal Music Operations Limited, P An Island Records release; ℗ 2022 ArrDee, under exclusive licence to Universal Music Operations Limited"
"spotify:track:7z5G2LOdV8okZn4yWg3q5g","Night Away (Dance) (feat. Tion Wayne)","spotify:artist:1WO1hFAkFbeo9tV3uVX7Dy, spotify:artist:7b79bQFziJFedJb75k6hFt","A1 x J1, Tion Wayne","spotify:album:6WQPgcOtZCoXGBZQOxDJQ0","Night Away (Dance) (feat. Tion Wayne)","spotify:artist:1WO1hFAkFbeo9tV3uVX7Dy, spotify:artist:7b79bQFziJFedJb75k6hFt","A1 x J1, Tion Wayne","2022-03-03","https://i.scdn.co/image/ab67616d0000b273aa556ac3fabe4cf28f6e622e","1","1","175774","https://p.scdn.co/mp3-preview/001c281b4ce4fd123f725726b559901e7d84c242?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","GBUM72200940","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T11:06:29Z","chill drill,melodic drill,london rap","0.706","0.552","5","-9.479","0","0.0833","0.235","0","0.144","0.835","142.037","4","","EMI","C © 2022 Universal Music Operations Limited, P An EMI release; ℗ 2022 Universal Music Operations Limited"
"spotify:track:2qbkYhZy5gNl8HrK2XwddI","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","spotify:artist:7b79bQFziJFedJb75k6hFt, spotify:artist:3FoFW2AoUGRHBacC6i4x4p, spotify:artist:7m0BsF0t3K9WQFgKoPejfk, spotify:artist:63ebc5zUpJ36aoTDQJHa9B, spotify:artist:2uIRmVaCVpHQjaVgph5clS, spotify:artist:4Dokdwa3WB7ilQ2c2qvIBL, spotify:artist:5AiY4bxeXerLXx03JADdQv, spotify:artist:14CHVeJGrR5xgUGQFV5BVM, spotify:artist:4QSTyDpxsKmv3UfavVUImR","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","spotify:album:4YWgs2cK2u6lrIzM9Ve2wc","Green With Envy","spotify:artist:7b79bQFziJFedJb75k6hFt","Tion Wayne","2021-09-17","https://i.scdn.co/image/ab67616d0000b27326fb3e777b7a962396173e93","1","11","278085","https://p.scdn.co/mp3-preview/43b5071cef2bc24639a77d196da05a16529023fe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","GBAHS2100229","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T11:12:46Z","london rap,melodic drill,uk drill,uk hip hop,uk drill,grime,manchester hip hop,uk hip hop,uk drill,brooklyn drill,new york drill,rap,trap,afroswing,london rap,uk hip hop","0.883","0.674","11","-8.043","0","0.357","0.21","0","0.0678","0.73","141.02","4","","Atlantic Records UK","C Under exclusive licence to Warner Music UK Limited, An Atlantic Records UK release, © 2021 GDS Records Limited, except track 15 ℗ 2021 Jonathan Mensah / Black Butter Limited, P Under exclusive licence to Warner Music UK Limited, An Atlantic Records UK release., ℗ 2021 GDS Records Limited, except track 15 ℗ 2021 Jonathan Mensah / Black Butter Limited"
"spotify:track:3LtpKP5abr2qqjunvjlX5i","Doja","spotify:artist:5H4yInM5zmHqpKIoMNAx4r","Central Cee","spotify:album:6oECjagksATHu2UaclXrq1","Doja","spotify:artist:5H4yInM5zmHqpKIoMNAx4r","Central Cee","2022-07-21","https://i.scdn.co/image/ab67616d0000b2733c7d945b6baf935e8a0ebdaa","1","1","97392","https://p.scdn.co/mp3-preview/60ab803cd53b123a5c8968dfe6f63a7c2a979fa0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","ZZOPM2237319","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-28T22:42:54Z","melodic drill","0.911","0.573","6","-7.43","1","0.288","0.38","0","0.403","0.972","140.04","4","","Central Cee","C © 2022 Central Cee, P ℗ 2022 Central Cee"
"spotify:track:1t9WgS8FN0534tLBRwbaxO","Whoopty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","spotify:album:0kHRftVXaiRHgQdtviml0G","Loyalty Over Royalty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","2021-02-19","https://i.scdn.co/image/ab67616d0000b273cf9f1a140f453983a6e3a229","1","4","123262","https://p.scdn.co/mp3-preview/7f6be7376bbbc4279e56058325c63a19d2424845?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USA2P2031043","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-28T22:44:30Z","nyc rap","0.719","0.648","3","-7.6","0","0.125","0.2","0","0.127","0.66","140.201","4","","Warner Records","C © 2021 Warner Records Inc., P ℗ 2021 Warner Records Inc."
"spotify:track:6ROFzwu3tbB6mxpW9Gt1YU","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","spotify:album:2acy6L0ZXAGSHoW6TIVtyW","Pier Pressure","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","2022-03-18","https://i.scdn.co/image/ab67616d0000b27380e060e9c13d966d13607a01","1","3","174857","https://p.scdn.co/mp3-preview/5304b6a8d1b49cfa6808fca4987ae0e283e33f16?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","GBUM72102854","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-28T22:46:28Z","uk hip hop","0.725","0.807","11","-4.332","1","0.315","0.352","0","0.462","0.848","140.045","4","","Universal-Island Records Ltd.","C © 2022 ArrDee, under exclusive licence to Universal Music Operations Limited, P An Island Records release; ℗ 2022 ArrDee, under exclusive licence to Universal Music Operations Limited"
