"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:27Z3UdqvdAhtJlWBMoDjBD","TDB","spotify:artist:66Ok6bgC570sHkw08N20pZ","OBOY","spotify:album:0kdOCmgb1ZikkxZvVmiED3","TDB","spotify:artist:66Ok6bgC570sHkw08N20pZ","OBOY","2021-07-02","https://i.scdn.co/image/ab67616d0000b2735cbb5fba22a92557b60f8e22","1","1","154280","https://p.scdn.co/mp3-preview/48672b82fbe14d54f23b0956d5d752867f95910d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","FR9OD2100020","spotify:user:benoit.cumins","2021-09-13T19:27:52Z","french hip hop,pop urbaine,rap francais","0.882","0.675","3","-6.004","1","0.141","0.0474","0.000598","0.124","0.758","140.092","4","","SYNDICATE RECORDS","C 2021 SYNDICATE RECORDS, P 2021 STUDIO VOVA SOUS LICENCE EXCLUSIVE SYNDICATE RECORDS"
"spotify:track:4IbDTrLxImTJfZePAX2nKB","Daddy chocolat","spotify:artist:1q7T9rFQ2a2ukA1PU51fo3, spotify:artist:5gqmbbfjcikQBzPB5Hv13I","Koba LaD, Gazo","spotify:album:3wro1GpN4PVPZIeg7ykUFk","Cartel : volume 1","spotify:artist:1q7T9rFQ2a2ukA1PU51fo3","Koba LaD","2021-06-17","https://i.scdn.co/image/ab67616d0000b273dac67e9984128b3262cf643b","1","6","191984","https://p.scdn.co/mp3-preview/1bcc76961df627cc82bb68a15fa64045a7efdb05?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","FRUM72100976","spotify:user:benoit.cumins","2021-09-13T19:28:01Z","francoton,french hip hop,pop urbaine,rap francais,drill francais,rap francais","0.721","0.523","7","-8.399","1","0.147","0.0693","0","0.281","0.757","141.034","4","","Grinta Records, en coproduction avec Millenium, un label Universal Music France","C © 2021 Grinta Records / Millenium (Capitol Music France), P ℗ 2021 Grinta Records / Millenium (Capitol Music France)"
"spotify:track:5TyBXMmVCtAxpOMTCILl8C","À la fête","spotify:artist:5U05AU34EcZ8pfohg2dicI","UZI","spotify:album:2ih0Mb78av8rvhvPdfeIid","Coeur abîmé","spotify:artist:5U05AU34EcZ8pfohg2dicI","UZI","2021-02-18","https://i.scdn.co/image/ab67616d0000b273680a2136cc43743a90585c23","1","4","205240","https://p.scdn.co/mp3-preview/9f4f4ca1d0bf686260ca2ee8849fde6f05b3b99f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","FR9W12016156","spotify:user:benoit.cumins","2021-11-14T18:02:55Z","french hip hop,pop urbaine,rap francais","0.884","0.656","11","-6.707","0","0.169","0.334","0","0.135","0.431","100.381","3","","Universal Music Distribution Deal","C © 2021 SportBack Records, P ℗ 2021 SportBack Records"
"spotify:track:03y045SZqaC94yfXl1cU4E","Petrouchka (feat. PLK)","spotify:artist:0oeiA5U9u1U45Gos5cywUU, spotify:artist:3DCWeG2J1fZeu0Oe6i5Q6m","Soso Maness, PLK","spotify:album:5TE2SiYrwOUejoaU26rcs8","Avec le temps","spotify:artist:0oeiA5U9u1U45Gos5cywUU","Soso Maness","2021-06-04","https://i.scdn.co/image/ab67616d0000b273af73615ee6257956d799ed79","1","5","189933","https://p.scdn.co/mp3-preview/71d9e31f37e4f3f685a22dd316703b2958ae32e6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","FR9W12041647","spotify:user:benoit.cumins","2021-09-13T19:28:05Z","french hip hop,pop urbaine,rap francais,rap marseille,french hip hop,pop urbaine,rap conscient","0.624","0.802","6","-4.818","1","0.311","0.0597","0","0.252","0.818","133.888","4","","RCA Group","P (P) 2021 Maness Production under exclusive licence to Sony Music Entertainment France SAS"
"spotify:track:6clS1syQupVHhhZ10bItvr","Flammes","spotify:artist:4mtxquRJLykPnIBiLz4BF9","Tyler Oni","spotify:album:0YOh9tTXni1L1dx8ebDXsc","Flammes","spotify:artist:4mtxquRJLykPnIBiLz4BF9","Tyler Oni","2021-08-06","https://i.scdn.co/image/ab67616d0000b2730034debb6ba404db68a14d60","1","1","152000","https://p.scdn.co/mp3-preview/9e6b588f501ae81d7624bdd851d734b4b506c9ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","QZK6J2127397","spotify:user:benoit.cumins","2021-09-13T19:28:14Z","","0.776","0.455","8","-10.616","0","0.0591","0.568","0.0000554","0.111","0.0973","128.025","4","","ONI","C 2021 ONI, P 2021 ONI"
"spotify:track:62nJqZs3Qs7DGUto35dVUv","Afro Trap Part. 11 (King Kong)","spotify:artist:4WnAHZz1pgl8hus8hidIRV","MHD","spotify:album:2ztIejOSOlhj6tbkwgaSsc","Afro Trap Part. 11 (King Kong)","spotify:artist:4WnAHZz1pgl8hus8hidIRV","MHD","2021-05-27","https://i.scdn.co/image/ab67616d0000b273932918beeb98362b099ad866","1","1","154253","https://p.scdn.co/mp3-preview/eec567c294d26db107e12e98ed78f57c2b0b8e85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","FR3IV2100010","spotify:user:benoit.cumins","2021-09-13T19:28:25Z","francoton,french hip hop,pop urbaine","0.92","0.864","7","-3.783","1","0.287","0.0616","0","0.0944","0.666","123.986","4","","Artside","C © 2021 Artside, P ℗ 2021 Artside"
"spotify:track:14M6BbiHt2w9KHVvoIUIUF","Pic et pic, alcool et drame","spotify:artist:3IW7ScrzXmPvZhB27hmfgy","Jul","spotify:album:2NmDWH25YnnR7IkwRpT1KF","Demain ça ira","spotify:artist:3IW7ScrzXmPvZhB27hmfgy","Jul","2021-06-25","https://i.scdn.co/image/ab67616d0000b2739879c5ad3be7b14dbc0d8fea","1","5","196733","https://p.scdn.co/mp3-preview/9c05de3c4b74d1346455d68ff29186cb8482b5c3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","FR96X2189521","spotify:user:benoit.cumins","2021-09-13T19:28:39Z","francoton,rap marseille","0.898","0.738","7","-3.521","0","0.0509","0.397","0","0.0786","0.604","128.048","4","","D'Or et de Platine","C 2021 D'Or et de Platine / Believe, P 2021 D'Or et de Platine / Believe"
"spotify:track:1bwhDrXcAtqePp8mNJ0pTe","La kiffance","spotify:artist:6W5uA6CNMf3hd2j4a2XWCx","Naps","spotify:album:3mLAiqAlaOd5KaVOLJLtYM","Les mains faites pour l'or","spotify:artist:6W5uA6CNMf3hd2j4a2XWCx","Naps","2021-04-02","https://i.scdn.co/image/ab67616d0000b2731e19cc548fdc2c55d068d713","1","3","179426","https://p.scdn.co/mp3-preview/64f0503fbdc3a2c0939d9c5b418a3d116cbe4e52?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","FR10S2128331","spotify:user:benoit.cumins","2021-09-13T19:28:46Z","francoton,french hip hop,pop urbaine,rap marseille","0.805","0.637","6","-6.515","1","0.0869","0.228","0","0.071","0.678","140.045","4","","OK Many Industrie et 13ème art Music","C 2020 OK Many Industrie et 13ème art Music, P 2020 OK Many Industrie et 13ème art Music"
"spotify:track:77uU79T6qIju7EMChcp7mR","Paperman","spotify:artist:1pEt1OXsQQu9fywVAIijps, spotify:artist:6fxE2kUv4pVSBEVt09cfs4","Vin-G & Fresh, Tonk’art","spotify:album:2Lhg5fC0yWxmXrgCyPn3LO","Paperman","spotify:artist:1pEt1OXsQQu9fywVAIijps","Vin-G & Fresh","2021-07-23","https://i.scdn.co/image/ab67616d0000b273b9da5f4ca2a13218d0a018bd","1","1","151008","https://p.scdn.co/mp3-preview/7892c8533fce94d5fad3fdb4f0c2fd4aeeb82c5e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","17","TCAFR2140572","spotify:user:benoit.cumins","2021-09-13T19:28:53Z","rap calme","0.822","0.493","0","-8.944","1","0.0426","0.69","0","0.0766","0.924","118.918","4","","Vin-G & Fresh","C 2021 Vin-G & Fresh, P 2021 Vin-G & Fresh"
"spotify:track:6Vcxzw4ifKqYxVrp3ckpVF","HAINE&SEX","spotify:artist:5gqmbbfjcikQBzPB5Hv13I","Gazo","spotify:album:31H0KWvM2hCC3p8jkctCWN","DRILL FR","spotify:artist:5gqmbbfjcikQBzPB5Hv13I","Gazo","2021-02-26","https://i.scdn.co/image/ab67616d0000b273ce69e24aeddaa03334f7fa5e","1","10","201426","https://p.scdn.co/mp3-preview/8a3e2054569fe22aa1a4a1b74c7d46dde9914220?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","FR9W12101935","spotify:user:benoit.cumins","2021-09-13T19:29:10Z","drill francais,rap francais","0.774","0.583","0","-8.649","1","0.169","0.422","0.0000155","0.145","0.323","148.018","4","","BSB PROD","P (P) 2021 BSB Productions distributed by Epic Records France - a division of Sony Music Entertainment France SAS"
