"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7p4vHnYXkxlzvfePJVpcTr","Feels Like Summer","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:15k99o4mZJ9mfpQGIOrZ45","Summer Pack","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2018-07-11","https://i.scdn.co/image/ab67616d0000b273602ca5b83fe44b68074a74b2","1","2","297404","https://p.scdn.co/mp3-preview/563398cf3e4623a1aee3d89f4a66d50d3b75169b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRC11802773","spotify:user:12345addy12345","2020-12-28T15:44:41Z","atl hip hop,hip hop,pop,rap","0.55","0.596","7","-8.214","1","0.134","0.162","0.00481","0.0805","0.253","165.736","4","","Wolf+Rothstein/RCA Records","P (P) 2018 mcDJ Recording, under license to RCA Records, a division of Sony Music Entertainment"
"spotify:track:2X485T9Z5Ly0xyaghN73ed","Let It Happen","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","1","467586","https://p.scdn.co/mp3-preview/331cabfc6cb4fa8106a7e9f5aa6ea75a8fb446d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","AUUM71500292","spotify:user:12345addy12345","2020-12-28T15:44:58Z","australian psych,neo-psychedelic","0.602","0.881","1","-5.875","0","0.0443","0.00462","0.0266","0.111","0.577","125.012","4","","Universal Music Australia Pty. Ltd.","C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
"spotify:track:5M4yti0QxgqJieUYaEXcpw","Eventually","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","5","318591","https://p.scdn.co/mp3-preview/86f8090a50f6b20c0561d748349d35d756dd9279?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AUUM71500296","spotify:user:12345addy12345","2020-12-28T15:45:05Z","australian psych,neo-psychedelic","0.424","0.615","9","-6.217","0","0.0325","0.0158","0.000389","0.0844","0.155","77.935","4","","Universal Music Australia Pty. Ltd.","C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
"spotify:track:1UYj8qTWjneZJDVjUMwMub","The Moment","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","3","255413","https://p.scdn.co/mp3-preview/68628b46d46eabf0bd311943d15a1cf8ebc88f4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","AUUM71500304","spotify:user:12345addy12345","2020-12-28T15:45:10Z","australian psych,neo-psychedelic","0.547","0.827","7","-6.036","1","0.0468","0.000296","0.101","0.0858","0.451","119.089","4","","Universal Music Australia Pty. Ltd.","C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
"spotify:track:0xtIp0lgccN85GfGOekS5L","Yes I'm Changing","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","4","270680","https://p.scdn.co/mp3-preview/22497f063435c03bbdc26b4d03cb7b96d701ff47?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","AUUM71500295","spotify:user:12345addy12345","2020-12-28T15:45:15Z","australian psych,neo-psychedelic","0.373","0.609","0","-7","1","0.0316","0.108","0.000427","0.0755","0.354","179.955","4","","Universal Music Australia Pty. Ltd.","C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
"spotify:track:1BncfTJAWxrsxyT9culBrj","Experience","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj, spotify:artist:59r5UU2HOytn9V5uMZ5Vur, spotify:artist:1k1AM2ESRQseVAj6rvBdtx","Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani","spotify:album:3uJ6D2WOPdjwJ0SrsH9EiG","In A Time Lapse","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2013-01-01","https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5","1","12","315426","https://p.scdn.co/mp3-preview/027834b602fc1115f07c050c249f04ebcea9c09f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","ITB281200070","spotify:user:12345addy12345","2020-12-28T15:45:41Z","bow pop,compositional ambient,neo-classical,classical performance,violin,chamber orchestra,classical performance,string orchestra","0.447","0.449","2","-10.634","1","0.0376","0.934","0.961","0.0697","0.036","92.468","4","","Decca (UMO) (Classics)","C © 2013 Ludovico Einaudi, under exclusive licence to Decca, a division of Universal Music Operations Ltd, P ℗ 2013 Ludovico Einaudi, under exclusive licence to Decca, a division of Universal Music Operations Ltd"
"spotify:track:4EjbAh7YHU3VARkfkamZ8R","The Pale Moonlight","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2739bf7698a1737bc7c2e4a14f3","1","15","176293","https://p.scdn.co/mp3-preview/d53a2c9d0314a36e5360588f5a01e9be7161d871?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUM72023849","spotify:user:12345addy12345","2020-12-28T15:47:17Z","hip hop,ohio hip hop,rap","0.576","0.807","7","-7.733","0","0.252","0.455","0.000066","0.209","0.612","160.009","4","","Republic Records","C © 2020 Republic Records, a division of UMG Recordings, Inc., P ℗ 2020 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:432hUIl3ISDeytYW5XBQ5h","Wolves","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","13","301586","https://p.scdn.co/mp3-preview/e9a6620f1a6ebecca3ce935d75ae9e030a6a7bce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM71603082","spotify:user:12345addy12345","2020-12-28T15:47:47Z","chicago rap,rap","0.395","0.392","1","-8.034","1","0.0925","0.219","0.00173","0.134","0.103","155.856","4","","Rock The World/IDJ/Kanye LP7","C © 2016 Getting Out Our Dreams II, LLC, Distributed By Def Jam, A Division of UMG Recordings, Inc.Good Music ™ and associated logo are trademarks of Mascotte Holdings, Inc. All rights reserved., P ℗ 2016 Getting Out Our Dreams II, LLC, Distributed By Def Jam, A Division of UMG Recordings, Inc.Good Music ™ and associated logo are trademarks of Mascotte Holdings, Inc. All rights reserved."
"spotify:track:1cCbsojaA6GIT7Y3zuMJ1q","Nangs","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","2","107533","https://p.scdn.co/mp3-preview/ba32f6dfa894deb8c571048c4c26b9bd72c7edb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","AUUM71500293","spotify:user:12345addy12345","2020-12-28T15:48:55Z","australian psych,neo-psychedelic","0.536","0.526","0","-9.754","1","0.181","0.159","0.847","0.128","0.434","167.608","4","","Universal Music Australia Pty. Ltd.","C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
"spotify:track:4kTLpAbhuEGHAAdDjOIWaa","Pursuit Of Happiness (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:57dN52uHvrHOxijzpIgu3E","Kid Cudi, MGMT, Ratatat","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","13","295293","https://p.scdn.co/mp3-preview/fb63bcdc82a5ab969d61f9bd0ffcc28518868302?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USUM70981907","spotify:user:12345addy12345","2020-12-28T15:51:31Z","hip hop,ohio hip hop,rap,alternative dance,indietronica,modern rock,rock,alternative dance,indietronica,new rave","0.627","0.589","0","-9.056","1","0.0405","0.497","0.0000705","0.324","0.247","115.284","4","","Kid Cudi/Universal Records","C © 2009 Universal Motown Records, a division of UMG Recordings, Inc., P ℗ 2009 Universal Motown Records, a division of UMG Recordings, Inc."
