"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3tMf4R0lz5CEOUfliQiitr","How Ya Like Me Now","spotify:artist:3qnMl4DHT4gndzFAcG4FlM, spotify:artist:3534yWWzmxx8NbKVoNolsK, spotify:artist:3mlE1ilnSHt92U8W3TQwqF","Kill The Noise, Wolfgang Gartner, Ericka Guitron","spotify:album:10jY7uLOtgbUtCmDrY6LJA","How Ya Like Me Now","spotify:artist:3qnMl4DHT4gndzFAcG4FlM, spotify:artist:3534yWWzmxx8NbKVoNolsK, spotify:artist:3mlE1ilnSHt92U8W3TQwqF","Kill The Noise, Wolfgang Gartner, Ericka Guitron","2022-01-28","https://i.scdn.co/image/ab67616d0000b273fb90631cf1c566712db06c2d","1","1","160297","","false","0","GBEWA2200170","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T06:43:05Z","brostep,dubstep,edm,electro house,electronic trap,fidget house,melodic dubstep,complextro,edm,electro house,house","0.555","0.796","3","-4.919","0","0.207","0.0189","0.0282","0.07","0.341","128.302","4","","Ophelia","C 2022 Ophelia, P 2022 Ophelia"
"spotify:track:6lbhkPbkKj6jnPTt1FelVo","Bullet Train (feat. Joni Fatora)","spotify:artist:2RMgYVDRYOGHlqqcushWNU","Stephen Swartz","spotify:album:1Yd1ARdvNdMUo6KnuN6q6w","Bullet Train (feat. Joni Fatora)","spotify:artist:2RMgYVDRYOGHlqqcushWNU","Stephen Swartz","2012-06-24","https://i.scdn.co/image/ab67616d0000b27349efc02176dcb6022cec4b19","1","1","245538","https://p.scdn.co/mp3-preview/0952214107d5d2e3fb144e46d33ef671bcc8a055?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","TCABH1234757","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T19:48:17Z","","0.546","0.703","8","-3.139","0","0.123","0.00797","0.000327","0.175","0.196","129.868","4","","Stephen Swartz","C 2012 Stephen Swartz, P 2012 Stephen Swartz"
"spotify:track:2C1GQU1e28rO5M9uK8kirz","Monty Zoomers","spotify:artist:4YTBo7qadslqj8V8FMRuqK","Whiney","spotify:album:6Bd0YjrFuAZzCYabCDaIOB","Teddy's Gate","spotify:artist:4YTBo7qadslqj8V8FMRuqK","Whiney","2016-08-15","https://i.scdn.co/image/ab67616d0000b273946e698455f127af93b5f686","1","2","272914","","false","0","USAT21602394","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T21:18:02Z","drum and bass,liquid funk,uk dnb","0.517","0.911","8","-3.345","0","0.0371","0.000835","0.871","0.093","0.152","87.523","4","","OWSLA/NEST","C © 2016 NEST, P ℗ 2016 NEST"
"spotify:track:1iDbUIQcRyUpl1K1WPZOVW","Go Like - D&B Remix","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:5VokA0mycgNe0K8GztiodD","Go Like (D&B Mix)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2019-04-26","https://i.scdn.co/image/ab67616d0000b2731c1f66a42c3ebe2453fe7abc","1","1","202325","https://p.scdn.co/mp3-preview/42cd392d59bfa160ce5f528e2bd66d5c8c1a6fde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZ8GX1700525","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T21:30:10Z","dancefloor dnb,edm,electro house","0.631","0.873","8","-2.487","1","0.0958","0.00342","0.000183","0.463","0.543","86.063","4","","AntiFragile Music","C 2019 AntiFragile Music, P 2019 AntiFragile Music"
"spotify:track:00PneQySsHs8OXbz1clfk3","Rum & Lime","spotify:artist:52Y4swJkhv5A4n80DQRmnM, spotify:artist:25UCJWhCAOcXmm7i4hLyNP, spotify:artist:1Jv2F8VFJsSr2XKte0vpbQ","DJ Gaw, Selecta J-Man, A Little Sound","spotify:album:0seWeGfFiXzbBVAhKGqv2T","Rum & Lime","spotify:artist:52Y4swJkhv5A4n80DQRmnM, spotify:artist:25UCJWhCAOcXmm7i4hLyNP, spotify:artist:1Jv2F8VFJsSr2XKte0vpbQ","DJ Gaw, Selecta J-Man, A Little Sound","2020-08-17","https://i.scdn.co/image/ab67616d0000b273fd0414959a34520740efe8be","1","1","318171","","false","1","GB8KE2053013","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T21:33:07Z","uk dnb,ragga jungle","0.832","0.818","4","-1.641","1","0.12","0.0189","0.207","0.0927","0.536","87.523","4","","Born On Road","C 2020 Born On Road, P 2020 Born On Road"
"spotify:track:2xkrujtSjZz7EKAYGbIIzH","Blah Blah Blah","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","Armin van Buuren","spotify:album:1oqv6oabMXbNpgZ6gmjAIN","Blah Blah Blah","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","Armin van Buuren","2018-05-18","https://i.scdn.co/image/ab67616d0000b273dfdf210243811401b2e947bd","1","1","183518","https://p.scdn.co/mp3-preview/4149bd30a4a078a99fbc962879692eb65d358be2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","NLF711805914","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T14:43:47Z","dutch trance,edm,pop dance,progressive house,trance","0.612","0.963","5","-3.912","0","0.0531","0.00897","0.00378","0.294","0.179","138.009","4","","Armada Music","C 2018 Armada Music B.V., P 2018 Armin Audio B.V. under exclusive license to Armada Music B.V."
"spotify:track:4nrcPumLm5ozA8qOEHcVm2","Want You","spotify:artist:1KiNUGL3r0GgyLwqYCY1yV","Kanine","spotify:album:099tQXLTaW2A2pdLqX1dbL","Want You","spotify:artist:1KiNUGL3r0GgyLwqYCY1yV","Kanine","2018-10-12","https://i.scdn.co/image/ab67616d0000b2734719d135efa3d7567c0d7faa","1","1","247210","https://p.scdn.co/mp3-preview/25ab209746081b0d31997cd4e65cc9b68805723b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FR96X1823600","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-19T11:30:11Z","bass house,drum and bass","0.55","0.984","10","-1.11","0","0.0932","0.00103","0.103","0.105","0.0583","174.976","4","","Crucast","C 2018 Crucast, P 2018 Crucast"
"spotify:track:3Nlq1iM31vOPARfaS43CUc","In For The Kill - Skream's Let's Get Ravey Remix","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:2jbP92oFLWqPqogflK1wlW","La Roux, Skream","spotify:album:3Q0X4Lbg7AiAF00AzRrqDW","In For The Kill","spotify:artist:3K2zB87GZv1krx031en5VA","La Roux","2009-01-01","https://i.scdn.co/image/ab67616d0000b2731799afb614b919720865d239","1","2","304360","https://p.scdn.co/mp3-preview/692426454d6500eb6e5ecb6941875791de9b037f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBUM70901306","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T11:02:10Z","alternative dance,dance pop,electropop,neo-synthpop,classic dubstep,uk bass","0.385","0.595","6","-5.447","0","0.0462","0.0033","0.355","0.0611","0.083","145.587","4","","Polydor Records","C © 2009 Polydor Ltd. (UK), P ℗ 2009 Polydor Ltd. (UK)"
"spotify:track:7GpgT7sHaTg9nHUM8g888k","Light Up the Sky","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:6DAq2tDWMqPP7MTdb3aIDi","No Tourists","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2018-11-02","https://i.scdn.co/image/ab67616d0000b2737c13addc6b19119c18fff960","1","2","199715","https://p.scdn.co/mp3-preview/174d0c877c8062a5273960effdb1200e82ad3d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GB5KW1802031","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T15:16:39Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.198","0.951","1","-5.786","1","0.122","0.00168","0.783","0.312","0.326","159.872","5","","BMG Rights Management (UK) Ltd","C © 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited, P ℗ 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited"
"spotify:track:0kYMwaQWABTkFff8AZjmYI","Hayloft II","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","spotify:album:03EqExvZuxLK86huLxGIa2","Inside (Deluxe)","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","2022-01-28","https://i.scdn.co/image/ab67616d0000b273ac91ecc149d3fb876f117a84","1","16","215040","https://p.scdn.co/mp3-preview/56f2170efa250fd1e1b4dac24f0cb6055e14d10a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","CAW112100716","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-26T23:12:13Z","indie pop,vancouver indie","0.326","0.866","9","-4.541","0","0.101","0.0044","0.00000737","0.0912","0.172","178.181","4","","WM Canada","C © 2022 Mother Mother Music Inc., P under exclusive license from Warner Music Canada Co., ℗ 2022 Mother Mother Music Inc."
