"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0hPLh77jQo9DFNVP2YPKUD","Magic Man","spotify:artist:6vSMEdD0kY3g9AaqUGeMMv, spotify:artist:5GImm0oU5MkW7OHkb91jwu, spotify:artist:5fO3cjaQXn3DpDsxlJbmQJ","Balduin, Wolfgang Lohr, J Fitz","spotify:album:1ChLMfuAUS9ieJlUDix04t","Magic Man","spotify:artist:6vSMEdD0kY3g9AaqUGeMMv, spotify:artist:5GImm0oU5MkW7OHkb91jwu","Balduin, Wolfgang Lohr","2022-11-18","https://i.scdn.co/image/ab67616d0000b273b73c52d2fc5d0014f3d51754","1","1","202000","https://p.scdn.co/mp3-preview/037bf5600d3b4858da4488766660de000253577f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","CH6542284614","spotify:user:","2022-11-18T05:01:00Z","electro swing,nu jazz,electro swing,nu jazz","0.74","0.826","5","-5.913","0","0.06","0.313","0.00678","0.226","0.695","119.975","4","","Balduin Music","C 2022 Balduin Music, P 2022 Balduin Music"
"spotify:track:6w21L3eVgP07fWiYew9Tsd","Bei Mir Bistu Shein - Electro Swing Mix","spotify:artist:706tsOoiPj3ud8APFxfRzW","Masha Ray","spotify:album:5olnobFFDdSBKTkTocF4bB","Bei Mir Bistu Shein","spotify:artist:706tsOoiPj3ud8APFxfRzW","Masha Ray","2022-09-16","https://i.scdn.co/image/ab67616d0000b273eff94f9f70ef939a6b8212d6","1","1","211500","https://p.scdn.co/mp3-preview/f2527139bd1a7981d9bd196ba4695b3c8d79b3e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","CH7812227294","spotify:user:","2022-09-16T04:01:00Z","","0.784","0.786","3","-6.884","0","0.184","0.342","0.0000881","0.353","0.886","112.016","4","","Electro Swing Thing","C 2022 Electro Swing Thing, P 2022 Electro Swing Thing"
"spotify:track:1Zn9nf1HoFM7KvXhBq9SNv","Posture - Wolfgang Lohr Remix","spotify:artist:41kO57U2yrvAWlng1p5g6g, spotify:artist:5GImm0oU5MkW7OHkb91jwu","Lamuzgueule, Wolfgang Lohr","spotify:album:33cm8hJKxHtcFELOZB2eJy","Posture (Wolfgang Lohr Remix)","spotify:artist:41kO57U2yrvAWlng1p5g6g, spotify:artist:5GImm0oU5MkW7OHkb91jwu","Lamuzgueule, Wolfgang Lohr","2022-08-12","https://i.scdn.co/image/ab67616d0000b273c0ca5f026d8ab43b3d3d9e45","1","1","236129","https://p.scdn.co/mp3-preview/20ce87f42d3c434841435bfbad52c8265b88a8a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","CH7812225151","spotify:user:","2022-08-12T04:02:00Z","electro swing,nu jazz,electro swing,nu jazz","0.781","0.935","0","-4.437","1","0.0557","0.163","0.0336","0.0712","0.94","123.94","4","","Electro Swing Thing","C 2022 Electro Swing Thing, P 2022 Electro Swing Thing"
"spotify:track:24dr5sIVbMtzBhbXqBUH29","Why Don't You - Radio Edit","spotify:artist:7jHmmW2bBagmzr76ZJW8Bc","Gramophonedzie","spotify:album:5zyTu6rWzl5sh8G5mD8A0P","Why Don't You","spotify:artist:7jHmmW2bBagmzr76ZJW8Bc","Gramophonedzie","2010-03-01","https://i.scdn.co/image/ab67616d0000b273c34384e6ab08ee141e593624","1","1","170273","https://p.scdn.co/mp3-preview/941c9e46a72728717fc7fef1f4306b5ff1231611?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBAAA0900967","spotify:user:","2020-10-30T09:06:04Z","electro swing","0.789","0.755","0","-4.161","1","0.169","0.0549","0.0192","0.0376","0.442","125.065","4","","Altra Moda Music","C 2010 Altra Moda Music, P 2010 Altra Moda Music"
"spotify:track:72c1SNHSVF0nC6ajCDQN3B","Rum & Coke","spotify:artist:1bchORmrFrz4QUD9JhVm8s","LVDS","spotify:album:7o1x33fQlvcSDmlxhbr78P","Rum & Coke","spotify:artist:1bchORmrFrz4QUD9JhVm8s","LVDS","2022-11-11","https://i.scdn.co/image/ab67616d0000b273481de2592561ecea755baa2f","1","1","157229","https://p.scdn.co/mp3-preview/3dd6ebbd1b2ceadc0806f93a2b07cfc0a400f015?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","CH7812232641","spotify:user:","2022-11-11T17:00:00Z","electro swing","0.928","0.709","9","-8.1","0","0.106","0.0105","0.709","0.0801","0.79","124.988","4","","Electro Swing Thing","C 2022 Electro Swing Thing, P 2022 Electro Swing Thing"
"spotify:track:6zzTxCsQinojaVUniC8T3B","Laisse-Toi Tomber","spotify:artist:1lIykTsydAXqQKYWLlRH7a, spotify:artist:0jupxdp3vnb3D29bU0jRo6","The Soulmate Project, Might be Vero","spotify:album:1POU4xKcEeBw39qtp6fRk1","Laisse-Toi Tomber","spotify:artist:1lIykTsydAXqQKYWLlRH7a, spotify:artist:0jupxdp3vnb3D29bU0jRo6","The Soulmate Project, Might be Vero","2022-11-25","https://i.scdn.co/image/ab67616d0000b273beec7bb7586b105d451a6b96","1","1","178282","https://p.scdn.co/mp3-preview/618fde3c8516a682456cfa762d81bcc1031d9627?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","CH7812233992","spotify:user:","2022-11-25T05:00:00Z","","0.748","0.665","3","-7.416","0","0.0539","0.319","0.00000494","0.216","0.774","119.989","4","","Electro Swing Thing","C 2022 Electro Swing Thing, P 2022 Electro Swing Thing"
"spotify:track:2u40x64LDY2RSyW1ewdhgR","Love Us a Ruckus","spotify:artist:2dWWUgJS0zdhV2Bu4WGF6a","Riff Kitten","spotify:album:2QvwbMHN0TvpgH91oWgqB7","Love Us a Ruckus","spotify:artist:2dWWUgJS0zdhV2Bu4WGF6a","Riff Kitten","2022-11-25","https://i.scdn.co/image/ab67616d0000b27313a39a923ba37eb9eded131d","1","1","244202","https://p.scdn.co/mp3-preview/a56ff8cf5c8c0fbeb7ef9464abdb7fffa4cbceb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBJCN2227506","spotify:user:","2022-11-25T05:00:00Z","electro swing","0.82","0.836","6","-6.165","1","0.0495","0.362","0.705","0.101","0.849","120.001","4","","Freshly Squeezed","C 2022 Freshly Squeezed, P 2022 Freshly Squeezed"
"spotify:track:2e95sPCpdWlgswXFvRscC8","Gringos Revenge","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:6knc7d475whjNMAg2K9EAF","Gringos Revenge","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-07-08","https://i.scdn.co/image/ab67616d0000b27347021c43154439ea3d742077","1","1","238560","https://p.scdn.co/mp3-preview/2bd7e53f6110f728b3a95acd4c53c377aa53347c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ATE612200021","spotify:user:","2022-07-08T04:02:00Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.816","0.609","8","-4.779","0","0.0556","0.00459","0.777","0.0923","0.499","124.976","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:3AgEOAo3dvkjtsBmeTGRjg","Get A Move On!","spotify:artist:2B0PgHZi2zaDqjKe86Gaip, spotify:artist:7Diblz3UML0a0ArC3OgLxG","Mr. Scruff, Sneaky","spotify:album:39lUJE0esEoBZpcYiEvede","Keep It Unreal (10th Anniversary Analogue Remaster Edition)","spotify:artist:2B0PgHZi2zaDqjKe86Gaip","Mr. Scruff","1999","https://i.scdn.co/image/ab67616d0000b273ebf9b740c7d90d636f347ae1","1","3","454600","https://p.scdn.co/mp3-preview/d62c8eb734a96da5a15e116630366ab922e2789c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBCFB0901802","spotify:user:","2020-10-30T09:06:04Z","big beat,downtempo,electronica,jazztronica,ninja,nu jazz,trip hop,turntablism","0.76","0.767","7","-7.586","1","0.0482","0.00344","0.759","0.519","0.816","123.324","4","","Ninja Tune","C 2009 Ninja Tune, P 2009 Ninja Tune"
"spotify:track:0xLdR1lvZfsyXepQwDY9Jf","You Meet the Nicest People (In Your Dreams) (Electro Swing)","spotify:artist:3APMjlZOb1eQ3yX5jUz6GR","Swing City","spotify:album:4eo0MYjW0dziEPmKb6t2fh","You Meet the Nicest People (In Your Dreams) (Electro Swing)","spotify:artist:3APMjlZOb1eQ3yX5jUz6GR","Swing City","2022-12-09","https://i.scdn.co/image/ab67616d0000b27358b05a92076a1fcadf61ad37","1","1","187466","https://p.scdn.co/mp3-preview/67351c0e4550227817d4e44e2fd8bab34ffa29b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ZAC8N2200006","spotify:user:","2022-12-09T05:00:00Z","swing revival","0.805","0.862","10","-6.55","1","0.141","0.278","0.00282","0.136","0.841","124.037","4","","Respect Music","C © 2022 Respect Music, P ℗ 2022 Respect Music"
