"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2e95sPCpdWlgswXFvRscC8","Gringos Revenge","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:6knc7d475whjNMAg2K9EAF","Gringos Revenge","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-07-08","https://i.scdn.co/image/ab67616d0000b27347021c43154439ea3d742077","1","1","238560","https://p.scdn.co/mp3-preview/2bd7e53f6110f728b3a95acd4c53c377aa53347c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ATE612200021","spotify:user:parovstelar_official","2022-07-08T10:13:32Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.816","0.609","8","-4.779","0","0.0556","0.00459","0.777","0.0923","0.499","124.976","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:4puyZaKbopJru95t5gMKnz","Venom","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:1AJhYeele3DMImHJ0SzVPp","Moonlight Love Affair","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-04-29","https://i.scdn.co/image/ab67616d0000b273849b95565b8e12a7ea2d3efd","1","8","225000","https://p.scdn.co/mp3-preview/18aaadecca9efdbb68789ccf21f878102a990b89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ATE612200011","spotify:user:parovstelar_official","2022-04-28T22:11:29Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.867","0.624","3","-5.784","0","0.181","0.042","0.565","0.0573","0.55","125.026","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:7MAJ4C13IncWy65NvgzSJ6","The Little Man Who Wasn't There","spotify:artist:2bUYKdepfgDuZiRQJdvooU","Odd Chap","spotify:album:15fn6mDXBk4zgjFbrpNjyX","The Little Man Who Wasn't There","spotify:artist:2bUYKdepfgDuZiRQJdvooU","Odd Chap","2016-07-21","https://i.scdn.co/image/ab67616d0000b273f045291ec777c4e5581b0408","1","1","206541","https://p.scdn.co/mp3-preview/9ab08632ad5bb57b956181961deef7bac64ed0e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBJCN2018901","spotify:user:parovstelar_official","2020-06-19T09:41:56Z","electro swing,nu jazz","0.717","0.871","9","-6.376","0","0.337","0.262","0.022","0.0719","0.547","126.029","4","","Freshly Squeezed","C 2016 Freshly Squeezed, P 2016 Freshly Squeezed"
"spotify:track:7hiCGd7VM7ToeLZgo0Mvo7","Dirty Mariposa","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:1AJhYeele3DMImHJ0SzVPp","Moonlight Love Affair","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-04-29","https://i.scdn.co/image/ab67616d0000b273849b95565b8e12a7ea2d3efd","1","7","324000","https://p.scdn.co/mp3-preview/48bb19c394b3ce3e5ff869d9fff2e5be79f454da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","ATE612200009","spotify:user:parovstelar_official","2022-04-28T22:12:51Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.694","0.653","11","-10.454","1","0.0333","0.244","0.844","0.116","0.705","120.026","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:1MxCashpyOjvXfnJ2yiLVW","Mr O'Butler","spotify:artist:5Ot9o0POYefyeEWVdhvcdr","Jive Me","spotify:album:67ptxN84y4vUaS2v1gsA2U","Jive Me","spotify:artist:5Ot9o0POYefyeEWVdhvcdr","Jive Me","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f1ae587e9309a8ebefeff695","1","11","199772","https://p.scdn.co/mp3-preview/9ccbf79da5acd63f48a799bf0f2a73373ce23792?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","FR9W11827450","spotify:user:parovstelar_official","2020-05-05T07:20:37Z","electro swing","0.834","0.787","7","-7.273","0","0.261","0.667","0.000197","0.113","0.414","128.014","4","","Uni-son","C 2019 Uni-son, P 2019 Uni-son"
"spotify:track:0T8jVVC027sHPdkLsVycHV","AKH Odessa","spotify:artist:65EXuYHVoehCKqp0kOS6px, spotify:artist:2n0QKE9OP6RYRkwbgI9nRG","Parov Stelar, Russian Gentlemen Club","spotify:album:1AJhYeele3DMImHJ0SzVPp","Moonlight Love Affair","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-04-29","https://i.scdn.co/image/ab67616d0000b273849b95565b8e12a7ea2d3efd","1","2","240812","https://p.scdn.co/mp3-preview/baefc667554d21532c372e99a51a5223e7ff0fee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","ATE612200010","spotify:user:parovstelar_official","2022-04-28T22:39:04Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.902","0.659","0","-5.697","0","0.157","0.0221","0.0000326","0.0584","0.691","127.993","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:1TvMouEhLkBwYP2akAhRPE","Flat Foot Floogie","spotify:artist:5GImm0oU5MkW7OHkb91jwu, spotify:artist:7wNa943DVpxpkdsYGfaVDP","Wolfgang Lohr, Louie Prima","spotify:album:0eaH7SLBsKLkhSFYVQIRhi","Black Cotton Remixed, Vol. 1 (Electro Swing vs Speakeasy Jazz)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-07-29","https://i.scdn.co/image/ab67616d0000b273523c8bf874b012e06093c807","1","1","205289","https://p.scdn.co/mp3-preview/3e6b00fba8d86b5ec9f92878e15ae4f809f973b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBJCN1609601","spotify:user:parovstelar_official","2020-01-24T14:39:00Z","electro swing,nu jazz","0.98","0.829","5","-6.349","1","0.0954","0.0793","0.361","0.0782","0.935","123.992","4","","Freshly Squeezed","C 2016 Freshly Squeezed, P 2016 Freshly Squeezed"
"spotify:track:46vQeSVSxUU92uMacqTXFr","Candy Girl - Late Night Mix","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:1AJhYeele3DMImHJ0SzVPp","Moonlight Love Affair","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-04-29","https://i.scdn.co/image/ab67616d0000b273849b95565b8e12a7ea2d3efd","1","13","210000","https://p.scdn.co/mp3-preview/874192fd52cfa59c2c9e60e500d8b09d9b6905af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","ATE612200004","spotify:user:parovstelar_official","2022-04-28T22:39:18Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.948","0.693","8","-4.667","0","0.168","0.0506","0.822","0.107","0.907","119.999","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:2gH2I2dmv9xAyiQ7pF0R9n","Sing It Back (Can 7 1930's Remix)","spotify:artist:4aaBjq7VqqQvpSF69GglvO","Moloko","spotify:album:1EAFbVgbD6hnAvYBc6hSA6","Swing Mania","spotify:artist:3DnpEK5RUlm53ITPg7FFOB","Béatrice Ardisson","2010-06-21","https://i.scdn.co/image/ab67616d0000b2730a67b11ce89fe1376983d5fe","1","1","136786","","false","0","FR47Q1003790","spotify:user:parovstelar_official","2020-01-24T14:46:18Z","alternative dance,big beat,dance pop,disco house,electronica,electropop,trip hop","0.634","0.584","9","-9.891","0","0.039","0.985","0.919","0.317","0.803","146.925","4","","naïve/Ardisong","C 2010 naïve, P 2010 naïve"
"spotify:track:4HARIxvW1XTJzDpFLgwsGE","Candy Girl","spotify:artist:65EXuYHVoehCKqp0kOS6px, spotify:artist:7IEexZoQUGuysrjOv20v0g","Parov Stelar, Vallemarie","spotify:album:1AJhYeele3DMImHJ0SzVPp","Moonlight Love Affair","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2022-04-29","https://i.scdn.co/image/ab67616d0000b273849b95565b8e12a7ea2d3efd","1","1","162075","https://p.scdn.co/mp3-preview/d365796be914eff97cbc3c1e251bd90574a9da67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ATE612200002","spotify:user:parovstelar_official","2022-04-28T22:39:11Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.864","0.79","8","-6.434","0","0.189","0.153","0.577","0.0849","0.762","99.992","4","","Etage Noir Recordings","C 2022 Etage Noir Recordings, P 2022 Etage Noir Recordings"
"spotify:track:6qRVIbgAvISszexBLE6O4H","Luci´s Game","spotify:artist:294JUMftLLs3Ezkc77s9WV","Varrick Frost","spotify:album:5ShUQaYetjK74xFfYg1hEv","Luci´s Game","spotify:artist:294JUMftLLs3Ezkc77s9WV","Varrick Frost","2020-02-21","https://i.scdn.co/image/ab67616d0000b27319467d87e2f30eddb1961dc9","1","1","253034","https://p.scdn.co/mp3-preview/916c930af7b75b0c350dc213c1f15c3330566666?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","CALVP2026237","spotify:user:parovstelar_official","2020-04-07T07:04:25Z","electro swing","0.79","0.82","1","-7.238","1","0.179","0.011","0.778","0.0711","0.532","125.011","4","","Varrick Frost","C 2020 Varrick Frost, P 2020 Varrick Frost"
"spotify:track:3zlTFdh2kZ0oibgEUwmE17","Chambermaid Mash Up Swing","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:07UChMJGC4aoFx7bjGpb3c","Chambermaid Mash Up Swing","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2021-10-29","https://i.scdn.co/image/ab67616d0000b273574059be2f7e921440e6984d","1","1","219724","https://p.scdn.co/mp3-preview/42409d4b728d7fc81181d834692c1fe2c88ad669?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","ATE612100005","spotify:user:parovstelar_official","2021-10-28T22:02:40Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.929","0.501","0","-5.482","1","0.104","0.0652","0.379","0.0915","0.536","123.999","4","","Etage Noir Recordings","C 2021 Etage Noir Recordings, P 2021 Etage Noir Recordings"
"spotify:track:0eqPbavTN8rcfHTF8byrkR","The Stampede","spotify:artist:5sM4cZ9MHihs0tbmkiE9n8","Jamie Berry","spotify:album:4OVJICFNhttVsC8X1F5vUo","The Stampede","spotify:artist:5sM4cZ9MHihs0tbmkiE9n8","Jamie Berry","2020-06-05","https://i.scdn.co/image/ab67616d0000b2739f13af8b7c8d55b077d64f76","1","5","195753","https://p.scdn.co/mp3-preview/8d3372691b0df4d8734d0e98532e598daeb6df14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","SE6I32040122","spotify:user:parovstelar_official","2020-06-19T09:40:58Z","electro swing,nu jazz","0.852","0.708","0","-7.531","1","0.25","0.00576","0.868","0.371","0.705","129.066","4","","Jamie Berry","C 2020 Jamie Berry, P 2020 Jamie Berry"
