"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6lsumzVFKP9SnfKcuGwqVp","Rome Wasn't Built in a Day","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","spotify:album:1QneuYN3b0JteZNmLse2uA","Fragments of Freedom","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","2000-07-10","https://i.scdn.co/image/ab67616d0000b273b7b9e596d4836113a4b2d8ed","1","2","214719","https://p.scdn.co/mp3-preview/92fc7963172ad4e767eb7cc723e60a89d04327d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAHS0004193","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:01:34Z","downtempo,electronica,nu jazz,trip hop","0.61","0.807","5","-4.997","1","0.0305","0.0769","0.00000264","0.376","0.689","112.031","4","","EastWest U.K.","C © 2000 China Records Ltd, P ℗ 2000 China Records Ltd"
"spotify:track:0xjkgYSzHjBZNvyUaC9cXX","The Sea","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","spotify:album:1ILnMWNKUXzcXug4Tq2JRP","Big Calm","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","1998","https://i.scdn.co/image/ab67616d0000b27337ee51bfb9ad12746d1df5a6","1","1","347280","https://p.scdn.co/mp3-preview/4c394265262ea3295dc57c0b4a03c6e1f7872908?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAHS9804129","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:01:43Z","downtempo,electronica,nu jazz,trip hop","0.535","0.761","11","-7.589","0","0.0373","0.0165","0.114","0.0485","0.248","149.968","4","","EastWest U.K.","C © 1998 China Records Ltd, P ℗ 1998 China Records Ltd"
"spotify:track:6MSjACJPuGTzIvEIHVuhv8","Uh Baby","spotify:artist:5uT4SmzhWTYv1iia2BFnVQ","anaïs","spotify:album:3ZJqcoFZqOg5WQ1k7y3b3G","44","spotify:artist:5uT4SmzhWTYv1iia2BFnVQ","anaïs","2022-07-22","https://i.scdn.co/image/ab67616d0000b27344955baa4b5f4b53766a48a3","1","2","168360","https://p.scdn.co/mp3-preview/031d883093d572cbe1bf3f5c0f74bcc1ace8f7c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","FR2X42291941","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-14T07:15:27Z","","0.836","0.417","9","-10.507","0","0.0903","0.677","0.00000626","0.366","0.754","109.985","4","","Anais","C 2022 anaïs, P 2022 anaïs"
"spotify:track:1ozRjt9gyqdzD8XllWUAZA","Crushed Ice","spotify:artist:30TcH7sAEGnI1wVZhCgBfi","MAM","spotify:album:6VScSyrcTNlmzshPBFBwV0","Modern Heat EP","spotify:artist:30TcH7sAEGnI1wVZhCgBfi","MAM","2021-08-10","https://i.scdn.co/image/ab67616d0000b2737f644a52d86e6df8f1909904","1","2","280417","https://p.scdn.co/mp3-preview/bd70774e291f419598e59b4eb1d3d18e4dc449d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBEWY1200007","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-26T08:29:49Z","filter house,nu disco","0.772","0.466","0","-7.726","1","0.173","0.0652","0.000156","0.279","0.667","111.271","4","","Outcross Records","C 2021 Outcross Records, P 2021 Outcross Records"
"spotify:track:0hhXziDUO0wNYPsstDQWN6","Overnight","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","spotify:album:0cIynhird3mHUUs71R7zsj","Overnight","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","2017-06-21","https://i.scdn.co/image/ab67616d0000b273cb0697945af18f523fa11217","1","1","219604","https://p.scdn.co/mp3-preview/ec6f4850401a08d131340bcdc0ffc16aeee43e8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","FRU701700028","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-18T13:36:58Z","aussietronica,indie soul","0.815","0.819","8","-9.494","0","0.0521","0.364","0.0555","0.115","0.864","119.986","4","","Because Music","C 2020 Because Music & Daft Trax, P 2020 Because Music & Daft Trax"
"spotify:track:6roBK59UIWUDEbaJniWxjb","Calypso Beach","spotify:artist:500YRyClzP6Z7HtWd1BIje","Northeast Party House","spotify:album:51Osp1nRdataUeiVpSKGJM","Dare","spotify:artist:500YRyClzP6Z7HtWd1BIje","Northeast Party House","2016-09-09","https://i.scdn.co/image/ab67616d0000b27321507b0b0716ad83ba57dac8","1","8","233169","https://p.scdn.co/mp3-preview/601e1dc57b629b1a8cd0c0229537bf8f93629c19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","AUSA31600009","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-18T13:38:21Z","australian indie","0.399","0.677","8","-7.562","0","0.0377","0.0171","0.294","0.129","0.378","122.022","4","","Stop Start Music","C 2016 Stop Start Music, P 2016 Stop Start Music"
"spotify:track:66tkDkPsznE5zIHNt4QkXB","Tieduprightnow","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","spotify:album:5v7PsESglCFeVcb7wNEWIW","Tieduprightnow","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","2018-04-27","https://i.scdn.co/image/ab67616d0000b2735293681f1d72c22430e382e0","1","1","249956","https://p.scdn.co/mp3-preview/79af76344003a899a91d4ccbd52150b10031af86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","FRU701800011","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-18T13:37:16Z","aussietronica,indie soul","0.863","0.533","5","-7.986","0","0.0484","0.291","0.00126","0.0794","0.738","102.025","4","","Because Music","C 2018 Because Music, P 2018 Because Music"
"spotify:track:0IedgQjjJ8Ad4B3UDQ5Lyn","Fragments of Time (feat. Todd Edwards)","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:6MFopqejpmTUUZlcRmGzgg","Daft Punk, Todd Edwards","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-17","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","11","279773","https://p.scdn.co/mp3-preview/0796b80cc55ce1c519ecbaecc99fddddd112f7b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USQX91300111","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T18:40:03Z","electro,filter house,garage house,uk garage","0.807","0.51","0","-9.729","1","0.0433","0.041","0.115","0.104","0.961","130.118","4","","Columbia","P (P) 2013 Daft Life Limited under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:4jmLj7bALZTQoe93dT623W","In Your Eyes","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:3GQboECxDT1xqPPWC30p7v","BADBADNOTGOOD, Charlotte Day Wilson","spotify:album:5wAGlQICfKYQfaBppnUbmP","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b27340080ed5a2ec3c92bf445247","1","10","247054","https://p.scdn.co/mp3-preview/28c0a10c57159ee11d45f310ad94d346ff6ecfb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USD8D1634010","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T20:25:43Z","alternative hip hop,canadian modern jazz,escape room,indie soul,alternative r&b,canadian contemporary r&b,indie r&b,indie soul,neo soul","0.488","0.528","0","-5.952","0","0.0298","0.457","0.000792","0.108","0.438","79.765","4","","Innovative Leisure","C (C) 2016 Innovative Leisure, P (P) 2016 Innovative Leisure"
"spotify:track:1IqF5PUDUnaykHLs0RWbDO","Time Moves Slow","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:6K4I1MPd7m8IztUdtrF4YU","BADBADNOTGOOD, Samuel T. Herring","spotify:album:5wAGlQICfKYQfaBppnUbmP","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b27340080ed5a2ec3c92bf445247","1","3","273864","https://p.scdn.co/mp3-preview/d35f338e6178f9cd5f2aae723c48563192e15b5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USD8D1634003","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T20:25:46Z","alternative hip hop,canadian modern jazz,escape room,indie soul","0.591","0.376","11","-10.832","0","0.0543","0.478","0.0282","0.101","0.308","140.026","4","","Innovative Leisure","C (C) 2016 Innovative Leisure, P (P) 2016 Innovative Leisure"
