"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3EPXxR3ImUwfayaurPi3cm","Be Alright","spotify:artist:3QSQFmccmX81fWCUSPTS7y","Dean Lewis","spotify:album:0YZLXTaHLcgl5UdtKDiUXD","Be Alright","spotify:artist:3QSQFmccmX81fWCUSPTS7y","Dean Lewis","2018-06-29","https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d","1","1","196373","https://p.scdn.co/mp3-preview/434e14cb2502d2c95b5a2a8fb01dbe8231958d86?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","AUUM71800255","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:51:27Z","australian pop,pop","0.553","0.586","11","-6.319","1","0.0362","0.697","0","0.0813","0.443","126.684","4","","Universal Music Australia Pty. Ltd.","C © 2018 Universal Music Australia Pty Ltd., P An Island Records Australia release; ℗ 2018 Universal Music Australia Pty Ltd."
"spotify:track:25R5Tdr4K7ENb6umHzdCXn","Alive","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:2eV6DIPDnGl1idcjww6xyX","This Is Acting (Deluxe Version)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2016-10-21","https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837","1","2","263520","https://p.scdn.co/mp3-preview/54a043a292e10d2c4c5a95445f6eac0a4dd6977f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11502101","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:51:59Z","australian dance,australian pop,dance pop,pop","0.508","0.762","6","-4.217","0","0.0489","0.254","0.000122","0.108","0.444","99.963","4","","Monkey Puzzle Records/RCA Records","P (P) 2016 Monkey Puzzle Records, under exclusive license to RCA Records"
"spotify:track:3e7sxremeOE3wTySiOhGiP","Dusk Till Dawn (feat. Sia) - Radio Edit","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","ZAYN, Sia","spotify:album:1DF9B2hfwX4EdgEFwGcRwh","Icarus Falls","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2018-12-14","https://i.scdn.co/image/ab67616d0000b2732bdcb339402ebd78651f09c8","1","29","239000","https://p.scdn.co/mp3-preview/6c223c6fd87736a7efffbba3e388ef8dc91d7089?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC11702155","spotify:user:vydawnakhyxfigeyst3s2e2ij","2022-09-03T18:47:44Z","dance pop,pop,post-teen pop,uk pop,australian dance,australian pop,dance pop,pop","0.259","0.437","11","-6.589","0","0.0386","0.102","0.00000132","0.106","0.0951","180.042","4","","RCA Records Label","P (P) 2017 RCA Records, a division of Sony Music Entertainment"
"spotify:track:56twMOlq9DJc3EgpVUVIrW","Stone Cold","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","spotify:album:3HV3ecmJJ2GmHM93vVVKXF","Confident (Deluxe Edition)","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","2015-10-16","https://i.scdn.co/image/ab67616d0000b2734e4f7c7ec167ec30c1c66e69","1","5","191307","https://p.scdn.co/mp3-preview/3c51b5c9713373a827329fb1d4e077fef893fe3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USHR11536744","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:54:04Z","dance pop,pop,post-teen pop","0.419","0.453","8","-7.685","1","0.0437","0.539","0","0.0971","0.356","140.327","3","","Hollywood Records","C © 2015 Hollywood Records, Inc. & Island Records, a division of UMG Recordings, Inc., P ℗ 2015 Hollywood Records, Inc. & Island Records, a division of UMG Recordings, Inc."
"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Believer","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","4","204346","https://p.scdn.co/mp3-preview/4b5e66e725d303b02c7f05acf9ae7dc06ae7556a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USUM71700626","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:54:15Z","modern rock,rock","0.776","0.78","10","-4.374","0","0.128","0.0622","0","0.081","0.666","124.949","4","","Kid Ina Korner / Interscope","C © 2018 KIDinaKORNER/Interscope Records, P ℗ 2018 KIDinaKORNER/Interscope Records"
"spotify:track:3JvKfv6T31zO0ini8iNItO","Another Love","spotify:artist:2txHhyCwHjUEpJjWrEyqyX","Tom Odell","spotify:album:0Gf1yE895FKK4YWVRuAeg8","Long Way Down (Deluxe)","spotify:artist:2txHhyCwHjUEpJjWrEyqyX","Tom Odell","2013-06-24","https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f","1","3","244360","https://p.scdn.co/mp3-preview/3d0645699f24cf41b4d517478df5a04bcb04b25b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","93","GBARL1300107","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:54:34Z","chill pop,pop","0.445","0.537","4","-8.532","0","0.04","0.695","0.0000165","0.0944","0.131","122.769","4","","ITNO/Columbia","P (P) 2013 Sony Music Entertainment UK Limited"
"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Shallow","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:4VIvfOurcf0vuLRxLkGnIG","Lady Gaga, Bradley Cooper","spotify:album:4sLtOBOzn4s3GDUv3c5oJD","A Star Is Born Soundtrack","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:4VIvfOurcf0vuLRxLkGnIG","Lady Gaga, Bradley Cooper","2018-10-05","https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342","1","12","215733","https://p.scdn.co/mp3-preview/9c5a73a90f54c3c961442f4e233ec5e5945ff110?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71813192","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:54:46Z","art pop,dance pop,pop,hollywood","0.572","0.385","7","-6.362","1","0.0308","0.371","0","0.231","0.323","95.799","4","","A Star is Born OST","C © 2018 Interscope Records, Motion Picture Artwork © 2018 Warner Bros. Entertainment Inc. Motion Picture Photography © 2018 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Inc.,, P This Compilation ℗ 2018 Interscope Records"
"spotify:track:0fvafkeEoF6Y9gGLK3Wnu3","Rise Like A Phoenix","spotify:artist:1TGdxJ3UvFq055SVjwx49v","Conchita Wurst","spotify:album:4aPLSEfXmX1wx6gdWi282p","Rise Like A Phoenix","spotify:artist:1TGdxJ3UvFq055SVjwx49v","Conchita Wurst","2014-03-18","https://i.scdn.co/image/ab67616d0000b27331fadd05a8e7ad1c2a2f9c61","1","1","181989","https://p.scdn.co/mp3-preview/bb0debf803216a45980bd6366b8fc175571c9b1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","ATE501400401","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-01-19T15:55:02Z","eurovision","0.426","0.45","2","-8.91","0","0.0252","0.0791","0","0.127","0.208","82.107","4","","ORF-Enterprise LC-12732","C 2014 ORF-Enterprise LC-12732, P 2014 Universal Music Publishing/Songreiter Musikverlag/Oblique Musikverlag/Porn&Poetry Publishing"
"spotify:track:6skGMlljk0s5yeBKZ7sN5n","Impossible","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","spotify:album:7pzwt3MlcxBDbLwfKXpOuW","James Arthur","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","2013-10-29","https://i.scdn.co/image/ab67616d0000b2737e8b3e67304fa044d1499508","1","4","209440","https://p.scdn.co/mp3-preview/17dd614f699d5f88f4864a14282358984c6db5df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBHMU1200338","spotify:user:vydawnakhyxfigeyst3s2e2ij","2022-09-08T20:41:38Z","pop,talent show,uk pop","0.376","0.695","0","-4.782","0","0.0933","0.135","0","0.11","0.302","169.533","4","","Syco Music","P (P) 2013 Simco Limited"
"spotify:track:698ItKASDavgwZ3WjaWjtz","Faded","spotify:artist:7vk5e3vY1uw9plTHJAMwjN","Alan Walker","spotify:album:3nzuGtN3nXARvvecier4K0","Different World","spotify:artist:7vk5e3vY1uw9plTHJAMwjN","Alan Walker","2018-12-14","https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a","1","15","212106","https://p.scdn.co/mp3-preview/886d05f0902d1b3fd8ca690bf0670d2d0e546f47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","NOG841549010","spotify:user:vydawnakhyxfigeyst3s2e2ij","2019-02-16T14:20:52Z","electro house","0.468","0.627","6","-5.085","1","0.0476","0.0281","0.00000797","0.11","0.159","179.642","4","","MER Recordings","P (P) 2018 MER under exclusive license to Sony Music Entertainment Sweden AB"
