"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2G0GextMwZJLkNxcSZ7ZJ3","(What A) Wonderful World - Mono","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","spotify:album:11qEWtxwrKQUgOBPsff4op","The Wonderful World Of Sam Cooke","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","1960-02","https://i.scdn.co/image/ab67616d0000b2734fc6dd310e78dcdbf6130b2b","1","1","128786","https://p.scdn.co/mp3-preview/d76a974a31432b1e20862ee8cf0b4f644707800b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USA171920056","spotify:user:","2022-05-11T12:42:18Z","adult standards,classic soul,rock-and-roll,soul","0.686","0.672","11","-5.523","1","0.0323","0.7","0","0.135","0.857","128.55","4","","ABKCO Music & Records, Inc.","C © 2020 ABKCO Music & Records, Inc., P ℗ 2020 ABKCO Music & Records, Inc."
"spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd","In the Summertime","spotify:artist:2mbvqMGpwLsakeH45p1Jrb","Mungo Jerry","spotify:album:30UgyUTvmdYXNo7CeMabXY","In the Summertime","spotify:artist:2mbvqMGpwLsakeH45p1Jrb","Mungo Jerry","1970-01-01","https://i.scdn.co/image/ab67616d0000b273b06c1fa0b4f3dd5ed8c58c0b","1","1","215800","https://p.scdn.co/mp3-preview/413aaee84865d9d76b1bee3b49f2f6a5d051ef92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAJE7000049","spotify:user:","2022-05-11T12:42:18Z","british blues,bubblegum pop,classic uk pop","0.642","0.65","4","-8.567","1","0.0623","0.66","0","0.14","0.973","164.421","4","","Sanctuary Records","C © 2006 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2000 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:2JPhjahxid1Y6nv6keJ3q2","Blame It on the Boogie","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","spotify:album:56P85b0u2ND6dJL9AgOB95","The Essential Jacksons","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","2004-03-05","https://i.scdn.co/image/ab67616d0000b273d445d1c8ced2f6375d9ec76e","1","5","210293","https://p.scdn.co/mp3-preview/d64a69e574f8f8646515502f54428c977efcf395?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM17801024","spotify:user:","2022-05-11T12:42:18Z","disco,funk,motown,quiet storm,soul","0.76","0.77","5","-6.797","0","0.099","0.073","0","0.109","0.895","113.272","4","","Epic/Legacy","P This compilation (P) 2004 Epic Records, a division of Sony Music Entertainment"
"spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b","Surfin' U.S.A. - Remastered 2001","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:6u5tGarzvESDsQiIpC4SlI","Surfin' USA (Remastered)","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","1963-03-25","https://i.scdn.co/image/ab67616d0000b2737cb33b8fab5302942e6a78fb","1","1","149373","https://p.scdn.co/mp3-preview/a383770b3e153557a4590f23acb462dd624810df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USCA20001654","spotify:user:","2022-05-11T12:42:18Z","baroque pop,classic rock,psychedelic rock,rock,sunshine pop","0.55","0.854","3","-5.968","1","0.036","0.661","0","0.112","0.965","159.231","4","","Capitol Records","C © 1963 Capitol Records, LLC, P ℗ 2012 Capitol Records, LLC"
"spotify:track:17OqI90oTFZ3J8PVu6j07V","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","2","309173","https://p.scdn.co/mp3-preview/9d43fc513de5868717f9da78452b5d44b16036d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","SEAYD7901020","spotify:user:","2022-05-11T12:42:18Z","europop,swedish pop","0.708","0.774","11","-6.931","0","0.0372","0.149","0.00109","0.169","0.903","126.636","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:2M2WJ7gBlcKNxdhyfPp9zY","Best of My Love","spotify:artist:64CuUOOirKmdAYLQSfaOyr","The Emotions","spotify:album:7iJCy3T66FJmXT7LGVd3QA","Rejoice","spotify:artist:64CuUOOirKmdAYLQSfaOyr","The Emotions","1977-06-10","https://i.scdn.co/image/ab67616d0000b273c5a010463c2b450902e57599","1","1","220560","https://p.scdn.co/mp3-preview/5645f013d0896876aa71c6c47f1f675426398f69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM17700716","spotify:user:","2022-05-11T12:42:18Z","chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul,southern soul,urban contemporary","0.784","0.713","0","-6.865","1","0.0339","0.447","0.14","0.0904","0.97","115.443","4","","Legacy Recordings","P (P) 1977 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:0fonScmHUzC0MglSLn9saA","Da Doo Ron Ron (When He Walked Me Home)","spotify:artist:7rewR1TVjhisjI6gauUamf","The Crystals","spotify:album:11ho9FxQbJjMbQn1P1yWpm","Da Doo Ron Ron: The Very Best of The Crystals","spotify:artist:7rewR1TVjhisjI6gauUamf","The Crystals","2011-02-22","https://i.scdn.co/image/ab67616d0000b273a93e542069f023c3c9be9b8d","1","12","140120","https://p.scdn.co/mp3-preview/ac120bcbf0d2ef59df327b9863cab7ee7291dbe6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USQX91100116","spotify:user:","2022-05-11T12:42:18Z","bubblegum pop,classic girl group,rock-and-roll,rockabilly","0.535","0.797","3","-7.533","1","0.0459","0.48","0.0000342","0.141","0.613","148.835","4","","Legacy Recordings","P (P) 2011 Phil Spector Records, Inc. Under exclusive license to EMI Blackwood Music Inc./Sony Music Entertainment"
"spotify:track:0MHXrqn909p0LRTPsNsGEi","Move on Up - Single Edit","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:2EwoYRFQRJqw7BTVG6GlTw","Move on Up","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","1970","https://i.scdn.co/image/ab67616d0000b273b97b45e7885537d42ed46cdf","1","1","165789","https://p.scdn.co/mp3-preview/31452628b9bbdf0dfaa6e743d563bcba6b512b34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRH11509321","spotify:user:","2022-05-11T12:42:18Z","chicago soul,classic soul,funk,soul","0.538","0.969","11","-5.626","0","0.0906","0.417","0.00154","0.119","0.928","138.652","4","","Rhino","C © 1970 Curtom Records, P ℗ 1970 Curtom Records. Marketed by Rhino Entertainment, A Warner Music Group Company."
"spotify:track:47eSFHsPDVJwssTTG62Af3","Lost in Music - 1995 Remaster","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","spotify:album:4GSidaoqyGNwaG5mNKmuLT","We Are Family (1995 Remaster)","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","1979-02-15","https://i.scdn.co/image/ab67616d0000b2739c6d5c505e6197defb750428","1","2","287440","https://p.scdn.co/mp3-preview/92c219af03be2384deb17a343d0d32396ce80a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USAT20102163","spotify:user:","2022-05-11T12:42:18Z","dance pop,disco,philly soul,post-disco,quiet storm,soul","0.758","0.841","0","-7.509","1","0.0319","0.0544","0.000153","0.103","0.849","114.487","4","","Rhino Atlantic","C © 1995 Rhino Records Inc., P ℗ 1995 Atlantic Recording Corporation and Brookhill Records Corporation for the United States and WEA Int. for the world outside of the United States."
"spotify:track:3WMbD1OyfKuwWDWMNbPQ4g","Daddy Cool","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:1KQUrny9y5zGpktF6hAGd4","Take The Heat Off Me","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1976","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691","1","1","208600","https://p.scdn.co/mp3-preview/172875355ed7882fecddbf0d2820f5ae1860ae12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","DEC737600002","spotify:user:","2022-05-11T12:42:18Z","europop","0.763","0.777","5","-6.932","0","0.0364","0.281","0.79","0.134","0.929","124.431","4","","MCI","P (P) 1976/2007 SONY BMG MUSIC ENTERTAINMENT (GERMANY) GmbH"
