"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5sPoju3oZHg9Wq5KXxBH3a","Followers","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3XcCT5MPlQPWFTJyzXbfuX","AREA21, Martin Garrix, Maejor","spotify:album:3YRKOtLYysmk04YlzvpnU3","Followers","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3XcCT5MPlQPWFTJyzXbfuX","AREA21, Martin Garrix, Maejor","2021-09-17","https://i.scdn.co/image/ab67616d0000b27317ed0930fbee767857aea8bf","1","1","177206","https://p.scdn.co/mp3-preview/d15024a265708845e916cc15e2988c2eb5aca3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USHR12142090","spotify:user:easportsaudio","2021-09-20T15:14:02Z","edm,pop dance,dance pop,dutch edm,edm,electro house,pop,pop dance,progressive house,tropical house,detroit hip hop","0.557","0.798","11","-4.162","1","0.0362","0.163","0.0000359","0.295","0.347","144.969","4","","Hollywood Records","C © 2021 STMPD RCRDS B.V. exclusively licensed to Hollywood Records, Inc., P ℗ 2021 STMPD RCRDS B.V. exclusively licensed to Hollywood Records, Inc."
"spotify:track:6mSzsSdu0CWIV70jEjWMhI","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","spotify:album:6d8MlD2NJyzLtnRSprliO5","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","2021-06-03","https://i.scdn.co/image/ab67616d0000b273bf82b9861e8ccdeba944137e","1","1","174857","https://p.scdn.co/mp3-preview/5304b6a8d1b49cfa6808fca4987ae0e283e33f16?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","GBUM72102854","spotify:user:easportsaudio","2021-09-03T18:32:13Z","uk hip hop","0.725","0.807","11","-4.332","1","0.315","0.352","0","0.462","0.848","140.045","4","","Universal-Island Records Ltd.","C © 2021 ArrDee, under exclusive licence to Universal Music Operations Limited, P An Island Records release; ℗ 2021 ArrDee, under exclusive licence to Universal Music Operations Limited"
"spotify:track:6EDUMn3BJw6bI9JjigYZm1","You Shaped Hole","spotify:artist:4VqlewwKZJoIcA88PYHUDd","Baby Queen","spotify:album:7J9wdRxHvteGjRbx5AWDWm","You Shaped Hole","spotify:artist:4VqlewwKZJoIcA88PYHUDd","Baby Queen","2021-07-13","https://i.scdn.co/image/ab67616d0000b2734cb5b32cd3b676c78dfa16e0","1","1","179253","","true","0","GBUM72102651","spotify:user:easportsaudio","2021-09-03T18:30:03Z","indie pop,modern alternative pop","0.608","0.883","10","-3.983","1","0.0462","0.162","0","0.276","0.834","94.97","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records Release; ℗ 2021 Universal Music Operations Limited"
"spotify:track:4CGORuRtjSK6xMy8s1VvSS","The Mission","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","spotify:album:0jsaa9MWnJM4EUG81Ja2fn","The Mission","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","2021-08-19","https://i.scdn.co/image/ab67616d0000b273a445ffda1c36e333d3d433fb","1","1","191478","https://p.scdn.co/mp3-preview/2835feaf88d00bc26097874fddb0ee54dd5cb70a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBARL2100686","spotify:user:easportsaudio","2021-09-03T18:32:58Z","uk alternative hip hop","0.708","0.437","10","-6.982","0","0.0807","0.188","0","0.0976","0.393","94.053","4","","Black Butter","P (P) 2021 Bakar"
"spotify:track:5H9wA29ptgnn7mXAHKhUKc","Landline","spotify:artist:2jbd7OqeJJd1hz81vOXwwW","binki","spotify:album:0ZjQWZDaXkxLgncA7RSbsS","MOTOR FUNCTION","spotify:artist:2jbd7OqeJJd1hz81vOXwwW","binki","2021-08-13","https://i.scdn.co/image/ab67616d0000b273336dc1217aa265b29b4928ef","1","2","160329","https://p.scdn.co/mp3-preview/79012cf3e023fd3976edd8baf33dc6d29e090af6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","US4HB2100314","spotify:user:easportsaudio","2021-09-03T18:33:41Z","modern indie pop","0.505","0.925","5","-3.633","0","0.0601","0.000161","0.135","0.0781","0.605","156.965","4","","FADER Label","C © 2021 binki under exclusive license to FADER Label, P ℗ 2021 binki under exclusive license to FADER Label"
"spotify:track:0KL0lhLgQ2SlpfENW6dnQq","Disarm","spotify:artist:66xFQYYcUE4edhHH9VpU3i","BLOODMOON","spotify:album:6WIQknUzhbyWo82rnxBC5N","Disarm","spotify:artist:66xFQYYcUE4edhHH9VpU3i","BLOODMOON","2022-02-23","https://i.scdn.co/image/ab67616d0000b273f4d34062f161fd642c897f85","1","1","256509","https://p.scdn.co/mp3-preview/5b9c30fdc86073b2ed47ac5eda9fc31b6f2a48d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","AUFF02100323","spotify:user:easportsaudio","2022-02-23T17:44:31Z","","0.58","0.67","0","-6.412","0","0.0508","0.476","0.00357","0.319","0.287","126.016","3","","Future Classic","C 2022 Future Classic, P 2022 Future Classic"
"spotify:track:1LVnJMY8uMOs16ZLMS5CDz","Baobá","spotify:artist:5VR80ewg2Ki9zuaAkUkxxt","Caio Prado","spotify:album:7jSoU14Qyc8p6GhktQfWTC","Baobá","spotify:artist:5VR80ewg2Ki9zuaAkUkxxt","Caio Prado","2020-12-04","https://i.scdn.co/image/ab67616d0000b273af65771cc4e6c8f95ed6db40","1","1","234420","https://p.scdn.co/mp3-preview/3299197e0c1734929713488b342dcde40f30586b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","BRTCD2000028","spotify:user:easportsaudio","2021-09-03T18:30:03Z","pop lgbtq+ brasileira","0.485","0.622","11","-5.92","0","0.0584","0.412","0","0.117","0.35","113.778","4","","Toca Discos","C 2020 Toca Discos, P 2020 Toca Discos"
"spotify:track:5fzv5pSMV69Glau4SPsyc4","Last Chance","spotify:artist:0dtmnZBKsEGpSCpdcr3pRc","Casper Caan","spotify:album:0gakRldNNCyzpOGZUqi4ho","Last Chance","spotify:artist:0dtmnZBKsEGpSCpdcr3pRc","Casper Caan","2021-05-25","https://i.scdn.co/image/ab67616d0000b27316dbeb91df2811e8ccff2c1a","1","1","254212","","false","28","GBKPL2150216","spotify:user:easportsaudio","2021-09-03T18:30:03Z","","0.639","0.814","11","-4.909","1","0.0382","0.304","0.0268","0.12","0.395","119.972","4","","Levicaan Music","C 2021 Levicaan Music LLC, P 2021 Levicaan Music LLC"
"spotify:track:4VQ2SIxZaQLj61sE3FTsYi","Eyes on the Prize","spotify:artist:0xNKgWtSixAqcwJLM2c8ez, spotify:artist:5PRqaEB5d1aoPXZzCHNmoZ","Che Lingo, Tamaraebi","spotify:album:4DrpSJnEEgCqX3RUrsTuZh","Eyes on the Prize","spotify:artist:0xNKgWtSixAqcwJLM2c8ez, spotify:artist:5PRqaEB5d1aoPXZzCHNmoZ","Che Lingo, Tamaraebi","2021-09-03","https://i.scdn.co/image/ab67616d0000b273765a89494a4fb70c406dc7d9","1","1","184734","https://p.scdn.co/mp3-preview/9bc0470e0c9725c4a43ff4acff02c7490b273a9a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","UKS3T2100010","spotify:user:easportsaudio","2021-09-03T18:34:09Z","uk alternative hip hop","0.679","0.979","4","-1.342","0","0.268","0.492","0.000728","0.656","0.866","127.051","4","","7Wallace","C 2021 7Wallace, P 2021 7Wallace"
"spotify:track:7rvEHS085Fy3OBX2pjstGP","Good Girls","spotify:artist:3CjlHNtplJyTf9npxaPl5w","CHVRCHES","spotify:album:2KojDsiu38YWJcvkNtgCMR","Good Girls","spotify:artist:3CjlHNtplJyTf9npxaPl5w","CHVRCHES","2021-07-12","https://i.scdn.co/image/ab67616d0000b273e1bb3aa562d15bdf060fbdc8","1","1","199455","","true","16","GBZN82100007","spotify:user:easportsaudio","2021-09-03T18:30:03Z","electropop,metropopolis,neo-synthpop,shimmer pop","0.525","0.797","8","-6.192","1","0.0542","0.0032","0.00132","0.219","0.349","87.053","4","","Glassnote Entertainment Group LLC","C 2021 CHVRCHES Under Exclusive Licence To Glassnote Entertainment Group LLC, distributed by AWAL, P 2021 CHVRCHES Under Exclusive Licence To Glassnote Entertainment Group LLC, distributed by AWAL"
