"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:32KlLADzuIxZmHfhOdXMdC","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:00GMnZ71KyvmEnZfqcsFP4","Abba Gold Anniversary Edition","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","2014-01-01","https://i.scdn.co/image/ab67616d0000b2735893ae3de02b83786469af35","1","14","289160","https://p.scdn.co/mp3-preview/87a607872bbbd18eeb9910b8b1a5c58fafa036e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","SEAYD7901120","spotify:user:alexdecambry","2016-12-15T18:10:56Z","europop,swedish pop","0.705","0.655","2","-5.985","0","0.0281","0.029","0.00405","0.319","0.694","119.373","4","","Polar Music International AB","C © 2014 Polar Music International AB, P This Compilation ℗ 2014 Polar Music International AB"
"spotify:track:4AV7087sOhRVQ7VpEuu6NA","God Only Knows - Remastered 1999","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:4uaaoXTZcwBrFxIJmTUiVZ","10 Great Songs","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","2012-01-01","https://i.scdn.co/image/ab67616d0000b2733e2ef9e83d8f515393d6abcb","1","8","173840","https://p.scdn.co/mp3-preview/a6dc80d0107d0cc78b855db62714b83f6f1f9b7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USCA29900676","spotify:user:alexdecambry","2016-12-15T18:10:56Z","baroque pop,classic rock,psychedelic rock,rock,sunshine pop","0.483","0.553","6","-6.573","0","0.0302","0.136","0","0.0617","0.321","116.178","4","","Capitol Records","C © 2012 Capitol Records, LLC, P This Compilation ℗ 2012 Capitol Records, LLC"
"spotify:track:18jY7BuVe9Xgq3rxwsGiYG","Green River","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:0nzqU0HGNnJFCZGXM3Kjse","The Complete Collection (Digital Box) [Standard]","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","2008-01-01","https://i.scdn.co/image/ab67616d0000b273425a2c62fa2488bcc9635a39","3","1","154120","","false","0","USC4R0817600","spotify:user:alexdecambry","2016-12-15T18:10:56Z","classic rock,country rock,rock,southern rock,swamp rock","0.702","0.772","9","-9.677","1","0.0277","0.0312","0.00837","0.0809","0.973","141.694","4","","Fantasy Records","C © 2008 Concord Music Group, Inc., P ℗ 2008 Concord Music Group, Inc."
"spotify:track:4sWWZfkmuSe3KBg6l1mnAI","Heart Of Glass - Remastered","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","spotify:album:6raionWfBxaJphE3mc8Y4h","Parallel Lines: Deluxe Collector's Edition","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","1978-09-01","https://i.scdn.co/image/ab67616d0000b2730647b071b7be0a607f87a1cd","1","10","348093","https://p.scdn.co/mp3-preview/b6bae1a34c01a6acc479e6ef2b9868dcf7a2cc27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USCH30100108","spotify:user:alexdecambry","2016-12-15T18:10:56Z","candy pop,new wave,new wave pop,permanent wave,power pop,rock","0.578","0.725","4","-6.218","1","0.0692","0.013","0.224","0.0986","0.615","115.109","4","","Capitol Records","C © 2008 Capitol Records, LLC, P This Compilation ℗ 2008 Capitol Records, LLC"
"spotify:track:45yEy5WJywhJ3sDI28ajTm","Here Comes The Sun - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:2Pqkn9Dq2DFtdfkKAeqgMd","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273f7c34e39bb746d7f41bc5519","1","7","185733","","false","0","GBAYE0601696","spotify:user:alexdecambry","2016-12-15T18:10:56Z","beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock","0.557","0.54","9","-10.484","1","0.0347","0.0339","0.00248","0.179","0.394","129.171","4","","EMI Catalogue","C © 2015 Apple Corps Ltd, P ℗ 2015 Calderstone Productions Limited (a division of Universal Music Group)"
"spotify:track:2zYzyRzz6pRmhPzyfMEC8s","Highway to Hell","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:10v912xgTZbjAtYfyKWJCS","Highway to Hell","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1979-07-27","https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0","1","1","208400","https://p.scdn.co/mp3-preview/3589df13595d1ab1a2667db423b76c7e1e86ed73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","AUAP07900028","spotify:user:alexdecambry","2016-12-15T18:10:56Z","australian rock,hard rock,rock","0.574","0.913","6","-4.793","0","0.133","0.061","0.00158","0.156","0.423","115.728","4","","Columbia","P (P) 1979 Leidseplein Presse B.V. for U.S. and Australian Music Corporation Pty Ltd. for rest of world"
"spotify:track:4UGxnxGlpc7BB8Cbu8vITC","Hit the Road Jack","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:73PGy9XzvgR1OjCSKjuihl","Greatest Hits, Vol.1","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","2012-12-07","https://i.scdn.co/image/ab67616d0000b2738436edcd2d188e08741ca85b","1","1","119840","","true","0","DEG320700128","spotify:user:alexdecambry","2016-12-15T18:10:56Z","adult standards,classic soul,jazz blues,piano blues,soul,soul blues,vocal jazz","0.731","0.606","8","-8.092","0","0.0735","0.539","0","0.418","0.964","170.831","4","","10TEN MEDIA","C 2012 10TEN MEDIA, P 2012 10TEN MEDIA"
"spotify:track:3XC7Jd6SfrQYKZJ6inyRHK","House of the Rising Sun","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","spotify:album:0Vhk3dVT59LnhwSHFXLIXA","Most of the Animals","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","1992-02-24","https://i.scdn.co/image/ab67616d0000b273128b823a82be808648739034","1","1","269906","https://p.scdn.co/mp3-preview/3f5ed575e67b66ef0c40ac1c52b3c11e022d8499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAYE6400209","spotify:user:alexdecambry","2016-12-15T18:10:56Z","album rock,blues rock,british invasion,classic rock,folk rock,protopunk,psychedelic rock,rock","0.316","0.484","9","-9.11","0","0.0308","0.000334","0.00445","0.0912","0.299","117.363","3","","Parlophone UK","C © 2002 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 1992 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:3dbFIUN3ijypSia9UuEgyY","(I Can't Get No) Satisfaction","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:3fa1xn0sPbLIVO3vdTPsE6","GRRR!","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","2012-01-01","https://i.scdn.co/image/ab67616d0000b273705d188f523e7ecc88eff6ca","1","6","225226","","false","0","USA176510160","spotify:user:alexdecambry","2016-12-15T18:10:56Z","british invasion,classic rock,rock","0.724","0.88","2","-6.818","1","0.0339","0.0471","0.0439","0.106","0.916","136.284","4","","Universal Music New Zealand Limited","C (C) 2012 ABKCO Music & Records, Inc. and Promotone B.V., under exclusive licence to Universal International Music B.V., P (P) 2012 ABKCO Music & Records, Inc. and Promotone B.V., under exclusive licence to Universal International Music B.V"
"spotify:track:7Fng0zvM0XLoMHyINeu8Kj","I Get Around - Remastered 2001","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:4uaaoXTZcwBrFxIJmTUiVZ","10 Great Songs","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","2012-01-01","https://i.scdn.co/image/ab67616d0000b2733e2ef9e83d8f515393d6abcb","1","7","134453","https://p.scdn.co/mp3-preview/5450c626ba96d24d086d824f6e2827228fdfd5e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USCA20001635","spotify:user:alexdecambry","2016-12-15T18:10:56Z","baroque pop,classic rock,psychedelic rock,rock,sunshine pop","0.369","0.835","9","-2.83","0","0.0571","0.558","0","0.0692","0.467","146.028","4","","Capitol Records","C © 2012 Capitol Records, LLC, P This Compilation ℗ 2012 Capitol Records, LLC"
