"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6GQ3WTaNHMFlVmN4burGat","Butterfly","spotify:artist:4iSKnRZAxkmqNok6tv10Se","Crazy Town","spotify:album:4hLQA4V348qQjKKDGlYEYV","The Gift Of Game","spotify:artist:4iSKnRZAxkmqNok6tv10Se","Crazy Town","1999-10-22","https://i.scdn.co/image/ab67616d0000b273523e6f09c8962982254de0cd","1","6","216773","https://p.scdn.co/mp3-preview/3c2cfb0348d99c6fd2252692a318868eb74f903a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM19911429","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:46:05Z","alternative metal,funk metal,nu metal,rap rock","0.74","0.811","9","-4.148","0","0.0768","0.00155","0.000229","0.107","0.622","103.499","4","","Columbia","P (P) 1999 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:3Fzlg5r1IjhLk2qRw667od","Dancing in the Moonlight","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","spotify:album:2ww2PXKiHk7rNv26rjVJ5z","Onka's Big Moka","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","2000","https://i.scdn.co/image/ab67616d0000b273e16a6534cd5a968a5b725d03","1","2","232693","https://p.scdn.co/mp3-preview/d3ebc26617284b756aedf4e9176163ad050a5205?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBBBL9902165","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:46:26Z","british alternative rock","0.632","0.856","10","-3.463","1","0.0348","0.0624","0","0.347","0.867","119.397","4","","Sony Soho Square","P (P) 2001 Sony Music Entertainment (UK) Ltd."
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/657ab16e3f9b2d47ffbb2bc969db17ffcfc9198c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USUM72206227","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:46:31Z","piano rock,pop","0.704","0.797","0","-5.927","1","0.0475","0.0826","0.000745","0.0546","0.825","139.994","4","","Interscope Records","C © 2022 Paramount Pictures, P ℗ 2022 Mosley Music/Interscope Records"
"spotify:track:5tf1VVWniHgryyumXyJM7w","Sugar (feat. Francesco Yates)","spotify:artist:3t5xRXzsuZmMDkQzgOX35S, spotify:artist:5X1JzPIIonP3u9lA580pPT","Robin Schulz, Francesco Yates","spotify:album:5XyJzEROSmup2TcWmVjTIt","Sugar","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2015-09-25","https://i.scdn.co/image/ab67616d0000b2733c9047f9aa5d0d1e03827039","1","2","219043","https://p.scdn.co/mp3-preview/1a09c6373682009cbf981f0678ff2f8a1a950a44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","DEA621501057","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:46:35Z","dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,pop rap,tropical house,canadian pop","0.636","0.815","5","-5.098","0","0.0581","0.0185","0","0.163","0.636","123.063","4","","Tonspiel","C © 2015 TONSPIEL under exclusive license to Warner Music Group Germany Holding GmbH / A Warner Music Group Company, P ℗ 2015 TONSPIEL under exclusive license to Warner Music Group Germany Holding GmbH / A Warner Music Group Company"
"spotify:track:70HxNVlYQ0Hi6XqBtPLw80","Lady - Hear Me Tonight","spotify:artist:1AdYlfQl6hOOHlVnc02cah","Modjo Band","spotify:album:5Fvk2oTQGmVkFbhMnB8Qca","Modjo Band (Remastered)","spotify:artist:1AdYlfQl6hOOHlVnc02cah","Modjo Band","2001","https://i.scdn.co/image/ab67616d0000b2738978a51a702b4dbd16a4cd09","1","3","307153","https://p.scdn.co/mp3-preview/e2c232bb6fd1635fb65f9a43c3c740d1e4187d8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FR9W10100535","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:47:07Z","","0.72","0.808","6","-5.627","1","0.0379","0.00793","0.0293","0.0634","0.869","126.041","4","","Modjo Music","C Modjo Music except Track 3: Modjo Music/Unidisc, P Modjo Music except Track 3: Modjo Music/Unidisc"
"spotify:track:1S69G657rrHOIfPkKNihwH","Good for Me (feat. Anna Straker)","spotify:artist:1ZUpQr4VSnnP86WbaRRMpd, spotify:artist:3JOvRLynmP4mA6dvlWARoA, spotify:artist:4irCZ5mqRsmTXEEbMvO2VZ","Jay Pryor, Coldabank, Anna Straker","spotify:album:0k5HLDaHBUT1fR8V6DeEoR","Good for Me (feat. Anna Straker)","spotify:artist:1ZUpQr4VSnnP86WbaRRMpd, spotify:artist:3JOvRLynmP4mA6dvlWARoA, spotify:artist:4irCZ5mqRsmTXEEbMvO2VZ","Jay Pryor, Coldabank, Anna Straker","2021-10-01","https://i.scdn.co/image/ab67616d0000b273b173275ef1a56d4d9d4addc7","1","1","144960","","false","56","GBKPL2164737","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T16:42:24Z","dance pop,deep groove house,edm,electro house,house,pop dance,pop edm,tropical house,deep groove house,uk dance,indie electropop","0.725","0.615","5","-7.217","1","0.0453","0.02","0.00821","0.138","0.411","124.987","4","","VOYAGE","C 2021 VOYAGE, P 2021 VOYAGE"
"spotify:track:6roBK59UIWUDEbaJniWxjb","Calypso Beach","spotify:artist:500YRyClzP6Z7HtWd1BIje","Northeast Party House","spotify:album:51Osp1nRdataUeiVpSKGJM","Dare","spotify:artist:500YRyClzP6Z7HtWd1BIje","Northeast Party House","2016-09-09","https://i.scdn.co/image/ab67616d0000b27321507b0b0716ad83ba57dac8","1","8","233169","https://p.scdn.co/mp3-preview/601e1dc57b629b1a8cd0c0229537bf8f93629c19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","AUSA31600009","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T16:53:34Z","australian indie","0.399","0.677","8","-7.562","0","0.0377","0.0171","0.294","0.129","0.378","122.022","4","","Stop Start Music","C 2016 Stop Start Music, P 2016 Stop Start Music"
"spotify:track:6ECp64rv50XVz93WvxXMGF","This Love","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:5zClcGCSWj926AMjvBNSLc","Songs About Jane: 10th Anniversary Edition","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2002","https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e","1","2","206200","https://p.scdn.co/mp3-preview/71a78434e7639d8243dbf1994fbf04c4f8cad56d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USJAY0300080","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T09:40:15Z","pop","0.712","0.862","5","-4.612","0","0.0378","0.0525","0","0.093","0.809","95.051","4","","Interscope Records*","C © 2012 A&M/Octone Records, P ℗ 2012 A&M/Octone Records"
"spotify:track:07K4GcCDSTiXUF5ssyTRUM","The Sweet Escape","spotify:artist:4yiQZ8tQPux8cPriYMWUFP, spotify:artist:0z4gvV4rjIZ9wHck67ucSV","Gwen Stefani, Akon","spotify:album:4LAtUD0YzywA2DdzxEAoEU","The Sweet Escape","spotify:artist:4yiQZ8tQPux8cPriYMWUFP","Gwen Stefani","2006-01-01","https://i.scdn.co/image/ab67616d0000b273ed29b3ed6596d0bb0df132e1","1","2","246466","https://p.scdn.co/mp3-preview/40701cf8d35740051acd68d1c76a7e623fa3832f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUM70618684","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T09:47:37Z","dance pop,pop,post-teen pop,dance pop","0.756","0.77","1","-3.502","1","0.0343","0.191","0","0.178","0.73","119.961","4","","Interscope","C © 2006 Interscope Records, P ℗ 2006 Interscope Records"
"spotify:track:6IkaZk361c37EEzCTs9Hhg","Get off the Phone","spotify:artist:3w4FwUyrFv29eAKSYQvWYr","Epicentre","spotify:album:16Msy5jbZmhwHiPqhJa1EA","Wheedle's Groove: Seattle Funk, Modern Soul & Boogie, Vol. 2 (1972-1987)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-06-06","https://i.scdn.co/image/ab67616d0000b273c9ac24a590e9e6ced33bcbbe","1","1","191826","https://p.scdn.co/mp3-preview/2460a5f66d6747d2a8fc7d606142fa625be93086?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USDEA1410801","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T08:36:39Z","jungle","0.704","0.568","0","-9.562","1","0.0649","0.475","0","0.0657","0.76","105.665","4","","Light In The Attic","C 2014 Light In The Attic Records & Distribution, P 2014 Light In The Attic Records & Distribution"
