"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:21MaZOysLgNhO0MjWezOiX","New Things (Eric Kupper Remix)","spotify:artist:4pkzD9szYtQ8bBbUqTD0BC, spotify:artist:2ATkDceAaeLUkxPnJPHGkz, spotify:artist:1bQgRbaK4120BXwW3LbVTZ","Michal Martyniuk, Eric Kupper, YaniKa","spotify:album:6s7tgDqfY7bsaKT3WSCOlF","(un)Reliable Recordings Presents: New Things Remixes","spotify:artist:4pkzD9szYtQ8bBbUqTD0BC","Michal Martyniuk","2022-12-07","https://i.scdn.co/image/ab67616d0000b273865e94e54d2338a4fe98e663","1","1","377069","https://p.scdn.co/mp3-preview/0d4a9e71f1676ba8ca18c2165663dde859810ce5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","NZBJ12200104","spotify:user:","2022-12-09T07:03:49Z","nz jazz,tribal house","0.69","0.667","0","-7.751","1","0.0397","0.00602","0.685","0.0662","0.755","123.992","4","","(un)Reliable Recordings","C 2022 (un)Reliable Recordings, P 2022 (un)Reliable Recordings"
"spotify:track:2iJ8Wt1wfnEExo38filTFb","No Strings Attached","spotify:artist:2MoxYOhy9ooC8KRcdgIFif, spotify:artist:4jPA6KrvGWwAnWwCAo3gk8","Leroy Styles, Cara Melín","spotify:album:3A86ZfahL8jBCWGT1Put5n","Rebirth","spotify:artist:2MoxYOhy9ooC8KRcdgIFif","Leroy Styles","2022-11-25","https://i.scdn.co/image/ab67616d0000b273618cf5e64fc478f0123ae036","1","4","207906","https://p.scdn.co/mp3-preview/669960ebbd67caeca4e21a1be897ded6b5bfaec9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","NLR4G2200005","spotify:user:","2022-12-09T07:03:49Z","dutch edm","0.828","0.542","0","-6.402","0","0.0951","0.312","0.0025","0.114","0.669","112.02","4","","Other Days Records","C 2022 Other Days Records, P 2022 Other Days Records"
"spotify:track:5EnXhW5QcmxvQC3SRlxfEd","Stay Up - DJ Spen & Michele Chiavarini Heavenly Vibes Mix","spotify:artist:4kr94nr7SzBRas5Cb3krFZ, spotify:artist:3LDoPOo9tbQ6r3FGcyU6Z5, spotify:artist:5ec2x41RmuQqBYAKbQ7nhr","DJ Spen, S.E.L, Michele Chiavarini","spotify:album:3IfZflTzdqwW7OfCDoESUM","Stay Up","spotify:artist:4kr94nr7SzBRas5Cb3krFZ, spotify:artist:3LDoPOo9tbQ6r3FGcyU6Z5, spotify:artist:5ec2x41RmuQqBYAKbQ7nhr","DJ Spen, S.E.L, Michele Chiavarini","2022-12-09","https://i.scdn.co/image/ab67616d0000b273bf41e3ca4961e6097966730c","1","2","360991","https://p.scdn.co/mp3-preview/57a96f115f39585e562f4d40698491ce736362dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","UKF4C1603319","spotify:user:","2022-12-09T07:03:49Z","deep house,soulful house,vocal house,soulful house,soulful house","0.814","0.625","10","-7.566","0","0.0622","0.000488","0.0443","0.0947","0.758","121.009","4","","Quantize Recordings","C 2022 Quantize Recordings, P 2022 Quantize Recordings"
"spotify:track:1mpD4bXO4r3xilu12Kaf5Q","It's Quiet Now (feat. Dope Earth Alien)","spotify:artist:0XfQBWgzisaS9ltDV9bXAS, spotify:artist:2wajUFt1bQDrz8A73tQrkN","Honey Dijon, Dope Earth Alien","spotify:album:27hbmfsdUp1BKsCu2N4AFN","Black Girl Magic","spotify:artist:0XfQBWgzisaS9ltDV9bXAS","Honey Dijon","2022-11-18","https://i.scdn.co/image/ab67616d0000b2737e175b7f630ee1ece9954fa8","1","3","182750","https://p.scdn.co/mp3-preview/1736af13f8d02329b3b9575cbe708ac8fa3356c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCPZ2220784","spotify:user:","2022-12-09T07:03:49Z","deep house,vocal house","0.703","0.818","5","-7.905","0","0.037","0.000569","0.0792","0.0964","0.63","123.009","4","","Classic Music Company","C © 2022 Classic Music Company, P ℗ 2022 Classic Music Company"
"spotify:track:3k5kxMx9RK7QD7s3AikyH9","Possibly Impossible - Crackazat Dub","spotify:artist:7kBeFHrKwVJsFTP5wpRYEv, spotify:artist:5tceE0eTO2p70lG8DTvehw, spotify:artist:2PagBkTVHoKFjuxtCJp3As","Cor.Ece, Dave Giles II, Crackazat","spotify:album:1ZDeFy4AD01pj0daI9fwsB","Possibly Impossible (Crackazat Dub)","spotify:artist:7kBeFHrKwVJsFTP5wpRYEv, spotify:artist:2PagBkTVHoKFjuxtCJp3As, spotify:artist:5tceE0eTO2p70lG8DTvehw","Cor.Ece, Crackazat, Dave Giles II","2022-11-18","https://i.scdn.co/image/ab67616d0000b273b1001c214614df6751dedfd1","1","1","308705","https://p.scdn.co/mp3-preview/4a510afab67093cbb134414689e53b47f5ff68f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QMXZD1100476","spotify:user:","2022-12-09T07:03:49Z","deep house,soulful house,uk house","0.774","0.841","4","-8.396","0","0.0602","0.0573","0.0553","0.121","0.764","122.02","4","","Razor-N-Tape Digital","C 2022 Razor-N-Tape, P 2022 Razor-N-Tape"
"spotify:track:5kGFFVBtyO8eP5cQTNpvbL","The Love I Gave","spotify:artist:6CwQfN34JdGHfo0A752Lts, spotify:artist:7AuUBy4K6ZeUM2SYqR1OXm","David Morales, Scott Paynter","spotify:album:0AcBPMGdDNTBAzgMpK9PHA","The Love I Gave","spotify:artist:6CwQfN34JdGHfo0A752Lts, spotify:artist:7AuUBy4K6ZeUM2SYqR1OXm","David Morales, Scott Paynter","2022-11-10","https://i.scdn.co/image/ab67616d0000b273a85f6c1ad0e81e0e13a60044","1","1","374085","https://p.scdn.co/mp3-preview/8c076ceb72f30196a7c9d487b44d07db13e7c87b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","SMA022200054","spotify:user:","2022-12-09T07:03:49Z","classic house,deep house,disco house,diva house,soulful house,tribal house,vocal house","0.705","0.936","10","-7.735","0","0.0444","0.00228","0.127","0.0259","0.957","125.007","4","","DIRIDIM","C 2022 DIRIDIM, P 2022 David Morales"
"spotify:track:0pNPLSkanDFhYBetvUg3xZ","Always","spotify:artist:2HRa6pJSVzTLE5NEqpUizm, spotify:artist:0I2kjxFQfKN3h34FA2CLZg","Pat Bedeau, Hannah Khemoh","spotify:album:3Ce8iZe4CT9WF2ZwXTTV6X","Always","spotify:artist:2HRa6pJSVzTLE5NEqpUizm, spotify:artist:0I2kjxFQfKN3h34FA2CLZg","Pat Bedeau, Hannah Khemoh","2022-11-04","https://i.scdn.co/image/ab67616d0000b2739baa0da4bcd2de6ec1e53120","1","1","387158","https://p.scdn.co/mp3-preview/51cbbefba11b953b2e523a977aa82a38bbcb578b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","GBZVM2200085","spotify:user:","2022-12-09T07:03:49Z","","0.809","0.761","9","-7.141","0","0.0616","0.00116","0.464","0.0348","0.893","124.625","4","","Atjazz Record Company","C (C) 2022 Atjazz Record Company, P (P) 2022 Atjazz Record Company"
"spotify:track:6oMAHIZdibLoigXa0nUgUA","Say Yes - Kek'star Remix","spotify:artist:0un6YenPxWZ2VW4aFGMupM, spotify:artist:7lgauJ5ZMIIwrJwvUvrWC4","Floetry, Kek'star","spotify:album:44VPyssuZox77H1LFRDgZP","Say Yes (Kek'star Remix)","spotify:artist:0un6YenPxWZ2VW4aFGMupM, spotify:artist:7lgauJ5ZMIIwrJwvUvrWC4","Floetry, Kek'star","2022-12-09","https://i.scdn.co/image/ab67616d0000b273bb64af77fbe25b4924019282","1","1","380932","https://p.scdn.co/mp3-preview/004e7edecf8caff39d9102dd653ae05a42990df9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZTV32252692","spotify:user:","2022-12-09T07:03:49Z","british soul,contemporary r&b,hip hop,hip pop,neo soul,quiet storm,r&b,urban contemporary","0.708","0.608","4","-10.882","0","0.041","0.000432","0.304","0.0847","0.232","112.022","4","","Azania Digital Records","C 2022 Azania Digital Records, P 2022 Azania Digital Records"
"spotify:track:6ZoMTBSxaGU7KNc3yGUFFQ","Take the Day Off","spotify:artist:365Fm0OgkStvN1wWzeyfDN","Tortured Soul","spotify:album:5nrEWJ2pghULETi8LenXp1","Take the Day Off","spotify:artist:365Fm0OgkStvN1wWzeyfDN","Tortured Soul","2022-11-25","https://i.scdn.co/image/ab67616d0000b2733dfa329513d7a4beeedeb974","1","1","283524","https://p.scdn.co/mp3-preview/2ffe7299272e1a47882016ebe0e5e95ad4a31aba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","CATL32201598","spotify:user:","2022-12-09T07:03:49Z","deep house,disco house,funky house,soulful house,vocal house","0.762","0.715","2","-9.038","1","0.036","0.000147","0.0225","0.0678","0.922","121.996","4","","Tstc Music","C 2022 Tstc Music, P 2022 Tstc Music"
"spotify:track:5aJolgnSFg45tZ9kIIBMB5","Act Like You Know","spotify:artist:0pcXybmnJaiSm2QDhGylq8","DJ Pope","spotify:album:0Vz5zwWx4yxpkIzBv9ayst","Act Like You Know","spotify:artist:0pcXybmnJaiSm2QDhGylq8","DJ Pope","2022-10-21","https://i.scdn.co/image/ab67616d0000b273f3ac825743ea1fed9bb348c5","1","1","347317","https://p.scdn.co/mp3-preview/ca8c58124d2f2bf8e377280ce8a6f9137053a85d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USMR52291953","spotify:user:","2022-12-09T07:03:49Z","","0.69","0.746","1","-7.176","1","0.0323","0.000236","0.707","0.11","0.481","123.013","4","","Malaco Special Products","C 2022 Malaco Records, Inc., P 2022 Malaco Records, Inc."
