"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4v0XOp3m5cLDmNGZrVmXbX","Southern Man","spotify:artist:71cyZ6pH0KrM2MdtO8RGmy","Merry Clayton","spotify:album:7GpmPNM0lOE0i8bCvvTECX","Merry Clayton","spotify:artist:71cyZ6pH0KrM2MdtO8RGmy","Merry Clayton","1971-03-16","https://i.scdn.co/image/ab67616d0000b2739be73e43024832c084f91bc5","1","1","195933","https://p.scdn.co/mp3-preview/958ab7084140b7c562f997d63a7045bc027b412a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USA371034103","spotify:user:","2022-09-23T17:06:51Z","classic soul","0.595","0.822","0","-9.357","1","0.0911","0.213","0.000367","0.0728","0.775","89.143","4","","Ode Records","C (C) 2010 Ode Sounds and Visuals, Inc., P (P) 1971 Ode Records"
"spotify:track:4AxrlOlmlKducWdz18bLYB","Sliced Tomatoes","spotify:artist:5qTJU3YBzlGmOSrSHL4EVK","Just Brothers","spotify:album:0mzfKEd3lpMnI9Y3I0Os5m","Sliced Tomatoes - EP","spotify:artist:5qTJU3YBzlGmOSrSHL4EVK","Just Brothers","1972","https://i.scdn.co/image/ab67616d0000b27343080fca0924fd87a1e4f4e9","1","1","142693","https://p.scdn.co/mp3-preview/cc553b6743e65ff053d907b41534fde5d1ee193c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBBLG7200146","spotify:user:","2022-09-23T17:06:51Z","northern soul","0.703","0.717","0","-8.954","1","0.0448","0.0000781","0.871","0.0418","0.931","151.903","4","","Crimson","C (C) 2017 Demon Music Group Ltd., P (P) 1972 Holland Dozier Holland Productions, Inc."
"spotify:track:6ztstiyZL6FXzh4aG46ZPD","Boogie Wonderland","spotify:artist:4QQgXkCYTt3BlENzhyNETg, spotify:artist:64CuUOOirKmdAYLQSfaOyr","Earth\, Wind & Fire, The Emotions","spotify:album:4RLVTxnuVN5ZWZqBFnaaQt","I Am","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1979-06","https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988","1","5","288293","https://p.scdn.co/mp3-preview/9ac9265a2edd03091665103429ca7f3eb25b71d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM19922860","spotify:user:","2022-09-23T17:06:51Z","disco,funk,jazz funk,quiet storm,soul,chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul,southern soul,urban contemporary","0.802","0.756","2","-10.791","0","0.0349","0.0843","0.00765","0.0521","0.963","131.715","4","","Columbia/Legacy","P (P) 1979 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:01gDLZsi0j5fWC28FLPNO8","Move on Up - Extended Version","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:3tgJmEz0R0ZsRSrpwafp4R","Curtis (Expanded Edition)","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","1970","https://i.scdn.co/image/ab67616d0000b273775a6bee6c704ec29aec00f4","1","5","535333","https://p.scdn.co/mp3-preview/319029bada67463527fbab00a034ab1c673a5557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USRH10401528","spotify:user:","2022-09-23T17:06:51Z","chicago soul,classic soul,funk,soul","0.584","0.975","11","-6.534","0","0.0651","0.141","0.501","0.101","0.876","138.341","4","","Rhino","C © 2000 Warner Strategic Marketing, P ℗ 2000 Warner Strategic Marketing"
"spotify:track:4rS4K30qVDExdjeU4feF4c","Keep the Fire Burning","spotify:artist:742YR9ZgF0tCO5juBfvPAU","Gwen McCrae","spotify:album:4s4o0cdIjRxqL92hFa30c9","On My Way","spotify:artist:742YR9ZgF0tCO5juBfvPAU","Gwen McCrae","1982","https://i.scdn.co/image/ab67616d0000b273b71f1099fa292977d42db8c8","1","3","344546","https://p.scdn.co/mp3-preview/eaff24a05449158a47668c75963c509bd8bc2dc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAT20705616","spotify:user:","2022-09-23T17:06:51Z","classic soul,disco,post-disco,southern soul","0.892","0.433","0","-13.806","0","0.0699","0.0277","0.000892","0.0308","0.924","128.029","4","","Rhino Atlantic","C © 1982 Atlantic Recording Corp., P ℗ 1982 Atlantic Recording Corp., manufactured and marketed by Rhino Entertainment"
"spotify:track:0OwvrdjaJOypNsNQHyBWE5","California Soul","spotify:artist:0hirZ8kPPdM9pzXpoagB4w","Marlena Shaw","spotify:album:6TRHI63AVabVkLPou2biv8","The Spice Of Life","spotify:artist:0hirZ8kPPdM9pzXpoagB4w","Marlena Shaw","1969-01-01","https://i.scdn.co/image/ab67616d0000b273c925139455d0480681315f02","1","7","177226","https://p.scdn.co/mp3-preview/0b964f33aac6007271c5ab868aba40dbf3f36ddf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USMC10300507","spotify:user:","2022-09-23T17:06:51Z","classic soul,funk,soul,southern soul","0.513","0.826","8","-8.407","0","0.0574","0.555","0.0000348","0.366","0.539","94.582","4","","GRP","C © 2005 The Verve Music Group, a Division of UMG Recordings, Inc., P ℗ 1969 The Verve Music Group, a Division of UMG Recordings, Inc."
"spotify:track:4N3stlRuz5cBNI4J4vDJ18","Good Times - 2018 Remaster","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","spotify:album:3Jhtxnrjbk5oxleA3oafAy","The Chic Organization 1977-1979 (2018 Remaster)","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","2018-11-23","https://i.scdn.co/image/ab67616d0000b273b7ff955881d0c4fe6b4af092","4","1","486186","https://p.scdn.co/mp3-preview/083e7949413c72a7f49f537afa152abc9b84cc43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRH11803144","spotify:user:","2022-09-23T17:06:51Z","disco,funk,post-disco,quiet storm,soul","0.869","0.503","2","-12.804","1","0.0479","0.0818","0.00837","0.187","0.914","112.664","4","","Rhino Atlantic","C © 2018 Atlantic Recording Corporation. All Rights Reserved. Marketed by Rhino Entertainment Company, a Warner Music Group Company, P ℗ 2018, 1979, 1978, 1977 Atlantic Recording Corporation. All Rights Reserved. Marketed by Rhino Entertainment Company, a Warner Music Group Company"
"spotify:track:4yKZACkuudvfd600H2dQie","Get Down On It - Single Version","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","spotify:album:1rDjSDjjzVfpnsb3GgREFf","The Very Best Of Kool & The Gang (Reissue)","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","1999-03-01","https://i.scdn.co/image/ab67616d0000b273cddc25435cb94483d4b7bb45","1","2","212906","https://p.scdn.co/mp3-preview/f3a52c9a0fac7b8b72b5dec165bc422494847a4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USPR38100044","spotify:user:","2022-09-23T17:06:51Z","disco,funk,post-disco,quiet storm,soul","0.879","0.626","7","-6.344","1","0.0604","0.205","0.0000607","0.056","0.968","110.864","4","","Mercury Records","C © 1999 UMG Recordings Inc., P A Mercury Records release; This Compilation ℗ 1999 UMG Recordings Inc."
"spotify:track:1h2xVEoJORqrg71HocgqXd","Superstition - Single Version","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:4E1itnJOhTMRSATNaxh0Sq","The Definitive Collection","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","2002-10-29","https://i.scdn.co/image/ab67616d0000b2739e447b59bd3e2cbefaa31d91","1","9","245493","https://p.scdn.co/mp3-preview/8588d7ab90f3b6d4bca96c1042aed8ee1f0328ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USMO10000310","spotify:user:","2022-09-23T17:06:51Z","adult standards,motown,quiet storm,soul","0.633","0.634","8","-12.115","1","0.0725","0.038","0.0064","0.0385","0.872","100.499","4","","UNI/MOTOWN","C © 2002 UMG Recordings, Inc., P A Motown Records Release; This Compilation ℗ 2002 UMG Recordings, Inc."
"spotify:track:2grjqo0Frpf2okIBiifQKs","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:2FW0uQ4WL25umm5p2VrZO7","The Best Of Earth, Wind & Fire Vol. 1","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1978-11-23","https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69","1","7","215093","https://p.scdn.co/mp3-preview/0537091c76250e4c5909f088134788a5c4101985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM17800845","spotify:user:","2022-09-23T17:06:51Z","disco,funk,jazz funk,quiet storm,soul","0.697","0.832","9","-7.264","1","0.0298","0.168","0.00131","0.269","0.979","125.926","4","","Columbia/Legacy","P This compilation (P) 1978 Columbia Records, a division of Sony Music Entertainment"
