"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1GZJu6ciZ55S8Kp1s8Z5ex","It Makes You Forget (Itgehane) - Edit","spotify:artist:2mLA48B366zkELXYx7hcDN","Peggy Gou","spotify:album:6KQHrwJdcPIUx1mb97b1Nj","It Makes You Forget (Itgehane)","spotify:artist:2mLA48B366zkELXYx7hcDN","Peggy Gou","2018-01-23","https://i.scdn.co/image/ab67616d0000b273ca6eb064be8e68ec47e621bd","1","1","236160","https://p.scdn.co/mp3-preview/052d66e4a16a7d58fde684730684a36692db8fc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCFB1800001","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:29Z","electra,float house","0.794","0.89","0","-9.438","1","0.0431","0.0177","0.468","0.0838","0.77","125.003","4","","Ninja Tune","C 2018 Ninja Tune, P 2018 Ninja Tune"
"spotify:track:5ReLOUboXvaOVariwEJnl3","Like It Is - Mixed","spotify:artist:3OoNpyvA82LedOZWG3WE8Z","Coeo","spotify:album:21vNE48kEQUwOIDNfG8Ihm","Defected In The House Radio Show Episode 041 (hosted by Sam Divine)","spotify:artist:25XngRrWAsddVHfhxUXIE5","Defected Radio","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f6963c80613d0c95808c9543","1","6","262923","https://p.scdn.co/mp3-preview/9fc5171ae2cec1b11febfb1c2c1585e8cd39e5ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBCPZ1710834","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:33Z","deep house,disco house,float house,munich electronic","0.881","0.797","6","-6.732","0","0.0622","0.0332","0.167","0.206","0.711","123.003","4","","Defected Records","C © 2017 Defected Records Limited, P ℗ 2017 Defected Records Limited"
"spotify:track:3jMh9sR3WEnSS8bYnKIEZU","Summertime Sadness - Asadinho Vocal Mix","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:24EM06t8FHF2hyDdHurfrf","Summertime Sadness (Asadinho Remixes)","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2013-04-15","https://i.scdn.co/image/ab67616d0000b2738fd914e04e46d7750c352d48","1","1","514737","https://p.scdn.co/mp3-preview/ed4b8ba1c70b8ff9dc55acc4cd26602459c68c94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GB7EJ1300201","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:36Z","art pop,pop","0.855","0.516","1","-7.461","1","0.0557","0.00326","0.151","0.265","0.413","118.01","4","","RvS","C RvS, P RvS"
"spotify:track:45U14J5el6WLSL6bnxCyIW","Touch Me - Christian Hornbostel Philadelphia Rework","spotify:artist:2d238aiVQe18bypZEwNhJC, spotify:artist:6lej7XWwRZjQFYLf6iJL8K","Kienzle, Iberle","spotify:album:4jzKkQCfX6jWU07N2JBbne","Touch Me","spotify:artist:2d238aiVQe18bypZEwNhJC","Kienzle","2003-07-07","https://i.scdn.co/image/ab67616d0000b2736956d506a22b7b3370adea86","1","2","371026","https://p.scdn.co/mp3-preview/217827fcbe4a92615e8721b7b0ab7c94bd6bbcee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBDLM0350007","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:39Z","","0.823","0.851","11","-5.27","0","0.0411","0.0747","0.667","0.0765","0.51","125.031","4","","Skyline Records","C 2003 Skyline Records, P 2003 Skyline Records"
"spotify:track:3DEhL6uhozjjRM5MYTtdqf","Funk Operator - Deep Mix","spotify:artist:4aKFcoj4sJdQ9GLSMKKfL5","Ministry Of Funk","spotify:album:5R1KIdV6XHA0cUoDGr7YBY","Ministry of Funk 2017 Best Sellers","spotify:artist:4aKFcoj4sJdQ9GLSMKKfL5","Ministry Of Funk","2017-11-24","https://i.scdn.co/image/ab67616d0000b273729f153b05cee4312ef9c968","1","4","381639","https://p.scdn.co/mp3-preview/16d56cf0567ab650b214615aeb576418c3a7407d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USQY51795644","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:43Z","funky house","0.874","0.653","9","-8.74","0","0.0518","0.000198","0.92","0.0439","0.899","122.013","4","","South American Grooves","C © 2017 South American Grooves, P ℗ 2017 South American Grooves"
"spotify:track:7hxJz30UaBg8h7DOGmSUBc","Coffee in the Morning - Dub Mix","spotify:artist:6hJtgCB3L5cnJSND7sp6GU, spotify:artist:3yg8VEfEzpr8T9NkiEsycS","Dam Swindle, Jitwam","spotify:album:5THT3dLSH2Wb5o4bpJ1ZtS","Coffee in the Morning EP","spotify:artist:6hJtgCB3L5cnJSND7sp6GU","Dam Swindle","2020-06-05","https://i.scdn.co/image/ab67616d0000b273dc5c7b78e42838310b4f5e35","1","4","376600","https://p.scdn.co/mp3-preview/9b05e1de8e1b731a64b6c1a10554d08c69d4ca9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","NLYV52000013","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:46Z","deep disco house,deep house,disco house,float house,indie soul,indie jazz,indie soul,lo-fi house","0.703","0.638","10","-9.252","0","0.0524","0.0139","0.884","0.0943","0.295","126","4","","Heist Recordings","C 2020 Heist Recordings, P 2020 Heist Recordings"
"spotify:track:7aIIEZi4zigYSc5W4xP2tX","Mogadishu - Original Mix","spotify:artist:6j7oCqripDrP3x226wAF5H","Shakarchi & Stranéus","spotify:album:2YZtqmVE7bHETBZESxj605","Dödskallar Och Korallrev","spotify:artist:6j7oCqripDrP3x226wAF5H","Shakarchi & Stranéus","2015-08-13","https://i.scdn.co/image/ab67616d0000b2732758dd20d17cc7dc7204da41","1","1","370897","https://p.scdn.co/mp3-preview/737e209eea922019337f8fc062036c09e3ac9547?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","SE2WJ1000201","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:50Z","swedish electronic,swedish house","0.845","0.716","7","-8.161","0","0.0397","0.000239","0.768","0.0952","0.654","119.986","4","","Studio Barnhus","C 2015 Studio Barnhus, P 2015 Studio Barnhus"
"spotify:track:0oB0mWnbRYNsC2CicOkXZL","GUFM - Folamour Remix","spotify:artist:0IySrk0S2gbAoxaYyPHEZD, spotify:artist:6pJY5At9SiMpAOBrw9YosS","Mangabey, Folamour","spotify:album:3RsM5qmdbE1eogl4xj0Hfk","Chicago Memory EP","spotify:artist:0IySrk0S2gbAoxaYyPHEZD","Mangabey","2018-06-22","https://i.scdn.co/image/ab67616d0000b273698ea87b821788cb87781978","1","4","407802","","false","0","DEBY41200339","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:53Z","jazz house,deep house,disco house,float house,indie soul,jazz house,lo-fi house","0.689","0.81","8","-6.621","0","0.0464","0.0203","0.901","0.139","0.863","125.025","4","","Toy Tonics","C 2018 Toy Tonics, P 2018 Toy Tonics"
"spotify:track:5oFaaCrOpf2ckkm6HCMril","The Funk Soul Brother - Twism & Wavy Dot. 2020 Soulafied Remix","spotify:artist:4NicXMtkqq0dyKSDwjM6Bn, spotify:artist:1EVpn7mXyF07LuJqgUk6RX, spotify:artist:6YhRXzCs8JTH2eynvl9Cnv, spotify:artist:243mFn45lGSHKhaq7Ex7In","Twism, Tom Novy, Tommie Cotton, Wavy dot.","spotify:album:5WRyAC5QqCjR4p84SgYWXJ","The Funk Soul Brother (Twism & Wavy Dot. 2020 Soulafied Remix)","spotify:artist:4NicXMtkqq0dyKSDwjM6Bn, spotify:artist:1EVpn7mXyF07LuJqgUk6RX, spotify:artist:6YhRXzCs8JTH2eynvl9Cnv","Twism, Tom Novy, Tommie Cotton","2020-03-06","https://i.scdn.co/image/ab67616d0000b273c53bfc7bf54afe3040a0dd8d","1","1","407804","https://p.scdn.co/mp3-preview/cc83f6f3cbb779476654ab9a5641532338fb96c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QMAZN1400680","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:54:57Z","hip hop tuga,disco house,vocal house","0.805","0.683","7","-9.166","0","0.066","0.00221","0.729","0.05","0.816","123.01","4","","Soulful Legends","C 2020 Soulful Legends, P 2020 Soulful Legends"
"spotify:track:3bSPR21k0NsgTj9SL6bGhh","Who Is He (feat. Kevin Haden) - Claptone Remix, Mixed","spotify:artist:0VN7mz2rIvpw0FOvZV6p25, spotify:artist:5k8MFak0TtbPb5WQHIprYT","Alaia & Gallo, Kevin Haden","spotify:album:5mIkX8ejeiMXl6TPYj8Cr0","The Masquerade (Mixed by Claptone) [Mixed]","spotify:artist:4mncDFjVLUa3s025Tct3Ry","Claptone","2016-10-28","https://i.scdn.co/image/ab67616d0000b273f1ec3e558e25c2444f3887b0","1","4","266546","https://p.scdn.co/mp3-preview/d17ec43938b08a956688dee2cac93a778233ff0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBCPZ1610053","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:55:00Z","disco house,funky house,funky tech house,italian tech house","0.866","0.915","1","-8.828","0","0.0482","0.00128","0.0288","0.0624","0.912","122.002","4","","ITH","C © 2016 ITH Ltd, P ℗ 2016 ITH Ltd"
"spotify:track:2j2kGdnOkkHzoW7CFcO86N","Corn Dog","spotify:artist:6mU76NVrD4mcmA5WIoiUMV","Daniel Steinberg","spotify:album:6Sn8qPZi5ltKK3oVHjoBj0","Left-Handed","spotify:artist:6mU76NVrD4mcmA5WIoiUMV","Daniel Steinberg","2015-10-12","https://i.scdn.co/image/ab67616d0000b273f8868a10e1f90f1554cf9d5a","1","1","364059","https://p.scdn.co/mp3-preview/2c6a91276d30920d067ff9b0ad5158caaa1c8c7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","DECY51552021","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:55:02Z","deep euro house,german tech house,minimal techno,tech house","0.746","0.694","9","-11.548","1","0.0945","0.00196","0.561","0.0592","0.329","119.975","4","","ARMS & LEGS","C 2015 Arms & Legs, P 2015 Arms & Legs"
"spotify:track:6bMGmAhscLqptbnrkGgsPG","Lights - G's Out Dub","spotify:artist:1xietQVw6iUIK01sfhmWSN","Mr. G","spotify:album:3QzYuSNmChUZ3WN6qPUQzC","Retrospective","spotify:artist:1xietQVw6iUIK01sfhmWSN","Mr. G","2013-07-29","https://i.scdn.co/image/ab67616d0000b2735dc87e8573f64062ad394e4b","1","2","366653","https://p.scdn.co/mp3-preview/a18a1f76cf2fbe0c942cf85d31633d006c7cc3d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBLTF1300025","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:55:04Z","deep house,deep soul house,float house,minimal tech house,tech house","0.914","0.682","9","-8.01","0","0.214","0.0101","0.952","0.122","0.584","129.002","4","","Rekids","C 2013 Back Foot Music, P 2013 Back Foot Music"
"spotify:track:08d1uFAAtQgLbuvyP2AkoH","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","spotify:album:2zL3pun7npuBMHeBPr7mtz","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","2017-12-22","https://i.scdn.co/image/ab67616d0000b2732fed09099502884eab4b4d77","1","1","272394","https://p.scdn.co/mp3-preview/e95d94778a24e694d3d9e5ca3752ea210bbc60e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBLV61724940","spotify:user:312pyxxfi5eunev3qy36eunn666q","2021-10-16T09:55:08Z","house","0.8","0.846","5","-7.518","1","0.0624","0.0277","0.877","0.0896","0.211","127.008","4","","PAWZ","C 2017 PAWZ, P Copyright Control"
