"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:74tLlkN3rgVzRqQJgPfink","Money Trees","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:28ExwzUQsvgJooOI0X1mr3","Kendrick Lamar, Jay Rock","spotify:album:0Oq3mWfexhsjUh0aNNBB5u","good kid, m.A.A.d city","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012","https://i.scdn.co/image/ab67616d0000b2732cd55246d935a8a77cb4859e","1","5","386906","https://p.scdn.co/mp3-preview/6eb2a2b28d5a6dc9ef9be7a8714950641bb45012?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM71210785","spotify:user:","2022-12-02T05:00:00Z","conscious hip hop,hip hop,rap,west coast rap,conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop","0.716","0.531","7","-7.355","1","0.122","0.0703","0","0.224","0.344","71.994","4","","Aftermath","C © 2013 Aftermath/Interscope Records, P ℗ 2013 Aftermath/Interscope Records"
"spotify:track:3qRPc4QpHGNwKFAzCdqwxA","Made You Look","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","spotify:album:3rV1aPkrWyMs6YTvTpSbIY","God's Son","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","2002-12-13","https://i.scdn.co/image/ab67616d0000b2730b3331c0bfce749049377d70","1","3","203000","https://p.scdn.co/mp3-preview/056a90c631a57a5ba856b89bbe8e4432474be248?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USSM10211988","spotify:user:","2022-12-02T05:00:00Z","conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap","0.658","0.936","5","-5.105","0","0.3","0.172","0","0.321","0.711","95.439","4","","Columbia","P (P) 2002 Sony Music Entertainment"
"spotify:track:2GrOq1y5gksYrqkc8Jzl9T","It Was A Good Day","spotify:artist:3Mcii5XWf6E0lrY3Uky4cA","Ice Cube","spotify:album:7EPmezGIzLHj7LeTtLYhJZ","Greatest Hits","spotify:artist:3Mcii5XWf6E0lrY3Uky4cA","Ice Cube","2001-12-04","https://i.scdn.co/image/ab67616d0000b27355af7e0cd246a50f8cd15194","1","10","260079","https://p.scdn.co/mp3-preview/0d2395da90f07c353f9122a5a10ca6623806593d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USPO19250006","spotify:user:","2022-12-02T05:00:00Z","conscious hip hop,g funk,gangster rap,hip hop,rap,west coast rap","0.797","0.779","7","-4.719","0","0.141","0.319","0.000142","0.266","0.82","82.37","4","","Priority Records","C © 2001 Priority Records, LLC, P ℗ 2001 Priority Records, LLC"
"spotify:track:7th8A5iSeJgwJKv2Zj1cXD","Ignorant Sh*t","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:0tCtGc5vt29zFZp6KXzN50","JAY-Z, Beanie Sigel","spotify:album:6JlAOzNEYuPBZHf1iTs5kT","American Gangster","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2007-11-06","https://i.scdn.co/image/ab67616d0000b273d460209b8395c928aa0391f6","1","10","221360","https://p.scdn.co/mp3-preview/1fe7e3aae6d61fbbf86db4638e90049f059bf901?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USUM70759015","spotify:user:","2022-12-02T05:00:00Z","east coast hip hop,hip hop,rap,battle rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,philly rap,pop rap,rap,southern hip hop,trap","0.693","0.902","4","-2.539","0","0.329","0.0603","0","0.283","0.249","94.388","4","","Roc Nation / Jay-Z","C © 2007 S. Carter Enterprises, LLC., Distributed by Roc Nation, P ℗ 2007 S. Carter Enterprises, LLC., Distributed by Roc Nation"
"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Gangsta's Paradise","spotify:artist:3y24n3XhZ96wgwRXjvS17T, spotify:artist:2LhsePRtgCo4THVKULQBL7","Coolio, L.V.","spotify:album:0BJYNipGyMrw4ngKDJXzXZ","Gangsta's Paradise","spotify:artist:3y24n3XhZ96wgwRXjvS17T","Coolio","1995-11-07","https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc","1","2","240693","https://p.scdn.co/mp3-preview/ee6e8e88dde3d296bcb3f2f6988f3cc9c5ae17a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USTB10400128","spotify:user:","2022-12-02T05:00:00Z","g funk,gangster rap,hip hop,rap,west coast rap","0.647","0.514","8","-10.05","1","0.0593","0.0655","0","0.398","0.386","79.975","4","","Tommy Boy Music, LLC","C 2005 Tommy Boy Music, LLC, P 2005 Tommy Boy Music, LLC"
"spotify:track:7jIujRjK5JKNrMCcAvYUTN","Keep Their Heads Ringin'","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Dr. Dre","spotify:album:28jbQJCBOGrZHnrkTb6uw5","Friday (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1995-04-11","https://i.scdn.co/image/ab67616d0000b2738248cf9cb8390af9104ad6f2","1","2","305573","https://p.scdn.co/mp3-preview/f42d134ae5805a0e52df1d52dfa65efabfd9f117?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USPO10000797","spotify:user:","2022-12-02T05:00:00Z","g funk,gangster rap,hip hop,rap,west coast rap","0.672","0.777","9","-4.238","0","0.0956","0.0379","0.00141","0.159","0.238","90.575","4","","FRONTLINE CATALOG (P81)","C © 2015 Priority Records, P This Compilation ℗ 1995 Priority Records"
"spotify:track:0QMHVTnrFTQJoaqmkdsKhT","I Wish - Radio Edit","spotify:artist:55Pp4Ns5VfTSFsBraW7MQy","Skee-Lo","spotify:album:74QhQQa0lhpkOSrz9HXWyE","I Wish","spotify:artist:55Pp4Ns5VfTSFsBraW7MQy","Skee-Lo","1995-08-08","https://i.scdn.co/image/ab67616d0000b2735e2bca5e5a3f48064f2300be","1","2","252306","https://p.scdn.co/mp3-preview/e090037e94dd5ccb239ae8cd18f6a7af2a335840?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","NLML61100033","spotify:user:","2022-12-02T05:00:00Z","hip hop,rap,west coast rap","0.715","0.738","7","-10.139","1","0.157","0.00826","0","0.26","0.573","97.877","4","","Altra Moda Music","C 1995 Altra Moda Music (www.altramoda.nl), P 1995 Altra Moda Music (www.altramoda.nl)"
"spotify:track:2NPxL1QqPrD1a7OLHjVcAP","I Can","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","spotify:album:3rV1aPkrWyMs6YTvTpSbIY","God's Son","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","2002-12-13","https://i.scdn.co/image/ab67616d0000b2730b3331c0bfce749049377d70","1","7","253720","https://p.scdn.co/mp3-preview/f2b259249b93a275a36a9ad54cbc9f1765490686?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM10212659","spotify:user:","2022-12-02T05:00:00Z","conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap","0.837","0.885","6","-3.914","0","0.182","0.103","0","0.0666","0.694","95.313","4","","Columbia","P (P) 2002 Sony Music Entertainment"
"spotify:track:4G3dZN9o3o2X4VKwt4CLts","Passin' Me By","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","spotify:album:48kU5gP41TqZEw32Cwhsna","Bizarre Ride II The Pharcyde","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","1992-11-24","https://i.scdn.co/image/ab67616d0000b2739ec4abd35652fafe34ee7dfb","1","12","303493","https://p.scdn.co/mp3-preview/40f596599409a9d4eacaf8bc2c3bd8130a1dbe6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USA370513625","spotify:user:","2022-12-02T05:00:00Z","alternative hip hop,hardcore hip hop,hip hop,jazz rap,rap,west coast rap","0.759","0.756","4","-8.145","0","0.266","0.0903","0.00000236","0.265","0.613","87.059","4","","The Bicycle Music Company","C © 1992 The Bicycle Music Company, P ℗ 1992 The Bicycle Music Company"
"spotify:track:1SyQ6t9RdRBK0QUCS6a797","Hip Hop Hooray","spotify:artist:4Otx4bRLSfpah5kX8hdgDC","Naughty By Nature","spotify:album:1APlzmzWwXz3ElpmdWF5KA","19NaughtyIII","spotify:artist:4Otx4bRLSfpah5kX8hdgDC","Naughty By Nature","1993-02-23","https://i.scdn.co/image/ab67616d0000b2739ac4e14fdaf2f24717050239","1","2","267266","https://p.scdn.co/mp3-preview/8e9d3806c3f7a6b1c1af72592cefddca3cc41c5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USTB10250031","spotify:user:","2022-12-02T05:00:00Z","east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,new jersey rap,pop rap,rap","0.862","0.642","6","-13.652","0","0.101","0.102","0","0.272","0.765","99.2","4","","Tommy Boy Music, LLC","C 1993 Tommy Boy Music, LLC, P 1993 Tommy Boy Music, LLC"
