"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5m41hTXbZyfW99ShKcaTgD","Mad Piano Party","spotify:artist:381KMEgjEskxbOQ0PW1UMT","Plum","spotify:album:5o9vJmA4iWQZrpdbDf64GP","Melody From Sky","spotify:artist:381KMEgjEskxbOQ0PW1UMT","Plum","2021-09-13","https://i.scdn.co/image/ab67616d0000b273e900c8ed704752bbf5848043","1","8","130181","https://p.scdn.co/mp3-preview/e343de39bd9dbc3cbb74bf98c96bea5ec92c848f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USA2P2136877","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-25T13:13:48Z","","0.532","0.887","0","-4.773","1","0.0487","0.474","0.886","0.349","0.974","165.05","4","","Mapia Music & Publishing","C © 2021 Plum, P ℗ 2021 Plum"
"spotify:track:4fXGWiVhlOLdhwRDP6pIFG","Lemon Tree","spotify:artist:0jRqFvRKCDryHOgrgFqsKG","Fools Garden","spotify:album:1l2SxZKUm1UH45qUqpLfYH","Dish Of The Day","spotify:artist:0jRqFvRKCDryHOgrgFqsKG","Fools Garden","1995-01-01","https://i.scdn.co/image/ab67616d0000b273c06a4ba9d947dbf4ef143190","1","3","191026","","false","52","DEAF70927221","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-25T13:14:00Z","german pop rock","0.663","0.475","1","-8.834","1","0.0417","0.643","0","0.122","0.644","143.175","4","","Lemonade Music","C 2008 Lemonade Music, P 2008 Lemonade Music"
"spotify:track:4a5pNRjwmzYQuEY1E7O6pj","Breakfast In America - 2010 Remastered","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","spotify:album:1zcm3UvHNHpseYOUfd0pna","Breakfast In America (Deluxe Edition)","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","1979-03-29","https://i.scdn.co/image/ab67616d0000b2735405ef9e393f5f1e53b4b42e","1","4","159346","https://p.scdn.co/mp3-preview/7df85a59ce040e8a869efb9e1aae1a28578537d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM71021483","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-28T13:45:37Z","album rock,art rock,classic rock,glam rock,mellow gold,piano rock,progressive rock,rock,soft rock","0.532","0.663","0","-5.886","0","0.0292","0.425","0.00000107","0.0734","0.756","75.14","4","","A&M","C © 2010 A&M Records, P ℗ 2010 A&M Records"
"spotify:track:7c3rkI2q4dS21tpyqrAjdN","Clint Eastwood","spotify:artist:1dQjev6MS1lsTMbLAKswMy","Electronic Swing Orchestra","spotify:album:1ATttDcTSJwqwA61tQrm2F","...and the Mysterious Chaos Machine","spotify:artist:1dQjev6MS1lsTMbLAKswMy","Electronic Swing Orchestra","2012-08-28","https://i.scdn.co/image/ab67616d0000b2735295870ee4c409c3ebdae830","1","5","296240","https://p.scdn.co/mp3-preview/77614aef52a08b23a2c09fc1a02eb565d7e8b78e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","CH6540832681","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-30T20:30:16Z","electro swing,nu jazz","0.716","0.661","7","-7.806","1","0.115","0.104","0.00296","0.0639","0.672","170.013","4","","iMusician Digital","C 2012 Electronic Swing Orchestra, P 2012 Electronic Swing Orchestra"
"spotify:track:2uFaJJtFpPDc5Pa95XzTvg","Let It Snow! Let It Snow! Let It Snow!","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","spotify:album:5I48ENiZiaZZSOpec6PdS5","A Winter Romance","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","1959-01-01","https://i.scdn.co/image/ab67616d0000b273e359bd02a639a4d01b8241ae","1","2","117146","https://p.scdn.co/mp3-preview/cf155d7b6c403da529dd2566d81a7b3987de4395?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USCA25900140","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-01T14:10:16Z","adult standards,easy listening,lounge","0.451","0.24","1","-14.014","1","0.0351","0.912","0.00000245","0.175","0.701","134.009","4","","Capitol Records","C © 1959 Capitol Records, LLC, P ℗ 1959 Capitol Records, LLC"
"spotify:track:6ylAVPbjRQoNY0khgh63Jf","Fuck You","spotify:artist:13saZpZnCDWOI9D4IJhp1f","Lily Allen","spotify:album:03r2opEvFi1PEs2SrkWMKV","It's Not Me, It's You","spotify:artist:13saZpZnCDWOI9D4IJhp1f","Lily Allen","2009-01-26","https://i.scdn.co/image/ab67616d0000b2736abee8fee54e914eef72f167","1","8","219893","https://p.scdn.co/mp3-preview/cfd73fc9e802ef9fdedb48962f13cd5cd289c0b0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","GBAYE0802265","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-04T15:18:13Z","dance pop,pop","0.775","0.904","1","-4.08","0","0.0437","0.0271","0.000303","0.06","0.84","130.009","4","","Parlophone UK","C © 2009 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2009 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:6ebxt3Iylxe0GcEuUGlIvb","Dreaming of You","spotify:artist:6OiHleP2bHM18dXq4aZQWt","The Coral","spotify:album:6Fhnezpt7TKojq1ufkZ5qA","The Coral","spotify:artist:6OiHleP2bHM18dXq4aZQWt","The Coral","2002-02-26","https://i.scdn.co/image/ab67616d0000b2732cfbfcaccd52f76488c56418","1","4","141000","https://p.scdn.co/mp3-preview/fe48c9e35388033e935b6306fbe8c9be8a7862c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBETG0202031","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-15T11:16:00Z","britpop,modern rock,pop rock,rock","0.441","0.684","9","-7.495","0","0.031","0.374","0.000848","0.108","0.971","199.001","4","","Sony Music CG","P (P) 2002 Deltasonic Record Limited"
"spotify:track:48JrHJdke53Te8dQ9aWzvV","The Rockafeller Skank","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:7Avi8h7vv4Ustd6DsN2jYx","You've Come a Long Way Baby (10th Anniversary Edition)","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1998-10-19","https://i.scdn.co/image/ab67616d0000b273b7d8ddd7450a7db80d201d6e","1","2","413880","https://p.scdn.co/mp3-preview/51310c5594b16914dbfd6b3fe3d839613d5e7914?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBBMQ9800025","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-18T18:10:34Z","big beat","0.666","0.992","7","-6.701","1","0.25","0.0111","0.00437","0.22","0.0806","152.589","4","","Skint Records","C © 2008 Skint Records Limited, a BMG Company, P ℗ 2008 Skint Records Limited, a BMG Company"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","1999-01-12","https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02","1","1","211066","https://p.scdn.co/mp3-preview/fd353f288358cb29fa0628254152ec6aab2ee99c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USJI19810404","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-19T13:10:56Z","dance pop,pop","0.759","0.699","0","-5.745","0","0.0307","0.202","0.000131","0.443","0.907","92.96","4","","Jive","P (P) 1999 Zomba Recording LLC"
"spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd","In the Summertime","spotify:artist:2mbvqMGpwLsakeH45p1Jrb","Mungo Jerry","spotify:album:30UgyUTvmdYXNo7CeMabXY","In the Summertime","spotify:artist:2mbvqMGpwLsakeH45p1Jrb","Mungo Jerry","1970-01-01","https://i.scdn.co/image/ab67616d0000b273b06c1fa0b4f3dd5ed8c58c0b","1","1","215800","https://p.scdn.co/mp3-preview/413aaee84865d9d76b1bee3b49f2f6a5d051ef92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAJE7000049","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T09:33:01Z","british blues,bubblegum pop,classic uk pop","0.642","0.65","4","-8.567","1","0.0623","0.66","0","0.14","0.973","164.421","4","","Sanctuary Records","C © 2006 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2000 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:69jJtkqDBuF3n6yPnAvRjK","Fa-Fa-Fa","spotify:artist:4foARo5aSfuIuDLupoxK4k","Datarock","spotify:album:1qwNBiFcleOs6H6sPWnywJ","Datarock Datarock","spotify:artist:4foARo5aSfuIuDLupoxK4k","Datarock","2005-04-04","https://i.scdn.co/image/ab67616d0000b27387f263ff3b7f902dd2a4e8c1","1","4","308720","https://p.scdn.co/mp3-preview/44fcec61f11ef4479165d55497f3d3d4fb064e61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","NOCFK0501040","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-26T22:01:56Z","alternative dance,bergen indie,dance-punk,new rave","0.719","0.895","9","-4.93","0","0.0441","0.00767","0.00117","0.0317","0.96","134.863","4","","YAP","C (C) 2007 Young Aspiring Professionals, P (P) 2007 Young Aspiring Professionals"
"spotify:track:6I6QkE2UVSj9YX48oRrD6e","GOOD TIMES","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","spotify:album:0nBijXgCvIu7T9AlF9P1Te","GOOD TIMES / PROBLEMZ","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","2022-05-30","https://i.scdn.co/image/ab67616d0000b2739794f349060e0bb35c8a6410","1","1","181312","https://p.scdn.co/mp3-preview/da7516eb0e53aa2121bea0742361c3c57ec47161?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBKPL2297384","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-27T11:38:22Z","uk contemporary r&b","0.629","0.947","11","-4.414","0","0.0592","0.0856","0.0262","0.328","0.659","133.007","4","","Caiola Records","C (C) 2022 Caiola Records under exclusive license to AWAL Recordings Ltd, P (P) 2022 Caiola Records under exclusive license to AWAL Recordings Ltd"
"spotify:track:7cH270vt9yC03pKWmqUZ0z","Not Fair","spotify:artist:13saZpZnCDWOI9D4IJhp1f","Lily Allen","spotify:album:03r2opEvFi1PEs2SrkWMKV","It's Not Me, It's You","spotify:artist:13saZpZnCDWOI9D4IJhp1f","Lily Allen","2009-01-26","https://i.scdn.co/image/ab67616d0000b2736abee8fee54e914eef72f167","1","3","202546","https://p.scdn.co/mp3-preview/449be13e1e5ed98aef5463789c662dbfdf91eab3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","GBAYE0802261","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-27T12:35:53Z","dance pop,pop","0.718","0.806","5","-9.191","1","0.0376","0.052","0.0137","0.0932","0.929","121.488","4","","Parlophone UK","C © 2009 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2009 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:1WdbMVvjfOV8M0tkRVilKh","Empires","spotify:artist:3MUnAJMKx97SfTZYNB2iXY","The Electric Swing Circus","spotify:album:3PwKRBTI8qZfij6rcT7bP2","It Flew By","spotify:artist:3MUnAJMKx97SfTZYNB2iXY","The Electric Swing Circus","2017-01-16","https://i.scdn.co/image/ab67616d0000b2731a88df8b9c4b0dce51054ea1","1","1","190508","https://p.scdn.co/mp3-preview/94dd45903d2288bf47043886c9d5a24f895d17bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GB8KE1650934","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-29T10:09:13Z","electro swing,nu jazz","0.816","0.761","2","-3.941","0","0.0368","0.264","0.000002","0.0995","0.827","120.008","4","","Ragtime Records","C 2017 Ragtime Records, P 2017 Ragtime Records"
"spotify:track:2Q9F3D53QeclwbsY24cuxO","Incredible","spotify:artist:42tN6kVgx34E0Oqk2nef4g, spotify:artist:2bHgAaZ7qbGbMMXwAQm48I","M-Beat, General Levy","spotify:album:2AA3AFHAMtp2J0nUVxv1kh","Knowledge","spotify:artist:42tN6kVgx34E0Oqk2nef4g","M-Beat","2009-04-13","https://i.scdn.co/image/ab67616d0000b2737890996251fa54e14dfc6367","1","1","269866","https://p.scdn.co/mp3-preview/7608b1f19ac9b779416ac437b2f9e3aa8bf06086?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USA560960926","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-12-07T10:51:41Z","drum and bass,hardcore techno,jungle,ragga jungle,uk garage,ragga jungle,uk reggae","0.807","0.903","4","-11.09","1","0.113","0.211","0.00000313","0.0565","0.94","165.034","4","","Renk Records","C (C) 2009 Renk Records"
