"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:37vVp2sWHuuIBOSl1NswP6","i'm yours","spotify:artist:5arKwJZEvT5uKq4o0JfqR4","Isabel LaRosa","spotify:album:3Q25UtV9pHu7onNcKwmmZ3","i'm yours","spotify:artist:5arKwJZEvT5uKq4o0JfqR4","Isabel LaRosa","2022-10-28","https://i.scdn.co/image/ab67616d0000b2737f73e6587c8ced7cad6e1e02","1","1","145667","https://p.scdn.co/mp3-preview/954cc0528ff23e2186c8b177865d31c0639d367a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USRC12203917","spotify:user:","2022-12-09T05:00:00Z","hyperpop,pop","0.398","0.705","5","-7.07","0","0.0756","0.204","0.0000513","0.443","0.635","111.487","4","","Slumbo Labs/RCA Records","P (P) 2022 Slumbo Labs/RCA Records"
"spotify:track:5RBOcBpJXaNnHCGViJmYhh","The Perfect Girl","spotify:artist:7riQPkkGZBnTh9ve5qIhYo","Mareux","spotify:album:2JnZQM70jbT0J1Xq0qgl24","The Perfect Girl","spotify:artist:7riQPkkGZBnTh9ve5qIhYo","Mareux","2021-12-08","https://i.scdn.co/image/ab67616d0000b2733d54a30e59638f60f56dd4e6","1","1","194423","https://p.scdn.co/mp3-preview/38f9f7539b8bc42b0260d4fd1a3c7201d46809ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","QZF8N1986577","spotify:user:","2022-12-09T05:00:00Z","dark synthpop","0.485","0.89","8","-5.992","0","0.0911","0.000872","0.818","0.102","0.258","128.881","4","","Revolution Records","C © 2021 Mareux under exclusive license to Revolution Records, P ℗ 2021 Mareux under exclusive license to Revolution Records"
"spotify:track:6EtKlIQmGPB9SX8UjDJG5s","Formula","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","spotify:album:788r22Bhr3IHLTNPy8pZea","Euphoria (Original Score from the HBO Series)","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","2019-10-04","https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867","1","2","91869","https://p.scdn.co/mp3-preview/72fb2540a28470ba0153ef1df86988200ec90190?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USQX91902497","spotify:user:","2022-12-09T05:00:00Z","indie poptimism,pop","0.574","0.664","11","-6.068","1","0.0409","0.0448","0.0553","0.146","0.226","144.654","4","","Masterworks","P (P) 2019 HBO under exclusive license to Sony Music Entertainment"
"spotify:track:2bk3kDxxFLHafZDuw06Fxs","Die For You","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:5L5evi5tJPh8WaEFAQp7Tp","The Highlights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2021-02-05","https://i.scdn.co/image/ab67616d0000b27312a76d1b13ef07188f7dfbc9","1","12","260255","https://p.scdn.co/mp3-preview/e1d7de47b11edcdc6fec0a55ac0a2ff6db8270d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUG11601011","spotify:user:","2022-12-09T05:00:00Z","canadian contemporary r&b,canadian pop,pop","0.602","0.528","1","-7.152","0","0.0556","0.11","0","0.157","0.455","133.851","4","","Universal Republic Records","C © 2021 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc., P This Compilation ℗ 2021 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc."
"spotify:track:5rPNVwYjVEgkq6YNPki4Zc","BABYDOLL","spotify:artist:25jJ6vyXwTRa0e6XCcdR6U","Ari Abdul","spotify:album:5lB0QAZik2r9T51pB5gG0u","BABYDOLL","spotify:artist:25jJ6vyXwTRa0e6XCcdR6U","Ari Abdul","2022-02-22","https://i.scdn.co/image/ab67616d0000b2733bd1e47d746133eee38d4de1","1","1","196235","https://p.scdn.co/mp3-preview/03718a2e9d82e3e3e2f693c068283245c1d15edf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","QZFZ32285065","spotify:user:","2022-12-09T05:00:00Z","pop","0.485","0.585","11","-5.097","0","0.0359","0.0483","0.0113","0.489","0.51","84.941","4","","Not specified","P (P) 2022"
"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","1","272394","https://p.scdn.co/mp3-preview/18d8be17343d3ef580e93a5fff47c9b58870a31a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBCEL1300362","spotify:user:","2022-12-09T05:00:00Z","garage rock,modern rock,permanent wave,rock,sheffield indie","0.548","0.532","5","-7.596","1","0.0323","0.186","0.000263","0.217","0.405","85.03","4","","Domino Recording Co","C 2013 Domino Recording Co Ltd, P 2013 Domino Recording Co Ltd"
"spotify:track:3M0lSi5WW79CXQamgSBIjx","Swim","spotify:artist:7cYEt1pqMgXJdq00hAwVpT","Chase Atlantic","spotify:album:7C8uqokvE67UOlu1TiEYMd","Chase Atlantic","spotify:artist:7cYEt1pqMgXJdq00hAwVpT","Chase Atlantic","2017-10-04","https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6","1","6","228786","https://p.scdn.co/mp3-preview/898756e2b0d1fa36a5eb09f7274cfa04b57ea916?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USWB11701711","spotify:user:","2022-12-09T05:00:00Z","pop","0.666","0.542","8","-6.429","1","0.0392","0.27","0","0.0765","0.0771","120.134","4","","Warner Records","C © 2017 Warner Records Inc., P ℗ 2017 Warner Records Inc."
"spotify:track:5E30LdtzQTGqRvNd7l6kG5","Daddy Issues","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:18iFxjZugvKhuNNMbLjZJF","Wiped Out!","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2015-10-30","https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685","1","6","260173","https://p.scdn.co/mp3-preview/f7b48fdab0cf98310358aea7e59a4af32e0080f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM11506747","spotify:user:","2022-12-09T05:00:00Z","modern alternative rock,modern rock,pop,shimmer pop","0.588","0.521","10","-9.461","1","0.0329","0.0678","0.149","0.123","0.337","85.012","4","","Columbia","P (P) 2015 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:29wrhqZUPQFPjREFM6vayu","AMBER","spotify:artist:5KpmWCJ5NqsY9meqhjwbxR","Unusual Demont","spotify:album:1iIGc6gmBf9I0iWYPpjZLU","HUES.","spotify:artist:5KpmWCJ5NqsY9meqhjwbxR","Unusual Demont","2021-09-17","https://i.scdn.co/image/ab67616d0000b273ca8a6c8f2b6279737d0ee64d","1","4","211865","https://p.scdn.co/mp3-preview/0b8f2b06dd4ce7c40308a8c76bca8067a2138342?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QZ93L2037126","spotify:user:","2022-12-09T05:00:00Z","indie r&b,modern alternative pop","0.881","0.758","8","-6.755","1","0.21","0.346","0.139","0.206","0.7","119.049","4","","Avant Garden","C 2021 Avant Garden, P 2021 Avant Garden"
"spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:69JpAhN3XgLkOsJ7MCtW4V","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-06-29","https://i.scdn.co/image/ab67616d0000b2739904ecb0b1148a128bdd5e36","1","1","232114","https://p.scdn.co/mp3-preview/103fa8ca028f3830dba0bee1896548975254618e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","90","USRC12201440","spotify:user:","2022-12-09T05:00:00Z","afrofuturism","0.686","0.507","1","-7.097","1","0.0357","0.626","0.0000751","0.383","0.69","168.955","4","","L-M Records/RCA Records","P (P) 2022 L-M Records, under license to RCA Records, a division of Sony Music Entertainment"
