"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3NeSlNBRvB4BMrxhA88Zke","Dancing Cliché","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","spotify:album:0KXXLq1rUjATTps8cptlrH","Dancing Cliché","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","2021-10-22","https://i.scdn.co/image/ab67616d0000b273be5c4ac69a531f7ea238fa12","1","1","152669","https://p.scdn.co/mp3-preview/1a68be92fdb95dd264af2a7f80e3f8ec5fed8d17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBAHT2100956","spotify:user:","2022-03-11T16:22:05Z","","0.806","0.92","11","-5.271","0","0.0882","0.000174","0.0659","0.07","0.935","128.04","4","","Warner Records","C © 2021 Warner Music UK Limited, P ℗ 2021 Warner Music UK Limited"
"spotify:track:7tAGnxLiQTU0EjezyOjUj2","Your Good Times Are Here","spotify:artist:1PTEiCpkzNkLNgMi1LL8JR","Laurence Guy","spotify:album:6nEU8r105q0illnVY0ypDh","Your Good Times Are Here","spotify:artist:1PTEiCpkzNkLNgMi1LL8JR","Laurence Guy","2021-10-15","https://i.scdn.co/image/ab67616d0000b2737ff36a6a348fd77645da4b09","1","1","285547","https://p.scdn.co/mp3-preview/089d59cff098124aef0a7ad2b00a780d701b5170?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","UKN6K2003771","spotify:user:","2022-03-11T16:22:05Z","deep house,electronica,float house","0.814","0.614","1","-13.118","0","0.306","0.0939","0.621","0.0717","0.275","128.011","4","","Shall Not Fade","C 2021 Shall Not Fade LTD, P 2021 Shall Not Fade LTD"
"spotify:track:16h3wrGgYylrFSTLG6yjOx","Rescue Me","spotify:artist:45lcbTsX07JWzmTIjcdyBz","Matroda","spotify:album:0sybtzlxxbG2fJIS6YOMLx","Rescue Me","spotify:artist:45lcbTsX07JWzmTIjcdyBz","Matroda","2020-10-16","https://i.scdn.co/image/ab67616d0000b273bc6f3b6c86625cafa5a8257c","1","1","147970","https://p.scdn.co/mp3-preview/40d9f091c79c6ebc0bc82341670ef35cdece0748?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","CA5KR2088916","spotify:user:","2022-03-11T16:22:05Z","bass house,edm,electro house,house","0.659","0.939","9","-5.299","0","0.102","0.0817","0.224","0.104","0.226","125.058","4","","Insomniac Records","C 2020 Insomniac Records, P 2020 Insomniac Records"
"spotify:track:2txuYleYPl5dOQMv70tlWD","Flame - Dan Shake Broken Mix","spotify:artist:0ymdoOsfzRbCoAMfJPpsEx, spotify:artist:4XC335ouK6pXyq4QiIb8bP, spotify:artist:7wxLYZxFPf1HWPIaGesxAg","Cody Currie, Eliza Rose, Dan Shake","spotify:album:6JLIydfqzCoS4pf53mqdrQ","Flame","spotify:artist:0ymdoOsfzRbCoAMfJPpsEx, spotify:artist:4XC335ouK6pXyq4QiIb8bP, spotify:artist:7wxLYZxFPf1HWPIaGesxAg","Cody Currie, Eliza Rose, Dan Shake","2021-08-26","https://i.scdn.co/image/ab67616d0000b273af1619d8fef858666a8f9006","1","2","311968","https://p.scdn.co/mp3-preview/703ca901d1dc04cf7ec003129253ef3cd8f2ff97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBJX32059514","spotify:user:","2022-03-11T16:22:05Z","disco house,house,float house,jazz house","0.741","0.813","6","-10.152","0","0.104","0.0558","0.133","0.096","0.572","125.057","4","","Shake Label","C 2021 SHAKE Records, P 2021 SHAKE Records"
"spotify:track:3q696Hv2mRNvnlJGARCBQU","Heartache","spotify:artist:1kzRFs7LyMmSf4N7TEObWt","Soulchaser","spotify:album:6rTVbLiVUK0BVE5dbTMl2J","Heartache","spotify:artist:1kzRFs7LyMmSf4N7TEObWt","Soulchaser","2021-11-26","https://i.scdn.co/image/ab67616d0000b273b18166e28ce4103803d98f64","1","1","354852","https://p.scdn.co/mp3-preview/c5d8e6ababc251f518671703a4d4c058ba347701?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","UKYMG2100077","spotify:user:","2022-03-11T16:22:05Z","","0.817","0.912","5","-5.411","0","0.157","0.0414","0.72","0.0721","0.251","127.984","4","","sync.records","C 2021 sync.records, P 2021 sync.records"
"spotify:track:7up1kromWJY9ZoR747ngVV","You Bring Me Joy - Radio Edit","spotify:artist:7wTnuabmq5mpF4ENwwC8el, spotify:artist:0oZ9W2ul2WbXflo60EAqUT","Soulista, Tracy Hamlin","spotify:album:7qC8j2gTsZJk38AsoGyWKI","You Bring Me Joy","spotify:artist:7wTnuabmq5mpF4ENwwC8el, spotify:artist:0oZ9W2ul2WbXflo60EAqUT","Soulista, Tracy Hamlin","2021-01-22","https://i.scdn.co/image/ab67616d0000b2730fe513970c5ea233d7719696","1","2","259354","https://p.scdn.co/mp3-preview/8dff68c43ae1803794abe273e37be4bcc5efc37d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITX4M2000045","spotify:user:","2022-03-11T16:22:05Z","funky house,soulful house,neo soul-jazz,soulful house","0.633","0.703","9","-7.715","1","0.0321","0.0418","0","0.617","0.281","124.011","4","","Groove Culture","C 2021 MM & AT SRLS trading as GROOVE CULTURE Music, P 2021 MM & AT SRLS trading as GROOVE CULTURE Music"
"spotify:track:1AH6GkZnybM0R5WZZTj7GF","Back Tae Ayr","spotify:artist:4d2NUjh9ZrzG1ZZdhpSDKH","Ewan McVicar","spotify:album:6YGqlfu2U6aUkzPSViek27","Back Tae Ayr","spotify:artist:4d2NUjh9ZrzG1ZZdhpSDKH","Ewan McVicar","2021-11-19","https://i.scdn.co/image/ab67616d0000b273d2580a2376d59c091faf0c80","1","1","332931","https://p.scdn.co/mp3-preview/dd44959f0df0b404a54d3a5eb3c4dc342ea8c243?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CAU112100629","spotify:user:","2022-03-11T16:22:05Z","house,scottish techno","0.769","0.923","7","-6.146","1","0.142","0.00157","0.697","0.505","0.817","129.992","4","","KOOKOO RECORDS","C 2021 KOOKOO RECORDS, P 2021 KOOKOO RECORDS"
"spotify:track:0T7hjHy7NiXWjGTeoPSEhH","Turn Around (Hey What's Wrong with You) - Robosonic Remix","spotify:artist:4WLGcWrkSExCqILxDk7ol6, spotify:artist:2XBuvmyzhH85j6sqv1fV3l","Phats & Small, Robosonic","spotify:album:7x6TusLHTGr8A460KZqr18","Turn Around (Hey What's Wrong with You) [Remixes]","spotify:artist:4WLGcWrkSExCqILxDk7ol6, spotify:artist:5N6EzjkOoyABhNZJggeXi6, spotify:artist:2XBuvmyzhH85j6sqv1fV3l","Phats & Small, Mousse T., Robosonic","2020-12-04","https://i.scdn.co/image/ab67616d0000b27399174fa03b629ecbcdc2bcda","1","1","197243","https://p.scdn.co/mp3-preview/f6ee387d737fb297d03e39b6ceade3d3f4ae6575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","NLF712012342","spotify:user:","2022-03-11T16:22:05Z","disco house,hip house,vocal house","0.759","0.89","1","-10.453","0","0.0465","0.00647","0.476","0.0545","0.721","128.004","4","","Kontor Records","C 2020 Armada Music B.V. / Kontor Records GmbH, P 2020 Armada Music B.V. / Kontor Records GmbH"
"spotify:track:5MP0HO3d1GVGwrCFhg2X4I","Riviera","spotify:artist:1uF7AFfGahplhiaHEy9NNl","Loods","spotify:album:3e0uzA0LUnSfrrP19pENHK","Riviera","spotify:artist:1uF7AFfGahplhiaHEy9NNl","Loods","2021-03-12","https://i.scdn.co/image/ab67616d0000b273fc4d392c2ebe98694663a32c","1","1","212313","https://p.scdn.co/mp3-preview/dd77c518f8f26a950949da95a338b951820ef9b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","AUDCB1701726","spotify:user:","2022-03-11T16:22:05Z","australian dance,disco house","0.72","0.755","2","-6.904","1","0.0347","0.00135","0.853","0.101","0.778","127.018","4","","Kontor Records","C 2021 Club Sweat distributed exclusively by Kontor Records GmbH, P 2021 Club Sweat distributed exclusively by Kontor Records GmbH"
"spotify:track:4Sjb4zaYIzn254xG2lC1Y9","Angels By My Side (feat. Pauline Taylor) - 7"" Version","spotify:artist:6llIdnUsCdswsO6nExQIEF, spotify:artist:1OBxd0sOELyeO2h9JBKZA1","Sophie Lloyd, Pauline Taylor","spotify:album:3AxIohtIZVMGMNVoqrl2O3","Angels By My Side (feat. Pauline Taylor)","spotify:artist:6llIdnUsCdswsO6nExQIEF","Sophie Lloyd","2022-03-11","https://i.scdn.co/image/ab67616d0000b27346fadf1db6ed96259eae274e","1","1","217606","https://p.scdn.co/mp3-preview/bca5b0d1eb460f0857f830f3e76f0738cc425680?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBCPZ2120355","spotify:user:","2022-03-11T16:22:05Z","disco house,piano house,vocal house","0.717","0.792","0","-5.798","0","0.0463","0.0182","0.000236","0.146","0.719","122","4","","Classic Music Company","C © 2022 Classic Music Company, P ℗ 2022 Classic Music Company"
