"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4fHDlIntTsRGSyTg5UYZYC","Banana Boat (Day-O)","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z","Harry Belafonte","spotify:album:5cBYisZzEb84qxMwXVfcT3","Calypso","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z","Harry Belafonte","1956","https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95","1","1","183133","https://p.scdn.co/mp3-preview/932c8d24108081b5bb4137b4fed91c493ea0985c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USRC19205526","spotify:user:","2022-11-17T08:57:58Z","adult standards,calypso,lounge","0.797","0.105","1","-16.881","1","0.0969","0.885","0.000116","0.108","0.419","122.545","4","","RCA Records Label","P (P) 1956 Sony Music Entertainment"
"spotify:track:4DX82Vc8qAH4jJPvKxvwg6","Move Your Feet","spotify:artist:7xNPROyVfkH4mcIxxCxySm","Junior Senior","spotify:album:1NwNUaRL9JFy6Ha2uWaKu7","D-D-Don't Don't Stop the Beat","spotify:artist:7xNPROyVfkH4mcIxxCxySm","Junior Senior","2002-04-03","https://i.scdn.co/image/ab67616d0000b273480beb08639f79e39c757892","1","3","181826","https://p.scdn.co/mp3-preview/cee66dd71dcbb954e3c321e080cafa62cd048441?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","DKMFA0300203","spotify:user:","2022-11-17T08:57:58Z","danish pop","0.747","0.904","9","-2.623","1","0.0803","0.046","0.106","0.203","0.846","118.877","4","","Crunchy Frog","C (C) 2002 Crunchy Frog"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","https://p.scdn.co/mp3-preview/afa4046ded9f2958de457a2d1ebcfbb9bd2d1a53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","SEAYD7901120","spotify:user:","2022-11-17T08:57:58Z","europop,swedish pop","0.749","0.491","10","-9.655","1","0.0403","0.02","0.00899","0.159","0.536","119.528","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:6e8Ou0wiqAzIpWb2eSxll8","Miami","spotify:artist:41qil2VaGbD194gaEcmmyx","Will Smith","spotify:album:2esWeP8Ln1sXA0jbDmi3Zq","Big Willie Style","spotify:artist:41qil2VaGbD194gaEcmmyx","Will Smith","1997-10-03","https://i.scdn.co/image/ab67616d0000b273ddf2f9edabd166c60047e3c4","1","8","197560","https://p.scdn.co/mp3-preview/8f8766fb3a40bd35a442867e031d59b7be9da8d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM19702697","spotify:user:","2022-11-17T08:57:58Z","dance pop,hip hop,pop rap","0.877","0.534","1","-6.178","1","0.15","0.0339","0.0000167","0.0441","0.89","108.17","4","","Columbia","P 1997 Sony Music Entertainment Inc., 1997 Columbia Pictures Industries Inc. WARNING: All Rights Reserved. Unuauthorized duplic"
"spotify:track:6UdG0n7SNaWydrDu3PBq21","Waka Waka (This Time for Africa) (feat. Freshlyground)","spotify:artist:0EmeFodog0BfCgMzAIvKQp, spotify:artist:7AcV1lk8Zrgo1691PDWEle","Shakira, Freshlyground","spotify:album:25oZf8bHxWJXZm2DGTXW5K","50 Party Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013","https://i.scdn.co/image/ab67616d0000b273c05c5ccd9c0bcbdc96207504","1","9","202626","https://p.scdn.co/mp3-preview/71466b932574aab3e45b9e8b28be0363d230b26f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USSD11000300","spotify:user:","2022-12-12T19:23:32Z","colombian pop,dance pop,latin pop,afro soul,afropop,south african pop,south african pop dance","0.757","0.872","2","-6.388","1","0.141","0.00705","0","0.0665","0.719","127.013","4","","Legacy Recordings","P This compilation (P) 2013 Sony Music Entertainment. All rights reserved."
"spotify:track:5AKQ1JHezaXDmN5SyMSpEr","Fascination","spotify:artist:7Defmv25Kj9knpobhHIghm","Alphabeat","spotify:album:4dzRQNfbgCqWFHLJjgzBic","This Is Alphabeat","spotify:artist:7Defmv25Kj9knpobhHIghm","Alphabeat","2008-01-01","https://i.scdn.co/image/ab67616d0000b2737f2ad1fa57aa0a2c0bddf9b7","1","2","182120","https://p.scdn.co/mp3-preview/a9ec9ebfffa64df484873a7bf0bcbbc2b9866ec1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DKBR70704104","spotify:user:","2022-11-17T08:57:58Z","dance pop,danish pop,electropop,europop,metropopolis","0.495","0.878","6","-3.266","0","0.0361","0.00027","0.0000902","0.07","0.825","193.947","4","","MBO - The Music Business Organisation A/S","C © 2008 Copenhagen Records / Universal Music, P ℗ 2008 Copenhagen Records / Universal Music"
"spotify:track:62AuGbAkt8Ox2IrFFb8GKV","Sweet Caroline","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","spotify:album:6RfgcwsOUlWkGNAd6zjjYd","Sweet Caroline","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","1969-06-06","https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc","1","13","203573","https://p.scdn.co/mp3-preview/beeca23f8cd66dd064db0cb0c7ed6aa13af0beae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USMC16991138","spotify:user:","2022-11-17T08:57:58Z","adult standards,brill building pop,classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock","0.529","0.127","11","-16.066","1","0.0274","0.611","0.000109","0.237","0.578","63.05","4","","Geffen","C © 1969 UMG Recordings, Inc., P A Geffen Records Release; ℗ 1969 UMG Recordings, Inc."
"spotify:track:2PpruBYCo4H7WOBJ7Q2EwM","Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:1UsmQ3bpJTyK6ygoOOjG1r","Speakerboxxx/The Love Below","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367","2","9","235213","https://p.scdn.co/mp3-preview/3196afed0e89dcef43923ede55e0587d5542c9ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USAR10300924","spotify:user:","2022-11-17T08:57:58Z","atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop","0.727","0.974","4","-2.261","0","0.0664","0.103","0.000532","0.174","0.965","79.526","4","","Arista","P (P) 2003 Arista Records LLC"
"spotify:track:3dxDj8pDPlIHCIrUPXuCeG","Sandstorm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","spotify:album:5GnRROSFWQhuxfDkyBALGb","Before the Storm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","2000-01-01","https://i.scdn.co/image/ab67616d0000b273a38d78cbd27d7749e3e5c97d","1","1","225666","https://p.scdn.co/mp3-preview/2485e35d1689fb51527516dcd81d2ff44a79ea76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","FISGC9900001","spotify:user:","2022-11-17T08:57:58Z","eurodance,europop,finnish edm,trance","0.532","0.967","11","-7.977","0","0.0457","0.146","0.985","0.115","0.59","136.083","4","","16 Inch Records","C (C) 2007 16 Inch Records, P (P) 2000 16 Inch Records"
"spotify:track:1FHNctV68GUNLgXclG2DtR","Dancing in the Moonlight","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","spotify:album:3Yxy4ITyguWRkdXwrB9uC9","Dancing In The Moonlight: The Best Of Toploader","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","2009-04-22","https://i.scdn.co/image/ab67616d0000b273a3ebdfcbd1a5336b2920b699","1","1","233373","https://p.scdn.co/mp3-preview/2905b70d0e20421d0b3a8bd0fe640b9af4b5d978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBBBL9902165","spotify:user:","2022-11-17T08:57:58Z","british alternative rock","0.639","0.845","0","-3.333","0","0.0372","0.0528","0","0.336","0.871","119.48","4","","Sony BMG Music UK","P This compilation (P) 2009 Sony Music Entertainment UK Limited"
"spotify:track:6tASfEUyB7lE2r6DLzURji","Club Tropicana","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","spotify:album:6vihnceXTNegYbpurc6qkR","Fantastic","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","1983-07-09","https://i.scdn.co/image/ab67616d0000b273bb126e633cb3c52079aa7d82","1","7","265600","https://p.scdn.co/mp3-preview/239fefcf97a4f0f60b63a3b12fb13979e197f9a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBBBM8300007","spotify:user:","2022-11-17T08:57:58Z","dance pop,new romantic,new wave,new wave pop,soft rock","0.658","0.714","11","-9.247","1","0.0519","0.0294","0.000057","0.651","0.806","117.283","4","","Epic","P (P) 1983 Innervision Records"
